Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,166.0201807,0.0,0.0
2024-10-02,165.1669801,0.0,0.0
2024-10-03,157.7089399,0.0,0.0
2024-10-04,166.1809216,0.0,0.0
2024-10-05,186.5509722,0.0,0.0
2024-10-06,197.100046,0.0,0.0
2024-10-07,165.2061141,0.0,0.0
2024-10-08,164.5309338,0.0,0.0
2024-10-09,162.8098491,0.0,0.0
2024-10-10,171.4796562,0.0,0.0
2024-10-11,178.1460224,0.0,0.0
2024-10-12,184.4061712,0.0,0.0
2024-10-13,195.2523234,0.0,0.0
2024-10-14,166.3327904,0.0,0.0
2024-10-15,167.0472917,0.0,0.0
2024-10-16,156.3991752,0.0,0.0
2024-10-17,163.6845856,0.0,0.0
2024-10-18,172.5753474,0.0,0.0
2024-10-19,184.7922312,0.0,0.0
2024-10-20,197.8644701,0.0,0.0
2024-10-21,159.448733,0.0,0.0
2024-10-22,168.4715831,0.0,0.0
2024-10-23,166.4782766,0.0,0.0
2024-10-24,170.2067826,0.0,0.0
2024-10-25,176.4466773,0.0,0.0
2024-10-26,185.6316874,0.0,0.0
2024-10-27,202.5479012,0.0,0.0
2024-10-28,165.9063341,0.0,0.0
2024-10-29,165.88529,0.0,0.0
2024-10-30,165.6540293,0.0,0.0
2024-11-01,90.01576956,0.0,0.0
2024-11-02,179.4460711,0.0,0.0
2024-11-03,190.4449817,0.0,0.0
2024-11-04,160.4555512,0.0,0.0
2024-11-05,157.8902524,0.0,0.0
2024-11-06,160.3239898,0.0,0.0
2024-11-07,163.5214716,0.0,0.0
2024-11-08,168.897599,0.0,0.0
2024-11-09,171.9605387,0.0,0.0
2024-11-10,190.9548013,0.0,0.0
2024-11-11,165.981593,0.0,0.0
2024-11-12,163.2254573,0.0,0.0
2024-11-13,164.5247112,0.0,0.0
2024-11-14,166.4550535,0.0,0.0
2024-11-15,171.613455,0.0,0.0
2024-11-16,181.6699109,0.0,0.0
2024-11-17,190.7157853,0.0,0.0
2024-11-18,162.3362068,0.0,0.0
2024-11-19,167.5294171,0.0,0.0
2024-11-20,161.3174904,0.0,0.0
2024-11-21,165.6388443,0.0,0.0
2024-11-22,170.6189066,0.0,0.0
2024-11-23,180.9373168,0.0,0.0
2024-11-24,192.7324457,0.0,0.0
2024-11-25,166.2800516,0.0,0.0
2024-11-26,166.3709823,0.0,0.0
2024-11-27,197.0657755,0.0,0.0
2024-11-28,168.1192104,0.0,0.0
2024-11-29,169.6337441,0.0,0.0
2024-11-30,183.986818,0.0,0.0
2024-12-01,193.1938849,0.0,0.0
2024-12-02,163.226059,0.0,0.0
2024-12-03,164.7025171,0.0,0.0
2024-12-04,164.6628505,0.0,0.0
2024-12-05,168.1975018,0.0,0.0
2024-12-06,172.2525798,0.0,0.0
2024-12-07,182.3025522,0.0,0.0
2024-12-08,196.8232518,0.0,0.0
2024-12-09,159.236744,0.0,0.0
2024-12-10,168.0474701,0.0,0.0
2024-12-11,163.375898,0.0,0.0
2024-12-12,176.7881848,0.0,0.0
2024-12-13,169.3652229,0.0,0.0
2024-12-14,187.607349,0.0,0.0
2024-12-15,195.8644856,0.0,0.0
2024-12-16,168.1654373,0.0,0.0
2024-12-17,167.966448,0.0,0.0
2024-12-18,169.4544254,0.0,0.0
2024-12-19,167.2211307,0.0,0.0
2024-12-20,171.7752742,0.0,0.0
2024-12-21,184.97519,0.0,0.0
2024-12-22,184.97519,0.0,0.0
2024-12-23,178.5885055,0.0,0.0
2024-12-24,179.4953417,0.0,0.0
2024-12-25,179.4953417,0.0,0.0
2024-12-26,181.4857048,0.0,0.0
2024-12-27,178.1924924,0.0,0.0
2024-12-28,188.2093728,0.0,0.0
2024-12-29,198.7157796,0.0,0.0
2024-12-30,176.436221,0.0,0.0
2024-12-31,179.7489743,0.0,0.0
2025-01-01,201.79,0.0,0.0
2025-01-02,173.83,0.0,0.0
2025-01-03,168.55,0.0,0.0
2025-01-04,176.3,0.0,0.0
2025-01-05,184.4,0.0,0.0
2025-01-06,159.86,0.0,0.0
2025-01-07,154.54,0.0,0.0
2025-01-08,157.35,0.0,0.0
2025-01-09,161.97,0.0,0.0
2025-01-10,159.26,0.0,0.0
2025-01-11,171.17,0.0,0.0
2025-01-12,184.58,0.0,0.0
2025-01-13,154.18,0.0,0.0
2025-01-14,154.42,0.0,0.0
2025-01-15,151.77,0.0,0.0
2025-01-16,148.8,0.0,0.0
2025-01-17,157.47,0.0,0.0
2025-01-18,166.35,0.0,0.0
