Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,25.81509732,0.0,0.0
2024-10-02,24.98126127,0.0,0.0
2024-10-03,25.23801766,0.0,0.0
2024-10-04,27.81005995,0.0,0.0
2024-10-05,32.82133089,0.0,0.0
2024-10-06,29.25482656,0.0,0.0
2024-10-07,25.23289411,0.0,0.0
2024-10-08,25.27145105,0.0,0.0
2024-10-09,26.10269108,0.0,0.0
2024-10-10,25.94656121,0.0,0.0
2024-10-11,26.48893301,0.0,0.0
2024-10-12,26.70298871,0.0,0.0
2024-10-13,27.22461113,0.0,0.0
2024-10-14,25.98505027,0.0,0.0
2024-10-15,27.07758414,0.0,0.0
2024-10-16,25.79291337,0.0,0.0
2024-10-17,27.13521156,0.0,0.0
2024-10-18,26.67528239,0.0,0.0
2024-10-19,27.26843052,0.0,0.0
2024-10-20,28.02179014,0.0,0.0
2024-10-21,25.64627074,0.0,0.0
2024-10-22,25.95914958,0.0,0.0
2024-10-23,25.92603023,0.0,0.0
2024-10-24,26.42020288,0.0,0.0
2024-10-25,27.08281614,0.0,0.0
2024-10-26,27.19791006,0.0,0.0
2024-10-27,28.35550896,0.0,0.0
2024-10-28,25.80356086,0.0,0.0
2024-10-29,25.8390179,0.0,0.0
2024-10-30,25.92413398,0.0,0.0
2024-11-01,11.92308273,0.0,0.0
2024-11-02,26.33286299,0.0,0.0
2024-11-03,26.93781527,0.0,0.0
2024-11-04,24.96494214,0.0,0.0
2024-11-05,24.31141538,0.0,0.0
2024-11-06,24.96994277,0.0,0.0
2024-11-07,25.30333712,0.0,0.0
2024-11-08,25.07958856,0.0,0.0
2024-11-09,25.95995164,0.0,0.0
2024-11-10,26.9186265,0.0,0.0
2024-11-11,24.39410437,0.0,0.0
2024-11-12,24.94113174,0.0,0.0
2024-11-13,25.80896824,0.0,0.0
2024-11-14,25.15570614,0.0,0.0
2024-11-15,25.31427561,0.0,0.0
2024-11-16,26.6348624,0.0,0.0
2024-11-17,26.66336691,0.0,0.0
2024-11-18,24.96798442,0.0,0.0
2024-11-19,25.58540855,0.0,0.0
2024-11-20,24.98654319,0.0,0.0
2024-11-21,24.75154509,0.0,0.0
2024-11-22,23.03982677,0.0,0.0
2024-11-23,25.62057269,0.0,0.0
2024-11-24,26.28337848,0.0,0.0
2024-11-25,25.09132894,0.0,0.0
2024-11-26,25.36533205,0.0,0.0
2024-11-27,27.35786052,0.0,0.0
2024-11-28,24.66236413,0.0,0.0
2024-11-29,24.46572295,0.0,0.0
2024-11-30,26.25650626,0.0,0.0
2024-12-01,26.50782759,0.0,0.0
