Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,29.84573516,0.0,0.0
2024-10-02,29.23799385,0.0,0.0
2024-10-03,29.34135104,0.0,0.0
2024-10-04,29.11971417,0.0,0.0
2024-10-05,29.69590869,0.0,0.0
2024-10-06,27.97286055,0.0,0.0
2024-10-07,28.79746298,0.0,0.0
2024-10-08,29.19374788,0.0,0.0
2024-10-09,29.58047524,0.0,0.0
2024-10-10,30.41713414,0.0,0.0
2024-10-11,30.73766146,0.0,0.0
2024-10-12,29.45022328,0.0,0.0
2024-10-13,27.57942408,0.0,0.0
2024-10-14,28.87257556,0.0,0.0
2024-10-15,31.2146476,0.0,0.0
2024-10-16,29.28058347,0.0,0.0
2024-10-17,29.43314948,0.0,0.0
2024-10-18,29.99973162,0.0,0.0
2024-10-19,29.68277373,0.0,0.0
2024-10-20,28.41480235,0.0,0.0
2024-10-21,29.23044777,0.0,0.0
2024-10-22,30.21916556,0.0,0.0
2024-10-23,30.24676083,0.0,0.0
2024-10-24,30.91643834,0.0,0.0
2024-10-25,31.23805077,0.0,0.0
2024-10-26,31.1884899,0.0,0.0
2024-10-27,29.6737181,0.0,0.0
2024-10-28,30.16532526,0.0,0.0
2024-10-29,30.95653163,0.0,0.0
2024-10-30,30.79606348,0.0,0.0
2024-11-01,13.06519328,0.0,0.0
2024-11-02,29.67181477,0.0,0.0
2024-11-03,28.39819399,0.0,0.0
2024-11-04,28.78069898,0.0,0.0
2024-11-05,29.34624126,0.0,0.0
2024-11-06,29.46685459,0.0,0.0
2024-11-07,29.50198748,0.0,0.0
2024-11-08,30.20651057,0.0,0.0
2024-11-09,29.45868364,0.0,0.0
2024-11-10,28.7468281,0.0,0.0
2024-11-11,30.01390161,0.0,0.0
2024-11-12,28.94032407,0.0,0.0
2024-11-13,29.13224947,0.0,0.0
2024-11-14,29.09111157,0.0,0.0
2024-11-15,29.87782484,0.0,0.0
2024-11-16,29.31634488,0.0,0.0
2024-11-17,27.23966012,0.0,0.0
2024-11-18,28.25504273,0.0,0.0
2024-11-19,29.76671225,0.0,0.0
2024-11-20,29.75787605,0.0,0.0
2024-11-21,29.09929019,0.0,0.0
2024-11-22,28.96786012,0.0,0.0
2024-11-23,28.84346016,0.0,0.0
2024-11-24,28.21323768,0.0,0.0
2024-11-25,30.23911569,0.0,0.0
2024-11-26,29.88401134,0.0,0.0
2024-11-27,27.95290139,0.0,0.0
2024-11-28,29.82018387,0.0,0.0
2024-11-29,29.50876194,0.0,0.0
2024-11-30,29.13843997,0.0,0.0
2024-12-01,27.61174068,0.0,0.0
2024-12-02,27.52589477,0.0,0.0
2024-12-03,28.08101717,0.0,0.0
2024-12-04,28.40467242,0.0,0.0
2024-12-05,28.28703535,0.0,0.0
2024-12-06,29.40025163,0.0,0.0
2024-12-07,29.75794242,0.0,0.0
2024-12-08,27.64722766,0.0,0.0
2024-12-09,29.05599322,0.0,0.0
2024-12-10,28.82386591,0.0,0.0
2024-12-11,29.40797332,0.0,0.0
2024-12-12,30.17024226,0.0,0.0
2024-12-13,28.72192211,0.0,0.0
2024-12-14,29.68383054,0.0,0.0
2024-12-15,28.44551119,0.0,0.0
2024-12-16,29.0364422,0.0,0.0
2024-12-17,28.79131797,0.0,0.0
2024-12-18,28.91168308,0.0,0.0
2024-12-19,28.01038493,0.0,0.0
2024-12-20,27.69632455,0.0,0.0
2024-12-21,28.51605078,0.0,0.0
2024-12-22,28.51605078,0.0,0.0
2024-12-23,28.27056396,0.0,0.0
2024-12-24,28.35805937,0.0,0.0
2024-12-25,28.35805937,0.0,0.0
2024-12-26,28.63419667,0.0,0.0
2024-12-27,29.20280802,0.0,0.0
2024-12-28,29.46995528,0.0,0.0
2024-12-29,29.11729622,0.0,0.0
2024-12-30,28.57845658,0.0,0.0
2024-12-31,29.34368133,0.0,0.0
2025-01-01,28.29,0.0,0.0
2025-01-02,27.78,0.0,0.0
2025-01-03,26.9,0.0,0.0
2025-01-04,26.95,0.0,0.0
2025-01-05,26.36,0.0,0.0
2025-01-06,27.14,0.0,0.0
2025-01-07,28.06,0.0,0.0
2025-01-08,27.49,0.0,0.0
2025-01-09,28.1,0.0,0.0
2025-01-10,28.28,0.0,0.0
2025-01-11,27.57,0.0,0.0
2025-01-12,26.92,0.0,0.0
2025-01-13,27.0,0.0,0.0
2025-01-14,28.01,0.0,0.0
2025-01-15,27.62,0.0,0.0
2025-01-16,28.24,0.0,0.0
2025-01-17,27.93,0.0,0.0
2025-01-18,26.87,0.0,0.0
2025-01-19,25.84,0.0,0.0
2025-01-20,26.95,0.0,0.0
2025-01-21,27.71,0.0,0.0
2025-01-22,27.59,0.0,0.0
2025-01-23,27.32,0.0,0.0
2025-01-24,28.54,0.0,0.0
2025-01-25,27.77,0.0,0.0
2025-01-26,27.35,0.0,0.0
2025-01-27,26.6,0.0,0.0
2025-01-28,26.36,0.0,0.0
2025-01-29,25.73,0.0,0.0
2025-01-30,27.42,0.0,0.0
2025-01-31,27.05,0.0,0.0
