Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,66.68774931,0.0,0.0
2024-10-02,66.60730003,0.0,0.0
2024-10-03,67.16805371,0.0,0.0
2024-10-04,66.70804554,0.0,0.0
2024-10-05,64.90329886,0.0,0.0
2024-10-06,64.93406246,0.0,0.0
2024-10-07,65.92784752,0.0,0.0
2024-10-08,66.80798432,0.0,0.0
2024-10-09,68.29468952,0.0,0.0
2024-10-10,71.47482249,0.0,0.0
2024-10-11,69.82736326,0.0,0.0
2024-10-12,64.4121226,0.0,0.0
2024-10-13,62.9735964,0.0,0.0
2024-10-14,65.6677803,0.0,0.0
2024-10-15,67.3245855,0.0,0.0
2024-10-16,66.02216896,0.0,0.0
2024-10-17,67.36752501,0.0,0.0
2024-10-18,68.78205433,0.0,0.0
2024-10-19,64.38693074,0.0,0.0
2024-10-20,64.59943248,0.0,0.0
2024-10-21,65.22659241,0.0,0.0
2024-10-22,66.56945785,0.0,0.0
2024-10-23,68.84887027,0.0,0.0
2024-10-24,68.94193722,0.0,0.0
2024-10-25,69.68568799,0.0,0.0
2024-10-26,65.72331775,0.0,0.0
2024-10-27,66.29591384,0.0,0.0
2024-10-28,66.01377586,0.0,0.0
2024-10-29,66.82197695,0.0,0.0
2024-10-30,68.01284807,0.0,0.0
2024-11-01,31.1193849,0.0,0.0
2024-11-02,63.25672001,0.0,0.0
2024-11-03,62.53514927,0.0,0.0
2024-11-04,64.78376769,0.0,0.0
2024-11-05,65.80237994,0.0,0.0
2024-11-06,65.07318517,0.0,0.0
2024-11-07,65.44889108,0.0,0.0
2024-11-08,64.98369819,0.0,0.0
2024-11-09,64.01948147,0.0,0.0
2024-11-10,62.92986901,0.0,0.0
2024-11-11,67.01114546,0.0,0.0
2024-11-12,66.32164336,0.0,0.0
2024-11-13,65.20797051,0.0,0.0
2024-11-14,65.65398395,0.0,0.0
2024-11-15,65.3702841,0.0,0.0
2024-11-16,63.00343633,0.0,0.0
