Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,40.4703244,0.0,0.0
2024-10-02,41.46558956,0.0,0.0
2024-10-03,36.25130012,0.0,0.0
2024-10-04,33.18761636,0.0,0.0
2024-10-05,40.92551467,0.0,0.0
2024-10-06,40.49617892,0.0,0.0
2024-10-07,39.11230693,0.0,0.0
2024-10-08,40.06970481,0.0,0.0
2024-10-09,40.34194077,0.0,0.0
2024-10-10,41.6023023,0.0,0.0
2024-10-11,41.76072838,0.0,0.0
2024-10-12,40.95344764,0.0,0.0
2024-10-13,39.91104937,0.0,0.0
2024-10-14,39.46553897,0.0,0.0
2024-10-15,38.67971354,0.0,0.0
2024-10-16,37.66766751,0.0,0.0
2024-10-17,39.96000952,0.0,0.0
2024-10-18,40.6726597,0.0,0.0
2024-10-19,40.87388148,0.0,0.0
2024-10-20,41.2971223,0.0,0.0
2024-10-21,40.25216597,0.0,0.0
2024-10-22,40.99701169,0.0,0.0
2024-10-23,42.60344134,0.0,0.0
2024-10-24,44.12198709,0.0,0.0
2024-10-25,44.85682077,0.0,0.0
2024-10-26,44.07600622,0.0,0.0
2024-10-27,44.10283027,0.0,0.0
2024-10-28,40.6766813,0.0,0.0
2024-10-29,41.04112158,0.0,0.0
2024-10-30,41.02494454,0.0,0.0
2024-11-01,18.63281917,0.0,0.0
2024-11-02,41.3739696,0.0,0.0
2024-11-03,40.60826266,0.0,0.0
2024-11-04,38.69350202,0.0,0.0
2024-11-05,39.06810728,0.0,0.0
2024-11-06,38.87955023,0.0,0.0
2024-11-07,39.71675501,0.0,0.0
2024-11-08,40.78400471,0.0,0.0
2024-11-09,41.11545096,0.0,0.0
2024-11-10,41.2696871,0.0,0.0
2024-11-11,40.80061866,0.0,0.0
2024-11-12,39.62072076,0.0,0.0
2024-11-13,40.33647668,0.0,0.0
2024-11-14,40.02754483,0.0,0.0
2024-11-15,41.00349183,0.0,0.0
2024-11-16,40.66710474,0.0,0.0
2024-11-17,40.23926454,0.0,0.0
2024-11-18,39.32101716,0.0,0.0
2024-11-19,40.80239159,0.0,0.0
2024-11-20,39.40175725,0.0,0.0
2024-11-21,39.94868057,0.0,0.0
2024-11-22,41.12067743,0.0,0.0
2024-11-23,41.39384914,0.0,0.0
2024-11-24,40.68563393,0.0,0.0
2024-11-25,39.41473228,0.0,0.0
2024-11-26,39.8248126,0.0,0.0
2024-11-27,40.19416228,0.0,0.0
2024-11-28,40.46471184,0.0,0.0
2024-11-29,40.34867696,0.0,0.0
2024-11-30,42.25204886,0.0,0.0
2024-12-01,40.4426124,0.0,0.0
2024-12-02,38.72336806,0.0,0.0
2024-12-03,39.48193326,0.0,0.0
2024-12-04,40.34142938,0.0,0.0
2024-12-05,40.88955943,0.0,0.0
2024-12-06,41.56373315,0.0,0.0
2024-12-07,41.58520446,0.0,0.0
2024-12-08,41.61286674,0.0,0.0
2024-12-09,40.09012699,0.0,0.0
2024-12-10,40.49674319,0.0,0.0
2024-12-11,40.82639765,0.0,0.0
2024-12-12,41.87377209,0.0,0.0
2024-12-13,40.8031471,0.0,0.0
2024-12-14,40.51085008,0.0,0.0
2024-12-15,40.72746083,0.0,0.0
2024-12-16,40.20421055,0.0,0.0
2024-12-17,40.50769639,0.0,0.0
2024-12-18,40.5751657,0.0,0.0
2024-12-19,41.04303225,0.0,0.0
2024-12-20,41.04017621,0.0,0.0
2024-12-21,40.44839083,0.0,0.0
2024-12-22,40.44839083,0.0,0.0
2024-12-23,40.82653621,0.0,0.0
2024-12-24,40.93916419,0.0,0.0
2024-12-25,40.93916419,0.0,0.0
2024-12-26,40.48333541,0.0,0.0
2024-12-27,40.75946048,0.0,0.0
2024-12-28,40.35399712,0.0,0.0
2024-12-29,40.27551338,0.0,0.0
2024-12-30,40.21335136,0.0,0.0
2024-12-31,39.92358555,0.0,0.0
2025-01-01,40.03,0.0,0.0
2025-01-02,37.56,0.0,0.0
2025-01-03,37.25,0.0,0.0
2025-01-04,37.55,0.0,0.0
2025-01-05,37.54,0.0,0.0
2025-01-06,37.19,0.0,0.0
2025-01-07,36.61,0.0,0.0
2025-01-08,36.8,0.0,0.0
2025-01-09,37.0,0.0,0.0
2025-01-10,38.42,0.0,0.0
2025-01-11,37.85,0.0,0.0
2025-01-12,38.1,0.0,0.0
2025-01-13,36.04,0.0,0.0
2025-01-14,37.16,0.0,0.0
2025-01-15,36.68,0.0,0.0
2025-01-16,36.86,0.0,0.0
2025-01-17,37.61,0.0,0.0
2025-01-18,36.84,0.0,0.0
2025-01-19,36.99,0.0,0.0
2025-01-20,36.28,0.0,0.0
2025-01-21,35.69,0.0,0.0
2025-01-22,36.28,0.0,0.0
2025-01-23,36.12,0.0,0.0
2025-01-24,36.92,0.0,0.0
2025-01-25,36.92,0.0,0.0
2025-01-26,38.06,0.0,0.0
2025-01-27,37.9,0.0,0.0
2025-01-28,37.05,0.0,0.0
2025-01-29,36.99,0.0,0.0
2025-01-30,36.12,0.0,0.0
2025-01-31,36.68,0.0,0.0
2025-02-01,36.62,0.0,0.0
2025-02-02,36.77,0.0,0.0
2025-02-03,35.89,0.0,0.0
2025-02-04,36.13,0.0,0.0
2025-02-05,36.4,0.0,0.0
2025-02-06,36.57,0.0,0.0
2025-02-07,37.47,0.0,0.0
2025-02-08,37.84,0.0,0.0
2025-02-09,37.3,0.0,0.0
2025-02-10,36.82,0.0,0.0
2025-02-11,37.45,0.0,0.0
2025-02-12,37.74,0.0,0.0
2025-02-13,37.63,0.0,0.0
2025-02-14,38.57,0.0,0.0
2025-02-15,38.39,0.0,0.0
2025-02-16,38.23,0.0,0.0
2025-02-17,37.85,0.0,0.0
2025-02-18,37.43,0.0,0.0
2025-02-19,37.69,0.0,0.0
2025-02-20,37.77,0.0,0.0
2025-02-21,40.29,0.0,0.0
2025-02-22,40.5,0.0,0.0
2025-02-23,39.42,0.0,0.0
2025-02-24,39.06,0.0,0.0
2025-02-25,39.44,0.0,0.0
2025-02-26,39.8,0.0,0.0
2025-02-27,40.17,0.0,0.0
2025-02-28,38.81,0.0,0.0
2025-03-01,35.25,0.0,0.0
2025-03-02,37.58,0.0,0.0
2025-03-03,38.01,0.0,0.0
2025-03-04,37.12,0.0,0.0
2025-03-05,38.38,0.0,0.0
2025-03-06,39.54,0.0,0.0
2025-03-07,39.45,0.0,0.0
2025-03-08,40.47,0.0,0.0
2025-03-09,39.06,0.0,0.0
2025-03-10,39.21,0.0,0.0
2025-03-11,39.57,0.0,0.0
2025-03-12,40.14,0.0,0.0
2025-03-13,40.04,0.0,0.0
2025-03-14,40.17,0.0,0.0
2025-03-15,40.61,0.0,0.0
2025-03-16,40.58,0.0,0.0
2025-03-17,40.46,0.0,0.0
2025-03-18,40.21,0.0,0.0
2025-03-19,41.47,0.0,0.0
2025-03-20,41.75,0.0,0.0
2025-03-21,40.15,0.0,0.0
2025-03-22,41.5,0.0,0.0
2025-03-23,40.6,0.0,0.0
2025-03-24,40.75,0.0,0.0
2025-03-25,38.77,0.0,0.0
2025-03-26,40.08,0.0,0.0
2025-03-27,39.65,0.0,0.0
2025-03-28,41.46,0.0,0.0
2025-03-29,40.0,0.0,0.0
2025-03-30,40.29,0.0,0.0
2025-03-31,38.24,0.0,0.0
2025-04-01,38.24,0.0,0.0
2025-04-02,41.37,0.0,0.0
2025-04-03,42.51482956,0.0,0.0
2025-04-04,42.91483352,0.0,0.0
2025-04-05,42.02315922,0.0,0.0
2025-04-06,40.36006185,0.0,0.0
2025-04-07,40.76064534,0.0,0.0
2025-04-08,40.67427018,0.0,0.0
2025-04-09,41.7511764,0.0,0.0
2025-04-10,41.15574632,0.0,0.0
2025-04-11,42.28275389,0.0,0.0
2025-04-12,40.86437393,0.0,0.0
2025-04-13,41.22672918,0.0,0.0
2025-04-14,40.4456469,0.0,0.0
2025-04-15,39.6529253,0.0,0.0
2025-04-16,40.18853002,0.0,0.0
2025-04-17,40.15403613,0.0,0.0
2025-04-18,41.19520693,0.0,0.0
2025-04-19,40.78313766,0.0,0.0
2025-04-20,39.79200047,0.0,0.0
2025-04-21,40.44041222,0.0,0.0
2025-04-22,40.35430771,0.0,0.0
2025-04-23,40.99951073,0.0,0.0
2025-04-24,40.91926657,0.0,0.0
2025-04-25,41.06992612,0.0,0.0
