Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,52.27128036,0.0,0.0
2024-10-02,51.33568455,0.0,0.0
2024-10-03,50.74953987,0.0,0.0
2024-10-04,50.87144096,0.0,0.0
2024-10-05,50.87790963,0.0,0.0
2024-10-06,51.95100069,0.0,0.0
2024-10-07,50.2996857,0.0,0.0
2024-10-08,50.71847793,0.0,0.0
2024-10-09,51.49265127,0.0,0.0
2024-10-10,53.30675729,0.0,0.0
2024-10-11,52.27339035,0.0,0.0
2024-10-12,49.62469038,0.0,0.0
2024-10-13,49.5082924,0.0,0.0
2024-10-14,49.86215262,0.0,0.0
2024-10-15,51.64941283,0.0,0.0
2024-10-16,50.89556153,0.0,0.0
2024-10-17,51.67804344,0.0,0.0
2024-10-18,51.44544384,0.0,0.0
2024-10-19,50.28087324,0.0,0.0
2024-10-20,51.28512263,0.0,0.0
2024-10-21,50.84204754,0.0,0.0
2024-10-22,52.08614856,0.0,0.0
2024-10-23,53.03444616,0.0,0.0
2024-10-24,54.72543998,0.0,0.0
2024-10-25,53.44213134,0.0,0.0
2024-10-26,51.78311014,0.0,0.0
2024-10-27,54.61870678,0.0,0.0
2024-10-28,51.07746711,0.0,0.0
2024-10-29,51.95737398,0.0,0.0
2024-10-30,53.34082569,0.0,0.0
2024-11-01,22.60689639,0.0,0.0
2024-11-02,49.34545608,0.0,0.0
2024-11-03,48.91342862,0.0,0.0
2024-11-04,49.91020631,0.0,0.0
2024-11-05,50.53568294,0.0,0.0
2024-11-06,51.4557193,0.0,0.0
2024-11-07,51.45024147,0.0,0.0
2024-11-08,50.11765048,0.0,0.0
2024-11-09,50.4053921,0.0,0.0
2024-11-10,50.26424467,0.0,0.0
2024-11-11,51.26056467,0.0,0.0
2024-11-12,51.68480961,0.0,0.0
2024-11-13,52.00325089,0.0,0.0
2024-11-14,53.97411988,0.0,0.0
2024-11-15,51.46547429,0.0,0.0
2024-11-16,50.08244553,0.0,0.0
2024-11-17,50.0313522,0.0,0.0
2024-11-18,49.87777816,0.0,0.0
2024-11-19,53.04717385,0.0,0.0
2024-11-20,51.0312589,0.0,0.0
2024-11-21,50.72696697,0.0,0.0
2024-11-22,50.24113636,0.0,0.0
2024-11-23,49.56967069,0.0,0.0
2024-11-24,48.99123718,0.0,0.0
2024-11-25,49.32720538,0.0,0.0
2024-11-26,47.60105152,0.0,0.0
2024-11-27,46.94747931,0.0,0.0
2024-11-28,47.0249485,0.0,0.0
2024-11-29,49.0322763,0.0,0.0
2024-11-30,51.20352055,0.0,0.0
2024-12-01,49.83645293,0.0,0.0
2024-12-02,47.56169497,0.0,0.0
2024-12-03,43.92500692,0.0,0.0
2024-12-04,50.73394627,0.0,0.0
2024-12-05,52.34835155,0.0,0.0
2024-12-06,52.78526614,0.0,0.0
2024-12-07,50.73010218,0.0,0.0
2024-12-08,52.39718487,0.0,0.0
2024-12-09,51.38388763,0.0,0.0
2024-12-10,50.12017625,0.0,0.0
2024-12-11,53.16373544,0.0,0.0
2024-12-12,51.50726858,0.0,0.0
2024-12-13,50.689952,0.0,0.0
2024-12-14,50.23611741,0.0,0.0
2024-12-15,51.89186118,0.0,0.0
2024-12-16,52.58894563,0.0,0.0
2024-12-17,50.79804761,0.0,0.0
2024-12-18,52.55525167,0.0,0.0
2024-12-19,51.06891521,0.0,0.0
2024-12-20,50.9564939,0.0,0.0
2024-12-21,51.71607899,0.0,0.0
2024-12-22,51.71607899,0.0,0.0
2024-12-23,49.27134205,0.0,0.0
2024-12-24,49.34234083,0.0,0.0
2024-12-25,49.34234083,0.0,0.0
2024-12-26,50.22195082,0.0,0.0
2024-12-27,50.08705019,0.0,0.0
2024-12-28,47.73376339,0.0,0.0
2024-12-29,48.041049,0.0,0.0
2024-12-30,45.98768387,0.0,0.0
2024-12-31,46.92303943,0.0,0.0
2025-01-01,49.65,0.0,0.0
2025-01-02,46.14,0.0,0.0
2025-01-03,46.39,0.0,0.0
2025-01-04,45.9,0.0,0.0
2025-01-05,46.15,0.0,0.0
2025-01-06,45.08,0.0,0.0
2025-01-07,44.81,0.0,0.0
2025-01-08,44.85,0.0,0.0
2025-01-09,44.96,0.0,0.0
2025-01-10,46.27,0.0,0.0
2025-01-11,46.53,0.0,0.0
2025-01-12,44.13,0.0,0.0
2025-01-13,42.35,0.0,0.0
2025-01-14,42.4,0.0,0.0
2025-01-15,42.31,0.0,0.0
2025-01-16,42.15,0.0,0.0
2025-01-17,41.86,0.0,0.0
2025-01-18,42.07,0.0,0.0
2025-01-19,41.93,0.0,0.0
2025-01-20,41.46,0.0,0.0
2025-01-21,40.59,0.0,0.0
2025-01-22,40.48,0.0,0.0
2025-01-23,40.49,0.0,0.0
2025-01-24,40.24,0.0,0.0
2025-01-25,39.84,0.0,0.0
2025-01-26,39.55,0.0,0.0
2025-01-27,39.19,0.0,0.0
2025-01-28,38.61,0.0,0.0
2025-01-29,39.6,0.0,0.0
2025-01-30,40.24,0.0,0.0
2025-01-31,38.91,0.0,0.0
2025-02-01,39.34,0.0,0.0
2025-02-02,40.04,0.0,0.0
2025-02-03,38.44,0.0,0.0
2025-02-04,38.7,0.0,0.0
2025-02-05,38.63,0.0,0.0
2025-02-06,39.25,0.0,0.0
2025-02-07,39.51,0.0,0.0
2025-02-08,42.01,0.0,0.0
2025-02-09,41.29,0.0,0.0
2025-02-10,42.3,0.0,0.0
2025-02-11,41.72,0.0,0.0
2025-02-12,41.95,0.0,0.0
2025-02-13,41.57,0.0,0.0
2025-02-14,41.11,0.0,0.0
2025-02-15,41.75,0.0,0.0
2025-02-16,42.54,0.0,0.0
2025-02-17,41.18,0.0,0.0
2025-02-18,41.31,0.0,0.0
2025-02-19,41.86,0.0,0.0
2025-02-20,42.26,0.0,0.0
2025-02-21,42.8,0.0,0.0
2025-02-22,43.29,0.0,0.0
2025-02-23,43.63,0.0,0.0
2025-02-24,43.11,0.0,0.0
2025-02-25,43.65,0.0,0.0
2025-02-26,43.26,0.0,0.0
2025-02-27,43.51,0.0,0.0
2025-02-28,41.46,0.0,0.0
2025-03-01,38.85,0.0,0.0
2025-03-02,41.88,0.0,0.0
2025-03-03,43.54,0.0,0.0
2025-03-04,42.61,0.0,0.0
2025-03-05,45.34,0.0,0.0
2025-03-06,46.81,0.0,0.0
2025-03-07,45.48,0.0,0.0
2025-03-08,45.93,0.0,0.0
2025-03-09,45.28,0.0,0.0
2025-03-10,45.53,0.0,0.0
2025-03-11,46.73,0.0,0.0
2025-03-12,49.05,0.0,0.0
2025-03-13,48.88,0.0,0.0
2025-03-14,48.1,0.0,0.0
2025-03-15,47.14,0.0,0.0
