Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,28.46118317,0.0,0.0
2024-10-02,28.20090291,0.0,0.0
2024-10-03,28.21242104,0.0,0.0
2024-10-04,28.43746873,0.0,0.0
2024-10-05,30.23626183,0.0,0.0
2024-10-06,31.12749845,0.0,0.0
2024-10-07,27.91365385,0.0,0.0
2024-10-08,27.88898822,0.0,0.0
2024-10-09,27.91748547,0.0,0.0
2024-10-10,29.65400685,0.0,0.0
2024-10-11,29.34119725,0.0,0.0
2024-10-12,29.33520851,0.0,0.0
2024-10-13,30.50444842,0.0,0.0
2024-10-14,27.5629495,0.0,0.0
2024-10-15,28.27950512,0.0,0.0
2024-10-16,27.75144099,0.0,0.0
2024-10-17,28.13511858,0.0,0.0
2024-10-18,28.88743319,0.0,0.0
2024-10-19,29.60474982,0.0,0.0
2024-10-20,31.56251424,0.0,0.0
2024-10-21,28.32326241,0.0,0.0
2024-10-22,27.92714005,0.0,0.0
2024-10-23,28.03870859,0.0,0.0
2024-10-24,29.19414296,0.0,0.0
2024-10-25,30.26125879,0.0,0.0
2024-10-26,29.79545117,0.0,0.0
2024-10-27,31.56067128,0.0,0.0
2024-10-28,28.34958056,0.0,0.0
2024-10-29,28.11715194,0.0,0.0
2024-10-30,28.21437805,0.0,0.0
2024-11-01,13.90273559,0.0,0.0
2024-11-02,29.09309708,0.0,0.0
2024-11-03,29.58154144,0.0,0.0
2024-11-04,27.25147163,0.0,0.0
2024-11-05,27.07153959,0.0,0.0
2024-11-06,27.15442081,0.0,0.0
2024-11-07,27.3929459,0.0,0.0
2024-11-08,28.60689014,0.0,0.0
2024-11-09,29.56289058,0.0,0.0
2024-11-10,30.31525693,0.0,0.0
2024-11-11,28.19168016,0.0,0.0
2024-11-12,28.15757091,0.0,0.0
2024-11-13,27.95684513,0.0,0.0
2024-11-14,27.83317447,0.0,0.0
2024-11-15,28.43935636,0.0,0.0
2024-11-16,28.68657642,0.0,0.0
2024-11-17,29.22053267,0.0,0.0
2024-11-18,26.94946677,0.0,0.0
2024-11-19,27.50473524,0.0,0.0
2024-11-20,27.00247403,0.0,0.0
2024-11-21,27.87979996,0.0,0.0
2024-11-22,28.53751888,0.0,0.0
2024-11-23,30.06263162,0.0,0.0
2024-11-24,30.05607646,0.0,0.0
2024-11-25,27.96876937,0.0,0.0
2024-11-26,28.1245888,0.0,0.0
2024-11-27,30.56479882,0.0,0.0
2024-11-28,28.03250229,0.0,0.0
2024-11-29,27.80179871,0.0,0.0
2024-11-30,28.82479692,0.0,0.0
2024-12-01,29.4389914,0.0,0.0
2024-12-02,26.71837428,0.0,0.0
2024-12-03,26.78423145,0.0,0.0
2024-12-04,27.36521127,0.0,0.0
2024-12-05,27.87113934,0.0,0.0
2024-12-06,28.94694352,0.0,0.0
2024-12-07,29.20063555,0.0,0.0
2024-12-08,30.50429681,0.0,0.0
2024-12-09,27.53944343,0.0,0.0
2024-12-10,28.02924257,0.0,0.0
2024-12-11,28.72672037,0.0,0.0
2024-12-12,29.58294853,0.0,0.0
2024-12-13,28.13215699,0.0,0.0
2024-12-14,29.62459132,0.0,0.0
2024-12-15,32.17268229,0.0,0.0
2024-12-16,27.87414773,0.0,0.0
2024-12-17,27.42445117,0.0,0.0
2024-12-18,27.61579328,0.0,0.0
2024-12-19,27.73063821,0.0,0.0
2024-12-20,28.31191942,0.0,0.0
2024-12-21,29.16530103,0.0,0.0
2024-12-22,29.16530103,0.0,0.0
2024-12-23,27.72129085,0.0,0.0
2024-12-24,27.61206402,0.0,0.0
2024-12-25,27.61206402,0.0,0.0
2024-12-26,28.44347595,0.0,0.0
2024-12-27,28.41934422,0.0,0.0
2024-12-28,28.79675663,0.0,0.0
2024-12-29,30.0582806,0.0,0.0
2024-12-30,28.08880071,0.0,0.0
2024-12-31,29.25768128,0.0,0.0
2025-01-01,29.98,0.0,0.0
2025-01-02,27.08,0.0,0.0
2025-01-03,27.12,0.0,0.0
2025-01-04,27.47,0.0,0.0
2025-01-05,28.28,0.0,0.0
2025-01-06,26.08,0.0,0.0
2025-01-07,26.07,0.0,0.0
2025-01-08,25.73,0.0,0.0
