Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,181.0874089,0.0,0.0
2024-10-02,184.0897841,0.0,0.0
2024-10-03,158.8508142,0.0,0.0
2024-10-04,153.9354184,0.0,0.0
2024-10-05,186.5956906,0.0,0.0
2024-10-06,185.7343321,0.0,0.0
2024-10-07,178.1873144,0.0,0.0
2024-10-08,178.9317386,0.0,0.0
2024-10-09,185.4165648,0.0,0.0
2024-10-10,189.4558478,0.0,0.0
2024-10-11,190.441704,0.0,0.0
2024-10-12,190.0318345,0.0,0.0
2024-10-13,186.1706579,0.0,0.0
2024-10-14,180.8572691,0.0,0.0
2024-10-15,170.7055593,0.0,0.0
2024-10-16,166.4243167,0.0,0.0
2024-10-17,177.8877919,0.0,0.0
2024-10-18,184.6207157,0.0,0.0
2024-10-19,185.0412425,0.0,0.0
2024-10-20,186.0991429,0.0,0.0
2024-10-21,179.2163639,0.0,0.0
2024-10-22,182.6263972,0.0,0.0
2024-10-23,197.7958553,0.0,0.0
2024-10-24,200.7092813,0.0,0.0
2024-10-25,191.8707902,0.0,0.0
2024-10-26,188.1370743,0.0,0.0
2024-10-27,190.0509722,0.0,0.0
2024-10-28,178.2870473,0.0,0.0
2024-10-29,181.4936014,0.0,0.0
2024-10-30,183.7270357,0.0,0.0
2024-11-01,85.75873818,0.0,0.0
2024-11-02,183.5330942,0.0,0.0
2024-11-03,184.1348086,0.0,0.0
2024-11-04,175.3041783,0.0,0.0
2024-11-05,174.1648589,0.0,0.0
2024-11-06,177.1220377,0.0,0.0
2024-11-07,179.0833042,0.0,0.0
2024-11-08,182.0238416,0.0,0.0
2024-11-09,184.7447281,0.0,0.0
2024-11-10,183.0131463,0.0,0.0
2024-11-11,181.4026781,0.0,0.0
2024-11-12,178.8964834,0.0,0.0
2024-11-13,181.856225,0.0,0.0
2024-11-14,181.3756006,0.0,0.0
2024-11-15,185.0582125,0.0,0.0
2024-11-16,185.9603584,0.0,0.0
2024-11-17,181.5135402,0.0,0.0
2024-11-18,175.4924672,0.0,0.0
2024-11-19,182.2128841,0.0,0.0
2024-11-20,177.1011826,0.0,0.0
2024-11-21,178.9966916,0.0,0.0
2024-11-22,184.8936766,0.0,0.0
2024-11-23,187.8097664,0.0,0.0
2024-11-24,182.0714773,0.0,0.0
2024-11-25,177.7973955,0.0,0.0
2024-11-26,177.8228199,0.0,0.0
2024-11-27,179.8025132,0.0,0.0
2024-11-28,174.9676656,0.0,0.0
2024-11-29,176.4335762,0.0,0.0
2024-11-30,184.3315218,0.0,0.0
2024-12-01,179.7355973,0.0,0.0
2024-12-02,173.9511821,0.0,0.0
2024-12-03,175.6585516,0.0,0.0
2024-12-04,181.7262173,0.0,0.0
2024-12-05,186.4552567,0.0,0.0
2024-12-06,184.7666351,0.0,0.0
2024-12-07,188.1406985,0.0,0.0
2024-12-08,187.672178,0.0,0.0
