Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,3.228427725,0.0,0.0
2024-10-02,3.15767732,0.0,0.0
2024-10-03,3.206032319,0.0,0.0
2024-10-04,3.24679707,0.0,0.0
2024-10-05,3.265549641,0.0,0.0
2024-10-06,3.439469745,0.0,0.0
2024-10-07,3.137377494,0.0,0.0
2024-10-08,3.152235246,0.0,0.0
2024-10-09,3.235107467,0.0,0.0
2024-10-10,3.446539989,0.0,0.0
2024-10-11,3.640013535,0.0,0.0
2024-10-12,3.550758846,0.0,0.0
2024-10-13,3.579051971,0.0,0.0
2024-10-14,3.390646828,0.0,0.0
2024-10-15,3.439487601,0.0,0.0
2024-10-16,3.159875404,0.0,0.0
2024-10-17,3.342339205,0.0,0.0
2024-10-18,3.422168352,0.0,0.0
2024-10-19,3.326371302,0.0,0.0
2024-10-20,3.33661078,0.0,0.0
2024-10-21,3.289391727,0.0,0.0
2024-10-22,3.328668285,0.0,0.0
2024-10-23,3.390501217,0.0,0.0
2024-10-24,3.35743105,0.0,0.0
2024-10-25,3.47136651,0.0,0.0
2024-10-26,3.557313042,0.0,0.0
2024-10-27,3.759957116,0.0,0.0
2024-10-28,3.327722691,0.0,0.0
2024-10-29,3.362474811,0.0,0.0
2024-10-30,3.228627615,0.0,0.0
2024-11-01,1.705561688,0.0,0.0
2024-11-02,2.893851365,0.0,0.0
2024-11-03,3.272219455,0.0,0.0
2024-11-04,3.465536524,0.0,0.0
2024-11-05,3.409425746,0.0,0.0
2024-11-06,3.499829951,0.0,0.0
2024-11-07,3.656463691,0.0,0.0
2024-11-08,3.792792382,0.0,0.0
2024-11-09,3.418677801,0.0,0.0
2024-11-10,3.895902216,0.0,0.0
2024-11-11,3.46059375,0.0,0.0
2024-11-12,3.612430677,0.0,0.0
2024-11-13,3.549008907,0.0,0.0
2024-11-14,3.618154962,0.0,0.0
2024-11-15,3.710632677,0.0,0.0
2024-11-16,3.641576569,0.0,0.0
2024-11-17,3.539424784,0.0,0.0
2024-11-18,3.334177933,0.0,0.0
2024-11-19,3.641438253,0.0,0.0
2024-11-20,3.490814904,0.0,0.0
2024-11-21,3.592403652,0.0,0.0
2024-11-22,3.562697014,0.0,0.0
2024-11-23,3.830492657,0.0,0.0
2024-11-24,3.958704687,0.0,0.0
2024-11-25,3.556229631,0.0,0.0
2024-11-26,3.610449661,0.0,0.0
2024-11-27,3.751016495,0.0,0.0
2024-11-28,3.739190373,0.0,0.0
2024-11-29,3.799036928,0.0,0.0
2024-11-30,3.978180394,0.0,0.0
2024-12-01,3.565957404,0.0,0.0
2024-12-02,3.360258024,0.0,0.0
2024-12-03,3.316910738,0.0,0.0
2024-12-04,3.67072462,0.0,0.0
2024-12-05,3.47012129,0.0,0.0
2024-12-06,3.89912975,0.0,0.0
2024-12-07,3.386870099,0.0,0.0
2024-12-08,3.907494474,0.0,0.0
2024-12-09,3.750329995,0.0,0.0
2024-12-10,3.5863847,0.0,0.0
2024-12-11,3.714180984,0.0,0.0
2024-12-12,3.593613304,0.0,0.0
2024-12-13,3.840655739,0.0,0.0
2024-12-14,3.306303701,0.0,0.0
2024-12-15,3.430248892,0.0,0.0
2024-12-16,3.465956353,0.0,0.0
2024-12-17,3.733777444,0.0,0.0
2024-12-18,3.638024482,0.0,0.0
2024-12-19,3.704949124,0.0,0.0
2024-12-20,3.945988506,0.0,0.0
2024-12-21,3.990940808,0.0,0.0
2024-12-22,3.990940808,0.0,0.0
2024-12-23,3.754094574,0.0,0.0
2024-12-24,3.128301738,0.0,0.0
2024-12-25,3.128301738,0.0,0.0
2024-12-26,3.951367194,0.0,0.0
2024-12-27,4.030178514,0.0,0.0
2024-12-28,4.006936633,0.0,0.0
2024-12-29,3.905666862,0.0,0.0
2024-12-30,3.75687368,0.0,0.0
2024-12-31,3.737628127,0.0,0.0
2025-01-01,4.17,0.0,0.0
2025-01-02,3.91,0.0,0.0
2025-01-03,3.98,0.0,0.0
2025-01-04,3.88,0.0,0.0
2025-01-05,3.73,0.0,0.0
2025-01-06,3.58,0.0,0.0
2025-01-07,3.1,0.0,0.0
2025-01-08,3.69,0.0,0.0
2025-01-09,3.52,0.0,0.0
2025-01-10,3.83,0.0,0.0
2025-01-11,3.59,0.0,0.0
2025-01-12,3.66,0.0,0.0
2025-01-13,3.53,0.0,0.0
2025-01-14,3.27,0.0,0.0
2025-01-15,3.4,0.0,0.0
2025-01-16,3.5,0.0,0.0
2025-01-17,2.61,0.0,0.0
2025-01-18,3.61,0.0,0.0
2025-01-19,3.7,0.0,0.0
2025-01-20,3.4,0.0,0.0
2025-01-21,3.4,0.0,0.0
2025-01-22,3.46,0.0,0.0
2025-01-23,3.18,0.0,0.0
2025-01-24,3.39,0.0,0.0
2025-01-25,3.54,0.0,0.0
2025-01-26,2.76,0.0,0.0
2025-01-27,3.3,0.0,0.0
2025-01-28,3.53,0.0,0.0
2025-01-29,3.36,0.0,0.0
2025-01-30,3.32,0.0,0.0
2025-01-31,3.44,0.0,0.0
2025-02-01,2.88,0.0,0.0
2025-02-02,3.35,0.0,0.0
2025-02-03,3.22,0.0,0.0
2025-02-04,3.3,0.0,0.0
2025-02-05,3.26,0.0,0.0
2025-02-06,3.28,0.0,0.0
2025-02-07,2.94,0.0,0.0
2025-02-08,2.72,0.0,0.0
2025-02-09,3.02,0.0,0.0
2025-02-10,2.47,0.0,0.0
2025-02-11,3.14,0.0,0.0
2025-02-12,3.26,0.0,0.0
2025-02-13,2.79,0.0,0.0
2025-02-14,3.27,0.0,0.0
2025-02-15,2.94,0.0,0.0
2025-02-16,3.48,0.0,0.0
2025-02-17,3.25,0.0,0.0
2025-02-18,3.32,0.0,0.0
2025-02-19,3.17,0.0,0.0
2025-02-20,3.24,0.0,0.0
2025-02-21,3.26,0.0,0.0
2025-02-22,3.49,0.0,0.0
