Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,36.13727486,0.0,0.0
2024-10-02,35.94472222,0.0,0.0
2024-10-03,36.78147633,0.0,0.0
2024-10-04,36.93067158,0.0,0.0
2024-10-05,38.3271213,0.0,0.0
2024-10-06,40.41534219,0.0,0.0
2024-10-07,34.85718474,0.0,0.0
2024-10-08,35.07292963,0.0,0.0
2024-10-09,35.44680689,0.0,0.0
2024-10-10,37.1359713,0.0,0.0
2024-10-11,38.07529888,0.0,0.0
2024-10-12,36.56012019,0.0,0.0
2024-10-13,39.08541917,0.0,0.0
2024-10-14,35.07665274,0.0,0.0
2024-10-15,35.17494174,0.0,0.0
2024-10-16,35.0657223,0.0,0.0
2024-10-17,35.47354757,0.0,0.0
2024-10-18,36.30978898,0.0,0.0
2024-10-19,36.33569139,0.0,0.0
2024-10-20,39.12893922,0.0,0.0
2024-10-21,34.6415651,0.0,0.0
2024-10-22,35.59453371,0.0,0.0
2024-10-23,36.26007914,0.0,0.0
2024-10-24,37.54455682,0.0,0.0
2024-10-25,38.56428793,0.0,0.0
2024-10-26,37.03205409,0.0,0.0
2024-10-27,42.34683627,0.0,0.0
2024-10-28,35.58256213,0.0,0.0
2024-10-29,35.62095835,0.0,0.0
2024-10-30,36.26241603,0.0,0.0
2024-11-01,17.05898298,0.0,0.0
2024-11-02,36.07275474,0.0,0.0
2024-11-03,39.09270816,0.0,0.0
2024-11-04,34.49086063,0.0,0.0
2024-11-05,33.94638522,0.0,0.0
2024-11-06,34.33048695,0.0,0.0
2024-11-07,35.17259492,0.0,0.0
2024-11-08,36.34855326,0.0,0.0
2024-11-09,36.95805327,0.0,0.0
2024-11-10,39.32181093,0.0,0.0
2024-11-11,35.39878784,0.0,0.0
2024-11-12,34.7629,0.0,0.0
2024-11-13,34.96601758,0.0,0.0
2024-11-14,35.61901258,0.0,0.0
2024-11-15,35.78334608,0.0,0.0
2024-11-16,35.60820559,0.0,0.0
2024-11-17,38.27407805,0.0,0.0
2024-11-18,33.89102695,0.0,0.0
2024-11-19,35.47770763,0.0,0.0
2024-11-20,34.33154749,0.0,0.0
2024-11-21,34.43694939,0.0,0.0
2024-11-22,35.97387284,0.0,0.0
2024-11-23,35.97470653,0.0,0.0
2024-11-24,37.53558489,0.0,0.0
2024-11-25,34.24324681,0.0,0.0
2024-11-26,34.17113314,0.0,0.0
2024-11-27,37.10473683,0.0,0.0
2024-11-28,33.52107847,0.0,0.0
2024-11-29,35.34535568,0.0,0.0
2024-11-30,36.88962481,0.0,0.0
2024-12-01,38.19266547,0.0,0.0
2024-12-02,32.5562572,0.0,0.0
2024-12-03,30.18518951,0.0,0.0
2024-12-04,34.9647851,0.0,0.0
2024-12-05,36.01921449,0.0,0.0
2024-12-06,37.77573588,0.0,0.0
2024-12-07,36.86034116,0.0,0.0
2024-12-08,40.34119455,0.0,0.0
2024-12-09,36.34423351,0.0,0.0
2024-12-10,34.50261115,0.0,0.0
2024-12-11,36.39545417,0.0,0.0
2024-12-12,35.76674333,0.0,0.0
2024-12-13,36.44715626,0.0,0.0
2024-12-14,36.31010001,0.0,0.0
2024-12-15,40.87095331,0.0,0.0
