Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,50.55212187,0.0,0.0
2024-10-02,50.1365244,0.0,0.0
2024-10-03,49.43415643,0.0,0.0
2024-10-04,51.27158778,0.0,0.0
2024-10-05,52.59483971,0.0,0.0
2024-10-06,55.19477978,0.0,0.0
2024-10-07,49.05397666,0.0,0.0
2024-10-08,49.18893138,0.0,0.0
2024-10-09,49.84359199,0.0,0.0
2024-10-10,51.58837361,0.0,0.0
2024-10-11,54.12303887,0.0,0.0
2024-10-12,53.50024983,0.0,0.0
2024-10-13,55.77370301,0.0,0.0
2024-10-14,50.44886434,0.0,0.0
2024-10-15,52.57395128,0.0,0.0
2024-10-16,50.3374449,0.0,0.0
2024-10-17,50.68252106,0.0,0.0
2024-10-18,53.15178343,0.0,0.0
2024-10-19,54.03152601,0.0,0.0
2024-10-20,56.4597999,0.0,0.0
2024-10-21,50.52824877,0.0,0.0
2024-10-22,50.6773411,0.0,0.0
2024-10-23,50.90603634,0.0,0.0
2024-10-24,53.11153359,0.0,0.0
2024-10-25,55.61081428,0.0,0.0
2024-10-26,54.39503185,0.0,0.0
2024-10-27,59.36660573,0.0,0.0
2024-10-28,51.09322123,0.0,0.0
2024-10-29,50.53881253,0.0,0.0
2024-10-30,51.32890312,0.0,0.0
2024-11-01,24.36688724,0.0,0.0
2024-11-02,51.40363436,0.0,0.0
2024-11-03,54.75113154,0.0,0.0
2024-11-04,48.42802857,0.0,0.0
2024-11-05,48.4925189,0.0,0.0
2024-11-06,49.44692986,0.0,0.0
2024-11-07,49.09981789,0.0,0.0
2024-11-08,51.70608049,0.0,0.0
2024-11-09,53.02835441,0.0,0.0
2024-11-10,55.15242521,0.0,0.0
2024-11-11,49.88132298,0.0,0.0
2024-11-12,49.54669884,0.0,0.0
2024-11-13,49.1173864,0.0,0.0
2024-11-14,50.01361129,0.0,0.0
2024-11-15,51.76325086,0.0,0.0
2024-11-16,52.14798782,0.0,0.0
2024-11-17,53.69727703,0.0,0.0
2024-11-18,48.0870152,0.0,0.0
2024-11-19,50.27707666,0.0,0.0
2024-11-20,48.53244623,0.0,0.0
2024-11-21,49.65738703,0.0,0.0
2024-11-22,50.85413474,0.0,0.0
2024-11-23,51.83163571,0.0,0.0
2024-11-24,53.21036919,0.0,0.0
2024-11-25,51.07497001,0.0,0.0
2024-11-26,52.03188587,0.0,0.0
2024-11-27,55.18061511,0.0,0.0
2024-11-28,49.22137099,0.0,0.0
2024-11-29,50.55644269,0.0,0.0
2024-11-30,53.0624441,0.0,0.0
2024-12-01,53.97940662,0.0,0.0
2024-12-02,47.83990346,0.0,0.0
2024-12-03,44.1518236,0.0,0.0
2024-12-04,50.4067359,0.0,0.0
2024-12-05,50.91772014,0.0,0.0
2024-12-06,53.53033753,0.0,0.0
2024-12-07,52.16346531,0.0,0.0
2024-12-08,56.38226486,0.0,0.0
2024-12-09,52.43088713,0.0,0.0
2024-12-10,49.53278139,0.0,0.0
2024-12-11,51.87958908,0.0,0.0
2024-12-12,51.00259143,0.0,0.0
2024-12-13,51.67922564,0.0,0.0
2024-12-14,53.07719828,0.0,0.0
2024-12-15,58.37946754,0.0,0.0
2024-12-16,53.29669218,0.0,0.0
2024-12-17,51.3600082,0.0,0.0
2024-12-18,54.11855052,0.0,0.0
2024-12-19,51.58150982,0.0,0.0
2024-12-20,53.27361381,0.0,0.0
2024-12-21,56.22105327,0.0,0.0
2024-12-22,56.22105327,0.0,0.0
2024-12-23,53.69725998,0.0,0.0
2024-12-24,53.93694847,0.0,0.0
2024-12-25,53.93694847,0.0,0.0
2024-12-26,58.4665759,0.0,0.0
2024-12-27,55.68773962,0.0,0.0
2024-12-28,55.62889416,0.0,0.0
2024-12-29,55.84698948,0.0,0.0
2024-12-30,52.32045718,0.0,0.0
2024-12-31,55.84232825,0.0,0.0
2025-01-01,59.36,0.0,0.0
2025-01-02,53.82,0.0,0.0
2025-01-03,54.31,0.0,0.0
2025-01-04,52.3,0.0,0.0
2025-01-05,52.76,0.0,0.0
2025-01-06,48.43,0.0,0.0
2025-01-07,46.84,0.0,0.0
2025-01-08,47.71,0.0,0.0
2025-01-09,47.97,0.0,0.0
2025-01-10,50.11,0.0,0.0
2025-01-11,50.69,0.0,0.0
2025-01-12,50.02,0.0,0.0
2025-01-13,46.21,0.0,0.0
2025-01-14,46.21,0.0,0.0
2025-01-15,45.3,0.0,0.0
2025-01-16,44.87,0.0,0.0
2025-01-17,45.97,0.0,0.0
2025-01-18,46.84,0.0,0.0
2025-01-19,47.73,0.0,0.0
2025-01-20,44.96,0.0,0.0
2025-01-21,43.21,0.0,0.0
2025-01-22,43.42,0.0,0.0
2025-01-23,45.03,0.0,0.0
2025-01-24,44.77,0.0,0.0
2025-01-25,45.11,0.0,0.0
2025-01-26,47.06,0.0,0.0
2025-01-27,46.53,0.0,0.0
2025-01-28,45.62,0.0,0.0
2025-01-29,46.6,0.0,0.0
2025-01-30,44.82,0.0,0.0
2025-01-31,43.5,0.0,0.0
2025-02-01,44.14,0.0,0.0
2025-02-02,45.73,0.0,0.0
2025-02-03,41.68,0.0,0.0
2025-02-04,42.01,0.0,0.0
2025-02-05,41.38,0.0,0.0
2025-02-06,42.54,0.0,0.0
2025-02-07,43.73,0.0,0.0
2025-02-08,47.86,0.0,0.0
2025-02-09,46.29,0.0,0.0
2025-02-10,47.38,0.0,0.0
2025-02-11,47.14,0.0,0.0
2025-02-12,44.11,0.0,0.0
2025-02-13,42.03,0.0,0.0
2025-02-14,43.71,0.0,0.0
2025-02-15,43.35,0.0,0.0
2025-02-16,45.36,0.0,0.0
2025-02-17,41.39,0.0,0.0
2025-02-18,43.74,0.0,0.0
2025-02-19,44.24,0.0,0.0
2025-02-20,43.81,0.0,0.0
2025-02-21,44.98,0.0,0.0
2025-02-22,47.84,0.0,0.0
2025-02-23,47.88,0.0,0.0
2025-02-24,43.71,0.0,0.0
2025-02-25,44.89,0.0,0.0
2025-02-26,45.42,0.0,0.0
2025-02-27,46.88,0.0,0.0
2025-02-28,47.83,0.0,0.0
2025-03-01,50.68,0.0,0.0
2025-03-02,54.41,0.0,0.0
2025-03-03,50.86,0.0,0.0
2025-03-04,48.84,0.0,0.0
2025-03-05,51.09,0.0,0.0
2025-03-06,50.58,0.0,0.0
2025-03-07,52.28,0.0,0.0
2025-03-08,55.89,0.0,0.0
2025-03-09,55.88,0.0,0.0
2025-03-10,51.41,0.0,0.0
2025-03-11,51.49,0.0,0.0
2025-03-12,53.05,0.0,0.0
2025-03-13,54.88,0.0,0.0
2025-03-14,55.95,0.0,0.0
2025-03-15,56.4,0.0,0.0
2025-03-16,58.63,0.0,0.0
2025-03-17,54.36,0.0,0.0
2025-03-18,53.88,0.0,0.0
2025-03-19,59.3,0.0,0.0
2025-03-20,56.88,0.0,0.0
2025-03-21,57.98,0.0,0.0
2025-03-22,60.54,0.0,0.0
2025-03-23,61.4,0.0,0.0
2025-03-24,59.85,0.0,0.0
2025-03-25,56.87,0.0,0.0
2025-03-26,59.28,0.0,0.0
2025-03-27,63.56,0.0,0.0
2025-03-28,64.3,0.0,0.0
2025-03-29,67.61,0.0,0.0
2025-03-30,67.05,0.0,0.0
2025-03-31,70.0,0.0,0.0
2025-04-01,66.74,0.0,0.0
2025-04-02,66.2,0.0,0.0
2025-04-03,65.46943538,0.0,0.0
2025-04-04,65.10135493,0.0,0.0
2025-04-05,62.47712419,0.0,0.0
2025-04-06,63.07133683,0.0,0.0
2025-04-07,62.25979315,0.0,0.0
2025-04-08,59.5228318,0.0,0.0
2025-04-09,57.51159352,0.0,0.0
2025-04-10,57.64807939,0.0,0.0
2025-04-11,56.62924871,0.0,0.0
2025-04-12,57.5287922,0.0,0.0
2025-04-13,58.23307384,0.0,0.0
2025-04-14,52.50169533,0.0,0.0
2025-04-15,51.03679625,0.0,0.0
2025-04-16,50.78518306,0.0,0.0
2025-04-17,52.08731796,0.0,0.0
2025-04-18,55.89864243,0.0,0.0
2025-04-19,53.92238891,0.0,0.0
2025-04-20,54.81057183,0.0,0.0
2025-04-21,49.36962379,0.0,0.0
2025-04-22,48.81580969,0.0,0.0
2025-04-23,50.16262458,0.0,0.0
2025-04-24,51.0451476,0.0,0.0
2025-04-25,51.74020022,0.0,0.0
2025-04-26,52.7530757,0.0,0.0
2025-04-27,55.8948837,0.0,0.0
2025-04-28,50.20466396,0.0,0.0
2025-04-29,50.45383488,0.0,0.0
2025-04-30,52.01460388,0.0,0.0
2025-05-01,54.3579803,0.0,0.0
2025-05-02,53.66107345,0.0,0.0
2025-05-03,55.514965,0.0,0.0
2025-05-04,57.61965379,0.0,0.0
2025-05-05,52.51210501,0.0,0.0
2025-05-06,52.8959896,0.0,0.0
2025-05-07,54.01284093,0.0,0.0
2025-05-08,55.04410728,0.0,0.0
2025-05-09,57.95669265,0.0,0.0
2025-05-10,59.28080318,0.0,0.0
2025-05-11,65.18993977,0.0,0.0
2025-05-12,61.26773872,0.0,0.0
2025-05-13,59.67030931,0.0,0.0
2025-05-14,57.23152559,0.0,0.0
2025-05-15,56.69722408,0.0,0.0
