Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,37.26505331,0.0,0.0
2024-10-02,36.59156824,0.0,0.0
2024-10-03,36.66665449,0.0,0.0
2024-10-04,37.8957484,0.0,0.0
2024-10-05,40.06448077,0.0,0.0
2024-10-06,41.24976193,0.0,0.0
2024-10-07,36.70361845,0.0,0.0
2024-10-08,36.4284658,0.0,0.0
2024-10-09,36.78404759,0.0,0.0
2024-10-10,38.8931059,0.0,0.0
2024-10-11,40.32725963,0.0,0.0
2024-10-12,39.60705403,0.0,0.0
2024-10-13,40.8786599,0.0,0.0
2024-10-14,37.41136544,0.0,0.0
2024-10-15,39.15513461,0.0,0.0
2024-10-16,37.33307928,0.0,0.0
2024-10-17,37.89085924,0.0,0.0
2024-10-18,39.85408767,0.0,0.0
2024-10-19,40.83266324,0.0,0.0
2024-10-20,42.4349314,0.0,0.0
2024-10-21,38.67495136,0.0,0.0
2024-10-22,39.03510234,0.0,0.0
2024-10-23,39.58076974,0.0,0.0
2024-10-24,41.16909589,0.0,0.0
2024-10-25,42.29261846,0.0,0.0
2024-10-26,41.25735996,0.0,0.0
2024-10-27,45.25839533,0.0,0.0
2024-10-28,38.84394784,0.0,0.0
2024-10-29,39.3664348,0.0,0.0
2024-10-30,40.52522204,0.0,0.0
2024-11-01,18.6553874,0.0,0.0
2024-11-02,39.81340057,0.0,0.0
2024-11-03,40.68383241,0.0,0.0
2024-11-04,36.61098718,0.0,0.0
2024-11-05,36.39760555,0.0,0.0
2024-11-06,37.03747634,0.0,0.0
2024-11-07,37.25332376,0.0,0.0
2024-11-08,39.08190074,0.0,0.0
2024-11-09,40.20022646,0.0,0.0
2024-11-10,41.79986199,0.0,0.0
2024-11-11,37.22446356,0.0,0.0
2024-11-12,36.93698965,0.0,0.0
2024-11-13,37.19510138,0.0,0.0
2024-11-14,37.46122116,0.0,0.0
2024-11-15,39.07978557,0.0,0.0
2024-11-16,38.8534161,0.0,0.0
2024-11-17,40.21902074,0.0,0.0
2024-11-18,35.96713196,0.0,0.0
2024-11-19,38.11406056,0.0,0.0
2024-11-20,36.20274485,0.0,0.0
2024-11-21,36.99919261,0.0,0.0
2024-11-22,36.87798486,0.0,0.0
2024-11-23,37.99021809,0.0,0.0
2024-11-24,39.51456341,0.0,0.0
2024-11-25,38.08434809,0.0,0.0
2024-11-26,38.84972971,0.0,0.0
2024-11-27,41.18311845,0.0,0.0
2024-11-28,37.57296155,0.0,0.0
2024-11-29,38.50733398,0.0,0.0
2024-11-30,40.35457959,0.0,0.0
2024-12-01,40.67242703,0.0,0.0
2024-12-02,37.00812769,0.0,0.0
2024-12-03,33.92711004,0.0,0.0
2024-12-04,38.87941634,0.0,0.0
2024-12-05,41.26112846,0.0,0.0
2024-12-06,41.14424482,0.0,0.0
2024-12-07,41.09350598,0.0,0.0
2024-12-08,43.55405304,0.0,0.0
2024-12-09,40.94115508,0.0,0.0
2024-12-10,37.71099894,0.0,0.0
2024-12-11,41.41040765,0.0,0.0
2024-12-12,38.9371307,0.0,0.0
2024-12-13,39.20145869,0.0,0.0
2024-12-14,41.05915381,0.0,0.0
2024-12-15,44.1418243,0.0,0.0
2024-12-16,40.80314245,0.0,0.0
2024-12-17,39.14731143,0.0,0.0
2024-12-18,40.29871003,0.0,0.0
2024-12-19,39.55312101,0.0,0.0
2024-12-20,40.79522033,0.0,0.0
2024-12-21,42.92400525,0.0,0.0
2024-12-22,42.92400525,0.0,0.0
2024-12-23,41.05655304,0.0,0.0
2024-12-24,41.74102653,0.0,0.0
2024-12-25,41.74102653,0.0,0.0
2024-12-26,44.46449726,0.0,0.0
2024-12-27,42.5631474,0.0,0.0
2024-12-28,42.15066106,0.0,0.0
2024-12-29,42.67716306,0.0,0.0
2024-12-30,39.51973926,0.0,0.0
2024-12-31,42.36303719,0.0,0.0
2025-01-01,43.72,0.0,0.0
2025-01-02,39.12,0.0,0.0
2025-01-03,39.72,0.0,0.0
2025-01-04,38.95,0.0,0.0
2025-01-05,39.01,0.0,0.0
2025-01-06,36.63,0.0,0.0
2025-01-07,35.87,0.0,0.0
2025-01-08,35.37,0.0,0.0
2025-01-09,36.29,0.0,0.0
2025-01-10,37.78,0.0,0.0
2025-01-11,37.54,0.0,0.0
2025-01-12,37.42,0.0,0.0
2025-01-13,34.86,0.0,0.0
2025-01-14,34.17,0.0,0.0
2025-01-15,34.39,0.0,0.0
2025-01-16,33.47,0.0,0.0
2025-01-17,34.73,0.0,0.0
2025-01-18,36.01,0.0,0.0
2025-01-19,36.14,0.0,0.0
2025-01-20,33.54,0.0,0.0
2025-01-21,32.67,0.0,0.0
2025-01-22,32.48,0.0,0.0
2025-01-23,33.73,0.0,0.0
2025-01-24,33.87,0.0,0.0
2025-01-25,34.14,0.0,0.0
2025-01-26,35.73,0.0,0.0
2025-01-27,35.73,0.0,0.0
2025-01-28,34.86,0.0,0.0
2025-01-29,34.59,0.0,0.0
2025-01-30,32.5,0.0,0.0
2025-01-31,32.04,0.0,0.0
2025-02-01,32.99,0.0,0.0
2025-02-02,34.39,0.0,0.0
2025-02-03,30.63,0.0,0.0
2025-02-04,30.94,0.0,0.0
2025-02-05,31.12,0.0,0.0
2025-02-06,32.57,0.0,0.0
2025-02-07,32.01,0.0,0.0
2025-02-08,35.14,0.0,0.0
2025-02-09,34.66,0.0,0.0
2025-02-10,35.57,0.0,0.0
2025-02-11,33.74,0.0,0.0
2025-02-12,32.8,0.0,0.0
2025-02-13,32.14,0.0,0.0
2025-02-14,32.95,0.0,0.0
2025-02-15,32.97,0.0,0.0
2025-02-16,34.46,0.0,0.0
2025-02-17,31.17,0.0,0.0
2025-02-18,31.77,0.0,0.0
2025-02-19,31.86,0.0,0.0
2025-02-20,32.48,0.0,0.0
2025-02-21,33.53,0.0,0.0
2025-02-22,34.63,0.0,0.0
2025-02-23,34.18,0.0,0.0
2025-02-24,31.81,0.0,0.0
2025-02-25,31.8,0.0,0.0
2025-02-26,33.0,0.0,0.0
2025-02-27,32.98,0.0,0.0
2025-02-28,33.73,0.0,0.0
2025-03-01,35.17,0.0,0.0
2025-03-02,37.54,0.0,0.0
2025-03-03,34.82,0.0,0.0
2025-03-04,33.73,0.0,0.0
2025-03-05,35.86,0.0,0.0
2025-03-06,35.39,0.0,0.0
2025-03-07,36.67,0.0,0.0
2025-03-08,38.81,0.0,0.0
2025-03-09,40.08,0.0,0.0
2025-03-10,37.53,0.0,0.0
2025-03-11,37.23,0.0,0.0
2025-03-12,39.45,0.0,0.0
2025-03-13,41.22,0.0,0.0
2025-03-14,40.85,0.0,0.0
2025-03-15,41.51,0.0,0.0
2025-03-16,43.3,0.0,0.0
2025-03-17,40.2,0.0,0.0
2025-03-18,39.31,0.0,0.0
2025-03-19,41.76,0.0,0.0
2025-03-20,41.96,0.0,0.0
2025-03-21,41.46,0.0,0.0
2025-03-22,43.67,0.0,0.0
2025-03-23,43.94,0.0,0.0
2025-03-24,42.8,0.0,0.0
2025-03-25,41.48,0.0,0.0
2025-03-26,42.4,0.0,0.0
2025-03-27,45.99,0.0,0.0
2025-03-28,46.52,0.0,0.0
2025-03-29,49.66,0.0,0.0
2025-03-30,51.49,0.0,0.0
2025-03-31,54.28,0.0,0.0
2025-04-01,53.34,0.0,0.0
2025-04-02,53.34,0.0,0.0
2025-04-03,51.1439609,0.0,0.0
2025-04-04,50.25925938,0.0,0.0
2025-04-05,48.88767617,0.0,0.0
2025-04-06,47.64538956,0.0,0.0
2025-04-07,45.56268182,0.0,0.0
2025-04-08,42.89419184,0.0,0.0
2025-04-09,41.44124918,0.0,0.0
2025-04-10,42.36823453,0.0,0.0
2025-04-11,42.01597983,0.0,0.0
2025-04-12,42.36578259,0.0,0.0
2025-04-13,43.91364975,0.0,0.0
2025-04-14,39.85257223,0.0,0.0
2025-04-15,38.52568478,0.0,0.0
2025-04-16,39.37304883,0.0,0.0
2025-04-17,40.64263616,0.0,0.0
2025-04-18,43.7101767,0.0,0.0
2025-04-19,42.76340552,0.0,0.0
2025-04-20,42.0068919,0.0,0.0
2025-04-21,37.93552405,0.0,0.0
2025-04-22,37.64619684,0.0,0.0
2025-04-23,38.35943395,0.0,0.0
2025-04-24,39.36743742,0.0,0.0
2025-04-25,39.687794,0.0,0.0
2025-04-26,41.01743293,0.0,0.0
2025-04-27,42.54248376,0.0,0.0
2025-04-28,37.95000026,0.0,0.0
2025-04-29,37.75096404,0.0,0.0
2025-04-30,39.0748118,0.0,0.0
2025-05-01,41.72453794,0.0,0.0
2025-05-02,41.01935214,0.0,0.0
2025-05-03,42.82868928,0.0,0.0
2025-05-04,44.02123055,0.0,0.0
2025-05-05,39.66881296,0.0,0.0
2025-05-06,39.81479061,0.0,0.0
2025-05-07,41.16788725,0.0,0.0
2025-05-08,42.11800392,0.0,0.0
2025-05-09,42.96373445,0.0,0.0
2025-05-10,46.57924892,0.0,0.0
2025-05-11,49.76068549,0.0,0.0
2025-05-12,46.47633561,0.0,0.0
2025-05-13,44.399481,0.0,0.0
2025-05-14,41.95536042,0.0,0.0
2025-05-15,42.71422255,0.0,0.0
2025-05-16,43.1978759,0.0,0.0
2025-05-17,43.7444483,0.0,0.0
2025-05-18,45.3333858,0.0,0.0
2025-05-19,41.53198705,0.0,0.0
2025-05-20,41.5465868,0.0,0.0
2025-05-21,41.4201895,0.0,0.0
2025-05-22,42.01531208,0.0,0.0
2025-05-23,43.32393233,0.0,0.0
2025-05-24,43.78356097,0.0,0.0
2025-05-25,45.398987,0.0,0.0
2025-05-26,41.18867862,0.0,0.0
2025-05-27,40.48852156,0.0,0.0
2025-05-28,42.13561992,0.0,0.0
2025-05-29,44.74147508,0.0,0.0
2025-05-30,44.67665054,0.0,0.0
2025-05-31,43.72748768,0.0,0.0
2025-06-01,43.7873056,0.0,0.0
2025-06-02,39.96838775,0.0,0.0
2025-06-03,39.40446311,0.0,0.0
2025-06-04,40.48601182,0.0,0.0
2025-06-05,46.3224724,0.0,0.0
2025-06-06,50.59745728,0.0,0.0
2025-06-07,47.65735181,0.0,0.0
2025-06-08,45.85202113,0.0,0.0
2025-06-09,42.4816865,0.0,0.0
2025-06-10,40.50504194,0.0,0.0
2025-06-11,40.03739068,0.0,0.0
2025-06-12,40.74249642,0.0,0.0
2025-06-13,41.36049381,0.0,0.0
2025-06-14,42.75178049,0.0,0.0
2025-06-15,44.03105411,0.0,0.0
2025-06-16,39.31918411,0.0,0.0
2025-06-17,39.3870159,0.0,0.0
2025-06-18,39.79956521,0.0,0.0
2025-06-19,39.96876058,0.0,0.0
2025-06-20,39.83147344,0.0,0.0
2025-06-21,40.923751,0.0,0.0
2025-06-22,41.22708415,0.0,0.0
2025-06-23,39.75441885,0.0,0.0
2025-06-24,40.32130518,0.0,0.0
2025-06-25,40.75692539,0.0,0.0
2025-06-26,41.0761901,0.0,0.0
2025-06-27,43.61572161,0.0,0.0
2025-06-28,43.24783359,0.0,0.0
2025-06-29,43.7839982,0.0,0.0
2025-06-30,40.75910928,0.0,0.0
2025-07-01,41.19248509,0.0,0.0
2025-07-02,41.29318355,0.0,0.0
2025-07-03,42.09872674,0.0,0.0
2025-07-04,43.51130341,0.0,0.0
2025-07-05,42.78366487,0.0,0.0
2025-07-06,45.55411882,0.0,0.0
2025-07-07,42.23526206,0.0,0.0
2025-07-08,42.53148661,0.0,0.0
2025-07-09,42.88743672,0.0,0.0
2025-07-10,43.60650968,0.0,0.0
2025-07-11,43.53265891,0.0,0.0
2025-07-12,44.15130274,0.0,0.0
2025-07-13,44.12973411,0.0,0.0
2025-07-14,41.36449015,0.0,0.0
2025-07-15,42.12785726,0.0,0.0
2025-07-16,41.04874027,0.0,0.0
2025-07-17,41.42927342,0.0,0.0
2025-07-18,42.25147391,0.0,0.0
2025-07-19,43.20192636,0.0,0.0
2025-07-20,44.73637001,0.0,0.0
2025-07-21,41.93064295,0.0,0.0
2025-07-22,41.43103436,0.0,0.0
2025-07-23,42.3717483,0.0,0.0
2025-07-24,42.93582493,0.0,0.0
2025-07-25,45.26163872,0.0,0.0
2025-07-26,45.22249972,0.0,0.0
2025-07-27,46.91837173,0.0,0.0
2025-07-28,43.44507933,0.0,0.0
2025-07-29,44.42971166,0.0,0.0
2025-07-30,44.4201771,0.0,0.0
2025-07-31,44.88887816,0.0,0.0
2025-08-01,44.74353524,0.0,0.0
2025-08-02,46.29587284,0.0,0.0
2025-08-03,47.51023133,0.0,0.0
2025-08-04,43.46531664,0.0,0.0
2025-08-05,44.13300371,0.0,0.0
2025-08-06,45.68495643,0.0,0.0
2025-08-07,45.53478373,0.0,0.0
2025-08-08,47.04446238,0.0,0.0
2025-08-09,47.01080752,0.0,0.0
2025-08-10,49.47443052,0.0,0.0
2025-08-11,45.3840061,0.0,0.0
2025-08-12,45.33069115,0.0,0.0
2025-08-13,46.45660175,0.0,0.0
2025-08-14,47.85094528,0.0,0.0
2025-08-15,47.57421194,0.0,0.0
2025-08-16,49.40352239,0.0,0.0
2025-08-17,52.96163765,0.0,0.0
2025-08-18,50.81590989,0.0,0.0
2025-08-19,46.13569463,0.0,0.0
2025-08-20,46.03349956,0.0,0.0
2025-08-21,46.07245396,0.0,0.0
2025-08-22,47.28536216,0.0,0.0
2025-08-23,49.59003345,0.0,0.0
2025-08-24,50.23331224,0.0,0.0
2025-08-25,45.89910764,0.0,0.0
2025-08-26,47.01081674,0.0,0.0
2025-08-27,45.52839942,0.0,0.0
2025-08-28,44.37384398,0.0,0.0
2025-08-29,48.1726091,0.0,0.0
2025-08-30,51.47207725,0.0,0.0
2025-08-31,50.80236273,0.0,0.0
2025-09-01,46.96972382,0.0,0.0
2025-09-02,46.25271933,0.0,0.0
2025-09-03,47.34915259,0.0,0.0
2025-09-04,47.8859122,0.0,0.0
2025-09-05,53.86541122,0.0,0.0
2025-09-06,53.97291953,0.0,0.0
2025-09-07,54.13785347,0.0,0.0
2025-09-08,49.86354642,0.0,0.0
2025-09-09,56.13373758,0.0,0.0
2025-09-10,49.03996269,0.0,0.0
2025-09-11,49.13073547,0.0,0.0
2025-09-12,51.58078527,0.0,0.0
2025-09-13,54.37928936,0.0,0.0
2025-09-14,56.94129637,0.0,0.0
2025-09-15,50.35451515,0.0,0.0
2025-09-16,50.7796384,0.0,0.0
2025-09-17,51.21333435,0.0,0.0
2025-09-18,51.61957045,0.0,0.0
2025-09-19,53.19174041,0.0,0.0
2025-09-20,54.29648348,0.0,0.0
2025-09-21,65.88761335,0.0,0.0
2025-09-22,49.11680825,0.0,0.0
2025-09-23,49.25390627,0.0,0.0
2025-09-24,50.378066,0.0,0.0
2025-09-25,50.17042305,0.0,0.0
2025-09-26,52.29978258,0.0,0.0
2025-09-27,56.06261964,0.0,0.0
2025-09-28,56.55157663,0.0,0.0
2025-09-29,51.48004384,0.0,0.0
2025-09-30,51.3209939,0.0,0.0
2025-10-01,50.75999438,0.0,0.0
2025-10-02,52.69388673,0.0,0.0
2025-10-03,53.62311694,0.0,0.0
2025-10-04,55.65197795,0.0,0.0
2025-10-05,58.76560879,0.0,0.0
2025-10-06,51.2957421,0.0,0.0
2025-10-07,51.22452888,0.0,0.0
2025-10-08,51.25554811,0.0,0.0
2025-10-09,61.73916565,0.0,0.0
2025-10-10,55.94330691,0.0,0.0
2025-10-11,58.84602296,0.0,0.0
2025-10-12,62.67042788,0.0,0.0
2025-10-13,53.89563693,0.0,0.0
2025-10-14,53.7463538,0.0,0.0
2025-10-15,53.31155034,0.0,0.0
2025-10-16,53.59237896,0.0,0.0
2025-10-17,55.20274924,0.0,0.0
2025-10-18,58.08760215,0.0,0.0
2025-10-19,59.01724064,0.0,0.0
2025-10-20,52.34584348,0.0,0.0
2025-10-21,52.71096787,0.0,0.0
2025-10-22,52.11385916,0.0,0.0
2025-10-23,53.5475487796201,48.19279390165809,58.90230365758212
2025-10-24,55.77363175224416,50.19626857701975,61.35099492746858
2025-10-25,57.54969646458576,51.79472681812719,63.30466611104435
2025-10-26,56.18618671168032,50.56756804051229,61.80480538284836
2025-10-27,55.11342202064882,49.60207981858394,60.62476422271371
2025-10-28,54.99115166814413,49.492036501329714,60.49026683495855
2025-10-29,55.24962370789569,49.72466133710612,60.77458607868526
2025-10-30,52.71047278868654,47.43942550981789,57.9815200675552
2025-10-31,56.65953076843184,50.993577691588655,62.32548384527502
2025-11-01,56.67090118275701,51.00381106448131,62.33799130103272
2025-11-02,55.33719033657283,49.80347130291555,60.87090937023012
