Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,70.29851218,0.0,0.0
2024-10-02,71.02665576,0.0,0.0
2024-10-03,70.45324727,0.0,0.0
2024-10-04,72.46993838,0.0,0.0
2024-10-05,76.90880318,0.0,0.0
2024-10-06,79.2793419,0.0,0.0
2024-10-07,69.57696767,0.0,0.0
2024-10-08,69.3055831,0.0,0.0
2024-10-09,70.22105401,0.0,0.0
2024-10-10,72.92499596,0.0,0.0
2024-10-11,76.91047065,0.0,0.0
2024-10-12,77.55506285,0.0,0.0
2024-10-13,82.70355169,0.0,0.0
2024-10-14,71.74925563,0.0,0.0
2024-10-15,70.30883934,0.0,0.0
2024-10-16,69.08723982,0.0,0.0
2024-10-17,71.55622884,0.0,0.0
2024-10-18,73.5438809,0.0,0.0
2024-10-19,79.1724377,0.0,0.0
2024-10-20,82.46758806,0.0,0.0
2024-10-21,70.7218331,0.0,0.0
2024-10-22,71.35565522,0.0,0.0
2024-10-23,70.58551545,0.0,0.0
2024-10-24,72.80772539,0.0,0.0
2024-10-25,74.87715846,0.0,0.0
2024-10-26,77.10167882,0.0,0.0
2024-10-27,82.14018281,0.0,0.0
2024-10-28,71.71593653,0.0,0.0
2024-10-29,70.91944877,0.0,0.0
2024-10-30,70.55669148,0.0,0.0
2024-11-01,35.36969809,0.0,0.0
2024-11-02,77.42208176,0.0,0.0
2024-11-03,80.63147663,0.0,0.0
2024-11-04,71.11934298,0.0,0.0
2024-11-05,68.68192373,0.0,0.0
2024-11-06,68.89041796,0.0,0.0
2024-11-07,68.4898738,0.0,0.0
2024-11-08,70.93177538,0.0,0.0
2024-11-09,76.05237559,0.0,0.0
2024-11-10,80.77246555,0.0,0.0
2024-11-11,70.99832847,0.0,0.0
2024-11-12,70.22090528,0.0,0.0
2024-11-13,69.72512319,0.0,0.0
2024-11-14,69.19535477,0.0,0.0
2024-11-15,71.09768586,0.0,0.0
2024-11-16,74.72557604,0.0,0.0
2024-11-17,74.98854566,0.0,0.0
2024-11-18,70.27692777,0.0,0.0
2024-11-19,71.71919068,0.0,0.0
2024-11-20,70.78650585,0.0,0.0
2024-11-21,69.69133267,0.0,0.0
2024-11-22,72.17739422,0.0,0.0
2024-11-23,75.79863527,0.0,0.0
2024-11-24,78.70225456,0.0,0.0
2024-11-25,71.70371458,0.0,0.0
2024-11-26,72.32726587,0.0,0.0
2024-11-27,80.2667997,0.0,0.0
2024-11-28,71.78994598,0.0,0.0
2024-11-29,72.75438704,0.0,0.0
