Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,68.11827306,0.0,0.0
2024-10-02,67.21255927,0.0,0.0
2024-10-03,67.18156455,0.0,0.0
2024-10-04,68.92815413,0.0,0.0
2024-10-05,74.50997023,0.0,0.0
2024-10-06,76.4551588,0.0,0.0
2024-10-07,65.50852743,0.0,0.0
2024-10-08,66.22015926,0.0,0.0
2024-10-09,67.37106671,0.0,0.0
2024-10-10,70.68983935,0.0,0.0
2024-10-11,74.28473431,0.0,0.0
2024-10-12,74.26859806,0.0,0.0
2024-10-13,77.96702318,0.0,0.0
2024-10-14,68.0079931,0.0,0.0
2024-10-15,68.44357049,0.0,0.0
2024-10-16,67.5461346,0.0,0.0
2024-10-17,70.60749493,0.0,0.0
2024-10-18,71.62599961,0.0,0.0
2024-10-19,76.02856317,0.0,0.0
2024-10-20,79.6013265,0.0,0.0
2024-10-21,69.45500411,0.0,0.0
2024-10-22,69.40990837,0.0,0.0
2024-10-23,69.39381297,0.0,0.0
2024-10-24,72.46361714,0.0,0.0
2024-10-25,75.46542111,0.0,0.0
2024-10-26,76.53199244,0.0,0.0
2024-10-27,79.79534495,0.0,0.0
2024-10-28,69.35167712,0.0,0.0
2024-10-29,69.14733376,0.0,0.0
2024-10-30,67.92827712,0.0,0.0
2024-11-01,33.65542904,0.0,0.0
2024-11-02,73.24028246,0.0,0.0
2024-11-03,75.29547528,0.0,0.0
2024-11-04,66.05773314,0.0,0.0
2024-11-05,65.6416514,0.0,0.0
2024-11-06,66.10939051,0.0,0.0
2024-11-07,66.12030283,0.0,0.0
2024-11-08,67.12527176,0.0,0.0
2024-11-09,71.98006683,0.0,0.0
2024-11-10,78.71653368,0.0,0.0
2024-11-11,68.54008371,0.0,0.0
2024-11-12,65.91705436,0.0,0.0
2024-11-13,66.01371113,0.0,0.0
2024-11-14,65.8977697,0.0,0.0
2024-11-15,67.58670337,0.0,0.0
2024-11-16,70.14024547,0.0,0.0
2024-11-17,71.31083363,0.0,0.0
2024-11-18,64.7029676,0.0,0.0
2024-11-19,68.30689127,0.0,0.0
2024-11-20,65.71057226,0.0,0.0
2024-11-21,66.31887203,0.0,0.0
2024-11-22,67.81493811,0.0,0.0
2024-11-23,70.53189154,0.0,0.0
2024-11-24,73.13955576,0.0,0.0
2024-11-25,69.06697497,0.0,0.0
2024-11-26,69.17287418,0.0,0.0
2024-11-27,75.43980421,0.0,0.0
2024-11-28,69.46041405,0.0,0.0
2024-11-29,68.91834942,0.0,0.0
2024-11-30,72.71575906,0.0,0.0
2024-12-01,71.8712795,0.0,0.0
2024-12-02,64.85430385,0.0,0.0
2024-12-03,64.70747099,0.0,0.0
2024-12-04,66.52024556,0.0,0.0
2024-12-05,69.87865731,0.0,0.0
2024-12-06,70.15809794,0.0,0.0
2024-12-07,75.57325965,0.0,0.0
2024-12-08,75.43766536,0.0,0.0
2024-12-09,66.07462008,0.0,0.0
2024-12-10,66.10973745,0.0,0.0
2024-12-11,66.18636928,0.0,0.0
2024-12-12,70.59101399,0.0,0.0
2024-12-13,67.71237135,0.0,0.0
2024-12-14,72.58847657,0.0,0.0
2024-12-15,76.00358266,0.0,0.0
2024-12-16,67.56218964,0.0,0.0
2024-12-17,68.95753284,0.0,0.0
2024-12-18,69.39095362,0.0,0.0
2024-12-19,69.48941765,0.0,0.0
2024-12-20,69.24280989,0.0,0.0
2024-12-21,74.87303463,0.0,0.0
2024-12-22,74.87303463,0.0,0.0
2024-12-23,72.48292528,0.0,0.0
2024-12-24,72.72639158,0.0,0.0
2024-12-25,72.72639158,0.0,0.0
2024-12-26,76.8579827,0.0,0.0
2024-12-27,75.74675909,0.0,0.0
2024-12-28,80.64507057,0.0,0.0
2024-12-29,82.05740724,0.0,0.0
2024-12-30,75.98312843,0.0,0.0
2024-12-31,79.8412327,0.0,0.0
2025-01-01,84.1,0.0,0.0
2025-01-02,72.03,0.0,0.0
2025-01-03,68.3,0.0,0.0
2025-01-04,69.17,0.0,0.0
2025-01-05,71.12,0.0,0.0
2025-01-06,64.1,0.0,0.0
2025-01-07,62.96,0.0,0.0
2025-01-08,62.41,0.0,0.0
2025-01-09,63.88,0.0,0.0
2025-01-10,66.1,0.0,0.0
2025-01-11,68.88,0.0,0.0
2025-01-12,68.33,0.0,0.0
2025-01-13,61.65,0.0,0.0
2025-01-14,62.49,0.0,0.0
2025-01-15,63.43,0.0,0.0
2025-01-16,64.58,0.0,0.0
2025-01-17,65.1,0.0,0.0
2025-01-18,66.61,0.0,0.0
2025-01-19,69.07,0.0,0.0
