Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,255.5381462,0.0,0.0
2024-10-02,252.9493853,0.0,0.0
2024-10-03,250.6037707,0.0,0.0
2024-10-04,257.1194021,0.0,0.0
2024-10-05,271.7736302,0.0,0.0
2024-10-06,287.616467,0.0,0.0
2024-10-07,253.5911375,0.0,0.0
2024-10-08,251.4295402,0.0,0.0
2024-10-09,258.0929188,0.0,0.0
2024-10-10,266.579729,0.0,0.0
2024-10-11,275.8062682,0.0,0.0
2024-10-12,280.5026339,0.0,0.0
2024-10-13,296.580503,0.0,0.0
2024-10-14,259.8412156,0.0,0.0
2024-10-15,263.2664929,0.0,0.0
2024-10-16,252.0448171,0.0,0.0
2024-10-17,257.2057102,0.0,0.0
2024-10-18,266.0152548,0.0,0.0
2024-10-19,277.3846365,0.0,0.0
2024-10-20,301.0598788,0.0,0.0
2024-10-21,257.1139883,0.0,0.0
2024-10-22,258.683145,0.0,0.0
2024-10-23,260.2208786,0.0,0.0
2024-10-24,266.8546822,0.0,0.0
2024-10-25,275.7911457,0.0,0.0
2024-10-26,279.7836259,0.0,0.0
2024-10-27,311.5085888,0.0,0.0
2024-10-28,264.0984648,0.0,0.0
2024-10-29,263.1555467,0.0,0.0
2024-10-30,261.1007454,0.0,0.0
2024-11-01,126.6457563,0.0,0.0
2024-11-02,270.9275889,0.0,0.0
2024-11-03,293.0696854,0.0,0.0
2024-11-04,251.1431141,0.0,0.0
2024-11-05,248.5970508,0.0,0.0
2024-11-06,249.3673138,0.0,0.0
2024-11-07,248.123291,0.0,0.0
2024-11-08,257.1443096,0.0,0.0
2024-11-09,276.0561953,0.0,0.0
2024-11-10,292.4728866,0.0,0.0
2024-11-11,255.4144743,0.0,0.0
2024-11-12,251.6808182,0.0,0.0
2024-11-13,251.3231377,0.0,0.0
2024-11-14,248.4922331,0.0,0.0
2024-11-15,257.2301796,0.0,0.0
2024-11-16,267.4890964,0.0,0.0
2024-11-17,277.4479096,0.0,0.0
2024-11-18,246.4386132,0.0,0.0
2024-11-19,258.6814276,0.0,0.0
2024-11-20,251.5481255,0.0,0.0
2024-11-21,252.7591471,0.0,0.0
2024-11-22,258.4924159,0.0,0.0
2024-11-23,266.331435,0.0,0.0
2024-11-24,281.8274884,0.0,0.0
2024-11-25,252.5023959,0.0,0.0
2024-11-26,253.3639943,0.0,0.0
2024-11-27,273.7383212,0.0,0.0
2024-11-28,263.1572115,0.0,0.0
2024-11-29,260.6456425,0.0,0.0
2024-11-30,267.8523336,0.0,0.0
2024-12-01,272.312802,0.0,0.0
2024-12-02,246.0838848,0.0,0.0
2024-12-03,249.3633909,0.0,0.0
2024-12-04,253.5293502,0.0,0.0
2024-12-05,255.6685857,0.0,0.0
2024-12-06,260.7819228,0.0,0.0
2024-12-07,269.6784928,0.0,0.0
2024-12-08,283.0465664,0.0,0.0
2024-12-09,258.5236385,0.0,0.0
2024-12-10,253.341021,0.0,0.0
2024-12-11,253.4025023,0.0,0.0
2024-12-12,268.9435304,0.0,0.0
2024-12-13,254.8638447,0.0,0.0
2024-12-14,266.7033557,0.0,0.0
2024-12-15,282.4120919,0.0,0.0
2024-12-16,251.9285446,0.0,0.0
2024-12-17,253.4774575,0.0,0.0
2024-12-18,251.335083,0.0,0.0
2024-12-19,251.3955909,0.0,0.0
2024-12-20,258.7112651,0.0,0.0
2024-12-21,269.4929847,0.0,0.0
2024-12-22,269.4929847,0.0,0.0
2024-12-23,259.516626,0.0,0.0
2024-12-24,265.0104663,0.0,0.0
2024-12-25,265.0104663,0.0,0.0
2024-12-26,267.8033218,0.0,0.0
2024-12-27,263.0506481,0.0,0.0
2024-12-28,276.2010182,0.0,0.0
2024-12-29,285.4642681,0.0,0.0
2024-12-30,266.0064508,0.0,0.0
2024-12-31,277.6528006,0.0,0.0
2025-01-01,295.39,0.0,0.0
2025-01-02,247.98,0.0,0.0
2025-01-03,242.09,0.0,0.0
2025-01-04,248.37,0.0,0.0
2025-01-05,256.69,0.0,0.0
2025-01-06,234.17,0.0,0.0
2025-01-07,234.58,0.0,0.0
2025-01-08,230.72,0.0,0.0
2025-01-09,235.6,0.0,0.0
2025-01-10,234.99,0.0,0.0
2025-01-11,247.13,0.0,0.0
2025-01-12,261.93,0.0,0.0
2025-01-13,229.82,0.0,0.0
2025-01-14,234.82,0.0,0.0
2025-01-15,227.92,0.0,0.0
2025-01-16,229.53,0.0,0.0
2025-01-17,234.0,0.0,0.0
2025-01-18,242.74,0.0,0.0
2025-01-19,258.51,0.0,0.0
2025-01-20,227.66,0.0,0.0
2025-01-21,231.31,0.0,0.0
2025-01-22,230.94,0.0,0.0
2025-01-23,232.08,0.0,0.0
2025-01-24,237.34,0.0,0.0
2025-01-25,246.36,0.0,0.0
2025-01-26,273.31,0.0,0.0
2025-01-27,267.39,0.0,0.0
2025-01-28,253.78,0.0,0.0
2025-01-29,247.43,0.0,0.0
2025-01-30,234.26,0.0,0.0
2025-01-31,233.83,0.0,0.0
2025-02-01,237.48,0.0,0.0
2025-02-02,256.83,0.0,0.0
2025-02-03,223.79,0.0,0.0
2025-02-04,226.66,0.0,0.0
2025-02-05,224.81,0.0,0.0
2025-02-06,229.59,0.0,0.0
2025-02-07,233.0,0.0,0.0
2025-02-08,242.89,0.0,0.0
2025-02-09,255.63,0.0,0.0
2025-02-10,229.25,0.0,0.0
