Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,16.83198343,0.0,0.0
2024-10-02,16.92590771,0.0,0.0
2024-10-03,17.52623471,0.0,0.0
2024-10-04,17.98777101,0.0,0.0
2024-10-05,18.36354411,0.0,0.0
2024-10-06,19.22273865,0.0,0.0
2024-10-07,17.78746679,0.0,0.0
2024-10-08,18.43019948,0.0,0.0
2024-10-09,18.41401844,0.0,0.0
2024-10-10,19.11832181,0.0,0.0
2024-10-11,19.67829088,0.0,0.0
2024-10-12,19.6708395,0.0,0.0
2024-10-13,20.33407208,0.0,0.0
2024-10-14,18.87498513,0.0,0.0
2024-10-15,19.70799041,0.0,0.0
2024-10-16,18.49338217,0.0,0.0
2024-10-17,19.00702218,0.0,0.0
2024-10-18,18.85457968,0.0,0.0
2024-10-19,19.42598698,0.0,0.0
2024-10-20,20.1528496,0.0,0.0
2024-10-21,18.06434443,0.0,0.0
2024-10-22,18.19581054,0.0,0.0
2024-10-23,18.41220566,0.0,0.0
2024-10-24,18.94243876,0.0,0.0
2024-10-25,18.93598354,0.0,0.0
2024-10-26,19.29273244,0.0,0.0
2024-10-27,20.85185647,0.0,0.0
2024-10-28,19.49121532,0.0,0.0
2024-10-29,19.6077825,0.0,0.0
2024-10-30,19.96302055,0.0,0.0
2024-11-01,10.36030477,0.0,0.0
2024-11-02,20.34570643,0.0,0.0
2024-11-03,21.06027248,0.0,0.0
2024-11-04,19.8976212,0.0,0.0
2024-11-05,18.98070762,0.0,0.0
2024-11-06,19.45419456,0.0,0.0
2024-11-07,20.01155108,0.0,0.0
2024-11-08,19.27154802,0.0,0.0
2024-11-09,21.39149266,0.0,0.0
2024-11-10,21.70817177,0.0,0.0
2024-11-11,19.73779932,0.0,0.0
2024-11-12,19.63638126,0.0,0.0
2024-11-13,19.88693209,0.0,0.0
2024-11-14,20.34396381,0.0,0.0
2024-11-15,19.33304415,0.0,0.0
2024-11-16,20.76331722,0.0,0.0
2024-11-17,22.05327141,0.0,0.0
2024-11-18,19.84520239,0.0,0.0
2024-11-19,20.58934326,0.0,0.0
2024-11-20,19.0164251,0.0,0.0
2024-11-21,19.08605052,0.0,0.0
2024-11-22,20.68224098,0.0,0.0
2024-11-23,20.53389006,0.0,0.0
2024-11-24,21.20078108,0.0,0.0
2024-11-25,20.68973286,0.0,0.0
2024-11-26,20.0988306,0.0,0.0
2024-11-27,20.96028307,0.0,0.0
2024-11-28,20.9242505,0.0,0.0
2024-11-29,20.24239102,0.0,0.0
2024-11-30,20.52699908,0.0,0.0
2024-12-01,21.97641915,0.0,0.0
2024-12-02,18.94760555,0.0,0.0
2024-12-03,18.88820691,0.0,0.0
2024-12-04,20.84640646,0.0,0.0
2024-12-05,21.15104823,0.0,0.0
2024-12-06,21.68976453,0.0,0.0
2024-12-07,22.98555125,0.0,0.0
2024-12-08,22.08313022,0.0,0.0
2024-12-09,21.35456571,0.0,0.0
2024-12-10,21.35152325,0.0,0.0
2024-12-11,20.77011587,0.0,0.0
2024-12-12,17.64724866,0.0,0.0
2024-12-13,21.27237731,0.0,0.0
2024-12-14,20.04769411,0.0,0.0
2024-12-15,22.23952711,0.0,0.0
2024-12-16,21.07655102,0.0,0.0
2024-12-17,20.66738904,0.0,0.0
2024-12-18,20.93817347,0.0,0.0
2024-12-19,21.21024334,0.0,0.0
2024-12-20,21.0824774,0.0,0.0
2024-12-21,21.60024927,0.0,0.0
2024-12-22,21.60024927,0.0,0.0
2024-12-23,15.67245582,0.0,0.0
2024-12-24,19.43726512,0.0,0.0
2024-12-25,19.43726512,0.0,0.0
2024-12-26,21.69683644,0.0,0.0
2024-12-27,21.7576375,0.0,0.0
2024-12-28,9.999932205,0.0,0.0
2024-12-29,21.48233599,0.0,0.0
2024-12-30,21.31126324,0.0,0.0
2024-12-31,21.70442017,0.0,0.0
2025-01-01,23.19,0.0,0.0
2025-01-02,21.87,0.0,0.0
2025-01-03,21.56,0.0,0.0
2025-01-04,21.65,0.0,0.0
2025-01-05,22.31,0.0,0.0
2025-01-06,20.62,0.0,0.0
2025-01-07,20.66,0.0,0.0
2025-01-08,19.96,0.0,0.0
2025-01-09,20.43,0.0,0.0
2025-01-10,21.59,0.0,0.0
2025-01-11,20.92,0.0,0.0
2025-01-12,21.78,0.0,0.0
2025-01-13,20.51,0.0,0.0
2025-01-14,19.66,0.0,0.0
2025-01-15,19.4,0.0,0.0
2025-01-16,19.78,0.0,0.0
2025-01-17,20.31,0.0,0.0
2025-01-18,20.81,0.0,0.0
2025-01-19,21.4,0.0,0.0
2025-01-20,18.51,0.0,0.0
2025-01-21,20.16,0.0,0.0
2025-01-22,19.27,0.0,0.0
2025-01-23,19.11,0.0,0.0
2025-01-24,19.18,0.0,0.0
2025-01-25,19.09,0.0,0.0
2025-01-26,20.77,0.0,0.0
2025-01-27,20.04,0.0,0.0
2025-01-28,19.79,0.0,0.0
2025-01-29,20.36,0.0,0.0
2025-01-30,19.38,0.0,0.0
2025-01-31,19.76,0.0,0.0
2025-02-01,19.55,0.0,0.0
2025-02-02,21.25,0.0,0.0
2025-02-03,18.62,0.0,0.0
2025-02-04,18.83,0.0,0.0
2025-02-05,18.74,0.0,0.0
2025-02-06,19.65,0.0,0.0
2025-02-07,18.26,0.0,0.0
2025-02-08,19.87,0.0,0.0
2025-02-09,22.55,0.0,0.0
2025-02-10,20.17,0.0,0.0
2025-02-11,20.49,0.0,0.0
2025-02-12,21.07,0.0,0.0
2025-02-13,20.31,0.0,0.0
2025-02-14,19.84,0.0,0.0
2025-02-15,17.37,0.0,0.0
2025-02-16,21.21,0.0,0.0
2025-02-17,20.27,0.0,0.0
2025-02-18,20.21,0.0,0.0
2025-02-19,19.63,0.0,0.0
2025-02-20,20.26,0.0,0.0
2025-02-21,20.05,0.0,0.0
2025-02-22,21.49,0.0,0.0
2025-02-23,22.81,0.0,0.0
2025-02-24,20.48,0.0,0.0
2025-02-25,21.11,0.0,0.0
2025-02-26,21.61,0.0,0.0
2025-02-27,22.38,0.0,0.0
2025-02-28,21.65,0.0,0.0
2025-03-01,21.5,0.0,0.0
2025-03-02,22.98,0.0,0.0
2025-03-03,21.78,0.0,0.0
2025-03-04,21.34,0.0,0.0
2025-03-05,22.73,0.0,0.0
2025-03-06,21.79,0.0,0.0
2025-03-07,22.02,0.0,0.0
2025-03-08,23.0,0.0,0.0
2025-03-09,23.84,0.0,0.0
2025-03-10,22.18,0.0,0.0
2025-03-11,21.95,0.0,0.0
2025-03-12,23.12,0.0,0.0
2025-03-13,23.89,0.0,0.0
2025-03-14,23.06,0.0,0.0
2025-03-15,23.31,0.0,0.0
2025-03-16,24.65,0.0,0.0
2025-03-17,23.34,0.0,0.0
2025-03-18,23.43,0.0,0.0
2025-03-19,22.93,0.0,0.0
2025-03-20,24.25,0.0,0.0
2025-03-21,23.63,0.0,0.0
2025-03-22,23.44,0.0,0.0
2025-03-23,26.6,0.0,0.0
2025-03-24,24.83,0.0,0.0
2025-03-25,23.5,0.0,0.0
2025-03-26,23.44,0.0,0.0
2025-03-27,23.63,0.0,0.0
2025-03-28,24.58,0.0,0.0
2025-03-29,25.17,0.0,0.0
2025-03-30,25.65,0.0,0.0
2025-03-31,24.42,0.0,0.0
2025-04-01,24.37,0.0,0.0
2025-04-02,24.93,0.0,0.0
2025-04-03,25.58588315,0.0,0.0
2025-04-04,23.91513102,0.0,0.0
2025-04-05,25.13767228,0.0,0.0
2025-04-06,26.08785488,0.0,0.0
2025-04-07,25.55332069,0.0,0.0
2025-04-08,25.43202566,0.0,0.0
2025-04-09,25.49197825,0.0,0.0
2025-04-10,25.73489182,0.0,0.0
2025-04-11,25.20925794,0.0,0.0
2025-04-12,25.68889643,0.0,0.0
2025-04-13,26.55690833,0.0,0.0
2025-04-14,25.01372505,0.0,0.0
2025-04-15,24.30520495,0.0,0.0
2025-04-16,24.98500979,0.0,0.0
2025-04-17,25.13162845,0.0,0.0
2025-04-18,25.68591431,0.0,0.0
2025-04-19,24.12682057,0.0,0.0
2025-04-20,24.56689014,0.0,0.0
2025-04-21,24.70364476,0.0,0.0
2025-04-22,23.58688923,0.0,0.0
