Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,10.25295259,0.0,0.0
2024-10-02,10.26492937,0.0,0.0
2024-10-03,10.13962925,0.0,0.0
2024-10-04,10.29230224,0.0,0.0
2024-10-05,10.34146944,0.0,0.0
2024-10-06,11.22911957,0.0,0.0
2024-10-07,9.98721953,0.0,0.0
2024-10-08,10.35717076,0.0,0.0
2024-10-09,10.95527995,0.0,0.0
2024-10-10,10.69797381,0.0,0.0
2024-10-11,11.71748869,0.0,0.0
2024-10-12,11.38974631,0.0,0.0
2024-10-13,11.82453307,0.0,0.0
2024-10-14,11.16245169,0.0,0.0
2024-10-15,11.34617905,0.0,0.0
2024-10-16,10.55355819,0.0,0.0
2024-10-17,10.47244276,0.0,0.0
2024-10-18,11.22020495,0.0,0.0
2024-10-19,11.11583866,0.0,0.0
2024-10-20,11.548138,0.0,0.0
2024-10-21,10.84828781,0.0,0.0
2024-10-22,10.92242156,0.0,0.0
2024-10-23,11.07751883,0.0,0.0
2024-10-24,11.12050794,0.0,0.0
2024-10-25,11.20339054,0.0,0.0
2024-10-26,11.15198772,0.0,0.0
2024-10-27,12.17108921,0.0,0.0
2024-10-28,11.23150984,0.0,0.0
2024-10-29,11.65091348,0.0,0.0
2024-10-30,11.40687026,0.0,0.0
2024-11-01,5.64230841,0.0,0.0
2024-11-02,11.35201624,0.0,0.0
2024-11-03,11.86643276,0.0,0.0
2024-11-04,10.97431326,0.0,0.0
2024-11-05,9.827586186,0.0,0.0
2024-11-06,10.53903098,0.0,0.0
2024-11-07,11.90589663,0.0,0.0
2024-11-08,10.05634353,0.0,0.0
2024-11-09,11.86622645,0.0,0.0
2024-11-10,12.50406262,0.0,0.0
2024-11-11,10.98133019,0.0,0.0
2024-11-12,10.95935225,0.0,0.0
2024-11-13,10.32803637,0.0,0.0
2024-11-14,11.40999061,0.0,0.0
2024-11-15,11.16093239,0.0,0.0
2024-11-16,11.13012104,0.0,0.0
2024-11-17,12.35162346,0.0,0.0
2024-11-18,11.02333418,0.0,0.0
2024-11-19,10.59062116,0.0,0.0
2024-11-20,10.60309545,0.0,0.0
2024-11-21,9.68573008,0.0,0.0
2024-11-22,11.5035302,0.0,0.0
2024-11-23,11.16662838,0.0,0.0
2024-11-24,11.97017413,0.0,0.0
2024-11-25,11.63553862,0.0,0.0
2024-11-26,12.03081035,0.0,0.0
2024-11-27,12.51466858,0.0,0.0
2024-11-28,11.87738015,0.0,0.0
2024-11-29,11.76057785,0.0,0.0
2024-11-30,10.72225806,0.0,0.0
2024-12-01,12.18097225,0.0,0.0
2024-12-02,11.25270073,0.0,0.0
2024-12-03,10.57928468,0.0,0.0
2024-12-04,11.56243652,0.0,0.0
2024-12-05,12.54936913,0.0,0.0
2024-12-06,12.31819686,0.0,0.0
2024-12-07,11.963406,0.0,0.0
2024-12-08,12.28226508,0.0,0.0
2024-12-09,11.72418754,0.0,0.0
2024-12-10,10.48211244,0.0,0.0
2024-12-11,11.73934122,0.0,0.0
2024-12-12,10.62122211,0.0,0.0
2024-12-13,11.27633288,0.0,0.0
2024-12-14,12.07953246,0.0,0.0
2024-12-15,12.76390994,0.0,0.0
2024-12-16,11.61558274,0.0,0.0
2024-12-17,11.33571821,0.0,0.0
2024-12-18,12.24665496,0.0,0.0
2024-12-19,12.06635206,0.0,0.0
2024-12-20,8.95368297,0.0,0.0
2024-12-21,12.47443426,0.0,0.0
2024-12-22,12.47443426,0.0,0.0
2024-12-23,8.132579922,0.0,0.0
2024-12-24,11.6551354,0.0,0.0
2024-12-25,11.6551354,0.0,0.0
2024-12-26,12.34785295,0.0,0.0
2024-12-27,12.06551976,0.0,0.0
2024-12-28,5.307283601,0.0,0.0
2024-12-29,12.42442237,0.0,0.0
2024-12-30,12.2642373,0.0,0.0
2024-12-31,12.88392167,0.0,0.0
2025-01-01,12.99,0.0,0.0
2025-01-02,12.25,0.0,0.0
2025-01-03,12.28,0.0,0.0
2025-01-04,12.36,0.0,0.0
2025-01-05,12.18,0.0,0.0
2025-01-06,11.28,0.0,0.0
2025-01-07,10.99,0.0,0.0
2025-01-08,11.85,0.0,0.0
2025-01-09,10.86,0.0,0.0
2025-01-10,11.71,0.0,0.0
2025-01-11,11.94,0.0,0.0
2025-01-12,12.2,0.0,0.0
2025-01-13,11.07,0.0,0.0
2025-01-14,11.05,0.0,0.0
2025-01-15,11.2,0.0,0.0
2025-01-16,11.52,0.0,0.0
2025-01-17,11.36,0.0,0.0
2025-01-18,11.06,0.0,0.0
2025-01-19,11.66,0.0,0.0
2025-01-20,10.95,0.0,0.0
2025-01-21,10.87,0.0,0.0
2025-01-22,10.71,0.0,0.0
2025-01-23,10.57,0.0,0.0
2025-01-24,10.78,0.0,0.0
2025-01-25,9.6,0.0,0.0
2025-01-26,11.54,0.0,0.0
2025-01-27,11.06,0.0,0.0
2025-01-28,10.99,0.0,0.0
2025-01-29,11.67,0.0,0.0
2025-01-30,11.3,0.0,0.0
2025-01-31,11.29,0.0,0.0
2025-02-01,9.93,0.0,0.0
2025-02-02,9.48,0.0,0.0
2025-02-03,11.03,0.0,0.0
2025-02-04,11.1,0.0,0.0
2025-02-05,10.63,0.0,0.0
2025-02-06,10.49,0.0,0.0
2025-02-07,7.79,0.0,0.0
2025-02-08,4.35,0.0,0.0
2025-02-09,9.13,0.0,0.0
2025-02-10,11.4,0.0,0.0
2025-02-11,11.77,0.0,0.0
2025-02-12,12.28,0.0,0.0
2025-02-13,12.22,0.0,0.0
2025-02-14,11.72,0.0,0.0
2025-02-15,10.91,0.0,0.0
2025-02-16,12.23,0.0,0.0
2025-02-17,11.99,0.0,0.0
2025-02-18,11.36,0.0,0.0
2025-02-19,11.52,0.0,0.0
2025-02-20,12.25,0.0,0.0
2025-02-21,11.78,0.0,0.0
2025-02-22,11.15,0.0,0.0
2025-02-23,12.64,0.0,0.0
2025-02-24,11.84,0.0,0.0
2025-02-25,11.82,0.0,0.0
2025-02-26,12.0,0.0,0.0
2025-02-27,12.84,0.0,0.0
2025-02-28,12.55,0.0,0.0
2025-03-01,12.37,0.0,0.0
2025-03-02,13.1,0.0,0.0
2025-03-03,12.45,0.0,0.0
2025-03-04,12.28,0.0,0.0
2025-03-05,12.92,0.0,0.0
2025-03-06,12.55,0.0,0.0
2025-03-07,12.41,0.0,0.0
2025-03-08,12.14,0.0,0.0
2025-03-09,13.78,0.0,0.0
2025-03-10,12.49,0.0,0.0
2025-03-11,11.45,0.0,0.0
2025-03-12,12.94,0.0,0.0
2025-03-13,13.28,0.0,0.0
2025-03-14,13.23,0.0,0.0
2025-03-15,13.25,0.0,0.0
2025-03-16,14.04,0.0,0.0
2025-03-17,13.08,0.0,0.0
2025-03-18,13.43,0.0,0.0
2025-03-19,13.17,0.0,0.0
2025-03-20,13.57,0.0,0.0
2025-03-21,13.78,0.0,0.0
2025-03-22,12.07,0.0,0.0
2025-03-23,14.27,0.0,0.0
2025-03-24,14.63,0.0,0.0
2025-03-25,12.73,0.0,0.0
2025-03-26,13.74,0.0,0.0
2025-03-27,13.55,0.0,0.0
2025-03-28,13.81,0.0,0.0
2025-03-29,14.38,0.0,0.0
2025-03-30,14.64,0.0,0.0
2025-03-31,13.92,0.0,0.0
2025-04-01,12.88,0.0,0.0
2025-04-02,14.5,0.0,0.0
2025-04-03,14.33555191,0.0,0.0
2025-04-04,12.99875258,0.0,0.0
2025-04-05,13.80587871,0.0,0.0
2025-04-06,14.30837157,0.0,0.0
2025-04-07,14.2363758,0.0,0.0
2025-04-08,14.0676567,0.0,0.0
2025-04-09,14.44183805,0.0,0.0
2025-04-10,14.66843608,0.0,0.0
2025-04-11,14.48595433,0.0,0.0
2025-04-12,14.13683253,0.0,0.0
2025-04-13,14.53434714,0.0,0.0
2025-04-14,14.69274948,0.0,0.0
2025-04-15,14.22751441,0.0,0.0
2025-04-16,14.61285907,0.0,0.0
2025-04-17,15.41205878,0.0,0.0
2025-04-18,14.84419111,0.0,0.0
2025-04-19,14.83977408,0.0,0.0
2025-04-20,14.56141801,0.0,0.0
2025-04-21,14.54956166,0.0,0.0
2025-04-22,13.19624416,0.0,0.0
2025-04-23,13.32483933,0.0,0.0
2025-04-24,13.45857176,0.0,0.0
2025-04-25,14.13200082,0.0,0.0
2025-04-26,13.49488325,0.0,0.0
2025-04-27,15.82528512,0.0,0.0
2025-04-28,13.62382961,0.0,0.0
2025-04-29,14.0316115,0.0,0.0
2025-04-30,14.25545418,0.0,0.0
2025-05-01,15.38522793,0.0,0.0
2025-05-02,14.92674104,0.0,0.0
2025-05-03,15.16126121,0.0,0.0
2025-05-04,15.41319176,0.0,0.0
2025-05-05,14.20036059,0.0,0.0
2025-05-06,14.7182814,0.0,0.0
2025-05-07,15.01204207,0.0,0.0
2025-05-08,14.17107195,0.0,0.0
2025-05-09,13.56964271,0.0,0.0
2025-05-10,15.10953473,0.0,0.0
2025-05-11,16.22865209,0.0,0.0
2025-05-12,15.2792089,0.0,0.0
2025-05-13,15.34035197,0.0,0.0
2025-05-14,13.35042523,0.0,0.0
2025-05-15,14.7678463,0.0,0.0
2025-05-16,14.97641836,0.0,0.0
2025-05-17,14.78984867,0.0,0.0
2025-05-18,15.49126377,0.0,0.0
2025-05-19,15.12082349,0.0,0.0
2025-05-20,15.17473146,0.0,0.0
2025-05-21,14.91821125,0.0,0.0
2025-05-22,15.31791963,0.0,0.0
2025-05-23,15.19852148,0.0,0.0
2025-05-24,15.28799241,0.0,0.0
2025-05-25,13.51191909,0.0,0.0
2025-05-26,14.56483082,0.0,0.0
2025-05-27,14.79828978,0.0,0.0
2025-05-28,14.86423508,0.0,0.0
2025-05-29,15.30832386,0.0,0.0
2025-05-30,15.76677834,0.0,0.0
2025-05-31,15.22726811,0.0,0.0
2025-06-01,15.07166138,0.0,0.0
2025-06-02,14.94083548,0.0,0.0
2025-06-03,14.75119578,0.0,0.0
2025-06-04,14.4220378,0.0,0.0
2025-06-05,16.04876487,0.0,0.0
2025-06-06,16.44371663,0.0,0.0
2025-06-07,15.82286272,0.0,0.0
2025-06-08,15.41030758,0.0,0.0
2025-06-09,15.79053248,0.0,0.0
2025-06-10,15.1379639,0.0,0.0
2025-06-11,15.61570188,0.0,0.0
2025-06-12,16.03111114,0.0,0.0
2025-06-13,15.95193438,0.0,0.0
2025-06-14,15.39328596,0.0,0.0
2025-06-15,15.73681149,0.0,0.0
2025-06-16,14.39996678,0.0,0.0
2025-06-17,15.41039486,0.0,0.0
2025-06-18,14.97246366,0.0,0.0
2025-06-19,15.46571926,0.0,0.0
2025-06-20,15.63440686,0.0,0.0
2025-06-21,15.20534041,0.0,0.0
2025-06-22,15.04968124,0.0,0.0
2025-06-23,14.5209156,0.0,0.0
2025-06-24,16.40344765,0.0,0.0
2025-06-25,16.02355104,0.0,0.0
2025-06-26,14.94926878,0.0,0.0
2025-06-27,16.35482972,0.0,0.0
2025-06-28,16.10328567,0.0,0.0
2025-06-29,15.01241049,0.0,0.0
2025-06-30,15.92382155,0.0,0.0
2025-07-01,16.64362286,0.0,0.0
2025-07-02,16.53502827,0.0,0.0
2025-07-03,16.10622515,0.0,0.0
2025-07-04,15.58816015,0.0,0.0
2025-07-05,14.92898268,0.0,0.0
2025-07-06,16.67517643,0.0,0.0
2025-07-07,15.72970172,0.0,0.0
2025-07-08,15.05536185,0.0,0.0
2025-07-09,16.20223395,0.0,0.0
2025-07-10,16.43308265,0.0,0.0
2025-07-11,15.27489238,0.0,0.0
2025-07-12,15.59129386,0.0,0.0
2025-07-13,16.09023802,0.0,0.0
2025-07-14,16.43202037,0.0,0.0
2025-07-15,16.39264454,0.0,0.0
2025-07-16,15.67957916,0.0,0.0
2025-07-17,15.97071003,0.0,0.0
2025-07-18,15.99033563,0.0,0.0
