Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,214.3215249,0.0,0.0
2024-10-02,211.5763458,0.0,0.0
2024-10-03,211.5987712,0.0,0.0
2024-10-04,218.0616516,0.0,0.0
2024-10-05,225.6170713,0.0,0.0
2024-10-06,241.6487712,0.0,0.0
2024-10-07,211.3529101,0.0,0.0
2024-10-08,212.8579649,0.0,0.0
2024-10-09,220.9457675,0.0,0.0
2024-10-10,227.6803899,0.0,0.0
2024-10-11,229.5036886,0.0,0.0
2024-10-12,229.170957,0.0,0.0
2024-10-13,243.9133274,0.0,0.0
2024-10-14,214.4515143,0.0,0.0
2024-10-15,219.5099759,0.0,0.0
2024-10-16,214.8177322,0.0,0.0
2024-10-17,217.5021984,0.0,0.0
2024-10-18,225.0243833,0.0,0.0
2024-10-19,227.1818868,0.0,0.0
2024-10-20,241.5331732,0.0,0.0
2024-10-21,218.6198645,0.0,0.0
2024-10-22,217.8598148,0.0,0.0
2024-10-23,216.8212063,0.0,0.0
2024-10-24,222.9619534,0.0,0.0
2024-10-25,231.0172147,0.0,0.0
2024-10-26,229.0340646,0.0,0.0
2024-10-27,248.8720948,0.0,0.0
2024-10-28,217.6561783,0.0,0.0
2024-10-29,216.4858491,0.0,0.0
2024-10-30,217.0383147,0.0,0.0
2024-11-01,103.4555667,0.0,0.0
2024-11-02,220.7454828,0.0,0.0
2024-11-03,233.3094037,0.0,0.0
2024-11-04,209.4252064,0.0,0.0
2024-11-05,209.0551488,0.0,0.0
2024-11-06,209.1098134,0.0,0.0
2024-11-07,208.8202336,0.0,0.0
2024-11-08,214.1491756,0.0,0.0
2024-11-09,221.9916128,0.0,0.0
2024-11-10,234.005113,0.0,0.0
2024-11-11,214.2817112,0.0,0.0
2024-11-12,212.0386181,0.0,0.0
2024-11-13,210.4853863,0.0,0.0
2024-11-14,209.5838922,0.0,0.0
2024-11-15,216.3441995,0.0,0.0
2024-11-16,217.2373921,0.0,0.0
2024-11-17,228.0558828,0.0,0.0
2024-11-18,206.0896453,0.0,0.0
2024-11-19,214.3415685,0.0,0.0
2024-11-20,208.5252033,0.0,0.0
2024-11-21,211.1285469,0.0,0.0
2024-11-22,217.7364647,0.0,0.0
2024-11-23,232.8387732,0.0,0.0
2024-11-24,231.082676,0.0,0.0
2024-11-25,214.2429267,0.0,0.0
2024-11-26,220.1946043,0.0,0.0
2024-11-27,237.4626939,0.0,0.0
2024-11-28,217.7718448,0.0,0.0
2024-11-29,216.7616937,0.0,0.0
2024-11-30,223.3061631,0.0,0.0
2024-12-01,235.8625396,0.0,0.0
2024-12-02,212.7177673,0.0,0.0
2024-12-03,209.1611256,0.0,0.0
2024-12-04,214.0008475,0.0,0.0
2024-12-05,225.5090625,0.0,0.0
2024-12-06,226.3978522,0.0,0.0
2024-12-07,231.9334927,0.0,0.0
2024-12-08,244.3806012,0.0,0.0
2024-12-09,218.152753,0.0,0.0
2024-12-10,223.4307613,0.0,0.0
2024-12-11,226.8420423,0.0,0.0
2024-12-12,237.0403626,0.0,0.0
2024-12-13,227.7842229,0.0,0.0
2024-12-14,228.8875707,0.0,0.0
2024-12-15,241.5636898,0.0,0.0
2024-12-16,219.1955935,0.0,0.0
2024-12-17,221.7583409,0.0,0.0
2024-12-18,220.1763597,0.0,0.0
2024-12-19,216.8513309,0.0,0.0
2024-12-20,224.3588944,0.0,0.0
2024-12-21,230.5619825,0.0,0.0
2024-12-22,230.5619825,0.0,0.0
2024-12-23,219.7726763,0.0,0.0
2024-12-24,221.6180044,0.0,0.0
2024-12-25,221.6180044,0.0,0.0
2024-12-26,220.7495487,0.0,0.0
2024-12-27,221.2140563,0.0,0.0
2024-12-28,222.557681,0.0,0.0
2024-12-29,230.3213017,0.0,0.0
2024-12-30,215.6919151,0.0,0.0
2024-12-31,224.8615031,0.0,0.0
2025-01-01,237.03,0.0,0.0
2025-01-02,207.33,0.0,0.0
2025-01-03,204.22,0.0,0.0
2025-01-04,208.13,0.0,0.0
2025-01-05,219.07,0.0,0.0
2025-01-06,200.36,0.0,0.0
2025-01-07,202.3,0.0,0.0
2025-01-08,201.18,0.0,0.0
2025-01-09,201.19,0.0,0.0
2025-01-10,206.98,0.0,0.0
2025-01-11,210.31,0.0,0.0
2025-01-12,218.2,0.0,0.0
2025-01-13,197.36,0.0,0.0
2025-01-14,201.23,0.0,0.0
2025-01-15,198.65,0.0,0.0
2025-01-16,204.2,0.0,0.0
2025-01-17,206.11,0.0,0.0
2025-01-18,209.37,0.0,0.0
2025-01-19,219.37,0.0,0.0
2025-01-20,200.19,0.0,0.0
2025-01-21,201.11,0.0,0.0
2025-01-22,201.92,0.0,0.0
2025-01-23,203.61,0.0,0.0
2025-01-24,200.93,0.0,0.0
2025-01-25,207.97,0.0,0.0
2025-01-26,222.46,0.0,0.0
2025-01-27,221.19,0.0,0.0
2025-01-28,209.28,0.0,0.0
2025-01-29,210.33,0.0,0.0
2025-01-30,200.33,0.0,0.0
2025-01-31,199.88,0.0,0.0
2025-02-01,201.84,0.0,0.0
2025-02-02,216.22,0.0,0.0
2025-02-03,193.42,0.0,0.0
2025-02-04,196.07,0.0,0.0
2025-02-05,198.22,0.0,0.0
2025-02-06,199.68,0.0,0.0
2025-02-07,207.07,0.0,0.0
2025-02-08,207.67,0.0,0.0
2025-02-09,219.3,0.0,0.0
2025-02-10,198.13,0.0,0.0
2025-02-11,200.55,0.0,0.0
2025-02-12,204.06,0.0,0.0
2025-02-13,204.9,0.0,0.0
2025-02-14,206.9,0.0,0.0
2025-02-15,214.88,0.0,0.0
2025-02-16,225.0,0.0,0.0
2025-02-17,204.81,0.0,0.0
2025-02-18,205.03,0.0,0.0
2025-02-19,211.62,0.0,0.0
2025-02-20,211.96,0.0,0.0
2025-02-21,216.14,0.0,0.0
2025-02-22,222.42,0.0,0.0
2025-02-23,236.71,0.0,0.0
2025-02-24,211.59,0.0,0.0
2025-02-25,206.34,0.0,0.0
2025-02-26,210.19,0.0,0.0
2025-02-27,209.39,0.0,0.0
2025-02-28,210.29,0.0,0.0
2025-03-01,202.39,0.0,0.0
2025-03-02,213.87,0.0,0.0
2025-03-03,205.32,0.0,0.0
2025-03-04,200.9,0.0,0.0
2025-03-05,207.28,0.0,0.0
2025-03-06,211.81,0.0,0.0
2025-03-07,212.47,0.0,0.0
2025-03-08,216.96,0.0,0.0
2025-03-09,220.09,0.0,0.0
2025-03-10,210.02,0.0,0.0
2025-03-11,210.15,0.0,0.0
2025-03-12,216.85,0.0,0.0
2025-03-13,216.06,0.0,0.0
2025-03-14,219.82,0.0,0.0
2025-03-15,225.97,0.0,0.0
2025-03-16,232.58,0.0,0.0
2025-03-17,215.38,0.0,0.0
2025-03-18,213.83,0.0,0.0
2025-03-19,218.5,0.0,0.0
2025-03-20,221.63,0.0,0.0
2025-03-21,220.0,0.0,0.0
2025-03-22,225.56,0.0,0.0
2025-03-23,229.02,0.0,0.0
2025-03-24,218.74,0.0,0.0
2025-03-25,214.28,0.0,0.0
2025-03-26,222.6,0.0,0.0
2025-03-27,226.37,0.0,0.0
2025-03-28,233.91,0.0,0.0
2025-03-29,216.58,0.0,0.0
2025-03-30,227.53,0.0,0.0
2025-03-31,244.59,0.0,0.0
2025-04-01,238.57,0.0,0.0
2025-04-02,244.14,0.0,0.0
2025-04-03,250.522295,0.0,0.0
2025-04-04,248.1981061,0.0,0.0
2025-04-05,248.8295006,0.0,0.0
2025-04-06,247.3495141,0.0,0.0
2025-04-07,244.4696742,0.0,0.0
2025-04-08,241.3822616,0.0,0.0
2025-04-09,234.9576945,0.0,0.0
2025-04-10,234.8523271,0.0,0.0
2025-04-11,234.8104746,0.0,0.0
2025-04-12,234.2373598,0.0,0.0
2025-04-13,239.6787141,0.0,0.0
2025-04-14,217.5517215,0.0,0.0
2025-04-15,212.4774405,0.0,0.0
2025-04-16,213.3043247,0.0,0.0
2025-04-17,220.3500055,0.0,0.0
2025-04-18,224.6679657,0.0,0.0
2025-04-19,221.9240978,0.0,0.0
2025-04-20,229.796686,0.0,0.0
2025-04-21,212.1902103,0.0,0.0
2025-04-22,212.3131632,0.0,0.0
2025-04-23,214.9651162,0.0,0.0
2025-04-24,214.9976846,0.0,0.0
2025-04-25,217.7518756,0.0,0.0
2025-04-26,224.3886158,0.0,0.0
2025-04-27,233.5909455,0.0,0.0
2025-04-28,209.8653613,0.0,0.0
2025-04-29,210.3745456,0.0,0.0
2025-04-30,213.5575239,0.0,0.0
2025-05-01,224.4800648,0.0,0.0
2025-05-02,211.5548988,0.0,0.0
2025-05-03,219.433745,0.0,0.0
2025-05-04,229.8648056,0.0,0.0
2025-05-05,210.8236368,0.0,0.0
2025-05-06,211.8650381,0.0,0.0
2025-05-07,215.3865246,0.0,0.0
2025-05-08,214.8634779,0.0,0.0
2025-05-09,223.4080181,0.0,0.0
2025-05-10,227.2526276,0.0,0.0
2025-05-11,243.5462082,0.0,0.0
2025-05-12,234.4951714,0.0,0.0
2025-05-13,218.7428623,0.0,0.0
2025-05-14,215.0895809,0.0,0.0
2025-05-15,215.2960813,0.0,0.0
2025-05-16,217.7907867,0.0,0.0
2025-05-17,221.1028742,0.0,0.0
2025-05-18,230.5277738,0.0,0.0
2025-05-19,212.8080413,0.0,0.0
2025-05-20,210.5284116,0.0,0.0
2025-05-21,215.8934833,0.0,0.0
2025-05-22,218.3142521,0.0,0.0
2025-05-23,225.430197,0.0,0.0
2025-05-24,228.473803,0.0,0.0
2025-05-25,236.1379671,0.0,0.0
2025-05-26,215.1106247,0.0,0.0
2025-05-27,214.645933,0.0,0.0
2025-05-28,221.1444365,0.0,0.0
2025-05-29,229.5409276,0.0,0.0
2025-05-30,222.3524194,0.0,0.0
2025-05-31,229.0345213,0.0,0.0
2025-06-01,231.7632185,0.0,0.0
2025-06-02,210.7117897,0.0,0.0
2025-06-03,214.3563475,0.0,0.0
2025-06-04,215.5444859,0.0,0.0
2025-06-05,230.029451,0.0,0.0
2025-06-06,239.1011541,0.0,0.0
2025-06-07,226.165785,0.0,0.0
2025-06-08,233.7477618,0.0,0.0
2025-06-09,216.3727398,0.0,0.0
2025-06-10,218.1619084,0.0,0.0
2025-06-11,220.5987331,0.0,0.0
2025-06-12,223.9610349,0.0,0.0
2025-06-13,223.3066007,0.0,0.0
2025-06-14,229.8098273,0.0,0.0
2025-06-15,239.1165165,0.0,0.0
2025-06-16,218.195742,0.0,0.0
2025-06-17,220.1748966,0.0,0.0
2025-06-18,221.3367051,0.0,0.0
2025-06-19,217.0076828,0.0,0.0
2025-06-20,219.2778278,0.0,0.0
2025-06-21,227.7439446,0.0,0.0
2025-06-22,237.5130856,0.0,0.0
2025-06-23,216.6604192,0.0,0.0
2025-06-24,219.6029683,0.0,0.0
2025-06-25,222.7980806,0.0,0.0
2025-06-26,221.0516426,0.0,0.0
2025-06-27,231.9681254,0.0,0.0
2025-06-28,225.5363502,0.0,0.0
2025-06-29,234.7160571,0.0,0.0
2025-06-30,215.2055844,0.0,0.0
2025-07-01,217.4493025,0.0,0.0
2025-07-02,216.3864129,0.0,0.0
2025-07-03,218.4680972,0.0,0.0
2025-07-04,217.7968086,0.0,0.0
2025-07-05,220.6288632,0.0,0.0
2025-07-06,237.920395,0.0,0.0
2025-07-07,220.4128164,0.0,0.0
2025-07-08,216.0876138,0.0,0.0
2025-07-09,215.3719002,0.0,0.0
2025-07-10,216.1644016,0.0,0.0
2025-07-11,216.3724721,0.0,0.0
2025-07-12,224.0021888,0.0,0.0
2025-07-13,224.8023171,0.0,0.0
2025-07-14,212.5474784,0.0,0.0
2025-07-15,212.6794587,0.0,0.0
2025-07-16,212.0666492,0.0,0.0
2025-07-17,214.0154494,0.0,0.0
2025-07-18,218.7094711,0.0,0.0
2025-07-19,223.8036233,0.0,0.0
2025-07-20,230.3846015,0.0,0.0
2025-07-21,214.2289874,0.0,0.0
2025-07-22,212.6155964,0.0,0.0
2025-07-23,215.405723,0.0,0.0
2025-07-24,215.2125313,0.0,0.0
2025-07-25,218.1408735,0.0,0.0
2025-07-26,220.9746155,0.0,0.0
2025-07-27,233.6479195,0.0,0.0
2025-07-28,207.4644378,0.0,0.0
2025-07-29,212.2453404,0.0,0.0
2025-07-30,207.7094146,0.0,0.0
2025-07-31,209.4350662,0.0,0.0
2025-08-01,215.4113769,0.0,0.0
2025-08-02,221.8983286,0.0,0.0
2025-08-03,229.0254548,0.0,0.0
2025-08-04,204.7239693,0.0,0.0
2025-08-05,216.2658319,0.0,0.0
2025-08-06,212.3991495,0.0,0.0
2025-08-07,212.7456695,0.0,0.0
2025-08-08,219.6996413,0.0,0.0
2025-08-09,222.4550703,0.0,0.0
2025-08-10,236.5873455,0.0,0.0
2025-08-11,214.0576475,0.0,0.0
2025-08-12,211.1798583,0.0,0.0
2025-08-13,214.0671463,0.0,0.0
2025-08-14,216.1045722,0.0,0.0
2025-08-15,214.9732367,0.0,0.0
2025-08-16,222.0608923,0.0,0.0
2025-08-17,242.2314924,0.0,0.0
2025-08-18,223.0846057,0.0,0.0
2025-08-19,216.872101,0.0,0.0
2025-08-20,211.3884902,0.0,0.0
2025-08-21,214.6955231,0.0,0.0
2025-08-22,218.3837133,0.0,0.0
2025-08-23,229.2703139,0.0,0.0
2025-08-24,242.3117495,0.0,0.0
2025-08-25,213.7327277,0.0,0.0
2025-08-26,213.5787134,0.0,0.0
2025-08-27,213.9692144,0.0,0.0
2025-08-28,210.1773872,0.0,0.0
2025-08-29,224.396844,0.0,0.0
2025-08-30,233.828582,0.0,0.0
2025-08-31,242.591395,0.0,0.0
2025-09-01,214.5663779,0.0,0.0
2025-09-02,217.0488298,0.0,0.0
2025-09-03,222.3273235,0.0,0.0
2025-09-04,225.0437736,0.0,0.0
2025-09-05,241.7586513,0.0,0.0
2025-09-06,238.8080748,0.0,0.0
2025-09-07,244.2450886,0.0,0.0
2025-09-08,228.4366656,0.0,0.0
2025-09-09,222.4406973,0.0,0.0
2025-09-10,223.6051522,0.0,0.0
2025-09-11,219.0422989,0.0,0.0
2025-09-12,226.7471327,0.0,0.0
2025-09-13,234.8137127,0.0,0.0
2025-09-14,243.4638715,0.0,0.0
2025-09-15,217.6825951,0.0,0.0
2025-09-16,221.0276361,0.0,0.0
2025-09-17,219.8441287,0.0,0.0
2025-09-18,219.8015504,0.0,0.0
2025-09-19,226.4460886,0.0,0.0
2025-09-20,236.5428008,0.0,0.0
2025-09-21,300.9204829,0.0,0.0
2025-09-22,226.7843774,0.0,0.0
