Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,100.8767298,0.0,0.0
2024-10-02,104.0267841,0.0,0.0
2024-10-03,96.83433185,0.0,0.0
2024-10-04,107.1129993,0.0,0.0
2024-10-05,111.7679493,0.0,0.0
2024-10-06,113.9211697,0.0,0.0
2024-10-07,100.1688849,0.0,0.0
2024-10-08,101.0979702,0.0,0.0
2024-10-09,101.6424385,0.0,0.0
2024-10-10,105.1390108,0.0,0.0
2024-10-11,110.2695276,0.0,0.0
2024-10-12,109.0395807,0.0,0.0
2024-10-13,110.675039,0.0,0.0
2024-10-14,102.5039026,0.0,0.0
2024-10-15,105.0032992,0.0,0.0
2024-10-16,94.27292136,0.0,0.0
2024-10-17,100.5504899,0.0,0.0
2024-10-18,105.3581215,0.0,0.0
2024-10-19,109.1911938,0.0,0.0
2024-10-20,114.3034118,0.0,0.0
2024-10-21,99.29844426,0.0,0.0
2024-10-22,104.65836,0.0,0.0
2024-10-23,102.7114888,0.0,0.0
2024-10-24,105.236499,0.0,0.0
2024-10-25,110.1115407,0.0,0.0
2024-10-26,109.6028601,0.0,0.0
2024-10-27,120.0280495,0.0,0.0
2024-10-28,101.9497403,0.0,0.0
2024-10-29,100.7342866,0.0,0.0
2024-10-30,101.3040895,0.0,0.0
2024-11-01,51.93540841,0.0,0.0
2024-11-02,105.9989886,0.0,0.0
2024-11-03,113.1044158,0.0,0.0
2024-11-04,97.46361034,0.0,0.0
2024-11-05,96.63048093,0.0,0.0
2024-11-06,98.16768214,0.0,0.0
2024-11-07,99.26310026,0.0,0.0
2024-11-08,103.3613623,0.0,0.0
2024-11-09,108.0090035,0.0,0.0
2024-11-10,111.1320912,0.0,0.0
2024-11-11,98.09296776,0.0,0.0
2024-11-12,99.98463572,0.0,0.0
2024-11-13,98.25780331,0.0,0.0
2024-11-14,99.89520718,0.0,0.0
2024-11-15,103.0904342,0.0,0.0
2024-11-16,102.3191623,0.0,0.0
2024-11-17,103.9539387,0.0,0.0
2024-11-18,95.71028728,0.0,0.0
2024-11-19,99.27507784,0.0,0.0
2024-11-20,98.03933174,0.0,0.0
