Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,203.1112417,0.0,0.0
2024-10-02,202.0151215,0.0,0.0
2024-10-03,192.0515999,0.0,0.0
2024-10-04,204.905133,0.0,0.0
2024-10-05,219.2598484,0.0,0.0
2024-10-06,228.0181167,0.0,0.0
2024-10-07,199.8782209,0.0,0.0
2024-10-08,200.6918958,0.0,0.0
2024-10-09,202.9838343,0.0,0.0
2024-10-10,209.5977933,0.0,0.0
2024-10-11,212.6580557,0.0,0.0
2024-10-12,218.6879796,0.0,0.0
2024-10-13,226.8936978,0.0,0.0
2024-10-14,201.6315799,0.0,0.0
2024-10-15,201.7063801,0.0,0.0
2024-10-16,189.8240251,0.0,0.0
2024-10-17,198.3843977,0.0,0.0
2024-10-18,206.9078894,0.0,0.0
2024-10-19,213.9264305,0.0,0.0
2024-10-20,225.6310391,0.0,0.0
2024-10-21,195.3406155,0.0,0.0
2024-10-22,203.6606721,0.0,0.0
2024-10-23,200.5767976,0.0,0.0
2024-10-24,204.1584889,0.0,0.0
2024-10-25,213.4649728,0.0,0.0
2024-10-26,215.5862124,0.0,0.0
2024-10-27,230.1898011,0.0,0.0
2024-10-28,198.629815,0.0,0.0
2024-10-29,197.3976356,0.0,0.0
2024-10-30,197.6409826,0.0,0.0
2024-11-01,105.2342007,0.0,0.0
2024-11-02,209.5099475,0.0,0.0
2024-11-03,223.4214818,0.0,0.0
2024-11-04,194.1120328,0.0,0.0
2024-11-05,194.8007135,0.0,0.0
2024-11-06,190.5697547,0.0,0.0
2024-11-07,193.8347318,0.0,0.0
2024-11-08,202.064928,0.0,0.0
2024-11-09,206.0885371,0.0,0.0
2024-11-10,220.9226119,0.0,0.0
2024-11-11,201.5605569,0.0,0.0
2024-11-12,193.6341014,0.0,0.0
2024-11-13,191.2394365,0.0,0.0
2024-11-14,190.220738,0.0,0.0
2024-11-15,200.1221786,0.0,0.0
2024-11-16,206.5326229,0.0,0.0
2024-11-17,213.6280639,0.0,0.0
2024-11-18,191.6670277,0.0,0.0
2024-11-19,194.1597343,0.0,0.0
2024-11-20,189.7421281,0.0,0.0
2024-11-21,192.3130896,0.0,0.0
2024-11-22,199.7063442,0.0,0.0
2024-11-23,207.3779903,0.0,0.0
2024-11-24,215.0167405,0.0,0.0
2024-11-25,199.5523905,0.0,0.0
2024-11-26,201.6371597,0.0,0.0
2024-11-27,220.9548283,0.0,0.0
2024-11-28,200.5024643,0.0,0.0
2024-11-29,200.1765845,0.0,0.0
2024-11-30,202.4352879,0.0,0.0
2024-12-01,215.5373032,0.0,0.0
2024-12-02,195.3460333,0.0,0.0
2024-12-03,193.9269869,0.0,0.0
2024-12-04,195.5084799,0.0,0.0
2024-12-05,194.5530185,0.0,0.0
2024-12-06,201.2934237,0.0,0.0
2024-12-07,208.4784472,0.0,0.0
2024-12-08,219.0216186,0.0,0.0
2024-12-09,198.9002154,0.0,0.0
2024-12-10,200.3891843,0.0,0.0
2024-12-11,199.1717468,0.0,0.0
2024-12-12,209.2180933,0.0,0.0
2024-12-13,200.2546071,0.0,0.0
2024-12-14,213.1364482,0.0,0.0
2024-12-15,221.6917756,0.0,0.0
2024-12-16,198.1857214,0.0,0.0
2024-12-17,198.8997695,0.0,0.0
2024-12-18,203.7631285,0.0,0.0
2024-12-19,200.1728584,0.0,0.0
2024-12-20,203.6396023,0.0,0.0
2024-12-21,209.7019845,0.0,0.0
2024-12-22,209.7019845,0.0,0.0
2024-12-23,208.7648786,0.0,0.0
2024-12-24,208.215599,0.0,0.0
2024-12-25,208.215599,0.0,0.0
2024-12-26,215.2704775,0.0,0.0
2024-12-27,215.7886828,0.0,0.0
2024-12-28,227.0084967,0.0,0.0
2024-12-29,231.5048798,0.0,0.0
2024-12-30,222.3977254,0.0,0.0
2024-12-31,225.7460852,0.0,0.0
2025-01-01,236.62,0.0,0.0
2025-01-02,209.63,0.0,0.0
2025-01-03,208.18,0.0,0.0
2025-01-04,210.31,0.0,0.0
2025-01-05,209.49,0.0,0.0
2025-01-06,193.1,0.0,0.0
2025-01-07,185.6,0.0,0.0
2025-01-08,187.75,0.0,0.0
2025-01-09,187.73,0.0,0.0
2025-01-10,190.34,0.0,0.0
2025-01-11,196.6,0.0,0.0
2025-01-12,208.3,0.0,0.0
2025-01-13,180.94,0.0,0.0
2025-01-14,181.78,0.0,0.0
2025-01-15,179.41,0.0,0.0
2025-01-16,173.95,0.0,0.0
2025-01-17,183.48,0.0,0.0
2025-01-18,192.32,0.0,0.0
2025-01-19,201.46,0.0,0.0
2025-01-20,180.64,0.0,0.0
2025-01-21,186.35,0.0,0.0
2025-01-22,183.13,0.0,0.0
