Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,71.1706551,0.0,0.0
2024-10-02,70.32723659,0.0,0.0
2024-10-03,70.6529229,0.0,0.0
2024-10-04,72.54332899,0.0,0.0
2024-10-05,73.81871698,0.0,0.0
2024-10-06,77.98213452,0.0,0.0
2024-10-07,70.14800257,0.0,0.0
2024-10-08,70.01613411,0.0,0.0
2024-10-09,71.52769687,0.0,0.0
2024-10-10,74.94009053,0.0,0.0
2024-10-11,75.82568353,0.0,0.0
2024-10-12,74.38582045,0.0,0.0
2024-10-13,76.28162796,0.0,0.0
2024-10-14,69.93803483,0.0,0.0
2024-10-15,71.29952949,0.0,0.0
2024-10-16,70.68847042,0.0,0.0
2024-10-17,70.69242666,0.0,0.0
2024-10-18,74.7216002,0.0,0.0
2024-10-19,75.00026714,0.0,0.0
2024-10-20,79.55508912,0.0,0.0
2024-10-21,71.63577856,0.0,0.0
2024-10-22,72.05409278,0.0,0.0
2024-10-23,71.28678468,0.0,0.0
2024-10-24,73.92721487,0.0,0.0
2024-10-25,77.4306149,0.0,0.0
2024-10-26,74.43744852,0.0,0.0
2024-10-27,79.06029943,0.0,0.0
2024-10-28,69.75411119,0.0,0.0
2024-10-29,69.52196641,0.0,0.0
2024-10-30,68.77109309,0.0,0.0
2024-11-01,33.88118401,0.0,0.0
2024-11-02,70.11828375,0.0,0.0
2024-11-03,72.82102337,0.0,0.0
2024-11-04,66.94282638,0.0,0.0
2024-11-05,65.83859565,0.0,0.0
2024-11-06,65.88263163,0.0,0.0
2024-11-07,66.20065195,0.0,0.0
2024-11-08,68.16898445,0.0,0.0
2024-11-09,71.14618707,0.0,0.0
2024-11-10,73.96524932,0.0,0.0
2024-11-11,68.62997783,0.0,0.0
2024-11-12,66.48085749,0.0,0.0
2024-11-13,66.4986111,0.0,0.0
2024-11-14,66.01265808,0.0,0.0
2024-11-15,68.99923065,0.0,0.0
2024-11-16,67.20614928,0.0,0.0
2024-11-17,70.8308619,0.0,0.0
2024-11-18,64.97213593,0.0,0.0
2024-11-19,66.94024536,0.0,0.0
2024-11-20,66.23597452,0.0,0.0
2024-11-21,66.25092524,0.0,0.0
2024-11-22,68.31518887,0.0,0.0
2024-11-23,68.35587849,0.0,0.0
2024-11-24,70.00914253,0.0,0.0
2024-11-25,66.35906457,0.0,0.0
2024-11-26,68.22191172,0.0,0.0
2024-11-27,75.80594827,0.0,0.0
2024-11-28,69.80937168,0.0,0.0
2024-11-29,68.91076059,0.0,0.0
2024-11-30,69.50193948,0.0,0.0
2024-12-01,69.78784929,0.0,0.0
2024-12-02,66.82920513,0.0,0.0
2024-12-03,66.40339383,0.0,0.0
2024-12-04,67.43827768,0.0,0.0
2024-12-05,69.55555559,0.0,0.0
2024-12-06,71.95257705,0.0,0.0
2024-12-07,72.08773563,0.0,0.0
2024-12-08,78.35969029,0.0,0.0
2024-12-09,71.94781721,0.0,0.0
2024-12-10,69.38106308,0.0,0.0
2024-12-11,72.87709343,0.0,0.0
