Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,51.29253987,0.0,0.0
2024-10-02,52.02680958,0.0,0.0
2024-10-03,49.50157509,0.0,0.0
2024-10-04,53.0033253,0.0,0.0
2024-10-05,56.93329892,0.0,0.0
2024-10-06,58.41949334,0.0,0.0
2024-10-07,50.82238585,0.0,0.0
2024-10-08,52.32685487,0.0,0.0
2024-10-09,54.18707193,0.0,0.0
2024-10-10,59.18842994,0.0,0.0
2024-10-11,58.75369615,0.0,0.0
2024-10-12,56.71728254,0.0,0.0
2024-10-13,57.46376942,0.0,0.0
2024-10-14,51.79757063,0.0,0.0
2024-10-15,54.05175153,0.0,0.0
2024-10-16,50.19028367,0.0,0.0
2024-10-17,52.53134111,0.0,0.0
2024-10-18,54.63062541,0.0,0.0
2024-10-19,55.92874636,0.0,0.0
2024-10-20,58.56089092,0.0,0.0
2024-10-21,49.92471926,0.0,0.0
2024-10-22,52.9271095,0.0,0.0
2024-10-23,52.32360304,0.0,0.0
2024-10-24,53.60926764,0.0,0.0
2024-10-25,56.7429049,0.0,0.0
2024-10-26,55.66773226,0.0,0.0
2024-10-27,59.7881096,0.0,0.0
2024-10-28,51.81344862,0.0,0.0
2024-10-29,51.47145328,0.0,0.0
2024-10-30,51.60487462,0.0,0.0
2024-11-01,24.89349473,0.0,0.0
2024-11-02,53.86154623,0.0,0.0
2024-11-03,56.55930338,0.0,0.0
2024-11-04,49.55945386,0.0,0.0
2024-11-05,49.62182089,0.0,0.0
2024-11-06,50.00615718,0.0,0.0
2024-11-07,50.38123437,0.0,0.0
2024-11-08,52.20865056,0.0,0.0
2024-11-09,52.5117194,0.0,0.0
2024-11-10,54.06453333,0.0,0.0
2024-11-11,49.39295673,0.0,0.0
2024-11-12,49.27201967,0.0,0.0
2024-11-13,49.1664305,0.0,0.0
2024-11-14,48.36665902,0.0,0.0
2024-11-15,52.63175893,0.0,0.0
2024-11-16,52.13760696,0.0,0.0
2024-11-17,53.35920991,0.0,0.0
2024-11-18,48.22304172,0.0,0.0
2024-11-19,53.77679022,0.0,0.0
2024-11-20,51.12606528,0.0,0.0
2024-11-21,52.29994996,0.0,0.0
2024-11-22,53.87839005,0.0,0.0
2024-11-23,54.9866118,0.0,0.0
2024-11-24,56.83182319,0.0,0.0
2024-11-25,53.58473869,0.0,0.0
2024-11-26,55.67045928,0.0,0.0
2024-11-27,61.38864875,0.0,0.0
2024-11-28,56.5497229,0.0,0.0
