Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,0.036032308,0.0,0.0
2024-10-02,0.026335874,0.0,0.0
2024-10-03,0.04856845,0.0,0.0
2024-10-04,0.051153036,0.0,0.0
2024-10-05,0.090736481,0.0,0.0
2024-10-06,0.044739202,0.0,0.0
2024-10-07,0.023053913,0.0,0.0
2024-10-08,0.036990214,0.0,0.0
2024-10-09,0.05433149,0.0,0.0
2024-10-10,0.044750046,0.0,0.0
2024-10-11,0.03060479,0.0,0.0
2024-10-12,0.040628175,0.0,0.0
2024-10-13,0.072151823,0.0,0.0
2024-10-14,0.056577176,0.0,0.0
2024-10-15,0.05269281,0.0,0.0
2024-10-16,0.041488912,0.0,0.0
2024-10-17,0.055090891,0.0,0.0
2024-10-18,0.051056455,0.0,0.0
2024-10-19,0.047736448,0.0,0.0
2024-10-20,0.050956756,0.0,0.0
2024-10-21,0.037265886,0.0,0.0
2024-10-22,0.054561407,0.0,0.0
2024-10-23,0.049727954,0.0,0.0
2024-10-24,0.052122811,0.0,0.0
2024-10-25,0.053498823,0.0,0.0
2024-10-26,0.056343404,0.0,0.0
2024-10-27,0.050759686,0.0,0.0
2024-10-28,0.028559507,0.0,0.0
2024-10-29,0.035740428,0.0,0.0
2024-10-30,0.033323088,0.0,0.0
2024-11-01,0.02594427,0.0,0.0
2024-11-02,0.052808685,0.0,0.0
2024-11-03,0.058332115,0.0,0.0
2024-11-04,0.045374704,0.0,0.0
2024-11-05,0.037494817,0.0,0.0
2024-11-06,0.031637395,0.0,0.0
2024-11-07,0.035263077,0.0,0.0
2024-11-08,0.040587069,0.0,0.0
2024-11-09,0.042919169,0.0,0.0
2024-11-10,0.042780241,0.0,0.0
2024-11-11,0.041373636,0.0,0.0
2024-11-12,0.032580845,0.0,0.0
2024-11-13,0.015673981,0.0,0.0
2024-11-14,0.05911353,0.0,0.0
2024-11-15,0.066636946,0.0,0.0
2024-11-16,0.062363307,0.0,0.0
2024-11-17,0.035223357,0.0,0.0
2024-11-18,0.035297089,0.0,0.0
2024-11-19,0.069462397,0.0,0.0
2024-11-20,0.036276397,0.0,0.0
2024-11-21,0.03273556,0.0,0.0
2024-11-22,0.045888062,0.0,0.0
2024-11-23,0.065098408,0.0,0.0
2024-11-24,0.075774761,0.0,0.0
2024-11-25,0.055250454,0.0,0.0
2024-11-26,0.059043315,0.0,0.0
2024-11-27,0.059149412,0.0,0.0
2024-11-28,0.051429244,0.0,0.0
2024-11-29,0.044539973,0.0,0.0
2024-11-30,0.0399681,0.0,0.0
2024-12-01,0.026057136,0.0,0.0
2024-12-02,0.035092749,0.0,0.0
2024-12-03,0.042480765,0.0,0.0
2024-12-04,0.045400425,0.0,0.0
2024-12-05,0.03369146,0.0,0.0
2024-12-06,0.035843867,0.0,0.0
2024-12-07,0.033826916,0.0,0.0
2024-12-08,0.032973358,0.0,0.0
2024-12-09,0.025484075,0.0,0.0
2024-12-10,0.036688809,0.0,0.0
2024-12-11,0.036450612,0.0,0.0
2024-12-12,0.045702807,0.0,0.0
2024-12-13,0.051748997,0.0,0.0
2024-12-14,0.03644547,0.0,0.0
2024-12-15,0.043699436,0.0,0.0
2024-12-16,0.023556828,0.0,0.0
2024-12-17,0.036827882,0.0,0.0
2024-12-18,0.019787947,0.0,0.0
2024-12-19,0.027670046,0.0,0.0
2024-12-20,0.017437751,0.0,0.0
2024-12-21,0.019031704,0.0,0.0
2024-12-22,0.019031704,0.0,0.0
2024-12-23,0.019869907,0.0,0.0
2024-12-24,0.030216637,0.0,0.0
2024-12-25,0.030216637,0.0,0.0
2024-12-26,0.028710693,0.0,0.0
2024-12-27,0.033032796,0.0,0.0
2024-12-28,0.041721897,0.0,0.0
2024-12-29,0.047898621,0.0,0.0
2024-12-30,0.024974744,0.0,0.0
2024-12-31,0.025849274,0.0,0.0
2025-01-01,0.02,0.0,0.0
2025-01-02,0.03,0.0,0.0
2025-01-03,0.04,0.0,0.0
2025-01-04,0.02,0.0,0.0
2025-01-05,0.03,0.0,0.0
2025-01-06,0.02,0.0,0.0
2025-01-07,0.02,0.0,0.0
2025-01-08,0.02,0.0,0.0
2025-01-09,0.02,0.0,0.0
2025-01-10,0.03,0.0,0.0
2025-01-11,0.02,0.0,0.0
2025-01-12,0.03,0.0,0.0
2025-01-13,0.02,0.0,0.0
2025-01-14,0.02,0.0,0.0
2025-01-15,0.02,0.0,0.0
2025-01-16,0.02,0.0,0.0
2025-01-17,0.03,0.0,0.0
2025-01-18,0.03,0.0,0.0
2025-01-19,0.02,0.0,0.0
2025-01-20,0.01,0.0,0.0
2025-01-21,0.02,0.0,0.0
2025-01-22,0.02,0.0,0.0
2025-01-23,0.03,0.0,0.0
2025-01-24,0.02,0.0,0.0
2025-01-25,0.03,0.0,0.0
2025-01-26,0.03,0.0,0.0
