Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,212.1761794,0.0,0.0
2024-10-02,211.4664661,0.0,0.0
2024-10-03,197.0274875,0.0,0.0
2024-10-04,202.1012842,0.0,0.0
2024-10-05,240.2190072,0.0,0.0
2024-10-06,255.273021,0.0,0.0
2024-10-07,207.9889109,0.0,0.0
2024-10-08,211.7290655,0.0,0.0
2024-10-09,212.3856763,0.0,0.0
2024-10-10,219.1251353,0.0,0.0
2024-10-11,225.828501,0.0,0.0
2024-10-12,238.6144983,0.0,0.0
2024-10-13,251.5012185,0.0,0.0
2024-10-14,210.8109462,0.0,0.0
2024-10-15,212.2030805,0.0,0.0
2024-10-16,198.1496051,0.0,0.0
2024-10-17,208.9452014,0.0,0.0
2024-10-18,216.2456705,0.0,0.0
2024-10-19,236.355774,0.0,0.0
2024-10-20,255.8173819,0.0,0.0
2024-10-21,203.5738971,0.0,0.0
2024-10-22,211.2222436,0.0,0.0
2024-10-23,210.4289327,0.0,0.0
2024-10-24,217.5038813,0.0,0.0
2024-10-25,223.6558705,0.0,0.0
2024-10-26,237.3811671,0.0,0.0
2024-10-27,260.641315,0.0,0.0
2024-10-28,208.0205085,0.0,0.0
2024-10-29,208.7095215,0.0,0.0
2024-10-30,210.8349491,0.0,0.0
2024-11-01,111.8332401,0.0,0.0
2024-11-02,231.464231,0.0,0.0
2024-11-03,244.0641838,0.0,0.0
2024-11-04,202.6562775,0.0,0.0
2024-11-05,203.4141973,0.0,0.0
2024-11-06,203.5174312,0.0,0.0
2024-11-07,205.9040822,0.0,0.0
2024-11-08,211.461824,0.0,0.0
2024-11-09,233.4275823,0.0,0.0
2024-11-10,247.771287,0.0,0.0
2024-11-11,208.8212113,0.0,0.0
2024-11-12,207.9886965,0.0,0.0
2024-11-13,207.9348995,0.0,0.0
2024-11-14,207.3254854,0.0,0.0
2024-11-15,215.930011,0.0,0.0
2024-11-16,233.9613532,0.0,0.0
2024-11-17,244.0836828,0.0,0.0
2024-11-18,204.0414931,0.0,0.0
2024-11-19,214.4705809,0.0,0.0
2024-11-20,203.7154436,0.0,0.0
2024-11-21,207.4107797,0.0,0.0
2024-11-22,216.1953905,0.0,0.0
2024-11-23,233.8916663,0.0,0.0
2024-11-24,247.1572182,0.0,0.0
2024-11-25,206.3193999,0.0,0.0
2024-11-26,213.0400984,0.0,0.0
2024-11-27,243.404025,0.0,0.0
2024-11-28,207.3602637,0.0,0.0
2024-11-29,210.9162619,0.0,0.0
2024-11-30,232.952516,0.0,0.0
2024-12-01,240.9586602,0.0,0.0
2024-12-02,203.7600091,0.0,0.0
2024-12-03,207.2227711,0.0,0.0
2024-12-04,209.2444706,0.0,0.0
2024-12-05,213.0069338,0.0,0.0
2024-12-06,211.8703959,0.0,0.0
2024-12-07,233.1065154,0.0,0.0
2024-12-08,251.0395835,0.0,0.0
2024-12-09,210.0509478,0.0,0.0
2024-12-10,213.4708225,0.0,0.0
2024-12-11,211.6255914,0.0,0.0
2024-12-12,222.9430281,0.0,0.0
2024-12-13,213.7925719,0.0,0.0
2024-12-14,237.6260871,0.0,0.0
2024-12-15,257.1307187,0.0,0.0
2024-12-16,211.7130402,0.0,0.0
2024-12-17,216.2627461,0.0,0.0
2024-12-18,214.5897872,0.0,0.0
2024-12-19,214.3609372,0.0,0.0
2024-12-20,219.9400142,0.0,0.0
2024-12-21,238.6221042,0.0,0.0
2024-12-22,238.6221042,0.0,0.0
2024-12-23,223.8103672,0.0,0.0
2024-12-24,224.6901724,0.0,0.0
2024-12-25,224.6901724,0.0,0.0
2024-12-26,227.2826577,0.0,0.0
2024-12-27,225.9013641,0.0,0.0
2024-12-28,243.6680195,0.0,0.0
2024-12-29,254.5800559,0.0,0.0
2024-12-30,223.2617192,0.0,0.0
2024-12-31,228.124389,0.0,0.0
2025-01-01,262.56,0.0,0.0
2025-01-02,212.22,0.0,0.0
2025-01-03,210.78,0.0,0.0
2025-01-04,226.03,0.0,0.0
2025-01-05,235.8,0.0,0.0
2025-01-06,199.96,0.0,0.0
2025-01-07,196.88,0.0,0.0
2025-01-08,196.11,0.0,0.0
2025-01-09,198.97,0.0,0.0
2025-01-10,206.6,0.0,0.0
2025-01-11,224.89,0.0,0.0
2025-01-12,237.56,0.0,0.0
2025-01-13,197.44,0.0,0.0
2025-01-14,198.49,0.0,0.0
2025-01-15,199.16,0.0,0.0
2025-01-16,194.18,0.0,0.0
2025-01-17,204.9,0.0,0.0
2025-01-18,221.48,0.0,0.0
2025-01-19,237.01,0.0,0.0
2025-01-20,198.26,0.0,0.0
2025-01-21,197.33,0.0,0.0
2025-01-22,199.6,0.0,0.0
2025-01-23,199.23,0.0,0.0
2025-01-24,204.1,0.0,0.0
2025-01-25,217.97,0.0,0.0
