Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,551.1420301,0.0,0.0
2024-10-02,551.7216047,0.0,0.0
2024-10-03,551.6344401,0.0,0.0
2024-10-04,564.0930935,0.0,0.0
2024-10-05,589.1310586,0.0,0.0
2024-10-06,605.1178869,0.0,0.0
2024-10-07,545.5303257,0.0,0.0
2024-10-08,555.6609832,0.0,0.0
2024-10-09,557.628732,0.0,0.0
2024-10-10,571.7855699,0.0,0.0
2024-10-11,581.4905449,0.0,0.0
2024-10-12,584.8128566,0.0,0.0
2024-10-13,602.1721598,0.0,0.0
2024-10-14,548.5036905,0.0,0.0
2024-10-15,556.4567693,0.0,0.0
2024-10-16,546.5117586,0.0,0.0
2024-10-17,554.217975,0.0,0.0
2024-10-18,569.1415531,0.0,0.0
2024-10-19,584.7304037,0.0,0.0
2024-10-20,608.6871388,0.0,0.0
2024-10-21,553.8013689,0.0,0.0
2024-10-22,563.3722777,0.0,0.0
2024-10-23,565.0805832,0.0,0.0
2024-10-24,578.9388115,0.0,0.0
2024-10-25,590.7775573,0.0,0.0
2024-10-26,591.9404438,0.0,0.0
2024-10-27,623.6483475,0.0,0.0
2024-10-28,553.8381525,0.0,0.0
2024-10-29,559.8163451,0.0,0.0
2024-10-30,558.656558,0.0,0.0
2024-11-01,270.8642372,0.0,0.0
2024-11-02,575.742457,0.0,0.0
2024-11-03,590.5801241,0.0,0.0
2024-11-04,538.8563114,0.0,0.0
2024-11-05,539.2179163,0.0,0.0
2024-11-06,545.1474409,0.0,0.0
2024-11-07,547.4775632,0.0,0.0
2024-11-08,559.4002454,0.0,0.0
2024-11-09,581.4294177,0.0,0.0
2024-11-10,597.26469,0.0,0.0
2024-11-11,555.6192174,0.0,0.0
2024-11-12,549.8124139,0.0,0.0
2024-11-13,553.2624434,0.0,0.0
2024-11-14,547.5680283,0.0,0.0
2024-11-15,561.3069956,0.0,0.0
2024-11-16,568.1463123,0.0,0.0
2024-11-17,590.0232955,0.0,0.0
2024-11-18,536.5299334,0.0,0.0
2024-11-19,551.5040084,0.0,0.0
2024-11-20,544.9342941,0.0,0.0
2024-11-21,549.7820634,0.0,0.0
2024-11-22,565.0621112,0.0,0.0
2024-11-23,586.6267351,0.0,0.0
2024-11-24,603.095789,0.0,0.0
2024-11-25,556.3541477,0.0,0.0
2024-11-26,558.9312563,0.0,0.0
2024-11-27,607.4218275,0.0,0.0
2024-11-28,554.81509,0.0,0.0
2024-11-29,559.5979446,0.0,0.0
2024-11-30,575.5638368,0.0,0.0
2024-12-01,589.0176241,0.0,0.0
2024-12-02,536.7740399,0.0,0.0
2024-12-03,549.0554838,0.0,0.0
2024-12-04,559.4242003,0.0,0.0
2024-12-05,572.6196767,0.0,0.0
2024-12-06,573.8625962,0.0,0.0
2024-12-07,593.9971868,0.0,0.0
2024-12-08,622.8107695,0.0,0.0
2024-12-09,553.9414179,0.0,0.0
2024-12-10,572.0086493,0.0,0.0
2024-12-11,571.3989286,0.0,0.0
2024-12-12,591.95716,0.0,0.0
2024-12-13,576.2991067,0.0,0.0
2024-12-14,592.6976502,0.0,0.0
2024-12-15,610.6063849,0.0,0.0
2024-12-16,565.8362765,0.0,0.0
2024-12-17,571.1471034,0.0,0.0
2024-12-18,567.2948077,0.0,0.0
2024-12-19,568.0261982,0.0,0.0
2024-12-20,574.6149672,0.0,0.0
2024-12-21,599.3551221,0.0,0.0
2024-12-22,599.3551221,0.0,0.0
2024-12-23,571.3097713,0.0,0.0
2024-12-24,583.8644688,0.0,0.0
2024-12-25,583.8644688,0.0,0.0
2024-12-26,577.435363,0.0,0.0
2024-12-27,571.7719655,0.0,0.0
2024-12-28,574.3783948,0.0,0.0
2024-12-29,580.5103291,0.0,0.0
2024-12-30,555.0548534,0.0,0.0
2024-12-31,557.2937763,0.0,0.0
2025-01-01,600.92,0.0,0.0
2025-01-02,547.5,0.0,0.0
2025-01-03,539.36,0.0,0.0
2025-01-04,565.04,0.0,0.0
2025-01-05,587.77,0.0,0.0
2025-01-06,532.75,0.0,0.0
2025-01-07,531.02,0.0,0.0
2025-01-08,529.99,0.0,0.0
2025-01-09,534.06,0.0,0.0
2025-01-10,547.85,0.0,0.0
2025-01-11,575.84,0.0,0.0
2025-01-12,579.92,0.0,0.0
2025-01-13,524.08,0.0,0.0
2025-01-14,537.35,0.0,0.0
2025-01-15,526.8,0.0,0.0
2025-01-16,532.39,0.0,0.0
2025-01-17,541.98,0.0,0.0
2025-01-18,557.27,0.0,0.0
2025-01-19,577.26,0.0,0.0
2025-01-20,519.58,0.0,0.0
2025-01-21,526.78,0.0,0.0
