Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,10.37312307,0.0,0.0
2024-10-02,10.16389117,0.0,0.0
2024-10-03,10.56988105,0.0,0.0
2024-10-04,10.22636899,0.0,0.0
2024-10-05,10.86827273,0.0,0.0
2024-10-06,11.17289675,0.0,0.0
2024-10-07,10.0397778,0.0,0.0
2024-10-08,10.28890204,0.0,0.0
2024-10-09,10.25996446,0.0,0.0
2024-10-10,10.76066187,0.0,0.0
2024-10-11,11.29671702,0.0,0.0
2024-10-12,11.24385617,0.0,0.0
2024-10-13,11.65846335,0.0,0.0
2024-10-14,10.83309807,0.0,0.0
2024-10-15,11.16383834,0.0,0.0
2024-10-16,10.64638606,0.0,0.0
2024-10-17,10.96587408,0.0,0.0
2024-10-18,10.76783528,0.0,0.0
2024-10-19,10.67911356,0.0,0.0
2024-10-20,11.37238139,0.0,0.0
2024-10-21,10.64846837,0.0,0.0
2024-10-22,10.75568886,0.0,0.0
2024-10-23,10.8257229,0.0,0.0
2024-10-24,10.90011837,0.0,0.0
2024-10-25,11.21368678,0.0,0.0
2024-10-26,11.23191272,0.0,0.0
2024-10-27,12.10560934,0.0,0.0
2024-10-28,10.81950048,0.0,0.0
2024-10-29,10.78784015,0.0,0.0
2024-10-30,10.93259982,0.0,0.0
2024-11-01,5.282753456,0.0,0.0
2024-11-02,10.99960131,0.0,0.0
2024-11-03,11.16713486,0.0,0.0
2024-11-04,10.59180049,0.0,0.0
2024-11-05,10.33783604,0.0,0.0
2024-11-06,10.84886835,0.0,0.0
2024-11-07,11.02980754,0.0,0.0
2024-11-08,11.43684128,0.0,0.0
2024-11-09,10.80095876,0.0,0.0
2024-11-10,12.18958315,0.0,0.0
2024-11-11,10.99188211,0.0,0.0
2024-11-12,11.38666703,0.0,0.0
2024-11-13,11.548992,0.0,0.0
2024-11-14,12.15744542,0.0,0.0
2024-11-15,12.05777046,0.0,0.0
2024-11-16,12.18078297,0.0,0.0
2024-11-17,12.07714382,0.0,0.0
2024-11-18,11.42253901,0.0,0.0
2024-11-19,12.0775511,0.0,0.0
2024-11-20,11.51583243,0.0,0.0
2024-11-21,11.35323907,0.0,0.0
2024-11-22,11.70900692,0.0,0.0
2024-11-23,11.8215521,0.0,0.0
2024-11-24,12.19624979,0.0,0.0
2024-11-25,11.68630127,0.0,0.0
2024-11-26,11.67993121,0.0,0.0
2024-11-27,11.75526684,0.0,0.0
2024-11-28,11.47774765,0.0,0.0
2024-11-29,11.38121325,0.0,0.0
2024-11-30,11.66564376,0.0,0.0
2024-12-01,11.5619587,0.0,0.0
2024-12-02,10.70208702,0.0,0.0
2024-12-03,10.27703557,0.0,0.0
2024-12-04,11.38558114,0.0,0.0
2024-12-05,11.36815499,0.0,0.0
2024-12-06,12.04708248,0.0,0.0
2024-12-07,12.57671345,0.0,0.0
2024-12-08,12.3362079,0.0,0.0
2024-12-09,11.71688568,0.0,0.0
2024-12-10,12.18036752,0.0,0.0
2024-12-11,11.80385835,0.0,0.0
2024-12-12,11.44845565,0.0,0.0
2024-12-13,12.07379705,0.0,0.0
2024-12-14,11.64838308,0.0,0.0
2024-12-15,12.85119984,0.0,0.0
2024-12-16,11.82566623,0.0,0.0
2024-12-17,11.59194957,0.0,0.0
2024-12-18,11.9576267,0.0,0.0
2024-12-19,11.96278539,0.0,0.0
2024-12-20,12.33959511,0.0,0.0
2024-12-21,12.70195794,0.0,0.0
2024-12-22,12.70195794,0.0,0.0
2024-12-23,11.68478751,0.0,0.0
2024-12-24,11.44540953,0.0,0.0
2024-12-25,11.44540953,0.0,0.0
2024-12-26,12.90501992,0.0,0.0
2024-12-27,12.66783739,0.0,0.0
2024-12-28,12.54771711,0.0,0.0
2024-12-29,12.04846634,0.0,0.0
2024-12-30,11.69712,0.0,0.0
2024-12-31,11.38716814,0.0,0.0
2025-01-01,12.57,0.0,0.0
2025-01-02,12.09,0.0,0.0
2025-01-03,12.05,0.0,0.0
2025-01-04,12.1,0.0,0.0
2025-01-05,11.91,0.0,0.0
2025-01-06,11.29,0.0,0.0
2025-01-07,10.36,0.0,0.0
2025-01-08,10.89,0.0,0.0
2025-01-09,10.64,0.0,0.0
2025-01-10,11.83,0.0,0.0
2025-01-11,11.72,0.0,0.0
2025-01-12,11.87,0.0,0.0
2025-01-13,11.34,0.0,0.0
2025-01-14,10.03,0.0,0.0
2025-01-15,10.86,0.0,0.0
2025-01-16,11.1,0.0,0.0
2025-01-17,10.7,0.0,0.0
2025-01-18,11.5,0.0,0.0
2025-01-19,12.05,0.0,0.0
2025-01-20,10.76,0.0,0.0
2025-01-21,10.55,0.0,0.0
2025-01-22,11.35,0.0,0.0
2025-01-23,10.92,0.0,0.0
2025-01-24,10.84,0.0,0.0
2025-01-25,11.22,0.0,0.0
2025-01-26,9.6,0.0,0.0
2025-01-27,11.54,0.0,0.0
2025-01-28,11.79,0.0,0.0
2025-01-29,11.48,0.0,0.0
2025-01-30,11.35,0.0,0.0
2025-01-31,11.46,0.0,0.0
2025-02-01,11.32,0.0,0.0
2025-02-02,11.76,0.0,0.0
2025-02-03,10.6,0.0,0.0
2025-02-04,10.7,0.0,0.0
2025-02-05,10.79,0.0,0.0
2025-02-06,11.01,0.0,0.0
2025-02-07,9.67,0.0,0.0
2025-02-08,9.26,0.0,0.0
2025-02-09,11.39,0.0,0.0
2025-02-10,10.04,0.0,0.0
2025-02-11,11.07,0.0,0.0
2025-02-12,11.27,0.0,0.0
2025-02-13,10.84,0.0,0.0
2025-02-14,11.3,0.0,0.0
2025-02-15,11.65,0.0,0.0
2025-02-16,11.67,0.0,0.0
2025-02-17,10.97,0.0,0.0
2025-02-18,10.85,0.0,0.0
2025-02-19,11.05,0.0,0.0
2025-02-20,11.35,0.0,0.0
2025-02-21,11.54,0.0,0.0
2025-02-22,11.06,0.0,0.0
2025-02-23,12.14,0.0,0.0
2025-02-24,11.3,0.0,0.0
2025-02-25,11.56,0.0,0.0
2025-02-26,12.22,0.0,0.0
2025-02-27,12.42,0.0,0.0
2025-02-28,11.91,0.0,0.0
2025-03-01,11.7,0.0,0.0
2025-03-02,12.33,0.0,0.0
2025-03-03,11.9,0.0,0.0
2025-03-04,11.88,0.0,0.0
2025-03-05,12.49,0.0,0.0
2025-03-06,12.17,0.0,0.0
2025-03-07,12.47,0.0,0.0
2025-03-08,12.95,0.0,0.0
2025-03-09,13.45,0.0,0.0
2025-03-10,12.53,0.0,0.0
2025-03-11,12.76,0.0,0.0
2025-03-12,12.94,0.0,0.0
2025-03-13,13.48,0.0,0.0
2025-03-14,13.28,0.0,0.0
2025-03-15,13.62,0.0,0.0
2025-03-16,14.6,0.0,0.0
2025-03-17,13.73,0.0,0.0
2025-03-18,13.67,0.0,0.0
2025-03-19,14.33,0.0,0.0
2025-03-20,14.79,0.0,0.0
2025-03-21,15.2,0.0,0.0
2025-03-22,15.1,0.0,0.0
2025-03-23,15.72,0.0,0.0
2025-03-24,15.67,0.0,0.0
2025-03-25,15.38,0.0,0.0
2025-03-26,15.43,0.0,0.0
2025-03-27,15.12,0.0,0.0
2025-03-28,14.75,0.0,0.0
2025-03-29,15.34,0.0,0.0
2025-03-30,15.67,0.0,0.0
2025-03-31,15.85,0.0,0.0
2025-04-01,15.11,0.0,0.0
2025-04-02,15.68,0.0,0.0
2025-04-03,16.22508466,0.0,0.0
2025-04-04,16.0258217,0.0,0.0
