Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,35.02673987,0.0,0.0
2024-10-02,34.33715445,0.0,0.0
2024-10-03,34.9767125,0.0,0.0
2024-10-04,35.42071149,0.0,0.0
2024-10-05,36.18946202,0.0,0.0
2024-10-06,36.30287724,0.0,0.0
2024-10-07,34.58102177,0.0,0.0
2024-10-08,34.69684624,0.0,0.0
2024-10-09,35.00181525,0.0,0.0
2024-10-10,36.17716872,0.0,0.0
2024-10-11,37.43600176,0.0,0.0
2024-10-12,35.37172383,0.0,0.0
2024-10-13,35.31273931,0.0,0.0
2024-10-14,34.45868651,0.0,0.0
2024-10-15,35.27279902,0.0,0.0
2024-10-16,34.26775293,0.0,0.0
2024-10-17,35.11850867,0.0,0.0
2024-10-18,35.550852,0.0,0.0
2024-10-19,36.03754174,0.0,0.0
2024-10-20,36.7216513,0.0,0.0
2024-10-21,35.72521703,0.0,0.0
2024-10-22,35.12337398,0.0,0.0
2024-10-23,35.52676598,0.0,0.0
2024-10-24,36.8651419,0.0,0.0
2024-10-25,37.98881966,0.0,0.0
2024-10-26,36.72657977,0.0,0.0
2024-10-27,37.6868047,0.0,0.0
2024-10-28,35.07567586,0.0,0.0
2024-10-29,34.86076785,0.0,0.0
2024-10-30,34.81501098,0.0,0.0
2024-11-01,16.29207469,0.0,0.0
2024-11-02,34.65045478,0.0,0.0
2024-11-03,35.2497102,0.0,0.0
2024-11-04,33.83541667,0.0,0.0
2024-11-05,33.41177669,0.0,0.0
2024-11-06,33.81987002,0.0,0.0
2024-11-07,34.07707677,0.0,0.0
2024-11-08,34.45176345,0.0,0.0
2024-11-09,35.95949604,0.0,0.0
2024-11-10,35.577403,0.0,0.0
2024-11-11,35.12375484,0.0,0.0
2024-11-12,34.18471272,0.0,0.0
2024-11-13,34.01111128,0.0,0.0
2024-11-14,34.1646519,0.0,0.0
2024-11-15,35.37944763,0.0,0.0
2024-11-16,34.23291304,0.0,0.0
2024-11-17,36.33743744,0.0,0.0
2024-11-18,36.36167327,0.0,0.0
2024-11-19,37.83389442,0.0,0.0
2024-11-20,35.37022349,0.0,0.0
2024-11-21,35.38390971,0.0,0.0
2024-11-22,35.34135938,0.0,0.0
2024-11-23,34.23695086,0.0,0.0
2024-11-24,34.94055618,0.0,0.0
2024-11-25,34.08514041,0.0,0.0
2024-11-26,34.74118461,0.0,0.0
2024-11-27,40.72558264,0.0,0.0
2024-11-28,37.72565128,0.0,0.0
2024-11-29,36.19943225,0.0,0.0
2024-11-30,35.33793105,0.0,0.0
2024-12-01,34.4975812,0.0,0.0
2024-12-02,32.53709566,0.0,0.0
2024-12-03,32.49315913,0.0,0.0
2024-12-04,33.32716042,0.0,0.0
2024-12-05,35.52536559,0.0,0.0
2024-12-06,37.36308336,0.0,0.0
2024-12-07,36.89575542,0.0,0.0
2024-12-08,37.36523374,0.0,0.0
2024-12-09,38.2426897,0.0,0.0
2024-12-10,36.31052442,0.0,0.0
2024-12-11,35.01447029,0.0,0.0
2024-12-12,38.44017155,0.0,0.0
2024-12-13,36.07921994,0.0,0.0
2024-12-14,37.19095125,0.0,0.0
2024-12-15,37.11666089,0.0,0.0
2024-12-16,35.90677645,0.0,0.0
2024-12-17,35.84100641,0.0,0.0
2024-12-18,34.95352036,0.0,0.0
2024-12-19,35.76219928,0.0,0.0
2024-12-20,34.38620797,0.0,0.0
2024-12-21,35.08215405,0.0,0.0
2024-12-22,35.08215405,0.0,0.0
