Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,107.3512939,0.0,0.0
2024-10-02,107.4606361,0.0,0.0
2024-10-03,93.07055941,0.0,0.0
2024-10-04,90.84883448,0.0,0.0
2024-10-05,115.0350143,0.0,0.0
2024-10-06,121.5736838,0.0,0.0
2024-10-07,105.1058816,0.0,0.0
2024-10-08,105.0142751,0.0,0.0
2024-10-09,106.0826032,0.0,0.0
2024-10-10,109.7004525,0.0,0.0
2024-10-11,111.6940572,0.0,0.0
2024-10-12,114.7350295,0.0,0.0
2024-10-13,121.2113526,0.0,0.0
2024-10-14,106.2755153,0.0,0.0
2024-10-15,100.5423295,0.0,0.0
2024-10-16,96.64956717,0.0,0.0
2024-10-17,103.9592524,0.0,0.0
2024-10-18,108.6466696,0.0,0.0
2024-10-19,115.2418268,0.0,0.0
2024-10-20,122.4971948,0.0,0.0
2024-10-21,104.9915134,0.0,0.0
2024-10-22,106.1310077,0.0,0.0
2024-10-23,106.0977684,0.0,0.0
2024-10-24,110.6241699,0.0,0.0
2024-10-25,112.8625756,0.0,0.0
2024-10-26,115.524465,0.0,0.0
2024-10-27,124.7198692,0.0,0.0
2024-10-28,106.2219096,0.0,0.0
2024-10-29,106.4053102,0.0,0.0
2024-10-30,108.3020327,0.0,0.0
2024-11-01,52.27205949,0.0,0.0
2024-11-02,114.0938389,0.0,0.0
2024-11-03,119.661648,0.0,0.0
2024-11-04,104.0570979,0.0,0.0
2024-11-05,103.0461812,0.0,0.0
2024-11-06,103.7844747,0.0,0.0
2024-11-07,102.6300566,0.0,0.0
2024-11-08,106.8861721,0.0,0.0
2024-11-09,113.6062435,0.0,0.0
2024-11-10,118.6071893,0.0,0.0
2024-11-11,104.1689883,0.0,0.0
2024-11-12,103.1934786,0.0,0.0
2024-11-13,104.3678066,0.0,0.0
2024-11-14,103.840957,0.0,0.0
2024-11-15,105.4862261,0.0,0.0
2024-11-16,111.2159461,0.0,0.0
2024-11-17,115.7547592,0.0,0.0
2024-11-18,102.6779944,0.0,0.0
2024-11-19,106.3834067,0.0,0.0
2024-11-20,101.3810545,0.0,0.0
2024-11-21,105.4544447,0.0,0.0
2024-11-22,107.5542348,0.0,0.0
2024-11-23,112.861768,0.0,0.0
2024-11-24,119.9026824,0.0,0.0
2024-11-25,106.2930239,0.0,0.0
2024-11-26,107.9600558,0.0,0.0
2024-11-27,119.7728038,0.0,0.0
2024-11-28,106.4739801,0.0,0.0
2024-11-29,106.7868564,0.0,0.0
2024-11-30,114.7132295,0.0,0.0
2024-12-01,116.3143549,0.0,0.0
2024-12-02,101.965444,0.0,0.0
2024-12-03,100.6213865,0.0,0.0
2024-12-04,103.1499228,0.0,0.0
2024-12-05,107.7087822,0.0,0.0
2024-12-06,106.2536793,0.0,0.0
2024-12-07,111.6736928,0.0,0.0
2024-12-08,119.057592,0.0,0.0
2024-12-09,103.615891,0.0,0.0
2024-12-10,108.6450973,0.0,0.0
2024-12-11,104.9556261,0.0,0.0
2024-12-12,110.4153434,0.0,0.0
2024-12-13,106.7205518,0.0,0.0
2024-12-14,114.105702,0.0,0.0
2024-12-15,119.6653539,0.0,0.0
2024-12-16,105.7024191,0.0,0.0
2024-12-17,104.9025841,0.0,0.0
2024-12-18,105.4310298,0.0,0.0
2024-12-19,107.1849571,0.0,0.0
2024-12-20,107.5822735,0.0,0.0
2024-12-21,113.4138624,0.0,0.0
2024-12-22,113.4138624,0.0,0.0
2024-12-23,111.8594295,0.0,0.0
2024-12-24,113.8283169,0.0,0.0
2024-12-25,113.8283169,0.0,0.0
2024-12-26,115.3006258,0.0,0.0
2024-12-27,115.4501623,0.0,0.0
2024-12-28,119.4536244,0.0,0.0
2024-12-29,125.1110029,0.0,0.0
2024-12-30,114.9427816,0.0,0.0
2024-12-31,118.0558668,0.0,0.0
2025-01-01,126.43,0.0,0.0
2025-01-02,108.11,0.0,0.0
2025-01-03,105.66,0.0,0.0
2025-01-04,108.06,0.0,0.0
2025-01-05,110.62,0.0,0.0
2025-01-06,100.95,0.0,0.0
2025-01-07,98.15,0.0,0.0
2025-01-08,98.0,0.0,0.0
2025-01-09,98.2,0.0,0.0
2025-01-10,100.71,0.0,0.0
2025-01-11,105.69,0.0,0.0
2025-01-12,109.81,0.0,0.0
2025-01-13,96.41,0.0,0.0
2025-01-14,97.22,0.0,0.0
2025-01-15,96.71,0.0,0.0
2025-01-16,98.27,0.0,0.0
2025-01-17,100.1,0.0,0.0
2025-01-18,102.93,0.0,0.0
2025-01-19,109.33,0.0,0.0
2025-01-20,96.81,0.0,0.0
2025-01-21,97.13,0.0,0.0
2025-01-22,96.66,0.0,0.0
2025-01-23,97.43,0.0,0.0
2025-01-24,98.95,0.0,0.0
2025-01-25,104.26,0.0,0.0
2025-01-26,114.91,0.0,0.0
2025-01-27,114.11,0.0,0.0
2025-01-28,103.78,0.0,0.0
2025-01-29,106.43,0.0,0.0
2025-01-30,98.19,0.0,0.0
2025-01-31,97.6,0.0,0.0
2025-02-01,101.46,0.0,0.0
2025-02-02,108.61,0.0,0.0
2025-02-03,94.42,0.0,0.0
2025-02-04,94.69,0.0,0.0
2025-02-05,94.95,0.0,0.0
2025-02-06,96.69,0.0,0.0
2025-02-07,98.8,0.0,0.0
2025-02-08,104.45,0.0,0.0
2025-02-09,107.67,0.0,0.0
2025-02-10,96.38,0.0,0.0
2025-02-11,95.16,0.0,0.0
2025-02-12,96.42,0.0,0.0
2025-02-13,98.16,0.0,0.0
2025-02-14,100.43,0.0,0.0
2025-02-15,102.63,0.0,0.0
2025-02-16,108.7,0.0,0.0
2025-02-17,94.99,0.0,0.0
2025-02-18,95.56,0.0,0.0
2025-02-19,95.52,0.0,0.0
2025-02-20,96.81,0.0,0.0
2025-02-21,100.99,0.0,0.0
2025-02-22,105.95,0.0,0.0
2025-02-23,111.18,0.0,0.0
2025-02-24,98.11,0.0,0.0
2025-02-25,97.77,0.0,0.0
2025-02-26,102.04,0.0,0.0
2025-02-27,100.61,0.0,0.0
2025-02-28,99.67,0.0,0.0
2025-03-01,101.15,0.0,0.0
2025-03-02,110.3,0.0,0.0
2025-03-03,100.34,0.0,0.0
2025-03-04,95.28,0.0,0.0
2025-03-05,99.78,0.0,0.0
2025-03-06,101.25,0.0,0.0
2025-03-07,101.92,0.0,0.0
2025-03-08,107.48,0.0,0.0
2025-03-09,111.74,0.0,0.0
2025-03-10,101.74,0.0,0.0
2025-03-11,98.05,0.0,0.0
2025-03-12,100.34,0.0,0.0
2025-03-13,99.53,0.0,0.0
2025-03-14,102.35,0.0,0.0
2025-03-15,108.72,0.0,0.0
2025-03-16,112.03,0.0,0.0
2025-03-17,102.03,0.0,0.0
2025-03-18,101.1,0.0,0.0
2025-03-19,105.22,0.0,0.0
2025-03-20,105.52,0.0,0.0
2025-03-21,106.62,0.0,0.0
2025-03-22,115.18,0.0,0.0
2025-03-23,118.82,0.0,0.0
2025-03-24,115.14,0.0,0.0
2025-03-25,113.08,0.0,0.0
2025-03-26,123.52,0.0,0.0
2025-03-27,129.61,0.0,0.0
2025-03-28,146.35,0.0,0.0
2025-03-29,152.0,0.0,0.0
2025-03-30,168.06,0.0,0.0
2025-03-31,185.98,0.0,0.0
2025-04-01,191.84,0.0,0.0
2025-04-02,190.52,0.0,0.0
2025-04-03,183.5811642,0.0,0.0
2025-04-04,172.7764359,0.0,0.0
2025-04-05,163.065024,0.0,0.0
2025-04-06,154.0709788,0.0,0.0
2025-04-07,137.7784511,0.0,0.0
2025-04-08,128.5408545,0.0,0.0
2025-04-09,124.7639279,0.0,0.0
2025-04-10,123.1022152,0.0,0.0
2025-04-11,120.3654502,0.0,0.0
2025-04-12,122.5321027,0.0,0.0
2025-04-13,126.0433481,0.0,0.0
2025-04-14,111.5824851,0.0,0.0
2025-04-15,107.9402421,0.0,0.0
2025-04-16,107.8002155,0.0,0.0
2025-04-17,109.8287715,0.0,0.0
2025-04-18,119.8079563,0.0,0.0
2025-04-19,115.514204,0.0,0.0
2025-04-20,119.1949076,0.0,0.0
2025-04-21,106.1803789,0.0,0.0
2025-04-22,105.5192793,0.0,0.0
2025-04-23,106.7627754,0.0,0.0
2025-04-24,108.3324247,0.0,0.0
2025-04-25,109.9433597,0.0,0.0
2025-04-26,115.3569025,0.0,0.0
2025-04-27,120.0085149,0.0,0.0
2025-04-28,104.5565261,0.0,0.0
2025-04-29,104.336875,0.0,0.0
2025-04-30,106.9444115,0.0,0.0
2025-05-01,112.4999825,0.0,0.0
2025-05-02,97.334536,0.0,0.0
2025-05-03,111.9558515,0.0,0.0
2025-05-04,115.604967,0.0,0.0
2025-05-05,103.3775588,0.0,0.0
2025-05-06,105.7421127,0.0,0.0
2025-05-07,107.811566,0.0,0.0
2025-05-08,106.3513165,0.0,0.0
2025-05-09,109.1510552,0.0,0.0
2025-05-10,114.8164021,0.0,0.0
2025-05-11,123.4008231,0.0,0.0
2025-05-12,118.2947158,0.0,0.0
2025-05-13,110.2980216,0.0,0.0
2025-05-14,106.0504656,0.0,0.0
2025-05-15,104.5365455,0.0,0.0
2025-05-16,106.963527,0.0,0.0
2025-05-17,111.7138424,0.0,0.0
2025-05-18,115.5786003,0.0,0.0
2025-05-19,105.0514994,0.0,0.0
2025-05-20,102.9143936,0.0,0.0
2025-05-21,104.9584389,0.0,0.0
2025-05-22,106.8223378,0.0,0.0
2025-05-23,107.3197735,0.0,0.0
2025-05-24,122.0793268,0.0,0.0
2025-05-25,118.6956342,0.0,0.0
2025-05-26,109.044667,0.0,0.0
2025-05-27,103.3225515,0.0,0.0
2025-05-28,106.0020585,0.0,0.0
2025-05-29,114.1423809,0.0,0.0
2025-05-30,109.4450569,0.0,0.0
2025-05-31,114.0716192,0.0,0.0
2025-06-01,114.651239,0.0,0.0
2025-06-02,102.542857,0.0,0.0
2025-06-03,103.3126137,0.0,0.0
2025-06-04,105.6721025,0.0,0.0
2025-06-05,115.2009554,0.0,0.0
2025-06-06,125.0936585,0.0,0.0
2025-06-07,118.804274,0.0,0.0
2025-06-08,122.9295275,0.0,0.0
2025-06-09,109.8206035,0.0,0.0
2025-06-10,105.3011576,0.0,0.0
2025-06-11,106.0560005,0.0,0.0
2025-06-12,109.0102275,0.0,0.0
2025-06-13,107.7243343,0.0,0.0
2025-06-14,116.3795907,0.0,0.0
2025-06-15,117.3739965,0.0,0.0
2025-06-16,105.5535541,0.0,0.0
2025-06-17,106.901242,0.0,0.0
2025-06-18,106.4148463,0.0,0.0
2025-06-19,106.8476531,0.0,0.0
2025-06-20,107.87218,0.0,0.0
2025-06-21,114.3949268,0.0,0.0
2025-06-22,119.9944562,0.0,0.0
2025-06-23,108.6693012,0.0,0.0
2025-06-24,110.1506275,0.0,0.0
2025-06-25,109.5723674,0.0,0.0
2025-06-26,110.5591075,0.0,0.0
2025-06-27,120.5928015,0.0,0.0
2025-06-28,118.0808665,0.0,0.0
2025-06-29,119.8923911,0.0,0.0
2025-06-30,110.4112184,0.0,0.0
2025-07-01,111.7134894,0.0,0.0
2025-07-02,109.5098147,0.0,0.0
2025-07-03,110.0754431,0.0,0.0
2025-07-04,110.0709093,0.0,0.0
2025-07-05,111.3123638,0.0,0.0
2025-07-06,119.5132607,0.0,0.0
2025-07-07,110.434188,0.0,0.0
