Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,11.24931781,0.0,0.0
2024-10-02,11.32417976,0.0,0.0
2024-10-03,11.22248347,0.0,0.0
2024-10-04,11.50168559,0.0,0.0
2024-10-05,11.90283014,0.0,0.0
2024-10-06,12.19535745,0.0,0.0
2024-10-07,10.82157692,0.0,0.0
2024-10-08,11.39958468,0.0,0.0
2024-10-09,11.37213801,0.0,0.0
2024-10-10,12.111404,0.0,0.0
2024-10-11,12.43046438,0.0,0.0
2024-10-12,12.05620223,0.0,0.0
2024-10-13,12.50570619,0.0,0.0
2024-10-14,11.52487601,0.0,0.0
2024-10-15,12.16376241,0.0,0.0
2024-10-16,11.39311846,0.0,0.0
2024-10-17,11.66356896,0.0,0.0
2024-10-18,11.61173089,0.0,0.0
2024-10-19,11.85176531,0.0,0.0
2024-10-20,12.25426845,0.0,0.0
2024-10-21,10.93823766,0.0,0.0
2024-10-22,11.453413,0.0,0.0
2024-10-23,11.67766373,0.0,0.0
2024-10-24,12.10379269,0.0,0.0
2024-10-25,12.29151382,0.0,0.0
2024-10-26,12.00564426,0.0,0.0
2024-10-27,12.96009078,0.0,0.0
2024-10-28,11.41222997,0.0,0.0
2024-10-29,11.66741662,0.0,0.0
2024-10-30,12.10560109,0.0,0.0
2024-11-01,5.901676255,0.0,0.0
2024-11-02,11.43627022,0.0,0.0
2024-11-03,11.72973258,0.0,0.0
2024-11-04,11.33795619,0.0,0.0
2024-11-05,11.47895991,0.0,0.0
2024-11-06,11.5817814,0.0,0.0
2024-11-07,11.22948426,0.0,0.0
2024-11-08,11.8083593,0.0,0.0
2024-11-09,11.63411467,0.0,0.0
2024-11-10,12.34023767,0.0,0.0
2024-11-11,11.5577893,0.0,0.0
2024-11-12,11.77677682,0.0,0.0
2024-11-13,11.3545196,0.0,0.0
2024-11-14,11.52330275,0.0,0.0
2024-11-15,11.71249321,0.0,0.0
2024-11-16,11.67119704,0.0,0.0
2024-11-17,12.08501676,0.0,0.0
2024-11-18,11.07827128,0.0,0.0
2024-11-19,11.77440141,0.0,0.0
2024-11-20,11.27506672,0.0,0.0
2024-11-21,11.78598826,0.0,0.0
2024-11-22,11.79787939,0.0,0.0
2024-11-23,11.66478733,0.0,0.0
2024-11-24,11.85178292,0.0,0.0
2024-11-25,11.95943871,0.0,0.0
2024-11-26,11.95329109,0.0,0.0
2024-11-27,12.48520841,0.0,0.0
2024-11-28,11.72056175,0.0,0.0
2024-11-29,11.81023915,0.0,0.0
2024-11-30,12.03446931,0.0,0.0
2024-12-01,12.56279854,0.0,0.0
2024-12-02,11.40957259,0.0,0.0
2024-12-03,10.27351608,0.0,0.0
2024-12-04,11.88873782,0.0,0.0
2024-12-05,12.15805863,0.0,0.0
2024-12-06,12.31544061,0.0,0.0
2024-12-07,12.01959144,0.0,0.0
2024-12-08,12.79474056,0.0,0.0
2024-12-09,12.19638231,0.0,0.0
2024-12-10,11.63419306,0.0,0.0
2024-12-11,12.4419694,0.0,0.0
2024-12-12,11.95470936,0.0,0.0
2024-12-13,12.20602777,0.0,0.0
2024-12-14,11.99645273,0.0,0.0
2024-12-15,13.15922878,0.0,0.0
2024-12-16,12.13652101,0.0,0.0
2024-12-17,12.20795311,0.0,0.0
2024-12-18,12.06345588,0.0,0.0
2024-12-19,12.58115994,0.0,0.0
2024-12-20,12.40874082,0.0,0.0
2024-12-21,12.36210178,0.0,0.0
2024-12-22,12.36210178,0.0,0.0
2024-12-23,12.55753192,0.0,0.0
2024-12-24,13.00278762,0.0,0.0
2024-12-25,13.00278762,0.0,0.0
2024-12-26,12.96566767,0.0,0.0
2024-12-27,12.69101597,0.0,0.0
2024-12-28,12.47212682,0.0,0.0
2024-12-29,13.01882757,0.0,0.0
2024-12-30,11.82411491,0.0,0.0
2024-12-31,12.42741696,0.0,0.0
2025-01-01,13.14,0.0,0.0
2025-01-02,12.52,0.0,0.0
2025-01-03,12.42,0.0,0.0
2025-01-04,12.23,0.0,0.0
2025-01-05,12.62,0.0,0.0
2025-01-06,12.17,0.0,0.0
2025-01-07,11.7,0.0,0.0
2025-01-08,11.84,0.0,0.0
2025-01-09,12.07,0.0,0.0
2025-01-10,12.49,0.0,0.0
2025-01-11,12.08,0.0,0.0
2025-01-12,12.24,0.0,0.0
2025-01-13,11.62,0.0,0.0
2025-01-14,11.31,0.0,0.0
2025-01-15,11.71,0.0,0.0
2025-01-16,11.83,0.0,0.0
2025-01-17,12.14,0.0,0.0
2025-01-18,12.26,0.0,0.0
2025-01-19,12.45,0.0,0.0
2025-01-20,12.22,0.0,0.0
2025-01-21,11.95,0.0,0.0
2025-01-22,11.73,0.0,0.0
2025-01-23,11.83,0.0,0.0
2025-01-24,11.89,0.0,0.0
2025-01-25,12.03,0.0,0.0
2025-01-26,11.98,0.0,0.0
2025-01-27,11.67,0.0,0.0
2025-01-28,11.44,0.0,0.0
2025-01-29,11.67,0.0,0.0
2025-01-30,11.59,0.0,0.0
2025-01-31,10.96,0.0,0.0
2025-02-01,11.34,0.0,0.0
2025-02-02,11.88,0.0,0.0
2025-02-03,10.74,0.0,0.0
2025-02-04,10.84,0.0,0.0
2025-02-05,10.59,0.0,0.0
2025-02-06,11.28,0.0,0.0
2025-02-07,11.66,0.0,0.0
2025-02-08,12.14,0.0,0.0
2025-02-09,12.15,0.0,0.0
2025-02-10,11.79,0.0,0.0
2025-02-11,11.44,0.0,0.0
2025-02-12,11.51,0.0,0.0
2025-02-13,11.4,0.0,0.0
2025-02-14,11.86,0.0,0.0
2025-02-15,11.53,0.0,0.0
2025-02-16,12.11,0.0,0.0
2025-02-17,11.0,0.0,0.0
2025-02-18,11.1,0.0,0.0
2025-02-19,11.35,0.0,0.0
2025-02-20,11.68,0.0,0.0
2025-02-21,12.05,0.0,0.0
2025-02-22,12.46,0.0,0.0
2025-02-23,12.8,0.0,0.0
2025-02-24,12.47,0.0,0.0
2025-02-25,12.26,0.0,0.0
2025-02-26,13.09,0.0,0.0
2025-02-27,12.97,0.0,0.0
2025-02-28,12.98,0.0,0.0
2025-03-01,13.32,0.0,0.0
2025-03-02,14.19,0.0,0.0
2025-03-03,13.84,0.0,0.0
2025-03-04,13.42,0.0,0.0
2025-03-05,14.03,0.0,0.0
2025-03-06,13.7,0.0,0.0
2025-03-07,14.41,0.0,0.0
2025-03-08,14.66,0.0,0.0
2025-03-09,14.89,0.0,0.0
2025-03-10,13.81,0.0,0.0
2025-03-11,13.85,0.0,0.0
2025-03-12,14.36,0.0,0.0
2025-03-13,14.68,0.0,0.0
2025-03-14,15.12,0.0,0.0
2025-03-15,14.93,0.0,0.0
2025-03-16,15.67,0.0,0.0
2025-03-17,14.65,0.0,0.0
2025-03-18,14.5,0.0,0.0
2025-03-19,15.69,0.0,0.0
2025-03-20,15.69,0.0,0.0
2025-03-21,15.48,0.0,0.0
2025-03-22,16.7,0.0,0.0
2025-03-23,17.2,0.0,0.0
2025-03-24,16.0,0.0,0.0
2025-03-25,15.65,0.0,0.0
2025-03-26,16.12,0.0,0.0
2025-03-27,16.92,0.0,0.0
2025-03-28,17.18,0.0,0.0
2025-03-29,17.95,0.0,0.0
2025-03-30,17.8,0.0,0.0
2025-03-31,17.87,0.0,0.0
2025-04-01,17.64,0.0,0.0
2025-04-02,18.36,0.0,0.0
2025-04-03,18.44649292,0.0,0.0
2025-04-04,18.16709614,0.0,0.0
2025-04-05,17.04125703,0.0,0.0
2025-04-06,17.28864184,0.0,0.0
2025-04-07,16.34234548,0.0,0.0
2025-04-08,16.21186115,0.0,0.0
2025-04-09,15.994445,0.0,0.0
2025-04-10,16.38929289,0.0,0.0
2025-04-11,16.08041896,0.0,0.0
2025-04-12,15.94776345,0.0,0.0
2025-04-13,16.3616617,0.0,0.0
2025-04-14,15.55567178,0.0,0.0
2025-04-15,15.27943797,0.0,0.0
2025-04-16,15.52322349,0.0,0.0
2025-04-17,15.79594779,0.0,0.0
2025-04-18,16.87135829,0.0,0.0
2025-04-19,16.46795094,0.0,0.0
2025-04-20,16.49816667,0.0,0.0
2025-04-21,15.84742196,0.0,0.0
2025-04-22,15.59400317,0.0,0.0
2025-04-23,16.21271901,0.0,0.0
2025-04-24,16.03601411,0.0,0.0
2025-04-25,16.22489246,0.0,0.0
2025-04-26,16.51771871,0.0,0.0
2025-04-27,17.24175721,0.0,0.0
2025-04-28,15.6446712,0.0,0.0
2025-04-29,16.02570429,0.0,0.0
2025-04-30,16.20465158,0.0,0.0
2025-05-01,17.13694399,0.0,0.0
2025-05-02,16.82920316,0.0,0.0
2025-05-03,16.76689104,0.0,0.0
2025-05-04,17.71033292,0.0,0.0
2025-05-05,16.73994481,0.0,0.0
2025-05-06,16.91332655,0.0,0.0
2025-05-07,17.48355774,0.0,0.0
2025-05-08,17.57145418,0.0,0.0
2025-05-09,18.23096842,0.0,0.0
2025-05-10,18.9139741,0.0,0.0
2025-05-11,19.37280994,0.0,0.0
2025-05-12,18.74835039,0.0,0.0
2025-05-13,18.74848966,0.0,0.0
2025-05-14,18.02959009,0.0,0.0
2025-05-15,17.92635903,0.0,0.0
2025-05-16,18.34175087,0.0,0.0
2025-05-17,18.26295543,0.0,0.0
2025-05-18,19.13445126,0.0,0.0
2025-05-19,18.41474601,0.0,0.0
2025-05-20,18.27791476,0.0,0.0
2025-05-21,18.93855467,0.0,0.0
2025-05-22,19.31082992,0.0,0.0
2025-05-23,19.50797715,0.0,0.0
2025-05-24,20.43554079,0.0,0.0
2025-05-25,20.5331855,0.0,0.0
2025-05-26,19.40476594,0.0,0.0
2025-05-27,19.46770833,0.0,0.0
2025-05-28,19.08753017,0.0,0.0
2025-05-29,19.68299291,0.0,0.0
2025-05-30,19.6694747,0.0,0.0
2025-05-31,18.89922609,0.0,0.0
2025-06-01,19.41111772,0.0,0.0
2025-06-02,18.56775043,0.0,0.0
2025-06-03,18.86403776,0.0,0.0
2025-06-04,19.30194346,0.0,0.0
2025-06-05,20.29062642,0.0,0.0
2025-06-06,21.8048724,0.0,0.0
2025-06-07,20.61175996,0.0,0.0
2025-06-08,19.65856435,0.0,0.0
2025-06-09,19.41931891,0.0,0.0
2025-06-10,19.38786276,0.0,0.0
2025-06-11,19.6077061,0.0,0.0
2025-06-12,19.93346477,0.0,0.0
2025-06-13,19.76468191,0.0,0.0
2025-06-14,19.84209106,0.0,0.0
2025-06-15,20.84871122,0.0,0.0
2025-06-16,18.76633106,0.0,0.0
2025-06-17,18.88019381,0.0,0.0
2025-06-18,19.14961768,0.0,0.0
2025-06-19,19.30380054,0.0,0.0
2025-06-20,19.87745347,0.0,0.0
2025-06-21,19.91496021,0.0,0.0
2025-06-22,20.65722809,0.0,0.0
2025-06-23,19.67811039,0.0,0.0
2025-06-24,20.01031622,0.0,0.0
2025-06-25,20.28413793,0.0,0.0
2025-06-26,20.02502014,0.0,0.0
2025-06-27,21.09956236,0.0,0.0
2025-06-28,20.78267843,0.0,0.0
2025-06-29,20.71747256,0.0,0.0
2025-06-30,19.46562923,0.0,0.0
2025-07-01,20.1706866,0.0,0.0
