Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,17.18639449,0.0,0.0
2024-10-02,17.19616243,0.0,0.0
2024-10-03,17.49544511,0.0,0.0
2024-10-04,17.6704096,0.0,0.0
2024-10-05,17.92893751,0.0,0.0
2024-10-06,18.51401979,0.0,0.0
2024-10-07,17.13406843,0.0,0.0
2024-10-08,17.55769667,0.0,0.0
2024-10-09,17.88384543,0.0,0.0
2024-10-10,18.3421209,0.0,0.0
2024-10-11,18.70864042,0.0,0.0
2024-10-12,18.35204678,0.0,0.0
2024-10-13,18.92048855,0.0,0.0
2024-10-14,17.6609687,0.0,0.0
2024-10-15,18.2909774,0.0,0.0
2024-10-16,17.46239327,0.0,0.0
2024-10-17,18.02736638,0.0,0.0
2024-10-18,17.87697923,0.0,0.0
2024-10-19,18.37148652,0.0,0.0
2024-10-20,18.82300761,0.0,0.0
2024-10-21,15.69125346,0.0,0.0
2024-10-22,17.44020803,0.0,0.0
2024-10-23,17.67636547,0.0,0.0
2024-10-24,18.19783403,0.0,0.0
2024-10-25,18.38117261,0.0,0.0
2024-10-26,18.92870698,0.0,0.0
2024-10-27,19.54691783,0.0,0.0
2024-10-28,18.1161843,0.0,0.0
2024-10-29,18.52154134,0.0,0.0
2024-10-30,18.45605566,0.0,0.0
2024-11-01,8.947378298,0.0,0.0
2024-11-02,18.38220732,0.0,0.0
2024-11-03,18.57254022,0.0,0.0
2024-11-04,17.38255896,0.0,0.0
2024-11-05,17.3250527,0.0,0.0
2024-11-06,17.65572598,0.0,0.0
2024-11-07,17.76321614,0.0,0.0
2024-11-08,17.74241272,0.0,0.0
2024-11-09,18.69256657,0.0,0.0
2024-11-10,18.88193691,0.0,0.0
2024-11-11,17.69195114,0.0,0.0
2024-11-12,17.9399045,0.0,0.0
2024-11-13,18.17889457,0.0,0.0
2024-11-14,18.00137144,0.0,0.0
2024-11-15,18.24679054,0.0,0.0
2024-11-16,18.44230908,0.0,0.0
2024-11-17,18.32963599,0.0,0.0
2024-11-18,17.43471971,0.0,0.0
2024-11-19,18.48982668,0.0,0.0
2024-11-20,17.62479436,0.0,0.0
2024-11-21,17.41805531,0.0,0.0
2024-11-22,19.02369045,0.0,0.0
2024-11-23,20.18568039,0.0,0.0
2024-11-24,19.41311184,0.0,0.0
2024-11-25,18.88135623,0.0,0.0
2024-11-26,18.65958236,0.0,0.0
2024-11-27,19.25447442,0.0,0.0
2024-11-28,19.53336921,0.0,0.0
2024-11-29,19.00040607,0.0,0.0
2024-11-30,19.18518294,0.0,0.0
2024-12-01,19.4447175,0.0,0.0
2024-12-02,17.21147763,0.0,0.0
2024-12-03,17.27435386,0.0,0.0
2024-12-04,14.78458887,0.0,0.0
2024-12-05,18.88100933,0.0,0.0
2024-12-06,19.24642103,0.0,0.0
2024-12-07,19.94420367,0.0,0.0
2024-12-08,20.46360333,0.0,0.0
2024-12-09,19.53065887,0.0,0.0
2024-12-10,19.7588865,0.0,0.0
2024-12-11,19.5268797,0.0,0.0
2024-12-12,18.60376149,0.0,0.0
2024-12-13,19.55500215,0.0,0.0
2024-12-14,19.38197869,0.0,0.0
2024-12-15,19.96773742,0.0,0.0
2024-12-16,18.92790928,0.0,0.0
2024-12-17,18.10382898,0.0,0.0
2024-12-18,17.90672366,0.0,0.0
2024-12-19,19.25117652,0.0,0.0
2024-12-20,19.5198477,0.0,0.0
2024-12-21,19.57577822,0.0,0.0
2024-12-22,19.57577822,0.0,0.0
2024-12-23,18.70269238,0.0,0.0
2024-12-24,18.44688189,0.0,0.0
2024-12-25,18.44688189,0.0,0.0
2024-12-26,19.31249182,0.0,0.0
2024-12-27,19.77870839,0.0,0.0
2024-12-28,18.22773898,0.0,0.0
2024-12-29,19.39913111,0.0,0.0
2024-12-30,18.91732472,0.0,0.0
2024-12-31,19.36325253,0.0,0.0
2025-01-01,19.4,0.0,0.0
2025-01-02,19.16,0.0,0.0
2025-01-03,19.33,0.0,0.0
2025-01-04,19.04,0.0,0.0
2025-01-05,18.93,0.0,0.0
2025-01-06,17.91,0.0,0.0
2025-01-07,17.9,0.0,0.0
2025-01-08,17.9,0.0,0.0
2025-01-09,18.13,0.0,0.0
2025-01-10,18.57,0.0,0.0
2025-01-11,18.59,0.0,0.0
2025-01-12,18.55,0.0,0.0
2025-01-13,17.71,0.0,0.0
2025-01-14,17.53,0.0,0.0
2025-01-15,17.57,0.0,0.0
2025-01-16,17.81,0.0,0.0
2025-01-17,17.63,0.0,0.0
2025-01-18,17.2,0.0,0.0
2025-01-19,18.31,0.0,0.0
2025-01-20,17.32,0.0,0.0
2025-01-21,17.42,0.0,0.0
2025-01-22,17.0,0.0,0.0
2025-01-23,16.6,0.0,0.0
