Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,53.07032332,0.0,0.0
2024-10-02,53.11800702,0.0,0.0
2024-10-03,53.20313706,0.0,0.0
2024-10-04,55.28280358,0.0,0.0
2024-10-05,56.02099554,0.0,0.0
2024-10-06,52.1459463,0.0,0.0
2024-10-07,52.35463062,0.0,0.0
2024-10-08,53.15390912,0.0,0.0
2024-10-09,53.75486368,0.0,0.0
2024-10-10,55.42266222,0.0,0.0
2024-10-11,57.95906223,0.0,0.0
2024-10-12,54.97094877,0.0,0.0
2024-10-13,56.20424842,0.0,0.0
2024-10-14,53.34353856,0.0,0.0
2024-10-15,55.3518894,0.0,0.0
2024-10-16,54.14413446,0.0,0.0
2024-10-17,54.51112254,0.0,0.0
2024-10-18,56.5846545,0.0,0.0
2024-10-19,55.06981913,0.0,0.0
2024-10-20,56.25722099,0.0,0.0
2024-10-21,53.60362357,0.0,0.0
2024-10-22,54.73756664,0.0,0.0
2024-10-23,54.95274517,0.0,0.0
2024-10-24,56.05882596,0.0,0.0
2024-10-25,58.33564556,0.0,0.0
2024-10-26,55.10049081,0.0,0.0
2024-10-27,58.41296649,0.0,0.0
2024-10-28,53.5744622,0.0,0.0
2024-10-29,54.12927787,0.0,0.0
2024-10-30,55.41361331,0.0,0.0
2024-11-01,25.44695315,0.0,0.0
2024-11-02,51.88531448,0.0,0.0
2024-11-03,53.08398467,0.0,0.0
2024-11-04,50.73006821,0.0,0.0
2024-11-05,51.54208508,0.0,0.0
2024-11-06,52.32958742,0.0,0.0
2024-11-07,51.84317912,0.0,0.0
2024-11-08,54.00701442,0.0,0.0
2024-11-09,53.42726952,0.0,0.0
2024-11-10,54.94320381,0.0,0.0
2024-11-11,52.95218536,0.0,0.0
2024-11-12,52.52730589,0.0,0.0
2024-11-13,51.73002064,0.0,0.0
2024-11-14,51.10713116,0.0,0.0
2024-11-15,53.93668519,0.0,0.0
2024-11-16,51.71154481,0.0,0.0
2024-11-17,52.92584927,0.0,0.0
2024-11-18,50.61592454,0.0,0.0
2024-11-19,53.22645749,0.0,0.0
2024-11-20,50.97404811,0.0,0.0
2024-11-21,51.9166154,0.0,0.0
2024-11-22,53.52406585,0.0,0.0
2024-11-23,51.86151187,0.0,0.0
2024-11-24,53.70542764,0.0,0.0
2024-11-25,51.87761503,0.0,0.0
2024-11-26,53.00678224,0.0,0.0
2024-11-27,58.16823863,0.0,0.0
2024-11-28,54.44994294,0.0,0.0
2024-11-29,54.31250159,0.0,0.0
2024-11-30,53.81291633,0.0,0.0
2024-12-01,55.26852386,0.0,0.0
2024-12-02,50.17930452,0.0,0.0
2024-12-03,50.06818177,0.0,0.0
2024-12-04,52.28528323,0.0,0.0
2024-12-05,54.62314835,0.0,0.0
2024-12-06,55.55603062,0.0,0.0
2024-12-07,52.61558784,0.0,0.0
2024-12-08,52.29575916,0.0,0.0
2024-12-09,50.25205902,0.0,0.0
2024-12-10,51.78504245,0.0,0.0
2024-12-11,52.9882289,0.0,0.0
2024-12-12,55.7723665,0.0,0.0
2024-12-13,51.616691,0.0,0.0
2024-12-14,53.35405503,0.0,0.0
2024-12-15,56.12667834,0.0,0.0
2024-12-16,50.73824339,0.0,0.0
2024-12-17,49.09143096,0.0,0.0
2024-12-18,50.55436496,0.0,0.0
2024-12-19,50.82359433,0.0,0.0
2024-12-20,51.62679757,0.0,0.0
2024-12-21,52.06471229,0.0,0.0
2024-12-22,52.06471229,0.0,0.0
2024-12-23,50.43580598,0.0,0.0
2024-12-24,50.40608769,0.0,0.0
2024-12-25,50.40608769,0.0,0.0
2024-12-26,50.37045975,0.0,0.0
2024-12-27,51.31429055,0.0,0.0
2024-12-28,50.91527593,0.0,0.0
2024-12-29,50.27670027,0.0,0.0
2024-12-30,48.11612087,0.0,0.0
2024-12-31,49.20643016,0.0,0.0
2025-01-01,51.13,0.0,0.0
2025-01-02,47.47,0.0,0.0
2025-01-03,47.18,0.0,0.0
2025-01-04,45.83,0.0,0.0
2025-01-05,46.31,0.0,0.0
2025-01-06,45.04,0.0,0.0
2025-01-07,44.69,0.0,0.0
2025-01-08,44.67,0.0,0.0
2025-01-09,43.73,0.0,0.0
2025-01-10,46.86,0.0,0.0
2025-01-11,44.56,0.0,0.0
2025-01-12,45.59,0.0,0.0
2025-01-13,43.31,0.0,0.0
2025-01-14,43.52,0.0,0.0
2025-01-15,43.3,0.0,0.0
2025-01-16,44.66,0.0,0.0
2025-01-17,45.38,0.0,0.0
2025-01-18,44.03,0.0,0.0
2025-01-19,43.8,0.0,0.0
2025-01-20,41.99,0.0,0.0
2025-01-21,43.6,0.0,0.0
2025-01-22,43.89,0.0,0.0
2025-01-23,41.85,0.0,0.0
2025-01-24,43.92,0.0,0.0
2025-01-25,42.78,0.0,0.0
2025-01-26,44.56,0.0,0.0
2025-01-27,43.64,0.0,0.0
2025-01-28,38.54,0.0,0.0
2025-01-29,38.19,0.0,0.0
