Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,88.7979914,0.0,0.0
2024-10-02,85.22448265,0.0,0.0
2024-10-03,86.1850227,0.0,0.0
2024-10-04,91.37985697,0.0,0.0
2024-10-05,103.4363453,0.0,0.0
2024-10-06,97.89406775,0.0,0.0
2024-10-07,85.58841068,0.0,0.0
2024-10-08,85.61766282,0.0,0.0
2024-10-09,84.93445198,0.0,0.0
2024-10-10,87.85065642,0.0,0.0
2024-10-11,87.15592887,0.0,0.0
2024-10-12,90.3259582,0.0,0.0
2024-10-13,93.54962127,0.0,0.0
2024-10-14,83.6602368,0.0,0.0
2024-10-15,85.1566973,0.0,0.0
2024-10-16,84.60746521,0.0,0.0
2024-10-17,89.20157772,0.0,0.0
2024-10-18,88.34505977,0.0,0.0
2024-10-19,90.9322932,0.0,0.0
2024-10-20,93.69181321,0.0,0.0
2024-10-21,84.95387436,0.0,0.0
2024-10-22,85.29690545,0.0,0.0
2024-10-23,85.03028662,0.0,0.0
2024-10-24,88.31392329,0.0,0.0
2024-10-25,89.46874363,0.0,0.0
2024-10-26,92.61519413,0.0,0.0
2024-10-27,97.54216039,0.0,0.0
2024-10-28,85.99754823,0.0,0.0
2024-10-29,85.72750651,0.0,0.0
2024-10-30,86.61133671,0.0,0.0
2024-11-01,42.14322178,0.0,0.0
2024-11-02,88.40125842,0.0,0.0
2024-11-03,93.02308911,0.0,0.0
2024-11-04,84.60186859,0.0,0.0
2024-11-05,82.43326111,0.0,0.0
2024-11-06,83.57733329,0.0,0.0
2024-11-07,84.37739487,0.0,0.0
2024-11-08,85.70536763,0.0,0.0
2024-11-09,89.35784103,0.0,0.0
2024-11-10,92.7857569,0.0,0.0
2024-11-11,82.3381701,0.0,0.0
2024-11-12,83.35793154,0.0,0.0
2024-11-13,83.68106861,0.0,0.0
2024-11-14,83.86349767,0.0,0.0
2024-11-15,84.94282488,0.0,0.0
2024-11-16,89.13291755,0.0,0.0
2024-11-17,92.76775786,0.0,0.0
2024-11-18,83.14849349,0.0,0.0
2024-11-19,85.01757331,0.0,0.0
2024-11-20,84.34041584,0.0,0.0
2024-11-21,83.683193,0.0,0.0
2024-11-22,86.50165981,0.0,0.0
2024-11-23,89.83327607,0.0,0.0
2024-11-24,93.54859351,0.0,0.0
2024-11-25,85.46814604,0.0,0.0
2024-11-26,85.25139741,0.0,0.0
2024-11-27,94.35975533,0.0,0.0
2024-11-28,86.2851169,0.0,0.0
2024-11-29,85.89719901,0.0,0.0
2024-11-30,92.32888017,0.0,0.0
2024-12-01,93.24791872,0.0,0.0
