Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,273.6736824,0.0,0.0
2024-10-02,272.9295053,0.0,0.0
2024-10-03,261.9662529,0.0,0.0
2024-10-04,272.302831,0.0,0.0
2024-10-05,295.7788882,0.0,0.0
2024-10-06,313.3784238,0.0,0.0
2024-10-07,268.4336472,0.0,0.0
2024-10-08,270.4184949,0.0,0.0
2024-10-09,275.2035805,0.0,0.0
2024-10-10,285.0719699,0.0,0.0
2024-10-11,289.8465123,0.0,0.0
2024-10-12,298.4677327,0.0,0.0
2024-10-13,315.0543878,0.0,0.0
2024-10-14,274.7299032,0.0,0.0
2024-10-15,274.2429643,0.0,0.0
2024-10-16,258.0135343,0.0,0.0
2024-10-17,271.7433,0.0,0.0
2024-10-18,280.0295807,0.0,0.0
2024-10-19,296.3375363,0.0,0.0
2024-10-20,314.360215,0.0,0.0
2024-10-21,265.4228825,0.0,0.0
2024-10-22,278.8950279,0.0,0.0
2024-10-23,271.5862593,0.0,0.0
2024-10-24,277.7586257,0.0,0.0
2024-10-25,288.9392194,0.0,0.0
2024-10-26,296.7628686,0.0,0.0
2024-10-27,322.4340338,0.0,0.0
2024-10-28,270.2618236,0.0,0.0
2024-10-29,269.823871,0.0,0.0
2024-10-30,270.4722846,0.0,0.0
2024-11-01,142.91933,0.0,0.0
2024-11-02,287.5454259,0.0,0.0
2024-11-03,310.2300044,0.0,0.0
2024-11-04,264.8554168,0.0,0.0
2024-11-05,264.7622931,0.0,0.0
2024-11-06,259.3873931,0.0,0.0
2024-11-07,264.7405134,0.0,0.0
2024-11-08,274.121656,0.0,0.0
2024-11-09,288.1846297,0.0,0.0
2024-11-10,303.4158505,0.0,0.0
2024-11-11,272.7648603,0.0,0.0
2024-11-12,265.250185,0.0,0.0
2024-11-13,267.3656121,0.0,0.0
2024-11-14,266.9656413,0.0,0.0
2024-11-15,274.9068563,0.0,0.0
2024-11-16,289.7793189,0.0,0.0
2024-11-17,300.5962072,0.0,0.0
2024-11-18,260.3213567,0.0,0.0
2024-11-19,266.5051223,0.0,0.0
2024-11-20,259.6386659,0.0,0.0
2024-11-21,263.390057,0.0,0.0
2024-11-22,275.5326987,0.0,0.0
2024-11-23,288.8954154,0.0,0.0
2024-11-24,305.6178786,0.0,0.0
2024-11-25,271.729022,0.0,0.0
2024-11-26,273.1057863,0.0,0.0
2024-11-27,310.1884324,0.0,0.0
2024-11-28,272.1223601,0.0,0.0
2024-11-29,270.7767305,0.0,0.0
2024-11-30,284.3914966,0.0,0.0
2024-12-01,303.5642631,0.0,0.0
2024-12-02,263.2055405,0.0,0.0
2024-12-03,265.8068677,0.0,0.0
2024-12-04,268.0123654,0.0,0.0
2024-12-05,268.4742317,0.0,0.0
2024-12-06,274.2712153,0.0,0.0
2024-12-07,293.5186099,0.0,0.0
2024-12-08,306.8849326,0.0,0.0
2024-12-09,270.3506944,0.0,0.0
2024-12-10,274.0009268,0.0,0.0
2024-12-11,271.575957,0.0,0.0
2024-12-12,284.4416122,0.0,0.0
2024-12-13,275.8195185,0.0,0.0
2024-12-14,295.4342897,0.0,0.0
2024-12-15,310.3380241,0.0,0.0
2024-12-16,272.5751088,0.0,0.0
2024-12-17,275.6036621,0.0,0.0
2024-12-18,279.9940791,0.0,0.0
2024-12-19,280.1899722,0.0,0.0
2024-12-20,282.0284655,0.0,0.0
2024-12-21,299.6601141,0.0,0.0
2024-12-22,299.6601141,0.0,0.0
2024-12-23,293.5507022,0.0,0.0
2024-12-24,288.5962686,0.0,0.0
2024-12-25,288.5962686,0.0,0.0
2024-12-26,299.8059567,0.0,0.0
2024-12-27,300.3664683,0.0,0.0
2024-12-28,314.1718515,0.0,0.0
2024-12-29,323.5243484,0.0,0.0
2024-12-30,301.9061282,0.0,0.0
2024-12-31,307.338341,0.0,0.0
2025-01-01,329.94,0.0,0.0
2025-01-02,286.15,0.0,0.0
2025-01-03,287.62,0.0,0.0
2025-01-04,290.5,0.0,0.0
2025-01-05,295.56,0.0,0.0
2025-01-06,263.16,0.0,0.0
2025-01-07,256.16,0.0,0.0
2025-01-08,149.52,0.0,0.0
2025-01-09,259.47,0.0,0.0
2025-01-10,263.39,0.0,0.0
2025-01-11,269.83,0.0,0.0
2025-01-12,298.36,0.0,0.0
2025-01-13,250.45,0.0,0.0
2025-01-14,253.57,0.0,0.0
2025-01-15,248.57,0.0,0.0
2025-01-16,244.17,0.0,0.0
2025-01-17,249.55,0.0,0.0
2025-01-18,274.29,0.0,0.0
2025-01-19,289.85,0.0,0.0
2025-01-20,85.45,0.0,0.0
2025-01-21,251.19,0.0,0.0
2025-01-22,251.27,0.0,0.0
2025-01-23,248.74,0.0,0.0
2025-01-24,256.07,0.0,0.0
2025-01-25,273.55,0.0,0.0
2025-01-26,300.44,0.0,0.0
2025-01-27,297.54,0.0,0.0
2025-01-28,282.91,0.0,0.0
2025-01-29,286.74,0.0,0.0
2025-01-30,251.98,0.0,0.0
2025-01-31,256.23,0.0,0.0
2025-02-01,276.91,0.0,0.0
2025-02-02,298.11,0.0,0.0
2025-02-03,245.56,0.0,0.0
2025-02-04,245.43,0.0,0.0
2025-02-05,247.57,0.0,0.0
2025-02-06,251.82,0.0,0.0
2025-02-07,255.93,0.0,0.0
2025-02-08,268.58,0.0,0.0
2025-02-09,285.35,0.0,0.0
2025-02-10,249.7,0.0,0.0
2025-02-11,252.43,0.0,0.0
2025-02-12,251.92,0.0,0.0
2025-02-13,254.74,0.0,0.0
2025-02-14,262.56,0.0,0.0
2025-02-15,272.31,0.0,0.0
2025-02-16,292.95,0.0,0.0
2025-02-17,255.1,0.0,0.0
2025-02-18,250.92,0.0,0.0
2025-02-19,252.34,0.0,0.0
2025-02-20,253.58,0.0,0.0
2025-02-21,263.56,0.0,0.0
2025-02-22,274.5,0.0,0.0
2025-02-23,297.3,0.0,0.0
2025-02-24,256.6,0.0,0.0
2025-02-25,253.93,0.0,0.0
2025-02-26,267.3,0.0,0.0
2025-02-27,271.92,0.0,0.0
2025-02-28,271.96,0.0,0.0
2025-03-01,275.08,0.0,0.0
2025-03-02,299.71,0.0,0.0
2025-03-03,278.82,0.0,0.0
2025-03-04,267.47,0.0,0.0
2025-03-05,277.17,0.0,0.0
2025-03-06,274.41,0.0,0.0
2025-03-07,279.51,0.0,0.0
2025-03-08,289.98,0.0,0.0
2025-03-09,301.97,0.0,0.0
2025-03-10,272.07,0.0,0.0
2025-03-11,271.11,0.0,0.0
2025-03-12,275.0,0.0,0.0
2025-03-13,270.9,0.0,0.0
2025-03-14,277.88,0.0,0.0
2025-03-15,295.03,0.0,0.0
2025-03-16,308.9,0.0,0.0
2025-03-17,282.38,0.0,0.0
2025-03-18,278.27,0.0,0.0
2025-03-19,285.33,0.0,0.0
2025-03-20,290.9,0.0,0.0
2025-03-21,294.92,0.0,0.0
2025-03-22,317.42,0.0,0.0
2025-03-23,327.02,0.0,0.0
2025-03-24,312.28,0.0,0.0
2025-03-25,305.48,0.0,0.0
2025-03-26,335.6,0.0,0.0
2025-03-27,349.22,0.0,0.0
2025-03-28,395.69,0.0,0.0
2025-03-29,408.15,0.0,0.0
2025-03-30,431.48,0.0,0.0
2025-03-31,439.88,0.0,0.0
2025-04-01,441.39,0.0,0.0
2025-04-02,458.08,0.0,0.0
2025-04-03,447.7248335,0.0,0.0
2025-04-04,451.7353313,0.0,0.0
2025-04-05,423.8443131,0.0,0.0
2025-04-06,412.9699031,0.0,0.0
2025-04-07,373.2565722,0.0,0.0
2025-04-08,353.1529988,0.0,0.0
2025-04-09,336.8498539,0.0,0.0
2025-04-10,332.9307527,0.0,0.0
2025-04-11,320.0633167,0.0,0.0
2025-04-12,323.8567293,0.0,0.0
2025-04-13,332.0052283,0.0,0.0
2025-04-14,295.2851916,0.0,0.0
2025-04-15,288.3292084,0.0,0.0
2025-04-16,285.1591346,0.0,0.0
2025-04-17,289.5007055,0.0,0.0
2025-04-18,321.489638,0.0,0.0
2025-04-19,301.8441502,0.0,0.0
2025-04-20,316.7234764,0.0,0.0
2025-04-21,284.9329737,0.0,0.0
2025-04-22,272.6413834,0.0,0.0
2025-04-23,276.9799224,0.0,0.0
2025-04-24,279.0094825,0.0,0.0
2025-04-25,284.2370681,0.0,0.0
2025-04-26,300.8183928,0.0,0.0
2025-04-27,316.2990166,0.0,0.0
2025-04-28,268.7629559,0.0,0.0
2025-04-29,272.6682408,0.0,0.0
2025-04-30,274.7303024,0.0,0.0
2025-05-01,307.2364504,0.0,0.0
2025-05-02,262.0982977,0.0,0.0
2025-05-03,294.2686242,0.0,0.0
2025-05-04,312.7671037,0.0,0.0
2025-05-05,268.4870959,0.0,0.0
2025-05-06,268.8424631,0.0,0.0
2025-05-07,276.4322863,0.0,0.0
2025-05-08,273.5752688,0.0,0.0
2025-05-09,282.0404062,0.0,0.0
2025-05-10,298.5255045,0.0,0.0
2025-05-11,332.3263751,0.0,0.0
2025-05-12,310.2093407,0.0,0.0
2025-05-13,295.3250756,0.0,0.0
2025-05-14,275.0992873,0.0,0.0
2025-05-15,274.8037306,0.0,0.0
2025-05-16,282.7767381,0.0,0.0
2025-05-17,291.1099573,0.0,0.0
2025-05-18,308.7255452,0.0,0.0
2025-05-19,274.7326041,0.0,0.0
2025-05-20,273.4102971,0.0,0.0
2025-05-21,278.632349,0.0,0.0
2025-05-22,277.7617184,0.0,0.0
2025-05-23,282.0997659,0.0,0.0
2025-05-24,290.2957922,0.0,0.0
2025-05-25,321.8726301,0.0,0.0
2025-05-26,277.7711405,0.0,0.0
2025-05-27,270.9612809,0.0,0.0
2025-05-28,276.8685059,0.0,0.0
2025-05-29,308.1757942,0.0,0.0
2025-05-30,292.8012206,0.0,0.0
2025-05-31,295.1347553,0.0,0.0
2025-06-01,312.0252779,0.0,0.0
2025-06-02,270.3142699,0.0,0.0
2025-06-03,273.8076432,0.0,0.0
2025-06-04,280.3681998,0.0,0.0
2025-06-05,302.1215301,0.0,0.0
2025-06-06,347.9313858,0.0,0.0
2025-06-07,326.0353498,0.0,0.0
2025-06-08,327.7370421,0.0,0.0
2025-06-09,301.4385084,0.0,0.0
2025-06-10,286.1363009,0.0,0.0
2025-06-11,286.4843761,0.0,0.0
2025-06-12,291.6261819,0.0,0.0
2025-06-13,292.1111734,0.0,0.0
2025-06-14,303.8304131,0.0,0.0
2025-06-15,319.23232,0.0,0.0
2025-06-16,285.4954845,0.0,0.0
2025-06-17,290.9941206,0.0,0.0
2025-06-18,288.0351492,0.0,0.0
2025-06-19,289.1818942,0.0,0.0
2025-06-20,292.1362175,0.0,0.0
2025-06-21,305.4192473,0.0,0.0
2025-06-22,322.4436451,0.0,0.0
2025-06-23,291.7670734,0.0,0.0
2025-06-24,295.3457037,0.0,0.0
2025-06-25,294.4533671,0.0,0.0
2025-06-26,296.0108046,0.0,0.0
2025-06-27,331.6852244,0.0,0.0
2025-06-28,322.0792485,0.0,0.0
2025-06-29,324.9554995,0.0,0.0
2025-06-30,298.6992753,0.0,0.0
2025-07-01,299.6578339,0.0,0.0
2025-07-02,297.8094755,0.0,0.0
2025-07-03,297.1482341,0.0,0.0
2025-07-04,297.819039,0.0,0.0
2025-07-05,297.5370348,0.0,0.0
2025-07-06,332.0278331,0.0,0.0
2025-07-07,301.9798005,0.0,0.0
2025-07-08,297.2016946,0.0,0.0
2025-07-09,291.2307403,0.0,0.0
2025-07-10,292.3685223,0.0,0.0
2025-07-11,293.5986166,0.0,0.0
2025-07-12,305.057591,0.0,0.0
2025-07-13,316.8076287,0.0,0.0
2025-07-14,279.971227,0.0,0.0
2025-07-15,279.5870015,0.0,0.0
2025-07-16,277.9580127,0.0,0.0
2025-07-17,279.0218661,0.0,0.0
2025-07-18,286.3054807,0.0,0.0
2025-07-19,303.1284076,0.0,0.0
2025-07-20,320.3320678,0.0,0.0
2025-07-21,278.0904369,0.0,0.0
2025-07-22,279.4690785,0.0,0.0
2025-07-23,284.6715809,0.0,0.0
2025-07-24,282.7580222,0.0,0.0
2025-07-25,287.0337589,0.0,0.0
2025-07-26,302.8104945,0.0,0.0
2025-07-27,322.4790914,0.0,0.0
2025-07-28,275.4726744,0.0,0.0
2025-07-29,281.9488712,0.0,0.0
2025-07-30,276.4584431,0.0,0.0
2025-07-31,275.1548464,0.0,0.0
