Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,107.197992,0.0,0.0
2024-10-02,106.8828215,0.0,0.0
2024-10-03,101.1391961,0.0,0.0
2024-10-04,106.9443928,0.0,0.0
2024-10-05,116.5416769,0.0,0.0
2024-10-06,119.8189779,0.0,0.0
2024-10-07,103.1075852,0.0,0.0
2024-10-08,103.2268697,0.0,0.0
2024-10-09,106.5186019,0.0,0.0
2024-10-10,110.713494,0.0,0.0
2024-10-11,113.5386322,0.0,0.0
2024-10-12,115.6339837,0.0,0.0
2024-10-13,120.8010154,0.0,0.0
2024-10-14,107.3517993,0.0,0.0
2024-10-15,108.0020008,0.0,0.0
2024-10-16,99.96082596,0.0,0.0
2024-10-17,106.0514524,0.0,0.0
2024-10-18,110.7998694,0.0,0.0
2024-10-19,115.1126507,0.0,0.0
2024-10-20,123.024773,0.0,0.0
2024-10-21,103.9603142,0.0,0.0
2024-10-22,107.6299814,0.0,0.0
2024-10-23,107.1462444,0.0,0.0
2024-10-24,110.2771696,0.0,0.0
2024-10-25,114.228474,0.0,0.0
2024-10-26,117.1389088,0.0,0.0
2024-10-27,126.415373,0.0,0.0
2024-10-28,108.2899869,0.0,0.0
2024-10-29,108.2498287,0.0,0.0
2024-10-30,110.0823339,0.0,0.0
2024-11-01,58.06303874,0.0,0.0
2024-11-02,114.3201365,0.0,0.0
2024-11-03,120.6090547,0.0,0.0
2024-11-04,104.5926363,0.0,0.0
2024-11-05,102.2094436,0.0,0.0
2024-11-06,102.7411765,0.0,0.0
2024-11-07,104.3897797,0.0,0.0
2024-11-08,107.3020929,0.0,0.0
2024-11-09,114.1771351,0.0,0.0
2024-11-10,119.7915701,0.0,0.0
2024-11-11,106.6198912,0.0,0.0
2024-11-12,103.6412449,0.0,0.0
2024-11-13,104.0782673,0.0,0.0
2024-11-14,104.1412542,0.0,0.0
2024-11-15,107.7405626,0.0,0.0
2024-11-16,112.090655,0.0,0.0
2024-11-17,113.6984122,0.0,0.0
2024-11-18,101.6246122,0.0,0.0
2024-11-19,105.3437298,0.0,0.0
2024-11-20,102.1537676,0.0,0.0
2024-11-21,103.6048799,0.0,0.0
2024-11-22,107.3958516,0.0,0.0
2024-11-23,110.0540752,0.0,0.0
2024-11-24,115.191957,0.0,0.0
2024-11-25,102.6959243,0.0,0.0
2024-11-26,106.9060757,0.0,0.0
2024-11-27,118.0776278,0.0,0.0
2024-11-28,105.5128099,0.0,0.0
2024-11-29,103.4188049,0.0,0.0
2024-11-30,109.2672014,0.0,0.0
2024-12-01,113.5586643,0.0,0.0
2024-12-02,101.0628305,0.0,0.0
2024-12-03,100.2437634,0.0,0.0
2024-12-04,103.9532321,0.0,0.0
2024-12-05,104.8470518,0.0,0.0
2024-12-06,105.8966869,0.0,0.0
2024-12-07,110.3194962,0.0,0.0
2024-12-08,115.8588152,0.0,0.0
2024-12-09,104.0138877,0.0,0.0
2024-12-10,105.5113678,0.0,0.0
2024-12-11,103.9942126,0.0,0.0
2024-12-12,108.005816,0.0,0.0
2024-12-13,104.0636206,0.0,0.0
2024-12-14,111.3138028,0.0,0.0
2024-12-15,118.7915555,0.0,0.0
2024-12-16,103.1298519,0.0,0.0
2024-12-17,107.4575919,0.0,0.0
2024-12-18,104.7904831,0.0,0.0
2024-12-19,104.9481787,0.0,0.0
2024-12-20,108.8382035,0.0,0.0
2024-12-21,110.9450057,0.0,0.0
2024-12-22,110.9450057,0.0,0.0
2024-12-23,112.5532444,0.0,0.0
2024-12-24,113.1574285,0.0,0.0
2024-12-25,113.1574285,0.0,0.0
2024-12-26,114.497836,0.0,0.0
2024-12-27,112.8032049,0.0,0.0
2024-12-28,116.5891292,0.0,0.0
2024-12-29,120.6654294,0.0,0.0
2024-12-30,113.4693301,0.0,0.0
2024-12-31,114.1302703,0.0,0.0
2025-01-01,121.1,0.0,0.0
2025-01-02,105.61,0.0,0.0
2025-01-03,103.59,0.0,0.0
2025-01-04,104.78,0.0,0.0
2025-01-05,107.16,0.0,0.0
2025-01-06,97.93,0.0,0.0
2025-01-07,95.31,0.0,0.0
2025-01-08,94.34,0.0,0.0
2025-01-09,95.35,0.0,0.0
2025-01-10,101.21,0.0,0.0
2025-01-11,105.35,0.0,0.0
2025-01-12,108.22,0.0,0.0
2025-01-13,95.45,0.0,0.0
2025-01-14,95.1,0.0,0.0
2025-01-15,96.45,0.0,0.0
