Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,10.39823156,0.0,0.0
2024-10-02,10.53687736,0.0,0.0
2024-10-03,10.68227215,0.0,0.0
2024-10-04,10.56675601,0.0,0.0
2024-10-05,10.69744147,0.0,0.0
2024-10-06,10.84918754,0.0,0.0
2024-10-07,9.880740946,0.0,0.0
2024-10-08,10.41662326,0.0,0.0
2024-10-09,10.65157128,0.0,0.0
2024-10-10,11.09026914,0.0,0.0
2024-10-11,10.97422155,0.0,0.0
2024-10-12,11.19445621,0.0,0.0
2024-10-13,11.23548551,0.0,0.0
2024-10-14,10.81048464,0.0,0.0
2024-10-15,11.41096732,0.0,0.0
2024-10-16,10.71652265,0.0,0.0
2024-10-17,10.76359472,0.0,0.0
2024-10-18,10.8448634,0.0,0.0
2024-10-19,11.18022837,0.0,0.0
2024-10-20,11.21196439,0.0,0.0
2024-10-21,10.77108793,0.0,0.0
2024-10-22,10.6328045,0.0,0.0
2024-10-23,10.18467463,0.0,0.0
2024-10-24,10.83591417,0.0,0.0
2024-10-25,10.81641603,0.0,0.0
2024-10-26,11.39507687,0.0,0.0
2024-10-27,11.39975348,0.0,0.0
2024-10-28,10.51291611,0.0,0.0
2024-10-29,10.53563557,0.0,0.0
2024-10-30,10.28539245,0.0,0.0
2024-11-01,5.189933005,0.0,0.0
2024-11-02,10.60692363,0.0,0.0
2024-11-03,10.82346774,0.0,0.0
2024-11-04,10.36515504,0.0,0.0
2024-11-05,10.69776923,0.0,0.0
2024-11-06,11.00669104,0.0,0.0
2024-11-07,10.99877507,0.0,0.0
2024-11-08,11.21305702,0.0,0.0
2024-11-09,11.46090649,0.0,0.0
2024-11-10,11.33715915,0.0,0.0
2024-11-11,10.61519975,0.0,0.0
2024-11-12,10.78684421,0.0,0.0
2024-11-13,9.935485893,0.0,0.0
2024-11-14,10.96963005,0.0,0.0
2024-11-15,11.10815916,0.0,0.0
2024-11-16,10.95728581,0.0,0.0
2024-11-17,11.14328287,0.0,0.0
2024-11-18,10.29773081,0.0,0.0
2024-11-19,11.08105352,0.0,0.0
2024-11-20,10.60577034,0.0,0.0
2024-11-21,10.70438926,0.0,0.0
2024-11-22,11.02449076,0.0,0.0
2024-11-23,11.3170129,0.0,0.0
2024-11-24,11.1551645,0.0,0.0
2024-11-25,11.02683696,0.0,0.0
2024-11-26,11.49142903,0.0,0.0
2024-11-27,11.77507936,0.0,0.0
2024-11-28,11.7443557,0.0,0.0
2024-11-29,11.70966453,0.0,0.0
2024-11-30,11.90907425,0.0,0.0
2024-12-01,11.70289441,0.0,0.0
2024-12-02,10.49528984,0.0,0.0
2024-12-03,10.40580116,0.0,0.0
2024-12-04,12.25791951,0.0,0.0
2024-12-05,12.52975362,0.0,0.0
2024-12-06,11.80422018,0.0,0.0
2024-12-07,11.69650144,0.0,0.0
2024-12-08,12.05396987,0.0,0.0
2024-12-09,11.32521724,0.0,0.0
2024-12-10,11.65628528,0.0,0.0
2024-12-11,11.72636844,0.0,0.0
2024-12-12,10.74469894,0.0,0.0
2024-12-13,11.37825708,0.0,0.0
2024-12-14,11.83268479,0.0,0.0
