Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,95.1035749,0.0,0.0
2024-10-02,95.03598492,0.0,0.0
2024-10-03,83.07498052,0.0,0.0
2024-10-04,81.36578571,0.0,0.0
2024-10-05,105.3419282,0.0,0.0
2024-10-06,111.2775218,0.0,0.0
2024-10-07,94.79037411,0.0,0.0
2024-10-08,95.0663524,0.0,0.0
2024-10-09,95.47783868,0.0,0.0
2024-10-10,98.46478902,0.0,0.0
2024-10-11,101.4635871,0.0,0.0
2024-10-12,106.1953437,0.0,0.0
2024-10-13,112.1417947,0.0,0.0
2024-10-14,97.17044031,0.0,0.0
2024-10-15,95.86998115,0.0,0.0
2024-10-16,91.66568227,0.0,0.0
2024-10-17,99.88912974,0.0,0.0
2024-10-18,103.5710331,0.0,0.0
2024-10-19,109.3737324,0.0,0.0
2024-10-20,115.6191761,0.0,0.0
2024-10-21,97.27132824,0.0,0.0
2024-10-22,95.74860746,0.0,0.0
2024-10-23,96.7403882,0.0,0.0
2024-10-24,99.1596122,0.0,0.0
2024-10-25,102.7317779,0.0,0.0
2024-10-26,106.8504758,0.0,0.0
2024-10-27,116.3413664,0.0,0.0
2024-10-28,96.83606953,0.0,0.0
2024-10-29,96.39473935,0.0,0.0
2024-10-30,97.1601089,0.0,0.0
2024-11-01,47.16563187,0.0,0.0
2024-11-02,102.2705768,0.0,0.0
2024-11-03,110.4927947,0.0,0.0
2024-11-04,93.07071388,0.0,0.0
2024-11-05,90.24052088,0.0,0.0
2024-11-06,91.54218627,0.0,0.0
2024-11-07,92.21221498,0.0,0.0
2024-11-08,95.20720413,0.0,0.0
2024-11-09,102.192773,0.0,0.0
2024-11-10,107.1753156,0.0,0.0
2024-11-11,93.73461213,0.0,0.0
2024-11-12,91.15599112,0.0,0.0
2024-11-13,89.57585532,0.0,0.0
2024-11-14,91.6092092,0.0,0.0
2024-11-15,94.8263422,0.0,0.0
2024-11-16,100.2572412,0.0,0.0
2024-11-17,103.8228599,0.0,0.0
2024-11-18,89.81299872,0.0,0.0
2024-11-19,94.2641296,0.0,0.0
2024-11-20,87.59807234,0.0,0.0
2024-11-21,89.32665348,0.0,0.0
2024-11-22,92.88241063,0.0,0.0
2024-11-23,99.43995298,0.0,0.0
2024-11-24,103.842907,0.0,0.0
2024-11-25,91.39271726,0.0,0.0
2024-11-26,94.53677946,0.0,0.0
2024-11-27,106.6043132,0.0,0.0
2024-11-28,94.70404619,0.0,0.0
2024-11-29,93.05638233,0.0,0.0
2024-11-30,102.0320726,0.0,0.0
2024-12-01,102.2331883,0.0,0.0
2024-12-02,87.62459925,0.0,0.0
2024-12-03,86.4534949,0.0,0.0
2024-12-04,89.60510476,0.0,0.0
2024-12-05,93.55061713,0.0,0.0
2024-12-06,94.36293079,0.0,0.0
2024-12-07,100.3851345,0.0,0.0
2024-12-08,105.5505948,0.0,0.0
2024-12-09,92.90958208,0.0,0.0
2024-12-10,94.27785503,0.0,0.0
2024-12-11,90.34590208,0.0,0.0
2024-12-12,98.29734793,0.0,0.0
2024-12-13,92.37928671,0.0,0.0
2024-12-14,103.9908063,0.0,0.0
2024-12-15,109.403449,0.0,0.0
2024-12-16,96.12528559,0.0,0.0
2024-12-17,97.35522398,0.0,0.0
2024-12-18,94.40213561,0.0,0.0
2024-12-19,94.47204164,0.0,0.0
2024-12-20,97.87287995,0.0,0.0
2024-12-21,106.8721221,0.0,0.0
2024-12-22,106.8721221,0.0,0.0
2024-12-23,100.7758558,0.0,0.0
2024-12-24,103.6387335,0.0,0.0
2024-12-25,103.6387335,0.0,0.0
2024-12-26,107.3618629,0.0,0.0
2024-12-27,105.8644146,0.0,0.0
2024-12-28,111.5817812,0.0,0.0
2024-12-29,116.0163618,0.0,0.0
2024-12-30,105.8343684,0.0,0.0
2024-12-31,107.6391799,0.0,0.0
2025-01-01,117.15,0.0,0.0
2025-01-02,99.29,0.0,0.0
2025-01-03,95.51,0.0,0.0
2025-01-04,99.4,0.0,0.0
2025-01-05,102.83,0.0,0.0
2025-01-06,90.66,0.0,0.0
2025-01-07,87.34,0.0,0.0
2025-01-08,85.75,0.0,0.0
2025-01-09,85.8,0.0,0.0
2025-01-10,89.73,0.0,0.0
2025-01-11,93.5,0.0,0.0
2025-01-12,99.99,0.0,0.0
2025-01-13,83.75,0.0,0.0
2025-01-14,84.22,0.0,0.0
2025-01-15,83.68,0.0,0.0
2025-01-16,84.51,0.0,0.0
2025-01-17,86.15,0.0,0.0
2025-01-18,91.04,0.0,0.0
2025-01-19,95.1,0.0,0.0
2025-01-20,82.23,0.0,0.0
2025-01-21,81.59,0.0,0.0
2025-01-22,81.53,0.0,0.0
2025-01-23,82.4,0.0,0.0
2025-01-24,85.39,0.0,0.0
2025-01-25,90.85,0.0,0.0
2025-01-26,102.57,0.0,0.0
2025-01-27,103.22,0.0,0.0
2025-01-28,95.82,0.0,0.0
2025-01-29,94.93,0.0,0.0
2025-01-30,82.55,0.0,0.0
2025-01-31,83.41,0.0,0.0
2025-02-01,89.25,0.0,0.0
2025-02-02,96.1,0.0,0.0
2025-02-03,80.89,0.0,0.0
2025-02-04,80.29,0.0,0.0
2025-02-05,79.9,0.0,0.0
2025-02-06,81.25,0.0,0.0
2025-02-07,83.53,0.0,0.0
2025-02-08,87.77,0.0,0.0
2025-02-09,91.56,0.0,0.0
2025-02-10,80.11,0.0,0.0
2025-02-11,79.83,0.0,0.0
2025-02-12,80.97,0.0,0.0
2025-02-13,81.59,0.0,0.0
2025-02-14,83.35,0.0,0.0
2025-02-15,87.78,0.0,0.0
2025-02-16,93.08,0.0,0.0
2025-02-17,81.75,0.0,0.0
2025-02-18,79.69,0.0,0.0
2025-02-19,80.3,0.0,0.0
2025-02-20,82.0,0.0,0.0
2025-02-21,84.5,0.0,0.0
2025-02-22,91.2,0.0,0.0
2025-02-23,93.72,0.0,0.0
2025-02-24,82.55,0.0,0.0
2025-02-25,82.15,0.0,0.0
2025-02-26,85.67,0.0,0.0
2025-02-27,86.75,0.0,0.0
2025-02-28,86.83,0.0,0.0
2025-03-01,94.31,0.0,0.0
2025-03-02,99.92,0.0,0.0
2025-03-03,90.72,0.0,0.0
2025-03-04,87.85,0.0,0.0
2025-03-05,89.83,0.0,0.0
2025-03-06,87.55,0.0,0.0
2025-03-07,88.87,0.0,0.0
2025-03-08,95.56,0.0,0.0
2025-03-09,97.43,0.0,0.0
2025-03-10,87.33,0.0,0.0
2025-03-11,85.11,0.0,0.0
2025-03-12,87.6,0.0,0.0
2025-03-13,87.98,0.0,0.0
2025-03-14,89.34,0.0,0.0
2025-03-15,95.71,0.0,0.0
2025-03-16,98.5,0.0,0.0
2025-03-17,90.39,0.0,0.0
2025-03-18,89.5,0.0,0.0
2025-03-19,92.78,0.0,0.0
2025-03-20,94.51,0.0,0.0
2025-03-21,94.7,0.0,0.0
2025-03-22,103.13,0.0,0.0
2025-03-23,105.89,0.0,0.0
2025-03-24,102.42,0.0,0.0
2025-03-25,104.66,0.0,0.0
2025-03-26,111.17,0.0,0.0
2025-03-27,119.79,0.0,0.0
2025-03-28,139.57,0.0,0.0
2025-03-29,153.47,0.0,0.0
2025-03-30,176.35,0.0,0.0
2025-03-31,191.82,0.0,0.0
2025-04-01,201.78,0.0,0.0
2025-04-02,205.53,0.0,0.0
2025-04-03,195.94621,0.0,0.0
2025-04-04,181.2869538,0.0,0.0
2025-04-05,164.5004999,0.0,0.0
2025-04-06,147.8386469,0.0,0.0
2025-04-07,128.3861189,0.0,0.0
2025-04-08,119.7832143,0.0,0.0
2025-04-09,111.9888137,0.0,0.0
2025-04-10,112.0508164,0.0,0.0
2025-04-11,107.1827363,0.0,0.0
2025-04-12,109.820001,0.0,0.0
2025-04-13,111.0743689,0.0,0.0
2025-04-14,99.35938488,0.0,0.0
2025-04-15,95.51669447,0.0,0.0
2025-04-16,95.62056332,0.0,0.0
2025-04-17,96.9547512,0.0,0.0
2025-04-18,107.4108857,0.0,0.0
2025-04-19,105.2271895,0.0,0.0
2025-04-20,106.4656346,0.0,0.0
2025-04-21,95.04877903,0.0,0.0
2025-04-22,93.11216005,0.0,0.0
2025-04-23,93.05555261,0.0,0.0
2025-04-24,94.38437636,0.0,0.0
2025-04-25,96.83242697,0.0,0.0
2025-04-26,102.450334,0.0,0.0
2025-04-27,104.779676,0.0,0.0
2025-04-28,89.75318366,0.0,0.0
2025-04-29,90.57789241,0.0,0.0
2025-04-30,91.73318575,0.0,0.0
2025-05-01,99.75696945,0.0,0.0
2025-05-02,86.59817761,0.0,0.0
2025-05-03,99.90455001,0.0,0.0
2025-05-04,103.018394,0.0,0.0
2025-05-05,90.19181619,0.0,0.0
2025-05-06,89.90483685,0.0,0.0
2025-05-07,91.2494337,0.0,0.0
2025-05-08,90.12334515,0.0,0.0
2025-05-09,92.68129011,0.0,0.0
2025-05-10,99.09980179,0.0,0.0
2025-05-11,109.7785763,0.0,0.0
2025-05-12,105.235904,0.0,0.0
2025-05-13,94.57964879,0.0,0.0
2025-05-14,89.97180333,0.0,0.0
2025-05-15,88.38903964,0.0,0.0
2025-05-16,91.06642387,0.0,0.0
2025-05-17,97.27896,0.0,0.0
2025-05-18,101.1315111,0.0,0.0
2025-05-19,91.05378342,0.0,0.0
2025-05-20,87.89422639,0.0,0.0
2025-05-21,90.18326941,0.0,0.0
2025-05-22,92.05281464,0.0,0.0
2025-05-23,90.97747699,0.0,0.0
2025-05-24,98.20333183,0.0,0.0
2025-05-25,102.3787794,0.0,0.0
2025-05-26,89.83781032,0.0,0.0
2025-05-27,89.96253338,0.0,0.0
2025-05-28,89.81935874,0.0,0.0
2025-05-29,99.79325227,0.0,0.0
2025-05-30,96.65271841,0.0,0.0
2025-05-31,101.0134089,0.0,0.0
2025-06-01,103.619976,0.0,0.0
2025-06-02,93.94374362,0.0,0.0
2025-06-03,92.78818109,0.0,0.0
2025-06-04,93.61940627,0.0,0.0
2025-06-05,107.0044438,0.0,0.0
2025-06-06,116.3188384,0.0,0.0
2025-06-07,112.2187088,0.0,0.0
2025-06-08,112.4258801,0.0,0.0
2025-06-09,97.53166066,0.0,0.0
2025-06-10,93.59845087,0.0,0.0
2025-06-11,91.03762884,0.0,0.0
2025-06-12,91.90587557,0.0,0.0
2025-06-13,91.69684935,0.0,0.0
2025-06-14,98.15717578,0.0,0.0
2025-06-15,102.6846396,0.0,0.0
2025-06-16,90.11930577,0.0,0.0
2025-06-17,90.86406116,0.0,0.0
2025-06-18,87.99857689,0.0,0.0
2025-06-19,89.0305855,0.0,0.0
2025-06-20,91.90720611,0.0,0.0
2025-06-21,100.3434932,0.0,0.0
2025-06-22,103.4937819,0.0,0.0
2025-06-23,95.85987968,0.0,0.0
2025-06-24,94.72970595,0.0,0.0
2025-06-25,95.44336465,0.0,0.0
2025-06-26,98.44580165,0.0,0.0
2025-06-27,108.4133627,0.0,0.0
2025-06-28,106.6908085,0.0,0.0
2025-06-29,106.0302154,0.0,0.0
2025-06-30,94.22505672,0.0,0.0
2025-07-01,95.59320651,0.0,0.0
2025-07-02,94.87903464,0.0,0.0
2025-07-03,94.68282268,0.0,0.0
2025-07-04,94.37553303,0.0,0.0
2025-07-05,99.11921757,0.0,0.0
2025-07-06,105.6537766,0.0,0.0
2025-07-07,95.24939237,0.0,0.0
2025-07-08,93.40975363,0.0,0.0
2025-07-09,91.18196347,0.0,0.0
2025-07-10,91.88649206,0.0,0.0
2025-07-11,91.32658762,0.0,0.0
2025-07-12,96.07845696,0.0,0.0
2025-07-13,98.28196318,0.0,0.0
2025-07-14,87.34592691,0.0,0.0
2025-07-15,88.93720875,0.0,0.0
2025-07-16,87.81634388,0.0,0.0
2025-07-17,88.99811602,0.0,0.0
2025-07-18,91.32686858,0.0,0.0
2025-07-19,95.45471318,0.0,0.0
2025-07-20,98.42286529,0.0,0.0
2025-07-21,87.62025546,0.0,0.0
2025-07-22,85.56604672,0.0,0.0
2025-07-23,87.88702691,0.0,0.0
2025-07-24,87.98753669,0.0,0.0
2025-07-25,91.32709998,0.0,0.0
2025-07-26,95.72269244,0.0,0.0
2025-07-27,99.27639912,0.0,0.0
2025-07-28,87.07506769,0.0,0.0
2025-07-29,89.2019986,0.0,0.0
2025-07-30,86.57171122,0.0,0.0
2025-07-31,86.43530763,0.0,0.0
2025-08-01,89.8623641,0.0,0.0
2025-08-02,96.18656316,0.0,0.0
2025-08-03,101.8003531,0.0,0.0
2025-08-04,90.99912602,0.0,0.0
2025-08-05,90.73874929,0.0,0.0
2025-08-06,91.76617312,0.0,0.0
2025-08-07,96.50808595,0.0,0.0
2025-08-08,98.16470543,0.0,0.0
2025-08-09,103.0116136,0.0,0.0
2025-08-10,108.6099871,0.0,0.0
2025-08-11,93.69011748,0.0,0.0
2025-08-12,92.48308202,0.0,0.0
2025-08-13,93.53744754,0.0,0.0
2025-08-14,93.78320621,0.0,0.0
2025-08-15,93.70410729,0.0,0.0
2025-08-16,103.1867506,0.0,0.0
2025-08-17,112.13545,0.0,0.0
2025-08-18,102.0989657,0.0,0.0
2025-08-19,96.99118578,0.0,0.0
2025-08-20,89.9108289,0.0,0.0
2025-08-21,89.51035889,0.0,0.0
2025-08-22,92.48550334,0.0,0.0
2025-08-23,101.7918335,0.0,0.0
2025-08-24,105.1868417,0.0,0.0
2025-08-25,89.35247577,0.0,0.0
2025-08-26,88.65707881,0.0,0.0
2025-08-27,89.66089058,0.0,0.0
2025-08-28,85.03196375,0.0,0.0
2025-08-29,94.35936688,0.0,0.0
2025-08-30,102.1497953,0.0,0.0
2025-08-31,104.1051837,0.0,0.0
2025-09-01,88.35838797,0.0,0.0
2025-09-02,83.81140166,0.0,0.0
2025-09-03,90.28074546,0.0,0.0
2025-09-04,92.57480849,0.0,0.0
2025-09-05,106.2200377,0.0,0.0
2025-09-06,105.7439745,0.0,0.0
2025-09-07,104.7859253,0.0,0.0
2025-09-08,90.49378632,0.0,0.0
2025-09-09,90.10916418,0.0,0.0
2025-09-10,88.86428086,0.0,0.0
2025-09-11,88.68865981,0.0,0.0
2025-09-12,90.2902924,0.0,0.0
2025-09-13,97.33405679,0.0,0.0
2025-09-14,102.3541207,0.0,0.0
2025-09-15,87.15101473,0.0,0.0
2025-09-16,88.5630275,0.0,0.0
2025-09-17,89.94633917,0.0,0.0
2025-09-18,90.88904122,0.0,0.0
2025-09-19,92.10136051,0.0,0.0
2025-09-20,100.9806404,0.0,0.0
2025-09-21,126.4298972,0.0,0.0
2025-09-22,90.51115957,0.0,0.0
2025-09-23,89.12788242,0.0,0.0
2025-09-24,90.59621192,0.0,0.0
2025-09-25,91.29987783,0.0,0.0
2025-09-26,93.92023486,0.0,0.0
2025-09-27,103.7038599,0.0,0.0
2025-09-28,105.1862206,0.0,0.0
2025-09-29,92.29672637,0.0,0.0
2025-09-30,93.53116602,0.0,0.0
2025-10-01,92.16207885,0.0,0.0
2025-10-02,93.67689536,0.0,0.0
2025-10-03,94.76977511,0.0,0.0
2025-10-04,104.0074269,0.0,0.0
2025-10-05,112.1246567,0.0,0.0
2025-10-06,99.8070259,0.0,0.0
2025-10-07,96.13730873,0.0,0.0
2025-10-08,97.23479611,0.0,0.0
2025-10-09,112.97877,0.0,0.0
2025-10-10,104.2407831,0.0,0.0
2025-10-11,107.4582256,0.0,0.0
2025-10-12,114.3179896,0.0,0.0
2025-10-13,94.70468996,0.0,0.0
2025-10-14,94.26964593,0.0,0.0
2025-10-15,93.72318402,0.0,0.0
2025-10-16,93.11484472,0.0,0.0
2025-10-17,95.44682867,0.0,0.0
2025-10-18,104.2399916,0.0,0.0
2025-10-19,108.1218531,0.0,0.0
2025-10-20,93.08580585,0.0,0.0
2025-10-21,93.0004489,0.0,0.0
2025-10-22,93.46127662,0.0,0.0
2025-10-23,94.7203973839464,85.24835764555175,104.19243712234103
2025-10-24,101.34966680824876,91.2147001274239,111.48463348907366
2025-10-25,103.97394314047028,93.57654882642326,114.37133745451732
