Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,15192.480711653074,0,0
2025-10-24,15737.06223036578,0,0
2025-10-25,15956.498056341648,0,0
2025-10-26,16202.246469245363,0,0
2025-10-27,14909.74811177751,0,0
2025-10-28,14894.042218628783,0,0
2025-10-29,15420.462442385991,0,0
2025-10-30,15161.74089659282,0,0
2025-10-31,15522.538393136938,0,0
2025-11-01,15807.718661739184,0,0
2025-11-02,15491.489986854707,0,0
2025-11-03,14730.9043967766,0,0
2025-11-04,14925.50249660956,0,0
2025-11-05,14270.058620558557,0,0
2025-11-06,14310.71625712523,0,0
2025-11-07,15380.073793049156,0,0
2025-11-08,15230.402191269612,0,0
2025-11-09,15606.291654002856,0,0
2025-11-10,14490.88482619554,0,0
2025-11-11,14326.693564492602,0,0
2025-11-12,15159.046634611315,0,0
2025-11-13,14645.129194453411,0,0
2025-11-14,15450.411227691671,0,0
2025-11-15,14995.683890414088,0,0
2025-11-16,15237.756911509216,0,0
2025-11-17,14680.917529225244,0,0
2025-11-18,14295.794585545797,0,0
2025-11-19,14726.6816997713,0,0
2025-11-20,14425.667221628304,0,0
2025-11-21,15229.457182789449,0,0
2025-11-22,15122.640675037816,0,0
2025-11-23,15820.548443281992,0,0
2025-11-24,14534.00318698304,0,0
2025-11-25,14214.93830787356,0,0
2025-11-26,14745.000787262506,0,0
2025-11-27,14136.758946266347,0,0
2025-11-28,15258.993273572289,0,0
2025-11-29,14615.256618906118,0,0
2025-11-30,14781.714571080052,0,0
2025-12-01,14484.23857883686,0,0
2025-12-02,14624.50023415433,0,0
2025-12-03,14445.204964794468,0,0
2025-12-04,14346.819712231882,0,0
2025-12-05,14996.0075473658,0,0
2025-12-06,14641.644655671453,0,0
2025-12-07,14843.015870856278,0,0
2025-12-08,14185.04266739132,0,0
2025-12-09,14603.518118153246,0,0
2025-12-10,14383.546279922217,0,0
2025-12-11,13766.430144114678,0,0
2025-12-12,15058.88122709505,0,0
2025-12-13,14840.262517833498,0,0
2025-12-14,14740.797871893355,0,0
2025-12-15,14380.24329197182,0,0
2025-12-16,14483.274960529328,0,0
2025-12-17,14438.894542645823,0,0
2025-12-18,13921.442958486858,0,0
2025-12-19,14763.009174685772,0,0
2025-12-20,14927.49958308125,0,0
2025-12-21,15092.659756197048,0,0
2025-12-22,13960.8668742677,0,0
2025-12-23,14027.88831786798,0,0
2025-12-24,13753.187353445892,0,0
2025-12-25,13660.301021341136,0,0
2025-12-26,14819.984644277369,0,0
2025-12-27,14775.970409906477,0,0
2025-12-28,14954.01575675417,0,0
2025-12-29,14727.023391705354,0,0
2025-12-30,13842.6701619465,0,0
2025-12-31,14000.30144860251,0,0
2026-01-01,15070.119075998957,0,0
2026-01-02,14313.639622929037,0,0
2026-01-03,13712.876759499244,0,0
2026-01-04,14407.71637759378,0,0
2026-01-05,12930.420811898228,0,0
