date,value
2025-07-01,238
2025-07-02,278
2025-07-03,281
2025-07-04,218
2025-07-05,223
2025-07-06,234
2025-07-07,263
2025-07-08,235
2025-07-09,222
2025-07-10,223
2025-07-12,233
2025-07-13,225
2025-07-14,199
2025-07-15,261
2025-07-16,246
2025-07-17,268
2025-07-18,289
2025-07-19,279
2025-07-20,267
2025-07-21,251
2025-07-22,294
2025-07-23,298
2025-07-24,335
2025-07-25,294
2025-07-26,293
2025-07-27,257
2025-07-28,261
2025-07-29,277
2025-07-30,309
2025-07-31,288
2025-08-01,357
2025-08-02,323
2025-08-03,312
2025-08-04,307
2025-08-05,345
2025-08-06,377
2025-08-07,432
2025-08-08,388
2025-08-09,370
2025-08-10,413
2025-08-11,394
2025-08-12,429
2025-08-13,474
2025-08-14,538
2025-08-15,474
2025-08-16,415
2025-08-17,427
2025-08-18,391
2025-08-19,616
2025-08-20,484
2025-08-21,552
2025-08-22,525
2025-08-23,441
2025-08-24,434
2025-08-25,523
2025-08-26,548
2025-08-27,579
2025-08-28,591
2025-08-29,634
2025-08-30,543
2025-08-31,482
2025-09-01,442
2025-09-02,454
2025-09-03,445
2025-09-04,415
2025-09-05,381
2025-09-06,415
2025-09-07,426
2025-09-08,527
2025-09-09,532
2025-09-10,593
2025-09-11,557
2025-09-12,575
2025-09-13,487
2025-09-14,475
2025-09-15,528
2025-09-16,597
2025-09-17,585
2025-09-18,594
2025-09-19,554
2025-09-20,459
2025-09-21,474
2025-09-22,586
2025-09-23,561
2025-09-24,609
2025-09-25,578
2025-09-26,558
2025-09-27,535
2025-09-28,487
2025-09-29,489
2025-09-30,565
2025-10-01,513
2025-10-02,536
2025-10-03,486
2025-10-04,432
2025-10-05,427
2025-10-06,425
2025-10-07,404
2025-10-08,483
2025-10-09,488
2025-10-10,447
2025-10-11,375
2025-10-12,362
2025-10-13,380
2025-10-14,399
2025-10-15,429
2025-10-16,425
2025-10-17,420
2025-10-18,399
2025-10-19,392
2025-10-20,420
2025-10-21,440
2025-10-22,458
2025-10-23,417
2025-10-24,399
2025-10-25,416
2025-10-26,368
2025-10-27,344
2025-10-28,375
2025-10-29,413
2025-10-30,409
2025-10-31,395
2025-11-01,373
2025-11-02,324
2025-11-03,352
2025-11-04,366
2025-11-05,450
2025-11-06,421
2025-11-07,392
2025-11-08,385
2025-11-09,369
2025-11-10,482
2025-11-11,471
2025-11-12,483
2025-11-13,469
2025-11-14,460
2025-11-15,409
2025-11-16,360
2025-11-17,442
2025-11-18,505
2025-11-19,485
2025-11-20,477
2025-11-21,491
2025-11-22,436
2025-11-23,406
2025-11-24,427
2025-11-25,489
2025-11-26,441
2025-11-27,436
2025-11-28,390
2025-11-29,376
2025-11-30,378
2025-12-01,387
2025-12-02,423
2025-12-03,416
2025-12-04,451
2025-12-05,481
2025-12-06,381
2025-12-07,408
2025-12-08,446
2025-12-09,448
2025-12-10,487
2025-12-11,533
2025-12-12,505
2025-12-13,468
2025-12-14,464
2025-12-15,513
2025-12-16,521
2025-12-17,507
2025-12-18,544
