date,value
2025-07-02,525
2025-07-05,333
2025-07-08,527
2025-07-12,338
2025-07-15,606
2025-07-18,643
2025-07-21,629
2025-07-24,830
2025-07-27,421
2025-07-30,826
2025-08-02,423
2025-08-05,465
2025-08-08,542
2025-08-11,531
2025-08-14,800
2025-08-17,379
2025-08-20,659
2025-08-23,429
2025-08-26,736
2025-08-29,1035
2025-09-01,524
2025-09-04,387
2025-09-07,398
2025-09-10,979
2025-09-13,523
2025-09-16,944
2025-09-19,718
2025-09-22,890
2025-09-25,907
2025-09-28,514
2025-10-01,883
2025-10-04,586
2025-10-07,739
2025-10-10,771
2025-10-13,829
2025-10-16,1030
2025-10-19,698
2025-10-22,1051
2025-10-25,716
2025-10-28,992
2025-10-31,1031
2025-11-03,866
2025-11-06,1158
2025-11-09,768
2025-11-12,1334
2025-11-15,774
2025-11-18,1343
2025-11-21,1397
2025-11-24,1070
2025-11-27,1078
2025-11-30,627
2025-12-03,1052
2025-12-06,661
2025-12-09,1072
2025-12-12,958
2025-12-15,1032
2025-12-18,985
