date,value
2025-07-02,198247.7928682
2025-07-05,189298.91741240004
2025-07-08,198224.18316900005
2025-07-12,191759.70171470003
2025-07-15,202819.1771895
2025-07-18,182599.46633
2025-07-21,181794.1904
2025-07-24,184008.8971539
2025-07-27,166228.16432309998
2025-07-30,184744.2733515
2025-08-02,177012.1174719
2025-08-05,185254.17454839995
2025-08-08,179103.9568841
2025-08-11,177415.0375603
2025-08-14,181857.9264377
2025-08-17,162840.55767759998
2025-08-20,178946.30739290005
2025-08-23,174922.23831819996
2025-08-26,184425.7467409
2025-08-29,186148.75273010007
2025-09-01,176257.19293440002
2025-09-04,174259.74758859992
2025-09-07,159542.84901080004
2025-09-10,187482.4001264
2025-09-13,178974.86074790003
2025-09-16,191799.13836659995
2025-09-19,188950.1406127
2025-09-22,190412.436386
2025-09-25,191228.521414
2025-09-28,171678.79100680002
2025-10-01,195871.08528580004
2025-10-04,182457.0518525
2025-10-07,197040.0713958
2025-10-10,194964.24221220004
2025-10-13,193051.4623400999
2025-10-16,199059.5937099
2025-10-19,175082.26099340004
2025-10-22,196812.976846
2025-10-25,184482.61738030004
2025-10-28,191034.34822
2025-10-31,193056.6405373
2025-11-03,189480.7872134
2025-11-06,192888.37200180007
2025-11-09,176241.4915841
2025-11-12,195550.46274480005
2025-11-15,185343.99844910004
2025-11-18,192891.7639958999
2025-11-21,195154.5770559
2025-11-24,192763.1332786
2025-11-27,196961.3982463001
2025-11-30,177211.39463179995
2025-12-03,196766.1530164
2025-12-06,186455.30506010004
2025-12-09,193553.73425059995
2025-12-12,197138.8029218
2025-12-15,184967.8925583
2025-12-18,187261.42511020007
