date,value
2025-07-02,54067
2025-07-05,83191
2025-07-08,38249
2025-07-12,31718
2025-07-15,49957
2025-07-18,29566
2025-07-21,68823
2025-07-24,79847
2025-07-27,38927
2025-07-30,27589
2025-08-02,28046
2025-08-05,26683
2025-08-08,40868
2025-08-11,42194
2025-08-14,39830
2025-08-17,28481
2025-08-20,40661
2025-08-23,31476
2025-08-26,41931
2025-08-29,32565
2025-09-01,51953
2025-09-04,43162
2025-09-07,31383
2025-09-10,26441
2025-09-13,59209
2025-09-16,40256
2025-09-19,29852
2025-09-22,36725
2025-09-25,95678
2025-09-28,43197
2025-10-01,53642
2025-10-04,73551
2025-10-07,57602
2025-10-10,60975
2025-10-13,63717
2025-10-16,59270
2025-10-19,42708
2025-10-22,43081
2025-10-25,29753
2025-10-28,36380
2025-10-31,41451
2025-11-03,37629
2025-11-06,41815
2025-11-09,58168
2025-11-12,36142
2025-11-15,32183
2025-11-18,36562
2025-11-21,53697
2025-11-24,29891
2025-11-27,36272
2025-11-30,22529
2025-12-03,25732
2025-12-06,32645
2025-12-09,35701
2025-12-12,39381
2025-12-15,39308
2025-12-18,32237
