date,value
2025-09-07,9352.301388199998
2025-09-09,9613.3461105
2025-09-11,10602.7412302
2025-09-13,10180.4836773
2025-09-15,10802.242857100004
2025-09-17,10428.4149994
2025-09-19,31305.63533180001
2025-09-21,27391.821326
2025-09-23,34129.081111299995
2025-09-25,33284.6183338
2025-09-27,28353.6083325
2025-09-29,65469.982594699984
2025-10-01,108376.9800942
2025-10-03,250678.0223007
2025-10-05,223002.82170580004
2025-10-07,265437.8231178
2025-10-09,194079.9197089
2025-10-11,232117.6548711
2025-10-13,319589.07196060003
2025-10-15,330466.63330580003
2025-10-17,332543.0856115
2025-10-19,234136.8295809
2025-10-21,318938.3666608
2025-10-23,844497.1952958999
2025-10-25,791509.9171184999
2025-10-27,481314.5113294
2025-10-29,418190.9752364
2025-10-31,495535.9614675001
2025-11-02,483582.1739823
2025-11-04,553060.2194238
2025-11-06,566190.4201335
2025-11-08,525257.8159041
2025-11-10,564610.1085280001
2025-11-12,572360.2737733
2025-11-14,569480.0831294
2025-11-16,507552.5077414
2025-11-18,570103.306875
2025-11-20,578342.2585894
2025-11-22,540014.9690531
2025-11-24,571007.1246224
2025-11-26,582094.5036693001
2025-11-28,579255.8206914
2025-11-30,516935.593212
2025-12-02,575094.9496081001
2025-12-04,578355.7271630001
2025-12-06,544035.9060759
2025-12-08,563915.9853649001
2025-12-10,569586.9692059999
2025-12-12,576925.4592726
2025-12-14,390822.19542110007
2025-12-16,424573.99942650006
2025-12-18,425713.8595396
