Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,244.4462507,0.0,0.0
2024-10-02,243.3135272,0.0,0.0
2024-10-03,241.8047453,0.0,0.0
2024-10-04,236.2163828,0.0,0.0
2024-10-05,242.4748024,0.0,0.0
2024-10-06,250.6554362,0.0,0.0
2024-10-07,243.5643724,0.0,0.0
2024-10-08,245.6852409,0.0,0.0
2024-10-09,248.2276767,0.0,0.0
2024-10-10,254.774532,0.0,0.0
2024-10-11,257.3235099,0.0,0.0
2024-10-12,254.6298897,0.0,0.0
2024-10-13,258.7935535,0.0,0.0
2024-10-14,242.7963567,0.0,0.0
2024-10-15,245.222189,0.0,0.0
2024-10-16,239.5842464,0.0,0.0
2024-10-17,243.5608413,0.0,0.0
2024-10-18,247.7717015,0.0,0.0
2024-10-19,250.8575839,0.0,0.0
2024-10-20,258.9256768,0.0,0.0
2024-10-21,246.0446724,0.0,0.0
2024-10-22,248.1301386,0.0,0.0
2024-10-23,251.5037705,0.0,0.0
2024-10-24,257.8985283,0.0,0.0
2024-10-25,261.0247388,0.0,0.0
2024-10-26,259.5277294,0.0,0.0
2024-10-27,271.7344666,0.0,0.0
2024-10-28,247.4978674,0.0,0.0
2024-10-29,249.9301757,0.0,0.0
2024-10-30,251.2375625,0.0,0.0
2024-11-01,120.9393403,0.0,0.0
2024-11-02,247.3082429,0.0,0.0
2024-11-03,251.9825288,0.0,0.0
2024-11-04,239.3670705,0.0,0.0
2024-11-05,237.6407479,0.0,0.0
2024-11-06,243.7529467,0.0,0.0
2024-11-07,246.3919503,0.0,0.0
2024-11-08,252.010354,0.0,0.0
2024-11-09,249.5138422,0.0,0.0
2024-11-10,257.6589362,0.0,0.0
2024-11-11,242.6119253,0.0,0.0
2024-11-12,242.8802494,0.0,0.0
2024-11-13,246.9779392,0.0,0.0
2024-11-14,244.5421551,0.0,0.0
2024-11-15,246.8404147,0.0,0.0
2024-11-16,246.167908,0.0,0.0
2024-11-17,251.0174862,0.0,0.0
2024-11-18,238.5166471,0.0,0.0
2024-11-19,246.4919091,0.0,0.0
2024-11-20,243.5522386,0.0,0.0
2024-11-21,250.2667608,0.0,0.0
2024-11-22,250.9158565,0.0,0.0
2024-11-23,253.5557735,0.0,0.0
2024-11-24,260.5674039,0.0,0.0
2024-11-25,246.5870391,0.0,0.0
2024-11-26,242.6846888,0.0,0.0
2024-11-27,250.3083898,0.0,0.0
2024-11-28,247.5458615,0.0,0.0
2024-11-29,245.728317,0.0,0.0
2024-11-30,260.2287906,0.0,0.0
2024-12-01,257.1059694,0.0,0.0
2024-12-02,238.178447,0.0,0.0
2024-12-03,230.96362,0.0,0.0
2024-12-04,253.2083153,0.0,0.0
2024-12-05,255.0486085,0.0,0.0
2024-12-06,265.9991209,0.0,0.0
2024-12-07,258.7411543,0.0,0.0
2024-12-08,267.0466637,0.0,0.0
2024-12-09,259.9840517,0.0,0.0
2024-12-10,244.6256857,0.0,0.0
2024-12-11,258.2380671,0.0,0.0
2024-12-12,265.9337853,0.0,0.0
2024-12-13,249.6721674,0.0,0.0
2024-12-14,259.0370833,0.0,0.0
2024-12-15,260.4425942,0.0,0.0
2024-12-16,258.493417,0.0,0.0
2024-12-17,248.6667941,0.0,0.0
2024-12-18,264.8504937,0.0,0.0
2024-12-19,250.199883,0.0,0.0
2024-12-20,252.6652401,0.0,0.0
2024-12-21,270.6369853,0.0,0.0
2024-12-22,270.6369853,0.0,0.0
2024-12-23,245.8107124,0.0,0.0
2024-12-24,246.8093664,0.0,0.0
2024-12-25,246.8093664,0.0,0.0
2024-12-26,256.7145238,0.0,0.0
2024-12-27,250.8512643,0.0,0.0
2024-12-28,260.5035161,0.0,0.0
2024-12-29,258.0005682,0.0,0.0
2024-12-30,245.6967371,0.0,0.0
2024-12-31,258.9307445,0.0,0.0
2025-01-01,272.15,0.0,0.0
2025-01-02,244.52,0.0,0.0
2025-01-03,241.43,0.0,0.0
2025-01-04,247.78,0.0,0.0
2025-01-05,243.98,0.0,0.0
2025-01-06,235.39,0.0,0.0
2025-01-07,237.83,0.0,0.0
2025-01-08,237.48,0.0,0.0
2025-01-09,237.94,0.0,0.0
2025-01-10,249.78,0.0,0.0
2025-01-11,260.99,0.0,0.0
2025-01-12,254.32,0.0,0.0
2025-01-13,233.75,0.0,0.0
2025-01-14,236.25,0.0,0.0
2025-01-15,238.08,0.0,0.0
2025-01-16,238.9,0.0,0.0
2025-01-17,241.22,0.0,0.0
2025-01-18,244.3,0.0,0.0
2025-01-19,248.38,0.0,0.0
2025-01-20,237.96,0.0,0.0
2025-01-21,231.77,0.0,0.0
2025-01-22,236.88,0.0,0.0
2025-01-23,241.61,0.0,0.0
2025-01-24,248.98,0.0,0.0
2025-01-25,248.69,0.0,0.0
2025-01-26,260.08,0.0,0.0
2025-01-27,255.19,0.0,0.0
2025-01-28,247.16,0.0,0.0
2025-01-29,246.82,0.0,0.0
2025-01-30,251.14,0.0,0.0
2025-01-31,240.58,0.0,0.0
2025-02-01,245.06,0.0,0.0
2025-02-02,251.33,0.0,0.0
2025-02-03,235.67,0.0,0.0
2025-02-04,238.01,0.0,0.0
2025-02-05,239.47,0.0,0.0
2025-02-06,242.91,0.0,0.0
2025-02-07,244.14,0.0,0.0
2025-02-08,247.39,0.0,0.0
2025-02-09,256.41,0.0,0.0
2025-02-10,255.82,0.0,0.0
2025-02-11,249.02,0.0,0.0
2025-02-12,253.28,0.0,0.0
2025-02-13,242.83,0.0,0.0
2025-02-14,249.87,0.0,0.0
2025-02-15,252.12,0.0,0.0
2025-02-16,260.03,0.0,0.0
2025-02-17,243.15,0.0,0.0
2025-02-18,244.44,0.0,0.0
2025-02-19,244.94,0.0,0.0
2025-02-20,245.68,0.0,0.0
2025-02-21,249.46,0.0,0.0
2025-02-22,254.51,0.0,0.0
2025-02-23,254.43,0.0,0.0
2025-02-24,242.25,0.0,0.0
2025-02-25,244.64,0.0,0.0
2025-02-26,244.11,0.0,0.0
2025-02-27,243.48,0.0,0.0
2025-02-28,243.51,0.0,0.0
2025-03-01,241.02,0.0,0.0
2025-03-02,252.27,0.0,0.0
2025-03-03,244.5,0.0,0.0
2025-03-04,236.55,0.0,0.0
2025-03-05,247.61,0.0,0.0
2025-03-06,248.34,0.0,0.0
2025-03-07,250.59,0.0,0.0
2025-03-08,263.01,0.0,0.0
2025-03-09,263.12,0.0,0.0
2025-03-10,247.88,0.0,0.0
2025-03-11,246.3,0.0,0.0
2025-03-12,248.35,0.0,0.0
2025-03-13,250.5,0.0,0.0
2025-03-14,255.7,0.0,0.0
2025-03-15,255.89,0.0,0.0
2025-03-16,263.67,0.0,0.0
2025-03-17,245.01,0.0,0.0
2025-03-18,242.58,0.0,0.0
2025-03-19,251.81,0.0,0.0
2025-03-20,245.78,0.0,0.0
2025-03-21,243.02,0.0,0.0
2025-03-22,254.36,0.0,0.0
2025-03-23,237.64,0.0,0.0
2025-03-24,221.96,0.0,0.0
2025-03-25,203.69,0.0,0.0
2025-03-26,202.14,0.0,0.0
2025-03-27,187.26,0.0,0.0
2025-03-28,180.03,0.0,0.0
2025-03-29,46.09,0.0,0.0
2025-03-30,170.29,0.0,0.0
2025-03-31,183.98,0.0,0.0
2025-04-01,183.74,0.0,0.0
2025-04-02,190.61,0.0,0.0
2025-04-03,194.611268,0.0,0.0
2025-04-04,198.5181245,0.0,0.0
2025-04-05,197.5495048,0.0,0.0
2025-04-06,201.6798912,0.0,0.0
2025-04-07,199.9195343,0.0,0.0
2025-04-08,203.5677012,0.0,0.0
2025-04-09,211.7962181,0.0,0.0
2025-04-10,221.2636551,0.0,0.0
2025-04-11,219.600878,0.0,0.0
2025-04-12,225.330638,0.0,0.0
2025-04-13,234.2704734,0.0,0.0
2025-04-14,229.8457428,0.0,0.0
2025-04-15,230.843379,0.0,0.0
2025-04-16,234.0625988,0.0,0.0
2025-04-17,241.6057155,0.0,0.0
2025-04-18,249.5099677,0.0,0.0
2025-04-19,247.9043211,0.0,0.0
2025-04-20,249.5265664,0.0,0.0
2025-04-21,234.9497276,0.0,0.0
2025-04-22,228.348799,0.0,0.0
2025-04-23,236.8501645,0.0,0.0
2025-04-24,242.7110939,0.0,0.0
2025-04-25,256.697226,0.0,0.0
2025-04-26,263.2620099,0.0,0.0
2025-04-27,270.450219,0.0,0.0
2025-04-28,254.9861357,0.0,0.0
2025-04-29,258.4313604,0.0,0.0
2025-04-30,258.9478809,0.0,0.0
2025-05-01,259.6532967,0.0,0.0
2025-05-02,215.8620566,0.0,0.0
2025-05-03,256.0952375,0.0,0.0
2025-05-04,264.5038447,0.0,0.0
2025-05-05,255.4005844,0.0,0.0
2025-05-06,264.4250138,0.0,0.0
2025-05-07,265.0903477,0.0,0.0
2025-05-08,267.2146651,0.0,0.0
2025-05-09,269.1590281,0.0,0.0
2025-05-10,270.9353849,0.0,0.0
2025-05-11,285.8339813,0.0,0.0
2025-05-12,269.3905094,0.0,0.0
2025-05-13,266.8911579,0.0,0.0
2025-05-14,266.735897,0.0,0.0
2025-05-15,268.7319992,0.0,0.0
2025-05-16,266.8309219,0.0,0.0
2025-05-17,268.0838469,0.0,0.0
2025-05-18,278.7045532,0.0,0.0
2025-05-19,263.0553702,0.0,0.0
2025-05-20,264.2390927,0.0,0.0
2025-05-21,266.5780184,0.0,0.0
2025-05-22,278.1542228,0.0,0.0
2025-05-23,276.5946515,0.0,0.0
2025-05-24,271.8362656,0.0,0.0
2025-05-25,281.3097939,0.0,0.0
2025-05-26,264.7627748,0.0,0.0
2025-05-27,264.0694275,0.0,0.0
2025-05-28,265.8029836,0.0,0.0
2025-05-29,272.3435374,0.0,0.0
2025-05-30,272.8680197,0.0,0.0
2025-05-31,274.3019423,0.0,0.0
2025-06-01,278.0069066,0.0,0.0
2025-06-02,259.6055434,0.0,0.0
2025-06-03,259.8905271,0.0,0.0
2025-06-04,259.5649167,0.0,0.0
2025-06-05,265.8508064,0.0,0.0
2025-06-06,275.4894956,0.0,0.0
2025-06-07,259.2538853,0.0,0.0
2025-06-08,266.8335882,0.0,0.0
2025-06-09,256.6650913,0.0,0.0
2025-06-10,260.2031302,0.0,0.0
2025-06-11,266.4766846,0.0,0.0
2025-06-12,273.5629964,0.0,0.0
2025-06-13,273.6436098,0.0,0.0
2025-06-14,277.5620689,0.0,0.0
2025-06-15,281.3318125,0.0,0.0
2025-06-16,264.8486973,0.0,0.0
2025-06-17,267.2442688,0.0,0.0
2025-06-18,269.0797933,0.0,0.0
2025-06-19,271.1428567,0.0,0.0
2025-06-20,272.25423,0.0,0.0
2025-06-21,275.4619353,0.0,0.0
2025-06-22,283.1480014,0.0,0.0
2025-06-23,273.4311876,0.0,0.0
2025-06-24,274.685589,0.0,0.0
2025-06-25,299.2754615,0.0,0.0
2025-06-26,281.5494595,0.0,0.0
2025-06-27,286.9015729,0.0,0.0
2025-06-28,285.7186557,0.0,0.0
2025-06-29,289.3571422,0.0,0.0
2025-06-30,274.3929822,0.0,0.0
2025-07-01,280.3947815,0.0,0.0
2025-07-02,279.8615507,0.0,0.0
2025-07-03,286.0980133,0.0,0.0
2025-07-04,282.6746011,0.0,0.0
2025-07-05,280.8213531,0.0,0.0
2025-07-06,295.3088243,0.0,0.0
2025-07-07,275.9539598,0.0,0.0
2025-07-08,280.1552235,0.0,0.0
2025-07-09,278.0562547,0.0,0.0
2025-07-10,277.4291504,0.0,0.0
2025-07-11,278.9532499,0.0,0.0
2025-07-12,284.5951195,0.0,0.0
2025-07-13,286.1577511,0.0,0.0
2025-07-14,275.6727346,0.0,0.0
2025-07-15,277.3613393,0.0,0.0
2025-07-16,276.351518,0.0,0.0
2025-07-17,280.4535513,0.0,0.0
2025-07-18,281.0240461,0.0,0.0
2025-07-19,283.728966,0.0,0.0
2025-07-20,288.0873388,0.0,0.0
2025-07-21,281.0705403,0.0,0.0
2025-07-22,279.8839326,0.0,0.0
2025-07-23,281.5333636,0.0,0.0
2025-07-24,285.1420738,0.0,0.0
2025-07-25,290.6001387,0.0,0.0
2025-07-26,287.8408567,0.0,0.0
2025-07-27,292.3107558,0.0,0.0
2025-07-28,276.5492476,0.0,0.0
2025-07-29,280.3925655,0.0,0.0
2025-07-30,281.5580373,0.0,0.0
2025-07-31,279.7839896,0.0,0.0
2025-08-01,280.1396454,0.0,0.0
2025-08-02,286.2092373,0.0,0.0
2025-08-03,290.0492495,0.0,0.0
2025-08-04,276.3099263,0.0,0.0
2025-08-05,280.3597029,0.0,0.0
2025-08-06,286.6530263,0.0,0.0
2025-08-07,284.9451332,0.0,0.0
2025-08-08,288.4259744,0.0,0.0
2025-08-09,285.2790694,0.0,0.0
2025-08-10,301.6233931,0.0,0.0
2025-08-11,283.1682112,0.0,0.0
2025-08-12,281.2088639,0.0,0.0
2025-08-13,284.1589404,0.0,0.0
2025-08-14,287.8122109,0.0,0.0
2025-08-15,289.6247345,0.0,0.0
2025-08-16,290.7363716,0.0,0.0
2025-08-17,310.4204605,0.0,0.0
2025-08-18,289.4759686,0.0,0.0
2025-08-19,281.3883415,0.0,0.0
2025-08-20,278.1282393,0.0,0.0
2025-08-21,285.1497204,0.0,0.0
2025-08-22,290.4435125,0.0,0.0
2025-08-23,300.996918,0.0,0.0
2025-08-24,302.8630894,0.0,0.0
2025-08-25,288.9085178,0.0,0.0
2025-08-26,284.5646219,0.0,0.0
2025-08-27,288.4736752,0.0,0.0
2025-08-28,277.5880077,0.0,0.0
2025-08-29,299.2455885,0.0,0.0
2025-08-30,309.48352,0.0,0.0
2025-08-31,301.776809,0.0,0.0
2025-09-01,279.8045627,0.0,0.0
2025-09-02,286.3847698,0.0,0.0
2025-09-03,289.7719458,0.0,0.0
2025-09-04,292.3353083,0.0,0.0
2025-09-05,300.4100316,0.0,0.0
2025-09-06,298.4628941,0.0,0.0
2025-09-07,300.6170364,0.0,0.0
2025-09-08,290.4873588,0.0,0.0
2025-09-09,299.8617538,0.0,0.0
2025-09-10,318.6688756,0.0,0.0
2025-09-11,292.4571927,0.0,0.0
2025-09-12,297.9001029,0.0,0.0
2025-09-13,303.1067676,0.0,0.0
2025-09-14,311.7063248,0.0,0.0
2025-09-15,300.0420552,0.0,0.0
2025-09-16,296.7276447,0.0,0.0
2025-09-17,296.7804865,0.0,0.0
2025-09-18,309.2181231,0.0,0.0
2025-09-19,296.579599,0.0,0.0
2025-09-20,299.9410108,0.0,0.0
2025-09-21,363.2551533,0.0,0.0
2025-09-22,296.0933564,0.0,0.0
2025-09-23,294.6069739,0.0,0.0
2025-09-24,299.1761465,0.0,0.0
2025-09-25,301.6902023,0.0,0.0
2025-09-26,305.3429296,0.0,0.0
2025-09-27,314.2871991,0.0,0.0
2025-09-28,315.7746637,0.0,0.0
2025-09-29,299.547735,0.0,0.0
2025-09-30,300.219003,0.0,0.0
2025-10-01,298.7181347,0.0,0.0
2025-10-02,298.5340833,0.0,0.0
2025-10-03,304.2131834,0.0,0.0
2025-10-04,308.9560493,0.0,0.0
2025-10-05,315.963933,0.0,0.0
2025-10-06,292.3044081,0.0,0.0
2025-10-07,293.2931204,0.0,0.0
2025-10-08,300.0454527,0.0,0.0
2025-10-09,344.8224505,0.0,0.0
2025-10-10,309.5097619,0.0,0.0
2025-10-11,312.8955684,0.0,0.0
2025-10-12,323.7258409,0.0,0.0
2025-10-13,299.7475038,0.0,0.0
2025-10-14,305.3725348,0.0,0.0
2025-10-15,307.7337036,0.0,0.0
2025-10-16,304.938346,0.0,0.0
2025-10-17,307.7707621,0.0,0.0
2025-10-18,311.1390017,0.0,0.0
2025-10-19,318.5837477,0.0,0.0
2025-10-20,297.1791535,0.0,0.0
2025-10-21,303.1317306,0.0,0.0
2025-10-22,304.627435,0.0,0.0
2025-10-23,312.19968432576326,280.9797158931869,343.4196527583396
2025-10-24,322.6476258689036,290.3828632820132,354.912388455794
2025-10-25,319.88652583014374,287.8978732471294,351.8751784131581
2025-10-26,321.8857416925923,289.6971675233331,354.0743158618516
2025-10-27,293.4971661800607,264.1474495620546,322.8468827980668
2025-10-28,303.92995142106867,273.5369562789618,334.32294656317555
2025-10-29,307.0728627030024,276.36557643270214,337.78014897330263
2025-10-30,313.5202529447889,282.16822765031003,344.8722782392678
2025-10-31,316.19799099999966,284.5781918999997,347.8177900999996
2025-11-01,314.0439663725127,282.6395697352615,345.448363009764
2025-11-02,315.5165578767572,283.9649020890815,347.06821366443296
2025-11-03,308.56326338593766,277.7069370473439,339.4195897245315
2025-11-04,304.6295862808442,274.16662765275976,335.09254490892863
2025-11-05,299.0612598400592,269.1551338560533,328.9673858240652
2025-11-06,304.9868741721063,274.48818675489565,335.48556158931694
2025-11-07,317.17297241270444,285.455675171434,348.8902696539749
2025-11-08,322.0267375184293,289.8240637665864,354.22941127027224
2025-11-09,311.5751544800138,280.4176390320124,342.7326699280152
2025-11-10,298.41573163289223,268.574158469603,328.2573047961815
2025-11-11,297.6555915347842,267.8900323813058,327.4211506882626
2025-11-12,290.8620591615108,261.77585324535966,319.9482650776618
2025-11-13,301.028790119064,270.9259111071576,331.13166913097047
2025-11-14,315.38506975188113,283.846562776693,346.92357672706925
2025-11-15,313.4603979997961,282.1143581998165,344.8064377997757
2025-11-16,311.6364142771079,280.4727728493972,342.8000557048188
2025-11-17,289.32419245915446,260.39177321323905,318.25661170507
2025-11-18,294.87508385267495,265.3875754674075,324.36259223794247
2025-11-19,294.96524008024164,265.4687160722175,324.46176408826585
2025-11-20,291.8655433674245,262.67898903068203,321.0520977041669
2025-11-21,310.1059791143257,279.0953812028932,341.1165770257584
2025-11-22,313.0578380686583,281.7520542617925,344.3636218755242
2025-11-23,321.41942579431145,289.2774832148803,353.56136837374265
2025-11-24,296.1518197485162,266.5366377736645,325.7670017233678
2025-11-25,296.2637062151496,266.63733559363465,325.89007683666455
2025-11-26,293.9312609487812,264.5381348539031,323.3243870436593
2025-11-27,282.7115058022017,254.44035522198155,310.9826563824219
2025-11-28,308.14290661475496,277.3286159532795,338.9571972762305
2025-11-29,308.25713312507776,277.43141981257,339.08284643758554
2025-11-30,321.9371718159608,289.74345463436475,354.1308889975569
2025-12-01,291.3646959755516,262.22822637799646,320.5011655731068
2025-12-02,293.8757765221996,264.48819886997967,323.2633541744196
2025-12-03,291.5356004328698,262.3820403895828,320.6891604761568
2025-12-04,284.5520460282002,256.0968414253802,313.00725063102027
2025-12-05,312.1865324884104,280.9678792395694,343.4051857372515
2025-12-06,309.51129509358594,278.5601655842274,340.46242460294457
2025-12-07,309.33788619081827,278.40409757173643,340.2716748099001
2025-12-08,284.58667662934613,256.1280089664115,313.0453442922808
2025-12-09,297.6043262576516,267.84389363188643,327.36475888341675
2025-12-10,281.0010263906429,252.9009237515786,309.1011290297072
2025-12-11,292.1196751209443,262.9077076088499,321.3316426330388
2025-12-12,315.4051996709326,283.86467970383933,346.9457196380259
2025-12-13,296.6728428917234,267.00555860255105,326.34012718089576
2025-12-14,298.72582369011,268.853241321099,328.59840605912103
2025-12-15,287.79958495549425,259.01962645994485,316.5795434510437
2025-12-16,283.9627645304691,255.56648807742215,312.359040983516
2025-12-17,277.5907643553562,249.8316879198206,305.34984079089185
2025-12-18,286.4916994485828,257.8425295037245,315.1408693934411
2025-12-19,293.9391374478976,264.54522370310787,323.33305119268744
2025-12-20,302.3176955507515,272.0859259956764,332.5494651058267
2025-12-21,293.9800175932248,264.5820158339023,323.37801935254726
2025-12-22,293.4178094648921,264.0760285184029,322.75959041138134
2025-12-23,279.76747694973096,251.79072925475788,307.7442246447041
2025-12-24,282.0155781651653,253.8140203486488,310.2171359816819
2025-12-25,300.9758348196494,270.87825133768445,331.0734183016144
2025-12-26,319.4897938525919,287.5408144673327,351.43877323785114
2025-12-27,317.2729005086139,285.5456104577525,349.0001905594753
2025-12-28,332.039015582431,298.8351140241879,365.2429171406741
2025-12-29,304.48448311357413,274.0360348022167,334.93293142493155
2025-12-30,295.7869253478751,266.20823281308765,325.36561788266266
2025-12-31,311.32277162669703,280.1904944640273,342.45504878936674
2026-01-01,285.22783608061525,256.70505247255375,313.7506196886768
2026-01-02,287.54534253393365,258.7908082805403,316.29987678732704
2026-01-03,286.69215514208565,258.0229396278771,315.36137065629424
2026-01-04,296.6140696686367,266.9526627017731,326.2754766355004
2026-01-05,280.9920317317136,252.89282855854225,309.09123490488497
