Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,179.8930611,0.0,0.0
2024-10-02,178.3318771,0.0,0.0
2024-10-03,179.1096218,0.0,0.0
2024-10-04,184.5980997,0.0,0.0
2024-10-05,185.4942496,0.0,0.0
2024-10-06,190.9436225,0.0,0.0
2024-10-07,175.7908789,0.0,0.0
2024-10-08,176.7755201,0.0,0.0
2024-10-09,181.9944343,0.0,0.0
2024-10-10,186.0409774,0.0,0.0
2024-10-11,189.963594,0.0,0.0
2024-10-12,184.2953276,0.0,0.0
2024-10-13,190.2557067,0.0,0.0
2024-10-14,178.7089205,0.0,0.0
2024-10-15,182.1635998,0.0,0.0
2024-10-16,177.8649446,0.0,0.0
2024-10-17,179.6650032,0.0,0.0
2024-10-18,188.0541483,0.0,0.0
2024-10-19,184.9902743,0.0,0.0
2024-10-20,193.5920032,0.0,0.0
2024-10-21,179.8864046,0.0,0.0
2024-10-22,181.524555,0.0,0.0
2024-10-23,184.4225109,0.0,0.0
2024-10-24,190.9555854,0.0,0.0
2024-10-25,196.3274047,0.0,0.0
2024-10-26,188.0473988,0.0,0.0
2024-10-27,199.3918392,0.0,0.0
2024-10-28,181.8294755,0.0,0.0
2024-10-29,181.6779133,0.0,0.0
2024-10-30,181.9475094,0.0,0.0
2024-11-01,87.01539293,0.0,0.0
2024-11-02,179.7563745,0.0,0.0
2024-11-03,188.4740605,0.0,0.0
2024-11-04,177.2756119,0.0,0.0
2024-11-05,176.8508538,0.0,0.0
2024-11-06,179.9868902,0.0,0.0
2024-11-07,179.5896553,0.0,0.0
2024-11-08,184.3046324,0.0,0.0
2024-11-09,178.8645722,0.0,0.0
2024-11-10,182.8338223,0.0,0.0
2024-11-11,176.638331,0.0,0.0
2024-11-12,175.0902522,0.0,0.0
2024-11-13,172.7104015,0.0,0.0
2024-11-14,174.0210689,0.0,0.0
2024-11-15,181.2665174,0.0,0.0
2024-11-16,172.6109322,0.0,0.0
2024-11-17,183.3393194,0.0,0.0
2024-11-18,172.8892233,0.0,0.0
2024-11-19,176.1592742,0.0,0.0
2024-11-20,174.0051089,0.0,0.0
2024-11-21,175.7631206,0.0,0.0
2024-11-22,180.7522511,0.0,0.0
2024-11-23,179.3780824,0.0,0.0
2024-11-24,184.6226906,0.0,0.0
2024-11-25,177.4820518,0.0,0.0
2024-11-26,178.8282238,0.0,0.0
2024-11-27,190.834278,0.0,0.0
2024-11-28,178.2613971,0.0,0.0
2024-11-29,181.0723306,0.0,0.0
2024-11-30,176.6797421,0.0,0.0
2024-12-01,180.3463415,0.0,0.0
2024-12-02,173.113443,0.0,0.0
2024-12-03,170.135498,0.0,0.0
2024-12-04,176.3409195,0.0,0.0
2024-12-05,179.3237252,0.0,0.0
2024-12-06,189.8898521,0.0,0.0
2024-12-07,181.3529442,0.0,0.0
2024-12-08,187.1490128,0.0,0.0
2024-12-09,171.1505837,0.0,0.0
2024-12-10,169.8615309,0.0,0.0
2024-12-11,174.5735584,0.0,0.0
2024-12-12,185.209612,0.0,0.0
2024-12-13,178.6268121,0.0,0.0
2024-12-14,181.7817647,0.0,0.0
2024-12-15,183.6497024,0.0,0.0
2024-12-16,179.3100475,0.0,0.0
2024-12-17,173.8345634,0.0,0.0
2024-12-18,175.4821531,0.0,0.0
2024-12-19,174.8818923,0.0,0.0
2024-12-20,175.1032558,0.0,0.0
2024-12-21,172.9782008,0.0,0.0
2024-12-22,172.9782008,0.0,0.0
2024-12-23,174.2178723,0.0,0.0
2024-12-24,173.42586,0.0,0.0
2024-12-25,173.42586,0.0,0.0
2024-12-26,175.4161135,0.0,0.0
2024-12-27,173.7332375,0.0,0.0
2024-12-28,172.7513569,0.0,0.0
2024-12-29,175.9847432,0.0,0.0
2024-12-30,166.042343,0.0,0.0
2024-12-31,172.847927,0.0,0.0
2025-01-01,188.96,0.0,0.0
2025-01-02,164.84,0.0,0.0
2025-01-03,163.05,0.0,0.0
2025-01-04,162.41,0.0,0.0
2025-01-05,165.51,0.0,0.0
2025-01-06,155.79,0.0,0.0
2025-01-07,153.82,0.0,0.0
2025-01-08,155.16,0.0,0.0
2025-01-09,155.9,0.0,0.0
2025-01-10,157.38,0.0,0.0
2025-01-11,159.94,0.0,0.0
2025-01-12,160.87,0.0,0.0
2025-01-13,151.28,0.0,0.0
2025-01-14,150.08,0.0,0.0
2025-01-15,149.83,0.0,0.0
2025-01-16,153.96,0.0,0.0
2025-01-17,152.7,0.0,0.0
2025-01-18,153.98,0.0,0.0
2025-01-19,155.39,0.0,0.0
2025-01-20,140.63,0.0,0.0
2025-01-21,146.57,0.0,0.0
2025-01-22,149.51,0.0,0.0
2025-01-23,149.65,0.0,0.0
2025-01-24,152.73,0.0,0.0
2025-01-25,151.34,0.0,0.0
2025-01-26,156.98,0.0,0.0
2025-01-27,160.05,0.0,0.0
2025-01-28,155.74,0.0,0.0
2025-01-29,149.48,0.0,0.0
2025-01-30,140.31,0.0,0.0
2025-01-31,148.01,0.0,0.0
2025-02-01,150.64,0.0,0.0
2025-02-02,155.37,0.0,0.0
2025-02-03,145.26,0.0,0.0
2025-02-04,147.56,0.0,0.0
2025-02-05,146.21,0.0,0.0
2025-02-06,149.93,0.0,0.0
2025-02-07,150.97,0.0,0.0
2025-02-08,151.78,0.0,0.0
2025-02-09,161.25,0.0,0.0
2025-02-10,152.48,0.0,0.0
2025-02-11,152.74,0.0,0.0
2025-02-12,155.23,0.0,0.0
2025-02-13,156.43,0.0,0.0
2025-02-14,162.65,0.0,0.0
2025-02-15,165.6,0.0,0.0
2025-02-16,174.41,0.0,0.0
2025-02-17,165.62,0.0,0.0
2025-02-18,164.79,0.0,0.0
2025-02-19,169.22,0.0,0.0
2025-02-20,172.89,0.0,0.0
2025-02-21,173.83,0.0,0.0
2025-02-22,179.64,0.0,0.0
2025-02-23,183.8,0.0,0.0
2025-02-24,175.54,0.0,0.0
2025-02-25,171.61,0.0,0.0
2025-02-26,175.08,0.0,0.0
2025-02-27,174.95,0.0,0.0
2025-02-28,172.52,0.0,0.0
2025-03-01,174.91,0.0,0.0
2025-03-02,186.31,0.0,0.0
2025-03-03,181.32,0.0,0.0
2025-03-04,175.57,0.0,0.0
2025-03-05,183.51,0.0,0.0
2025-03-06,181.35,0.0,0.0
2025-03-07,182.1,0.0,0.0
2025-03-08,188.47,0.0,0.0
2025-03-09,188.55,0.0,0.0
