Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,100.1172246,0.0,0.0
2024-10-02,100.2954446,0.0,0.0
2024-10-03,95.09441547,0.0,0.0
2024-10-04,97.72266388,0.0,0.0
2024-10-05,106.3964087,0.0,0.0
2024-10-06,107.5351208,0.0,0.0
2024-10-07,96.03727037,0.0,0.0
2024-10-08,97.50284207,0.0,0.0
2024-10-09,99.52527474,0.0,0.0
2024-10-10,104.2634025,0.0,0.0
2024-10-11,104.4523745,0.0,0.0
2024-10-12,106.0034892,0.0,0.0
2024-10-13,110.5021076,0.0,0.0
2024-10-14,99.48314142,0.0,0.0
2024-10-15,101.1617836,0.0,0.0
2024-10-16,93.98999597,0.0,0.0
2024-10-17,98.68198558,0.0,0.0
2024-10-18,99.79753777,0.0,0.0
2024-10-19,107.0002215,0.0,0.0
2024-10-20,111.206411,0.0,0.0
2024-10-21,94.95835458,0.0,0.0
2024-10-22,100.4229816,0.0,0.0
2024-10-23,99.66944926,0.0,0.0
2024-10-24,101.607754,0.0,0.0
2024-10-25,106.7267643,0.0,0.0
2024-10-26,107.1541385,0.0,0.0
2024-10-27,111.7727514,0.0,0.0
2024-10-28,99.06454347,0.0,0.0
2024-10-29,97.98335895,0.0,0.0
2024-10-30,99.97646555,0.0,0.0
2024-11-01,52.83598361,0.0,0.0
2024-11-02,103.8811253,0.0,0.0
2024-11-03,107.9918606,0.0,0.0
2024-11-04,96.76257694,0.0,0.0
2024-11-05,96.78328782,0.0,0.0
2024-11-06,96.7684473,0.0,0.0
2024-11-07,96.43859041,0.0,0.0
2024-11-08,100.4984105,0.0,0.0
2024-11-09,103.92935,0.0,0.0
2024-11-10,107.2355249,0.0,0.0
2024-11-11,100.337362,0.0,0.0
2024-11-12,99.2409074,0.0,0.0
2024-11-13,98.08986462,0.0,0.0
2024-11-14,99.23864696,0.0,0.0
2024-11-15,100.8860562,0.0,0.0
2024-11-16,105.141462,0.0,0.0
2024-11-17,107.3102407,0.0,0.0
2024-11-18,95.77411854,0.0,0.0
2024-11-19,99.5050062,0.0,0.0
