Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,125.1540259,0.0,0.0
2024-10-02,124.952296,0.0,0.0
2024-10-03,118.2573732,0.0,0.0
2024-10-04,126.9929873,0.0,0.0
2024-10-05,135.6118694,0.0,0.0
2024-10-06,139.9648493,0.0,0.0
2024-10-07,122.3945914,0.0,0.0
2024-10-08,123.0973412,0.0,0.0
2024-10-09,126.3962098,0.0,0.0
2024-10-10,130.5891347,0.0,0.0
2024-10-11,136.9788279,0.0,0.0
2024-10-12,134.7257861,0.0,0.0
2024-10-13,141.2212843,0.0,0.0
2024-10-14,125.7008416,0.0,0.0
2024-10-15,129.0436261,0.0,0.0
2024-10-16,118.1491566,0.0,0.0
2024-10-17,126.7428581,0.0,0.0
2024-10-18,131.282743,0.0,0.0
2024-10-19,133.7380426,0.0,0.0
2024-10-20,142.8348883,0.0,0.0
2024-10-21,121.8855816,0.0,0.0
2024-10-22,128.8765676,0.0,0.0
2024-10-23,126.2000236,0.0,0.0
2024-10-24,129.6477902,0.0,0.0
2024-10-25,137.6170794,0.0,0.0
2024-10-26,136.8044979,0.0,0.0
2024-10-27,145.6823898,0.0,0.0
2024-10-28,126.3413475,0.0,0.0
2024-10-29,126.2639511,0.0,0.0
2024-10-30,126.5055236,0.0,0.0
2024-11-01,67.04777387,0.0,0.0
2024-11-02,131.5812651,0.0,0.0
2024-11-03,141.9740615,0.0,0.0
2024-11-04,122.5442606,0.0,0.0
2024-11-05,123.2727987,0.0,0.0
2024-11-06,121.151948,0.0,0.0
2024-11-07,124.3391996,0.0,0.0
2024-11-08,129.6040261,0.0,0.0
2024-11-09,132.037336,0.0,0.0
2024-11-10,139.8069761,0.0,0.0
2024-11-11,125.8523815,0.0,0.0
2024-11-12,123.0962043,0.0,0.0
2024-11-13,122.8882013,0.0,0.0
2024-11-14,123.2425249,0.0,0.0
2024-11-15,131.7797343,0.0,0.0
2024-11-16,134.3062471,0.0,0.0
2024-11-17,135.0577784,0.0,0.0
2024-11-18,120.4720327,0.0,0.0
2024-11-19,125.9900747,0.0,0.0
2024-11-20,122.2657288,0.0,0.0
2024-11-21,125.1981606,0.0,0.0
2024-11-22,132.405563,0.0,0.0
2024-11-23,133.520197,0.0,0.0
2024-11-24,138.6239186,0.0,0.0
2024-11-25,126.7864358,0.0,0.0
2024-11-26,130.821368,0.0,0.0
2024-11-27,146.3895305,0.0,0.0
2024-11-28,129.5754436,0.0,0.0
2024-11-29,131.716127,0.0,0.0
2024-11-30,134.5017385,0.0,0.0
2024-12-01,137.9790436,0.0,0.0
2024-12-02,124.1933988,0.0,0.0
2024-12-03,125.3567739,0.0,0.0
2024-12-04,125.0781123,0.0,0.0
2024-12-05,129.8167583,0.0,0.0
2024-12-06,132.3721005,0.0,0.0
2024-12-07,134.2419791,0.0,0.0
2024-12-08,141.487876,0.0,0.0
2024-12-09,128.1350269,0.0,0.0
2024-12-10,127.0396911,0.0,0.0
2024-12-11,126.9161029,0.0,0.0
2024-12-12,134.3613568,0.0,0.0
2024-12-13,129.5656373,0.0,0.0
2024-12-14,132.9465137,0.0,0.0
2024-12-15,142.8436045,0.0,0.0
2024-12-16,127.2932968,0.0,0.0
2024-12-17,126.4926199,0.0,0.0
2024-12-18,130.9207264,0.0,0.0
2024-12-19,132.7272507,0.0,0.0
2024-12-20,134.0282397,0.0,0.0
2024-12-21,138.6132362,0.0,0.0
2024-12-22,138.6132362,0.0,0.0
2024-12-23,135.8661086,0.0,0.0
2024-12-24,136.0549783,0.0,0.0
2024-12-25,136.0549783,0.0,0.0
2024-12-26,136.6262078,0.0,0.0
2024-12-27,137.805045,0.0,0.0
2024-12-28,141.4609798,0.0,0.0
2024-12-29,144.4463152,0.0,0.0
2024-12-30,135.1898395,0.0,0.0
2024-12-31,137.8986702,0.0,0.0
2025-01-01,148.21,0.0,0.0
2025-01-02,130.19,0.0,0.0
2025-01-03,131.92,0.0,0.0
2025-01-04,133.05,0.0,0.0
2025-01-05,132.38,0.0,0.0
2025-01-06,120.93,0.0,0.0
2025-01-07,118.01,0.0,0.0
2025-01-08,120.75,0.0,0.0
2025-01-09,120.58,0.0,0.0
2025-01-10,122.96,0.0,0.0
2025-01-11,125.91,0.0,0.0
2025-01-12,132.75,0.0,0.0
2025-01-13,116.43,0.0,0.0
2025-01-14,117.79,0.0,0.0
2025-01-15,116.73,0.0,0.0
2025-01-16,113.7,0.0,0.0
2025-01-17,122.93,0.0,0.0
2025-01-18,123.84,0.0,0.0
2025-01-19,129.58,0.0,0.0
2025-01-20,119.34,0.0,0.0
2025-01-21,127.88,0.0,0.0
2025-01-22,120.41,0.0,0.0
2025-01-23,118.79,0.0,0.0
2025-01-24,124.32,0.0,0.0
2025-01-25,126.16,0.0,0.0
2025-01-26,135.52,0.0,0.0
2025-01-27,135.04,0.0,0.0
2025-01-28,127.65,0.0,0.0
2025-01-29,139.14,0.0,0.0
2025-01-30,130.61,0.0,0.0
2025-01-31,121.47,0.0,0.0
2025-02-01,128.17,0.0,0.0
2025-02-02,134.62,0.0,0.0
