Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,5.087157779,0.0,0.0
2024-10-02,5.193933727,0.0,0.0
2024-10-03,5.042031767,0.0,0.0
2024-10-04,5.046061312,0.0,0.0
2024-10-05,5.286880114,0.0,0.0
2024-10-06,5.709804564,0.0,0.0
2024-10-07,5.036949404,0.0,0.0
2024-10-08,5.212568631,0.0,0.0
2024-10-09,5.142267315,0.0,0.0
2024-10-10,5.085554757,0.0,0.0
2024-10-11,5.372241377,0.0,0.0
2024-10-12,5.35007887,0.0,0.0
2024-10-13,5.577508736,0.0,0.0
2024-10-14,5.24913861,0.0,0.0
2024-10-15,5.538276678,0.0,0.0
2024-10-16,5.199447558,0.0,0.0
2024-10-17,5.207825385,0.0,0.0
2024-10-18,5.302734208,0.0,0.0
2024-10-19,5.363433719,0.0,0.0
2024-10-20,5.690967795,0.0,0.0
2024-10-21,5.17872543,0.0,0.0
2024-10-22,5.235812205,0.0,0.0
2024-10-23,5.20275517,0.0,0.0
2024-10-24,5.414779273,0.0,0.0
2024-10-25,5.243425577,0.0,0.0
2024-10-26,5.523736989,0.0,0.0
2024-10-27,5.896073753,0.0,0.0
2024-10-28,5.363246963,0.0,0.0
2024-10-29,5.405038211,0.0,0.0
2024-10-30,5.411518177,0.0,0.0
2024-11-01,2.6438309,0.0,0.0
2024-11-02,5.468603728,0.0,0.0
2024-11-03,5.623035935,0.0,0.0
2024-11-04,5.318851045,0.0,0.0
2024-11-05,5.311523587,0.0,0.0
2024-11-06,5.317247084,0.0,0.0
2024-11-07,5.408030647,0.0,0.0
2024-11-08,5.325727257,0.0,0.0
2024-11-09,5.402185714,0.0,0.0
2024-11-10,5.64263256,0.0,0.0
2024-11-11,5.315794476,0.0,0.0
2024-11-12,5.474760201,0.0,0.0
2024-11-13,4.980769463,0.0,0.0
2024-11-14,5.467389997,0.0,0.0
2024-11-15,5.787589849,0.0,0.0
2024-11-16,5.715045492,0.0,0.0
2024-11-17,5.636736523,0.0,0.0
2024-11-18,5.166748411,0.0,0.0
2024-11-19,5.418954114,0.0,0.0
2024-11-20,5.334172079,0.0,0.0
2024-11-21,5.355827158,0.0,0.0
2024-11-22,5.3877615,0.0,0.0
2024-11-23,5.530565908,0.0,0.0
2024-11-24,5.630205201,0.0,0.0
2024-11-25,5.026518133,0.0,0.0
2024-11-26,5.304843383,0.0,0.0
2024-11-27,5.821209817,0.0,0.0
2024-11-28,5.47289302,0.0,0.0
2024-11-29,5.616802868,0.0,0.0
2024-11-30,5.916694285,0.0,0.0
2024-12-01,5.739650775,0.0,0.0
2024-12-02,5.047147948,0.0,0.0
2024-12-03,4.831768433,0.0,0.0
2024-12-04,5.387667968,0.0,0.0
2024-12-05,5.620843458,0.0,0.0
2024-12-06,5.449380207,0.0,0.0
2024-12-07,5.716983782,0.0,0.0
2024-12-08,5.833489326,0.0,0.0
2024-12-09,5.274647019,0.0,0.0
2024-12-10,5.454099436,0.0,0.0
2024-12-11,5.758563464,0.0,0.0
2024-12-12,5.136854644,0.0,0.0
2024-12-13,5.524427549,0.0,0.0
2024-12-14,5.405419773,0.0,0.0
2024-12-15,6.133907572,0.0,0.0
2024-12-16,5.396331813,0.0,0.0
2024-12-17,5.472561128,0.0,0.0
2024-12-18,5.90233324,0.0,0.0
2024-12-19,5.787685342,0.0,0.0
2024-12-20,5.657075666,0.0,0.0
2024-12-21,5.9074618,0.0,0.0
2024-12-22,5.9074618,0.0,0.0
2024-12-23,5.601477085,0.0,0.0
2024-12-24,5.613475338,0.0,0.0
2024-12-25,5.613475338,0.0,0.0
2024-12-26,6.227562845,0.0,0.0
2024-12-27,6.275338123,0.0,0.0
2024-12-28,6.286189939,0.0,0.0
2024-12-29,6.295090982,0.0,0.0
2024-12-30,5.841904966,0.0,0.0
2024-12-31,6.033107,0.0,0.0
2025-01-01,6.41,0.0,0.0
2025-01-02,5.93,0.0,0.0
2025-01-03,6.09,0.0,0.0
2025-01-04,5.81,0.0,0.0
2025-01-05,5.8,0.0,0.0
2025-01-06,5.57,0.0,0.0
2025-01-07,5.69,0.0,0.0
2025-01-08,5.52,0.0,0.0
2025-01-09,5.64,0.0,0.0
2025-01-10,5.74,0.0,0.0
2025-01-11,5.62,0.0,0.0
2025-01-12,5.63,0.0,0.0
2025-01-13,5.45,0.0,0.0
2025-01-14,5.25,0.0,0.0
2025-01-15,5.37,0.0,0.0
2025-01-16,5.38,0.0,0.0
2025-01-17,5.42,0.0,0.0
2025-01-18,5.44,0.0,0.0
2025-01-19,5.64,0.0,0.0
2025-01-20,5.26,0.0,0.0
2025-01-21,5.2,0.0,0.0
2025-01-22,5.23,0.0,0.0
2025-01-23,5.31,0.0,0.0
2025-01-24,5.21,0.0,0.0
2025-01-25,4.35,0.0,0.0
2025-01-26,5.81,0.0,0.0
2025-01-27,5.77,0.0,0.0
2025-01-28,5.76,0.0,0.0
2025-01-29,5.36,0.0,0.0
2025-01-30,5.14,0.0,0.0
2025-01-31,5.24,0.0,0.0
2025-02-01,5.16,0.0,0.0
2025-02-02,5.24,0.0,0.0
2025-02-03,4.85,0.0,0.0
2025-02-04,4.99,0.0,0.0
2025-02-05,4.87,0.0,0.0
2025-02-06,5.0,0.0,0.0
2025-02-07,5.4,0.0,0.0
2025-02-08,5.22,0.0,0.0
2025-02-09,4.98,0.0,0.0
2025-02-10,5.1,0.0,0.0
2025-02-11,5.22,0.0,0.0
2025-02-12,5.19,0.0,0.0
2025-02-13,5.03,0.0,0.0
2025-02-14,5.08,0.0,0.0
2025-02-15,5.19,0.0,0.0
2025-02-16,5.75,0.0,0.0
2025-02-17,5.32,0.0,0.0
2025-02-18,5.26,0.0,0.0
2025-02-19,5.27,0.0,0.0
2025-02-20,5.29,0.0,0.0
2025-02-21,5.39,0.0,0.0
2025-02-22,5.68,0.0,0.0
2025-02-23,5.76,0.0,0.0
2025-02-24,5.41,0.0,0.0
2025-02-25,5.37,0.0,0.0
2025-02-26,5.58,0.0,0.0
2025-02-27,5.73,0.0,0.0
2025-02-28,5.6,0.0,0.0
2025-03-01,5.6,0.0,0.0
2025-03-02,5.72,0.0,0.0
2025-03-03,5.59,0.0,0.0
2025-03-04,5.55,0.0,0.0
2025-03-05,5.7,0.0,0.0
2025-03-06,5.58,0.0,0.0
2025-03-07,5.73,0.0,0.0
2025-03-08,5.73,0.0,0.0
2025-03-09,5.9,0.0,0.0
2025-03-10,5.8,0.0,0.0
2025-03-11,5.83,0.0,0.0
2025-03-12,5.73,0.0,0.0
2025-03-13,5.98,0.0,0.0
2025-03-14,4.64,0.0,0.0
2025-03-15,5.91,0.0,0.0
2025-03-16,5.55,0.0,0.0
2025-03-17,5.32,0.0,0.0
2025-03-18,6.02,0.0,0.0
2025-03-19,5.66,0.0,0.0
2025-03-20,5.96,0.0,0.0
2025-03-21,6.22,0.0,0.0
2025-03-22,6.62,0.0,0.0
2025-03-23,6.29,0.0,0.0
2025-03-24,6.85,0.0,0.0
2025-03-25,6.47,0.0,0.0
2025-03-26,6.51,0.0,0.0
2025-03-27,6.53,0.0,0.0
2025-03-28,6.73,0.0,0.0
2025-03-29,6.54,0.0,0.0
2025-03-30,6.84,0.0,0.0
2025-03-31,6.81,0.0,0.0
2025-04-01,6.78,0.0,0.0
2025-04-02,7.25,0.0,0.0
2025-04-03,6.89288491,0.0,0.0
2025-04-04,6.894880877,0.0,0.0
2025-04-05,6.683558736,0.0,0.0
2025-04-06,6.797763886,0.0,0.0
2025-04-07,6.505320325,0.0,0.0
2025-04-08,6.53179379,0.0,0.0
