Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,134.8919943,0.0,0.0
2024-10-02,132.3099881,0.0,0.0
2024-10-03,133.8505806,0.0,0.0
2024-10-04,135.1806521,0.0,0.0
2024-10-05,139.441618,0.0,0.0
2024-10-06,149.0376638,0.0,0.0
2024-10-07,131.8047144,0.0,0.0
2024-10-08,133.1123905,0.0,0.0
2024-10-09,132.9067388,0.0,0.0
2024-10-10,137.1340095,0.0,0.0
2024-10-11,141.1562855,0.0,0.0
2024-10-12,144.1990605,0.0,0.0
2024-10-13,150.4448079,0.0,0.0
2024-10-14,135.1860042,0.0,0.0
2024-10-15,138.2769785,0.0,0.0
2024-10-16,132.8251081,0.0,0.0
2024-10-17,134.2502149,0.0,0.0
2024-10-18,140.0257461,0.0,0.0
2024-10-19,144.4275364,0.0,0.0
2024-10-20,153.2595823,0.0,0.0
2024-10-21,133.1325434,0.0,0.0
2024-10-22,135.3649365,0.0,0.0
2024-10-23,136.5768515,0.0,0.0
2024-10-24,137.1274343,0.0,0.0
2024-10-25,142.7774051,0.0,0.0
2024-10-26,144.8180033,0.0,0.0
2024-10-27,153.6716798,0.0,0.0
2024-10-28,135.7152596,0.0,0.0
2024-10-29,136.3810925,0.0,0.0
2024-10-30,135.979169,0.0,0.0
2024-11-01,66.72298293,0.0,0.0
2024-11-02,144.6070498,0.0,0.0
2024-11-03,157.245089,0.0,0.0
2024-11-04,134.9917537,0.0,0.0
2024-11-05,133.1024647,0.0,0.0
2024-11-06,133.2355051,0.0,0.0
2024-11-07,131.7675057,0.0,0.0
2024-11-08,136.5302717,0.0,0.0
2024-11-09,141.4069738,0.0,0.0
2024-11-10,150.0101078,0.0,0.0
2024-11-11,139.3667085,0.0,0.0
2024-11-12,132.7749847,0.0,0.0
2024-11-13,133.9621328,0.0,0.0
2024-11-14,133.4699504,0.0,0.0
2024-11-15,134.5014213,0.0,0.0
2024-11-16,139.6555593,0.0,0.0
2024-11-17,142.4890239,0.0,0.0
2024-11-18,129.4251196,0.0,0.0
2024-11-19,138.8504415,0.0,0.0
2024-11-20,136.7140144,0.0,0.0
2024-11-21,135.6249852,0.0,0.0
2024-11-22,137.4742611,0.0,0.0
2024-11-23,142.2168709,0.0,0.0
2024-11-24,147.5246235,0.0,0.0
2024-11-25,138.7249458,0.0,0.0
2024-11-26,136.5918653,0.0,0.0
2024-11-27,147.6516091,0.0,0.0
2024-11-28,148.4659592,0.0,0.0
2024-11-29,144.7530686,0.0,0.0
2024-11-30,144.3213398,0.0,0.0
2024-12-01,144.6905256,0.0,0.0
2024-12-02,132.3700599,0.0,0.0
2024-12-03,133.2189682,0.0,0.0
2024-12-04,136.8030209,0.0,0.0
2024-12-05,136.4823946,0.0,0.0
2024-12-06,142.837883,0.0,0.0
2024-12-07,140.897999,0.0,0.0
2024-12-08,148.7045705,0.0,0.0
2024-12-09,142.7421629,0.0,0.0
2024-12-10,135.8633154,0.0,0.0
2024-12-11,138.3082437,0.0,0.0
2024-12-12,145.569297,0.0,0.0
2024-12-13,137.7732913,0.0,0.0
2024-12-14,141.7873755,0.0,0.0
2024-12-15,145.9111454,0.0,0.0
2024-12-16,135.9394613,0.0,0.0
2024-12-17,136.1809704,0.0,0.0
2024-12-18,136.2965719,0.0,0.0
2024-12-19,133.3525458,0.0,0.0
2024-12-20,137.0553414,0.0,0.0
2024-12-21,144.2643785,0.0,0.0
2024-12-22,144.2643785,0.0,0.0
2024-12-23,140.6502741,0.0,0.0
2024-12-24,142.6356313,0.0,0.0
2024-12-25,142.6356313,0.0,0.0
2024-12-26,144.6305986,0.0,0.0
2024-12-27,143.2578458,0.0,0.0
2024-12-28,146.7068659,0.0,0.0
2024-12-29,153.0799459,0.0,0.0
2024-12-30,142.3081249,0.0,0.0
2024-12-31,148.2293746,0.0,0.0
2025-01-01,154.94,0.0,0.0
2025-01-02,134.1,0.0,0.0
2025-01-03,129.91,0.0,0.0
2025-01-04,131.07,0.0,0.0
2025-01-05,135.02,0.0,0.0
2025-01-06,125.08,0.0,0.0
2025-01-07,124.11,0.0,0.0
2025-01-08,123.3,0.0,0.0
2025-01-09,126.62,0.0,0.0
2025-01-10,127.55,0.0,0.0
2025-01-11,129.65,0.0,0.0
2025-01-12,140.12,0.0,0.0
2025-01-13,122.35,0.0,0.0
2025-01-14,125.37,0.0,0.0
2025-01-15,121.84,0.0,0.0
2025-01-16,121.84,0.0,0.0
2025-01-17,126.8,0.0,0.0
2025-01-18,130.4,0.0,0.0
2025-01-19,136.21,0.0,0.0
2025-01-20,122.29,0.0,0.0
2025-01-21,123.58,0.0,0.0
2025-01-22,123.53,0.0,0.0
2025-01-23,125.66,0.0,0.0
2025-01-24,126.74,0.0,0.0
2025-01-25,130.65,0.0,0.0
2025-01-26,141.89,0.0,0.0
2025-01-27,140.96,0.0,0.0
2025-01-28,134.56,0.0,0.0
2025-01-29,131.46,0.0,0.0
2025-01-30,128.64,0.0,0.0
2025-01-31,126.95,0.0,0.0
2025-02-01,125.63,0.0,0.0
2025-02-02,133.11,0.0,0.0
2025-02-03,119.07,0.0,0.0
2025-02-04,120.83,0.0,0.0
2025-02-05,122.86,0.0,0.0
2025-02-06,127.96,0.0,0.0
2025-02-07,126.85,0.0,0.0
2025-02-08,129.69,0.0,0.0
2025-02-09,141.26,0.0,0.0
2025-02-10,124.59,0.0,0.0
2025-02-11,126.26,0.0,0.0
2025-02-12,123.73,0.0,0.0
2025-02-13,123.54,0.0,0.0
2025-02-14,127.56,0.0,0.0
2025-02-15,130.78,0.0,0.0
2025-02-16,135.47,0.0,0.0
2025-02-17,124.64,0.0,0.0
2025-02-18,119.67,0.0,0.0
2025-02-19,123.71,0.0,0.0
2025-02-20,122.72,0.0,0.0
2025-02-21,128.79,0.0,0.0
2025-02-22,133.21,0.0,0.0
2025-02-23,136.64,0.0,0.0
2025-02-24,125.54,0.0,0.0
2025-02-25,126.33,0.0,0.0
2025-02-26,132.81,0.0,0.0
2025-02-27,130.59,0.0,0.0
2025-02-28,129.78,0.0,0.0
2025-03-01,126.23,0.0,0.0
2025-03-02,133.85,0.0,0.0
2025-03-03,125.23,0.0,0.0
2025-03-04,120.27,0.0,0.0
2025-03-05,124.71,0.0,0.0
2025-03-06,125.19,0.0,0.0
2025-03-07,127.22,0.0,0.0
2025-03-08,130.23,0.0,0.0
2025-03-09,130.8,0.0,0.0
2025-03-10,125.06,0.0,0.0
2025-03-11,122.67,0.0,0.0
2025-03-12,124.29,0.0,0.0
2025-03-13,123.88,0.0,0.0
2025-03-14,125.7,0.0,0.0
2025-03-15,128.47,0.0,0.0
2025-03-16,133.23,0.0,0.0
2025-03-17,128.23,0.0,0.0
2025-03-18,127.11,0.0,0.0
2025-03-19,132.78,0.0,0.0
2025-03-20,129.98,0.0,0.0
2025-03-21,130.67,0.0,0.0
2025-03-22,136.94,0.0,0.0
2025-03-23,141.26,0.0,0.0
2025-03-24,138.04,0.0,0.0
2025-03-25,135.95,0.0,0.0
2025-03-26,142.43,0.0,0.0
2025-03-27,145.98,0.0,0.0
2025-03-28,156.58,0.0,0.0
2025-03-29,154.43,0.0,0.0
2025-03-30,168.91,0.0,0.0
2025-03-31,193.44,0.0,0.0
2025-04-01,200.12,0.0,0.0
2025-04-02,211.94,0.0,0.0
2025-04-03,209.8317947,0.0,0.0
2025-04-04,202.7653406,0.0,0.0
2025-04-05,194.2232976,0.0,0.0
2025-04-06,183.8792202,0.0,0.0
2025-04-07,169.0300373,0.0,0.0
2025-04-08,165.0201458,0.0,0.0
