Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,207.4988674,0.0,0.0
2024-10-02,210.4137413,0.0,0.0
2024-10-03,181.3758435,0.0,0.0
2024-10-04,180.8769963,0.0,0.0
2024-10-05,235.083052,0.0,0.0
2024-10-06,250.5089985,0.0,0.0
2024-10-07,206.5594749,0.0,0.0
2024-10-08,205.6286125,0.0,0.0
2024-10-09,208.4604853,0.0,0.0
2024-10-10,213.9480181,0.0,0.0
2024-10-11,220.7787187,0.0,0.0
2024-10-12,235.8808571,0.0,0.0
2024-10-13,253.1494882,0.0,0.0
2024-10-14,209.1689035,0.0,0.0
2024-10-15,200.2033303,0.0,0.0
2024-10-16,194.4742512,0.0,0.0
2024-10-17,205.919498,0.0,0.0
2024-10-18,217.1859555,0.0,0.0
2024-10-19,235.2588364,0.0,0.0
2024-10-20,256.9413426,0.0,0.0
2024-10-21,207.0642128,0.0,0.0
2024-10-22,206.83843,0.0,0.0
2024-10-23,207.4396972,0.0,0.0
2024-10-24,214.611412,0.0,0.0
2024-10-25,222.1011642,0.0,0.0
2024-10-26,235.1094564,0.0,0.0
2024-10-27,257.2905385,0.0,0.0
2024-10-28,208.6389487,0.0,0.0
2024-10-29,206.8173773,0.0,0.0
2024-10-30,210.2579154,0.0,0.0
2024-11-01,106.8032589,0.0,0.0
2024-11-02,232.3777383,0.0,0.0
2024-11-03,248.4876768,0.0,0.0
2024-11-04,205.7470956,0.0,0.0
2024-11-05,200.2547381,0.0,0.0
2024-11-06,201.9923372,0.0,0.0
2024-11-07,204.6271029,0.0,0.0
2024-11-08,211.8111306,0.0,0.0
2024-11-09,233.7950519,0.0,0.0
2024-11-10,248.4599183,0.0,0.0
2024-11-11,209.2643158,0.0,0.0
2024-11-12,203.5018319,0.0,0.0
2024-11-13,206.220212,0.0,0.0
2024-11-14,205.4999865,0.0,0.0
2024-11-15,211.7437718,0.0,0.0
2024-11-16,232.3453516,0.0,0.0
2024-11-17,241.686428,0.0,0.0
2024-11-18,202.8587327,0.0,0.0
2024-11-19,210.4143565,0.0,0.0
2024-11-20,201.2394006,0.0,0.0
2024-11-21,203.6889567,0.0,0.0
