Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,92.75580741,0.0,0.0
2024-10-02,88.62413743,0.0,0.0
2024-10-03,89.9842225,0.0,0.0
2024-10-04,97.2266821,0.0,0.0
2024-10-05,111.7626125,0.0,0.0
2024-10-06,101.2980203,0.0,0.0
2024-10-07,88.83454039,0.0,0.0
2024-10-08,87.90761405,0.0,0.0
2024-10-09,88.34922976,0.0,0.0
2024-10-10,90.56114228,0.0,0.0
2024-10-11,91.50542109,0.0,0.0
2024-10-12,91.69780305,0.0,0.0
2024-10-13,92.96173601,0.0,0.0
2024-10-14,87.47021868,0.0,0.0
2024-10-15,88.73883851,0.0,0.0
2024-10-16,88.15147293,0.0,0.0
2024-10-17,93.27097017,0.0,0.0
2024-10-18,93.41115013,0.0,0.0
2024-10-19,92.92260782,0.0,0.0
2024-10-20,94.18811264,0.0,0.0
2024-10-21,87.61388915,0.0,0.0
2024-10-22,87.21149111,0.0,0.0
2024-10-23,88.16373753,0.0,0.0
2024-10-24,89.84650904,0.0,0.0
2024-10-25,91.67361503,0.0,0.0
2024-10-26,91.93755162,0.0,0.0
2024-10-27,96.11221733,0.0,0.0
2024-10-28,88.03070069,0.0,0.0
2024-10-29,88.55909369,0.0,0.0
2024-10-30,88.45839431,0.0,0.0
2024-11-01,41.63195859,0.0,0.0
2024-11-02,88.43112827,0.0,0.0
2024-11-03,90.86134812,0.0,0.0
2024-11-04,85.52811206,0.0,0.0
2024-11-05,85.01041942,0.0,0.0
2024-11-06,86.07168119,0.0,0.0
2024-11-07,85.67632274,0.0,0.0
2024-11-08,86.34755477,0.0,0.0
2024-11-09,91.34653993,0.0,0.0
2024-11-10,93.0571381,0.0,0.0
2024-11-11,85.92515133,0.0,0.0
2024-11-12,87.28510109,0.0,0.0
2024-11-13,87.76253407,0.0,0.0
2024-11-14,86.86743574,0.0,0.0
2024-11-15,89.14196936,0.0,0.0
2024-11-16,92.58703527,0.0,0.0
2024-11-17,92.90513891,0.0,0.0
2024-11-18,85.53884472,0.0,0.0
2024-11-19,87.0248075,0.0,0.0
2024-11-20,85.32712777,0.0,0.0
2024-11-21,85.03986533,0.0,0.0
2024-11-22,85.95115221,0.0,0.0
2024-11-23,87.84594058,0.0,0.0
2024-11-24,88.13857867,0.0,0.0
2024-11-25,85.16144238,0.0,0.0
2024-11-26,86.99654612,0.0,0.0
2024-11-27,94.23968847,0.0,0.0
2024-11-28,88.31220447,0.0,0.0
2024-11-29,87.57495966,0.0,0.0
2024-11-30,89.68208318,0.0,0.0
2024-12-01,90.80744251,0.0,0.0
2024-12-02,82.39405389,0.0,0.0
2024-12-03,79.6999966,0.0,0.0
2024-12-04,88.9276806,0.0,0.0
2024-12-05,90.15329367,0.0,0.0
2024-12-06,93.91053861,0.0,0.0
2024-12-07,92.10575702,0.0,0.0
2024-12-08,94.1069014,0.0,0.0
2024-12-09,91.92111571,0.0,0.0
2024-12-10,86.33915692,0.0,0.0
2024-12-11,89.70252233,0.0,0.0
2024-12-12,90.47095802,0.0,0.0
2024-12-13,86.67238676,0.0,0.0
2024-12-14,91.95520949,0.0,0.0
2024-12-15,96.54247225,0.0,0.0
2024-12-16,92.26889363,0.0,0.0
2024-12-17,86.65359815,0.0,0.0
2024-12-18,86.79873101,0.0,0.0
2024-12-19,86.23058191,0.0,0.0
2024-12-20,84.8912395,0.0,0.0
2024-12-21,92.22497655,0.0,0.0
2024-12-22,92.22497655,0.0,0.0
2024-12-23,86.68231841,0.0,0.0
2024-12-24,89.71829974,0.0,0.0
2024-12-25,89.71829974,0.0,0.0
2024-12-26,89.02415651,0.0,0.0
2024-12-27,85.71866111,0.0,0.0
2024-12-28,85.37385489,0.0,0.0
2024-12-29,87.33411985,0.0,0.0
2024-12-30,85.47384127,0.0,0.0
2024-12-31,94.29284187,0.0,0.0
2025-01-01,99.43,0.0,0.0
2025-01-02,85.79,0.0,0.0
2025-01-03,82.3,0.0,0.0
2025-01-04,85.7,0.0,0.0
2025-01-05,83.27,0.0,0.0
2025-01-06,79.72,0.0,0.0
2025-01-07,78.85,0.0,0.0
2025-01-08,79.51,0.0,0.0
2025-01-09,82.53,0.0,0.0
2025-01-10,82.31,0.0,0.0
2025-01-11,85.1,0.0,0.0
2025-01-12,84.56,0.0,0.0
2025-01-13,78.29,0.0,0.0
2025-01-14,79.55,0.0,0.0
2025-01-15,80.51,0.0,0.0
2025-01-16,83.0,0.0,0.0
2025-01-17,81.31,0.0,0.0
2025-01-18,81.49,0.0,0.0
2025-01-19,82.62,0.0,0.0
2025-01-20,81.02,0.0,0.0
2025-01-21,78.42,0.0,0.0
2025-01-22,81.69,0.0,0.0
2025-01-23,83.41,0.0,0.0
2025-01-24,81.07,0.0,0.0
2025-01-25,82.23,0.0,0.0
2025-01-26,87.06,0.0,0.0
2025-01-27,86.89,0.0,0.0
2025-01-28,85.14,0.0,0.0
2025-01-29,83.54,0.0,0.0
2025-01-30,79.64,0.0,0.0
2025-01-31,78.45,0.0,0.0
2025-02-01,81.76,0.0,0.0
2025-02-02,84.36,0.0,0.0
2025-02-03,76.58,0.0,0.0
2025-02-04,79.6,0.0,0.0
2025-02-05,76.65,0.0,0.0
2025-02-06,79.4,0.0,0.0
2025-02-07,74.39,0.0,0.0
2025-02-08,80.7,0.0,0.0
2025-02-09,86.39,0.0,0.0
2025-02-10,79.98,0.0,0.0
2025-02-11,83.28,0.0,0.0
2025-02-12,94.65,0.0,0.0
2025-02-13,83.21,0.0,0.0
2025-02-14,81.13,0.0,0.0
2025-02-15,81.09,0.0,0.0
2025-02-16,83.96,0.0,0.0
2025-02-17,78.78,0.0,0.0
2025-02-18,78.89,0.0,0.0
2025-02-19,77.63,0.0,0.0
2025-02-20,79.55,0.0,0.0
2025-02-21,81.71,0.0,0.0
2025-02-22,89.92,0.0,0.0
2025-02-23,90.33,0.0,0.0
2025-02-24,81.75,0.0,0.0
2025-02-25,80.81,0.0,0.0
2025-02-26,84.09,0.0,0.0
2025-02-27,86.59,0.0,0.0
2025-02-28,85.71,0.0,0.0
2025-03-01,84.35,0.0,0.0
2025-03-02,87.29,0.0,0.0
2025-03-03,84.28,0.0,0.0
2025-03-04,82.28,0.0,0.0
2025-03-05,84.61,0.0,0.0
2025-03-06,82.66,0.0,0.0
2025-03-07,83.4,0.0,0.0
2025-03-08,86.41,0.0,0.0
2025-03-09,89.05,0.0,0.0
2025-03-10,81.61,0.0,0.0
2025-03-11,81.72,0.0,0.0
2025-03-12,83.81,0.0,0.0
2025-03-13,83.44,0.0,0.0
2025-03-14,87.15,0.0,0.0
2025-03-15,90.61,0.0,0.0
2025-03-16,86.92,0.0,0.0
2025-03-17,83.42,0.0,0.0
2025-03-18,83.97,0.0,0.0
2025-03-19,88.4,0.0,0.0
2025-03-20,85.55,0.0,0.0
2025-03-21,87.61,0.0,0.0
2025-03-22,92.09,0.0,0.0
2025-03-23,88.18,0.0,0.0
2025-03-24,86.11,0.0,0.0
2025-03-25,82.51,0.0,0.0
2025-03-26,84.73,0.0,0.0
2025-03-27,89.97,0.0,0.0
2025-03-28,108.84,0.0,0.0
2025-03-29,17.67,0.0,0.0
2025-03-30,114.61,0.0,0.0
2025-03-31,97.43,0.0,0.0
2025-04-01,90.58,0.0,0.0
2025-04-02,87.64,0.0,0.0
2025-04-03,87.54494385,0.0,0.0
2025-04-04,85.28916242,0.0,0.0
2025-04-05,84.95900373,0.0,0.0
2025-04-06,85.11077392,0.0,0.0
2025-04-07,83.6048505,0.0,0.0
2025-04-08,86.35640669,0.0,0.0
2025-04-09,86.14911837,0.0,0.0
2025-04-10,85.20908174,0.0,0.0
2025-04-11,84.2726216,0.0,0.0
2025-04-12,87.85034122,0.0,0.0
2025-04-13,88.01193341,0.0,0.0
2025-04-14,81.70518267,0.0,0.0
2025-04-15,79.36296558,0.0,0.0
2025-04-16,79.62083815,0.0,0.0
2025-04-17,82.43143982,0.0,0.0
2025-04-18,87.65098436,0.0,0.0
2025-04-19,84.85284044,0.0,0.0
2025-04-20,85.88242969,0.0,0.0
2025-04-21,88.47318507,0.0,0.0
2025-04-22,104.9592407,0.0,0.0
2025-04-23,122.847674,0.0,0.0
2025-04-24,109.8521352,0.0,0.0
2025-04-25,95.565467,0.0,0.0
2025-04-26,91.38974787,0.0,0.0
2025-04-27,88.69779262,0.0,0.0
2025-04-28,85.08552778,0.0,0.0
2025-04-29,85.61760194,0.0,0.0
2025-04-30,85.39966338,0.0,0.0
2025-05-01,85.22973382,0.0,0.0
2025-05-02,68.9963443,0.0,0.0
2025-05-03,104.7756372,0.0,0.0
2025-05-04,95.58468829,0.0,0.0
2025-05-05,85.20882096,0.0,0.0
2025-05-06,84.75303919,0.0,0.0
2025-05-07,83.88031986,0.0,0.0
2025-05-08,85.36942528,0.0,0.0
2025-05-09,86.95959013,0.0,0.0
2025-05-10,87.71534139,0.0,0.0
2025-05-11,91.5326674,0.0,0.0
2025-05-12,90.36356596,0.0,0.0
2025-05-13,87.69918022,0.0,0.0
2025-05-14,87.04836406,0.0,0.0
2025-05-15,84.7677392,0.0,0.0
2025-05-16,84.83804194,0.0,0.0
2025-05-17,86.83401914,0.0,0.0
2025-05-18,87.44883351,0.0,0.0
2025-05-19,84.38351755,0.0,0.0
2025-05-20,84.11858955,0.0,0.0
2025-05-21,85.7217635,0.0,0.0
2025-05-22,86.73176588,0.0,0.0
2025-05-23,87.64767884,0.0,0.0
2025-05-24,90.75964374,0.0,0.0
2025-05-25,88.03637412,0.0,0.0
2025-05-26,84.19872133,0.0,0.0
2025-05-27,84.90575656,0.0,0.0
2025-05-28,85.30264422,0.0,0.0
2025-05-29,89.45293521,0.0,0.0
2025-05-30,88.54760589,0.0,0.0
2025-05-31,88.60196054,0.0,0.0
2025-06-01,87.33630268,0.0,0.0
2025-06-02,83.10974285,0.0,0.0
2025-06-03,83.53955173,0.0,0.0
2025-06-04,84.68599928,0.0,0.0
2025-06-05,86.54638801,0.0,0.0
2025-06-06,89.98087369,0.0,0.0
2025-06-07,87.68469971,0.0,0.0
2025-06-08,89.91203069,0.0,0.0
2025-06-09,86.27644517,0.0,0.0
2025-06-10,86.65151243,0.0,0.0
2025-06-11,86.24148494,0.0,0.0
2025-06-12,86.79644543,0.0,0.0
2025-06-13,87.38074527,0.0,0.0
2025-06-14,89.85609973,0.0,0.0
2025-06-15,92.96626721,0.0,0.0
2025-06-16,85.81714347,0.0,0.0
2025-06-17,86.95279562,0.0,0.0
2025-06-18,85.98475155,0.0,0.0
2025-06-19,85.98659884,0.0,0.0
2025-06-20,85.42432332,0.0,0.0
2025-06-21,88.36736499,0.0,0.0
2025-06-22,89.36046801,0.0,0.0
2025-06-23,86.45770754,0.0,0.0
2025-06-24,86.36171177,0.0,0.0
2025-06-25,92.25556928,0.0,0.0
2025-06-26,90.96114283,0.0,0.0
2025-06-27,89.94093111,0.0,0.0
2025-06-28,90.21542795,0.0,0.0
2025-06-29,90.52271278,0.0,0.0
2025-06-30,86.25333256,0.0,0.0
2025-07-01,88.00822959,0.0,0.0
2025-07-02,89.79413451,0.0,0.0
2025-07-03,90.68079063,0.0,0.0
2025-07-04,90.96437621,0.0,0.0
2025-07-05,90.1413601,0.0,0.0
2025-07-06,91.41590956,0.0,0.0
2025-07-07,86.99409148,0.0,0.0
2025-07-08,86.73685451,0.0,0.0
2025-07-09,87.34439096,0.0,0.0
2025-07-10,90.13139788,0.0,0.0
2025-07-11,89.12891829,0.0,0.0
2025-07-12,91.23998828,0.0,0.0
2025-07-13,90.06675219,0.0,0.0
2025-07-14,86.76593093,0.0,0.0
2025-07-15,86.61216799,0.0,0.0
2025-07-16,86.4015718,0.0,0.0
2025-07-17,86.32823401,0.0,0.0
2025-07-18,86.26985796,0.0,0.0
2025-07-19,87.03945462,0.0,0.0
2025-07-20,85.84091771,0.0,0.0
2025-07-21,84.38373082,0.0,0.0
2025-07-22,88.07652825,0.0,0.0
2025-07-23,88.90865106,0.0,0.0
2025-07-24,85.73045025,0.0,0.0
2025-07-25,85.63516509,0.0,0.0
2025-07-26,87.18064568,0.0,0.0
2025-07-27,87.58070363,0.0,0.0
2025-07-28,81.85790492,0.0,0.0
2025-07-29,83.28874015,0.0,0.0
2025-07-30,82.09068716,0.0,0.0
2025-07-31,82.85931017,0.0,0.0
2025-08-01,83.13112643,0.0,0.0
2025-08-02,86.15186411,0.0,0.0
2025-08-03,88.41970112,0.0,0.0
2025-08-04,82.78648892,0.0,0.0
2025-08-05,83.97228569,0.0,0.0
2025-08-06,86.31433632,0.0,0.0
2025-08-07,86.56403665,0.0,0.0
2025-08-08,87.58908811,0.0,0.0
2025-08-09,89.38269487,0.0,0.0
2025-08-10,95.12743313,0.0,0.0
2025-08-11,86.20345316,0.0,0.0
2025-08-12,84.81024057,0.0,0.0
2025-08-13,85.51353032,0.0,0.0
2025-08-14,86.20523025,0.0,0.0
2025-08-15,88.89864276,0.0,0.0
2025-08-16,90.52230891,0.0,0.0
2025-08-17,95.35652469,0.0,0.0
2025-08-18,91.67058906,0.0,0.0
2025-08-19,87.64355443,0.0,0.0
2025-08-20,88.42998374,0.0,0.0
2025-08-21,86.30341664,0.0,0.0
2025-08-22,86.8013894,0.0,0.0
2025-08-23,92.40013242,0.0,0.0
2025-08-24,92.41479089,0.0,0.0
2025-08-25,86.50781771,0.0,0.0
2025-08-26,87.70349645,0.0,0.0
2025-08-27,87.71024163,0.0,0.0
2025-08-28,85.81551174,0.0,0.0
2025-08-29,91.24366153,0.0,0.0
2025-08-30,94.18663754,0.0,0.0
2025-08-31,91.52735874,0.0,0.0
2025-09-01,86.3900129,0.0,0.0
2025-09-02,87.18157283,0.0,0.0
2025-09-03,88.84966818,0.0,0.0
2025-09-04,87.5274441,0.0,0.0
2025-09-05,93.83295102,0.0,0.0
2025-09-06,97.66969602,0.0,0.0
2025-09-07,96.67673163,0.0,0.0
2025-09-08,89.28875157,0.0,0.0
2025-09-09,96.28835887,0.0,0.0
2025-09-10,109.4786356,0.0,0.0
2025-09-11,94.42169971,0.0,0.0
2025-09-12,93.30877382,0.0,0.0
2025-09-13,94.54701934,0.0,0.0
2025-09-14,96.80170246,0.0,0.0
2025-09-15,89.73189043,0.0,0.0
2025-09-16,89.83051231,0.0,0.0
2025-09-17,90.70231548,0.0,0.0
2025-09-18,91.38550534,0.0,0.0
2025-09-19,90.59535018,0.0,0.0
2025-09-20,100.478583,0.0,0.0
2025-09-21,114.1085576,0.0,0.0
2025-09-22,90.61038997,0.0,0.0
2025-09-23,91.79133871,0.0,0.0
2025-09-24,94.91056109,0.0,0.0
2025-09-25,93.86377415,0.0,0.0
2025-09-26,94.62434829,0.0,0.0
2025-09-27,98.75353642,0.0,0.0
2025-09-28,98.16639794,0.0,0.0
2025-09-29,94.05621297,0.0,0.0
2025-09-30,97.113501,0.0,0.0
2025-10-01,92.4113797,0.0,0.0
2025-10-02,91.92478498,0.0,0.0
2025-10-03,93.90482041,0.0,0.0
2025-10-04,96.97695426,0.0,0.0
2025-10-05,101.0157449,0.0,0.0
2025-10-06,98.95517854,0.0,0.0
2025-10-07,97.45290613,0.0,0.0
2025-10-08,96.8888535,0.0,0.0
2025-10-09,103.7365221,0.0,0.0
2025-10-10,95.30034625,0.0,0.0
2025-10-11,97.69485124,0.0,0.0
2025-10-12,99.94026419,0.0,0.0
2025-10-13,90.89573241,0.0,0.0
2025-10-14,92.17489034,0.0,0.0
2025-10-15,93.61694148,0.0,0.0
2025-10-16,93.46589903,0.0,0.0
2025-10-17,94.82321746,0.0,0.0
2025-10-18,97.68107586,0.0,0.0
2025-10-19,98.88650982,0.0,0.0
2025-10-20,90.18630484,0.0,0.0
2025-10-21,93.27673693,0.0,0.0
2025-10-22,94.30125382,0.0,0.0
2025-10-23,94.89194732575464,85.40275259317919,104.38114205833013
2025-10-24,103.61739919906962,93.25565927916266,113.9791391189766
2025-10-25,99.85456777532175,89.86911099778959,109.84002455285396
2025-10-26,99.35271072336818,89.41743965103136,109.287981795705
2025-10-27,93.5789579026778,84.22106211241004,102.9368536929456
2025-10-28,94.29660630987756,84.86694567888979,103.72626694086532
2025-10-29,93.64333426043316,84.27900083438985,103.0076676864765
2025-10-30,95.14271021348084,85.62843919213276,104.65698123482892
2025-10-31,100.17618583816058,90.15856725434452,110.19380442197664
2025-11-01,96.79080631415307,87.11172568273777,106.4698869455684
2025-11-02,95.6519299869847,86.08673698828623,105.21712298568318
2025-11-03,89.92319153849064,80.93087238464157,98.91551069233972
2025-11-04,94.18303444451564,84.76473100006406,103.6013378889672
2025-11-05,91.0651980322714,81.95867822904425,100.17171783549854
2025-11-06,88.99987780503203,80.09989002452883,97.89986558553524
2025-11-07,98.25511193558752,88.42960074202875,108.08062312914626
2025-11-08,102.03743882128056,91.83369493915252,112.24118270340864
2025-11-09,97.2790738925365,87.55116650328286,107.00698128179016
2025-11-10,94.09369560185108,84.68432604166597,103.5030651620362
2025-11-11,92.57738561093838,83.31964704984455,101.83512417203222
2025-11-12,92.1278865172528,82.91509786552753,101.3406751689781
2025-11-13,93.88947411277978,84.5005267015018,103.27842152405776
2025-11-14,96.14851995504554,86.53366795954099,105.76337195055012
2025-11-15,97.05344301891448,87.34809871702303,106.75878732080594
2025-11-16,97.03113331948022,87.3280199875322,106.73424665142824
2025-11-17,90.5064267135016,81.45578404215145,99.5570693848518
2025-11-18,93.4342176168212,84.09079585513909,102.77763937850334
2025-11-19,91.18062539290116,82.06256285361106,100.29868793219129
2025-11-20,90.00386231577322,81.0034760841959,99.00424854735054
2025-11-21,96.81228834681004,87.13105951212904,106.49351718149106
2025-11-22,94.07352536744752,84.66617283070276,103.48087790419228
2025-11-23,95.6413642352578,86.07722781173202,105.20550065878358
2025-11-24,90.90589860067487,81.8153087406074,99.99648846074238
2025-11-25,92.7789507154325,83.50105564388926,102.05684578697576
2025-11-26,91.55217021443448,82.39695319299103,100.70738723587796
2025-11-27,90.53015034138664,81.47713530724798,99.58316537552533
2025-11-28,96.46231320718618,86.81608188646757,106.1085445279048
2025-11-29,97.37330798147896,87.63597718333108,107.11063877962688
2025-11-30,95.7465251096088,86.17187259864792,105.32117762056969
2025-12-01,90.13148617687295,81.11833755918566,99.14463479456026
2025-12-02,87.63593259956932,78.87233933961238,96.39952585952624
2025-12-03,87.96681844306801,79.1701365987612,96.7635002873748
2025-12-04,89.21785898126022,80.2960730831342,98.13964487938624
2025-12-05,93.0398203006939,83.73583827062451,102.3438023307633
2025-12-06,93.67642214254413,84.30877992828971,103.04406435679854
2025-12-07,93.99109327292228,84.59198394563005,103.39020260021452
2025-12-08,90.24924005948644,81.22431605353779,99.27416406543507
2025-12-09,89.06175824761814,80.15558242285633,97.96793407237996
2025-12-10,89.93851774000782,80.94466596600705,98.9323695140086
2025-12-11,89.07088900153639,80.16380010138275,97.97797790169004
2025-12-12,89.77251276361328,80.79526148725195,98.7497640399746
2025-12-13,91.49424634943696,82.34482171449326,100.64367098438066
2025-12-14,92.78429665479574,83.50586698931616,102.06272632027532
2025-12-15,86.35251925390172,77.71726732851155,94.9877711792919
2025-12-16,89.4382658373344,80.49443925360096,98.38209242106784
2025-12-17,90.96434131796605,81.86790718616943,100.06077544976264
2025-12-18,90.29512062677304,81.26560856409573,99.32463268945034
2025-12-19,92.05661537104304,82.85095383393875,101.26227690814736
2025-12-20,94.93210832539452,85.43889749285508,104.42531915793398
2025-12-21,92.45056936355483,83.20551242719935,101.69562629991032
2025-12-22,87.0927292446979,78.38345632022812,95.80200216916772
2025-12-23,86.4939131853838,77.84452186684543,95.1433045039222
2025-12-24,86.92350503239383,78.23115452915445,95.61585553563324
2025-12-25,95.69399199739408,86.12459279765467,105.2633911971335
2025-12-26,100.4139655494616,90.37256899451543,110.45536210440775
2025-12-27,96.67884106718192,87.01095696046374,106.34672517390014
2025-12-28,95.98990596638096,86.39091536974286,105.58889656301903
2025-12-29,94.34800491217696,84.91320442095926,103.78280540339466
2025-12-30,93.7976129536734,84.41785165830606,103.17737424904077
2025-12-31,101.8713718443134,91.68423465988208,112.05850902874477
2026-01-01,83.95754030639078,75.5617862757517,92.35329433702988
2026-01-02,86.3183693464109,77.68653241176982,94.950206281052
2026-01-03,92.22324688598444,83.00092219738599,101.44557157458289
2026-01-04,88.13328116608487,79.31995304947638,96.94660928269336
2026-01-05,85.67767669194144,77.1099090227473,94.2454443611356
