Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,318.5586094,0.0,0.0
2024-10-02,316.1241284,0.0,0.0
2024-10-03,295.2319644,0.0,0.0
2024-10-04,304.3174615,0.0,0.0
2024-10-05,341.4104578,0.0,0.0
2024-10-06,347.1817026,0.0,0.0
2024-10-07,311.5680641,0.0,0.0
2024-10-08,313.0307275,0.0,0.0
2024-10-09,320.5604016,0.0,0.0
2024-10-10,331.2057339,0.0,0.0
2024-10-11,336.0978402,0.0,0.0
2024-10-12,345.368946,0.0,0.0
2024-10-13,351.0478638,0.0,0.0
2024-10-14,317.9118346,0.0,0.0
2024-10-15,315.5542517,0.0,0.0
2024-10-16,300.5465089,0.0,0.0
2024-10-17,316.4235242,0.0,0.0
2024-10-18,320.5847327,0.0,0.0
2024-10-19,341.9172654,0.0,0.0
2024-10-20,347.680013,0.0,0.0
2024-10-21,308.9122216,0.0,0.0
2024-10-22,320.9859751,0.0,0.0
2024-10-23,319.1176803,0.0,0.0
2024-10-24,325.2799178,0.0,0.0
2024-10-25,335.8647676,0.0,0.0
2024-10-26,347.7898172,0.0,0.0
2024-10-27,358.012992,0.0,0.0
2024-10-28,318.026646,0.0,0.0
2024-10-29,315.0518648,0.0,0.0
2024-10-30,317.2894781,0.0,0.0
2024-11-01,164.0164041,0.0,0.0
2024-11-02,332.0729081,0.0,0.0
2024-11-03,343.6982575,0.0,0.0
2024-11-04,308.507246,0.0,0.0
2024-11-05,307.9697824,0.0,0.0
2024-11-06,309.5662832,0.0,0.0
2024-11-07,307.6779853,0.0,0.0
2024-11-08,318.8943154,0.0,0.0
2024-11-09,331.5958804,0.0,0.0
2024-11-10,339.4120259,0.0,0.0
2024-11-11,322.7817055,0.0,0.0
2024-11-12,313.0055925,0.0,0.0
2024-11-13,313.2328674,0.0,0.0
2024-11-14,312.0100322,0.0,0.0
2024-11-15,318.763373,0.0,0.0
2024-11-16,331.1253887,0.0,0.0
2024-11-17,338.3263767,0.0,0.0
2024-11-18,304.5439861,0.0,0.0
2024-11-19,311.7341051,0.0,0.0
2024-11-20,306.9945957,0.0,0.0
2024-11-21,314.5553534,0.0,0.0
2024-11-22,323.3830747,0.0,0.0
2024-11-23,336.0991938,0.0,0.0
2024-11-24,336.7723513,0.0,0.0
2024-11-25,309.7301154,0.0,0.0
2024-11-26,317.4829758,0.0,0.0
2024-11-27,345.7777193,0.0,0.0
2024-11-28,338.1201411,0.0,0.0
2024-11-29,314.3202026,0.0,0.0
2024-11-30,328.5424558,0.0,0.0
2024-12-01,350.359627,0.0,0.0
2024-12-02,313.2077685,0.0,0.0
2024-12-03,308.7881373,0.0,0.0
2024-12-04,312.5340285,0.0,0.0
2024-12-05,305.1467128,0.0,0.0
2024-12-06,322.3159924,0.0,0.0
2024-12-07,342.7067311,0.0,0.0
2024-12-08,342.1726679,0.0,0.0
2024-12-09,315.3100296,0.0,0.0
2024-12-10,320.5893516,0.0,0.0
2024-12-11,321.5184944,0.0,0.0
2024-12-12,330.139167,0.0,0.0
2024-12-13,325.0934841,0.0,0.0
2024-12-14,338.4832218,0.0,0.0
2024-12-15,351.6717768,0.0,0.0
2024-12-16,319.2438319,0.0,0.0
2024-12-17,323.6905873,0.0,0.0
2024-12-18,324.7021955,0.0,0.0
2024-12-19,323.9806561,0.0,0.0
2024-12-20,328.2921669,0.0,0.0
2024-12-21,339.3276066,0.0,0.0
2024-12-22,339.3276066,0.0,0.0
2024-12-23,336.1438084,0.0,0.0
2024-12-24,344.2427179,0.0,0.0
2024-12-25,344.2427179,0.0,0.0
2024-12-26,348.9843338,0.0,0.0
2024-12-27,342.2678963,0.0,0.0
2024-12-28,346.0312373,0.0,0.0
2024-12-29,356.3686651,0.0,0.0
2024-12-30,345.7275795,0.0,0.0
2024-12-31,350.4321216,0.0,0.0
2025-01-01,369.32,0.0,0.0
2025-01-02,330.68,0.0,0.0
2025-01-03,329.51,0.0,0.0
2025-01-04,327.99,0.0,0.0
2025-01-05,341.7,0.0,0.0
