Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,160.7216589,0.0,0.0
2024-10-02,158.7846042,0.0,0.0
2024-10-03,152.6911645,0.0,0.0
2024-10-04,160.092471,0.0,0.0
2024-10-05,172.3657068,0.0,0.0
2024-10-06,187.3927231,0.0,0.0
2024-10-07,158.7304159,0.0,0.0
2024-10-08,159.4337359,0.0,0.0
2024-10-09,160.9305732,0.0,0.0
2024-10-10,165.6685941,0.0,0.0
2024-10-11,170.1922165,0.0,0.0
2024-10-12,172.9578607,0.0,0.0
2024-10-13,187.2220078,0.0,0.0
2024-10-14,159.3368183,0.0,0.0
2024-10-15,159.9333928,0.0,0.0
2024-10-16,148.8316456,0.0,0.0
2024-10-17,156.826202,0.0,0.0
2024-10-18,163.9935294,0.0,0.0
2024-10-19,170.8425322,0.0,0.0
2024-10-20,187.4929392,0.0,0.0
2024-10-21,153.0798702,0.0,0.0
2024-10-22,161.0262102,0.0,0.0
2024-10-23,157.4820383,0.0,0.0
2024-10-24,162.9360136,0.0,0.0
2024-10-25,168.3981539,0.0,0.0
2024-10-26,172.1891039,0.0,0.0
2024-10-27,190.4038607,0.0,0.0
2024-10-28,157.7689664,0.0,0.0
2024-10-29,158.3217983,0.0,0.0
2024-10-30,158.7424393,0.0,0.0
2024-11-01,83.50299676,0.0,0.0
2024-11-02,165.3828976,0.0,0.0
2024-11-03,180.7782418,0.0,0.0
2024-11-04,154.5929817,0.0,0.0
2024-11-05,153.81079,0.0,0.0
2024-11-06,156.207407,0.0,0.0
2024-11-07,155.7132439,0.0,0.0
2024-11-08,160.9692223,0.0,0.0
2024-11-09,164.3364309,0.0,0.0
2024-11-10,182.5774482,0.0,0.0
2024-11-11,159.3886308,0.0,0.0
2024-11-12,156.1830161,0.0,0.0
2024-11-13,155.5425413,0.0,0.0
2024-11-14,156.7251588,0.0,0.0
2024-11-15,161.3324638,0.0,0.0
2024-11-16,166.508586,0.0,0.0
2024-11-17,178.2136217,0.0,0.0
2024-11-18,153.5761742,0.0,0.0
2024-11-19,157.2310187,0.0,0.0
2024-11-20,153.186427,0.0,0.0
2024-11-21,154.7593585,0.0,0.0
2024-11-22,161.4141397,0.0,0.0
2024-11-23,168.8738568,0.0,0.0
2024-11-24,179.628934,0.0,0.0
2024-11-25,158.6181536,0.0,0.0
2024-11-26,163.3488866,0.0,0.0
2024-11-27,187.0544296,0.0,0.0
2024-11-28,160.9991038,0.0,0.0
2024-11-29,161.2247297,0.0,0.0
2024-11-30,170.5391996,0.0,0.0
2024-12-01,179.8554873,0.0,0.0
2024-12-02,153.111211,0.0,0.0
2024-12-03,155.9681686,0.0,0.0
2024-12-04,156.336127,0.0,0.0
2024-12-05,158.5769836,0.0,0.0
2024-12-06,161.4731593,0.0,0.0
2024-12-07,169.8581206,0.0,0.0
2024-12-08,185.4462698,0.0,0.0
2024-12-09,159.6896584,0.0,0.0
2024-12-10,162.1732124,0.0,0.0
2024-12-11,162.063393,0.0,0.0
2024-12-12,166.9799144,0.0,0.0
2024-12-13,162.9717071,0.0,0.0
2024-12-14,174.5671005,0.0,0.0
2024-12-15,184.8323716,0.0,0.0
2024-12-16,158.6354476,0.0,0.0
2024-12-17,160.3216755,0.0,0.0
2024-12-18,161.7618214,0.0,0.0
2024-12-19,160.7469686,0.0,0.0
2024-12-20,164.0716274,0.0,0.0
