Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,12.10277593,0.0,0.0
2024-10-02,11.69861963,0.0,0.0
2024-10-03,12.16069284,0.0,0.0
2024-10-04,12.12008711,0.0,0.0
2024-10-05,12.30162579,0.0,0.0
2024-10-06,13.21501234,0.0,0.0
2024-10-07,11.58215012,0.0,0.0
2024-10-08,12.19224076,0.0,0.0
2024-10-09,12.33500727,0.0,0.0
2024-10-10,12.63900565,0.0,0.0
2024-10-11,13.17409263,0.0,0.0
2024-10-12,12.63451442,0.0,0.0
2024-10-13,12.92828558,0.0,0.0
2024-10-14,12.55772095,0.0,0.0
2024-10-15,13.13651955,0.0,0.0
2024-10-16,12.46756104,0.0,0.0
2024-10-17,12.54811506,0.0,0.0
2024-10-18,12.31212847,0.0,0.0
2024-10-19,12.91236082,0.0,0.0
2024-10-20,13.70729849,0.0,0.0
2024-10-21,12.44351573,0.0,0.0
2024-10-22,12.59727615,0.0,0.0
2024-10-23,12.40435023,0.0,0.0
2024-10-24,13.08166679,0.0,0.0
2024-10-25,12.77458887,0.0,0.0
2024-10-26,13.32873176,0.0,0.0
2024-10-27,14.77418624,0.0,0.0
2024-10-28,13.16849758,0.0,0.0
2024-10-29,13.56982577,0.0,0.0
2024-10-30,13.75057872,0.0,0.0
2024-11-01,5.036273332,0.0,0.0
2024-11-02,12.29581209,0.0,0.0
2024-11-03,13.5793124,0.0,0.0
2024-11-04,12.28800333,0.0,0.0
2024-11-05,12.12529939,0.0,0.0
2024-11-06,13.29365205,0.0,0.0
2024-11-07,13.05810854,0.0,0.0
2024-11-08,13.45338207,0.0,0.0
2024-11-09,13.79098476,0.0,0.0
2024-11-10,14.04286187,0.0,0.0
2024-11-11,13.20997999,0.0,0.0
2024-11-12,13.17366961,0.0,0.0
2024-11-13,13.27492304,0.0,0.0
2024-11-14,13.30421516,0.0,0.0
2024-11-15,13.31906821,0.0,0.0
2024-11-16,12.42862768,0.0,0.0
2024-11-17,13.90857156,0.0,0.0
2024-11-18,12.5504261,0.0,0.0
2024-11-19,13.86970509,0.0,0.0
2024-11-20,12.87611942,0.0,0.0
2024-11-21,12.83448998,0.0,0.0
2024-11-22,13.62428301,0.0,0.0
2024-11-23,13.74921212,0.0,0.0
