Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,35.86398989,0.0,0.0
2024-10-02,34.61408418,0.0,0.0
2024-10-03,35.91835337,0.0,0.0
2024-10-04,38.78388112,0.0,0.0
2024-10-05,44.17924374,0.0,0.0
2024-10-06,41.07654204,0.0,0.0
2024-10-07,36.64690255,0.0,0.0
2024-10-08,35.94348633,0.0,0.0
2024-10-09,34.89333871,0.0,0.0
2024-10-10,36.14886654,0.0,0.0
2024-10-11,35.50734191,0.0,0.0
2024-10-12,35.81701631,0.0,0.0
2024-10-13,36.47868981,0.0,0.0
2024-10-14,34.8260029,0.0,0.0
2024-10-15,35.90234149,0.0,0.0
2024-10-16,35.95295823,0.0,0.0
2024-10-17,36.63737202,0.0,0.0
2024-10-18,36.3392904,0.0,0.0
2024-10-19,35.77964857,0.0,0.0
2024-10-20,35.91114288,0.0,0.0
2024-10-21,34.2208759,0.0,0.0
2024-10-22,35.03617233,0.0,0.0
2024-10-23,34.43319276,0.0,0.0
2024-10-24,35.72177322,0.0,0.0
2024-10-25,36.1877914,0.0,0.0
2024-10-26,35.81676266,0.0,0.0
2024-10-27,37.35701351,0.0,0.0
2024-10-28,34.12647231,0.0,0.0
2024-10-29,34.14617202,0.0,0.0
2024-10-30,34.45881678,0.0,0.0
2024-11-01,15.80855835,0.0,0.0
2024-11-02,34.65466281,0.0,0.0
2024-11-03,35.32921162,0.0,0.0
2024-11-04,33.93455184,0.0,0.0
2024-11-05,34.04448567,0.0,0.0
2024-11-06,33.99639354,0.0,0.0
2024-11-07,33.61280644,0.0,0.0
2024-11-08,33.88159225,0.0,0.0
2024-11-09,34.55518395,0.0,0.0
2024-11-10,34.84585775,0.0,0.0
2024-11-11,33.84780566,0.0,0.0
2024-11-12,34.03979012,0.0,0.0
2024-11-13,34.05495149,0.0,0.0
2024-11-14,34.76978212,0.0,0.0
2024-11-15,34.11031749,0.0,0.0
2024-11-16,34.08909162,0.0,0.0
2024-11-17,34.90514535,0.0,0.0
2024-11-18,33.67613925,0.0,0.0
2024-11-19,34.67578134,0.0,0.0
2024-11-20,34.00665248,0.0,0.0
2024-11-21,33.84023798,0.0,0.0
2024-11-22,34.61174755,0.0,0.0
2024-11-23,34.07799682,0.0,0.0
2024-11-24,34.0169585,0.0,0.0
2024-11-25,33.37452456,0.0,0.0
2024-11-26,35.1059073,0.0,0.0
2024-11-27,37.11984501,0.0,0.0
2024-11-28,34.89819013,0.0,0.0
2024-11-29,34.82678653,0.0,0.0
2024-11-30,33.6309776,0.0,0.0
2024-12-01,35.82394302,0.0,0.0
2024-12-02,33.56387826,0.0,0.0
2024-12-03,32.23386329,0.0,0.0
2024-12-04,34.96754029,0.0,0.0
2024-12-05,35.81638227,0.0,0.0
2024-12-06,37.74381739,0.0,0.0
2024-12-07,36.25619982,0.0,0.0
2024-12-08,36.74233597,0.0,0.0
2024-12-09,37.33121689,0.0,0.0
2024-12-10,34.89578498,0.0,0.0
2024-12-11,35.35353684,0.0,0.0
2024-12-12,38.20088637,0.0,0.0
2024-12-13,35.39793732,0.0,0.0
2024-12-14,35.72650248,0.0,0.0
2024-12-15,36.26137585,0.0,0.0
2024-12-16,35.8645123,0.0,0.0
2024-12-17,34.3373207,0.0,0.0
2024-12-18,35.06206855,0.0,0.0
2024-12-19,34.37894403,0.0,0.0
2024-12-20,34.95193298,0.0,0.0
2024-12-21,36.90353229,0.0,0.0
2024-12-22,36.90353229,0.0,0.0
2024-12-23,33.72199148,0.0,0.0
2024-12-24,35.5422306,0.0,0.0
2024-12-25,35.5422306,0.0,0.0
2024-12-26,37.39900529,0.0,0.0
2024-12-27,35.42363795,0.0,0.0
2024-12-28,35.57695393,0.0,0.0
2024-12-29,36.04350596,0.0,0.0
2024-12-30,33.98566219,0.0,0.0
2024-12-31,36.14676911,0.0,0.0
2025-01-01,39.94,0.0,0.0
2025-01-02,34.41,0.0,0.0
2025-01-03,34.14,0.0,0.0
2025-01-04,34.88,0.0,0.0
2025-01-05,35.03,0.0,0.0
2025-01-06,33.88,0.0,0.0
2025-01-07,33.46,0.0,0.0
2025-01-08,34.2,0.0,0.0
2025-01-09,34.67,0.0,0.0
2025-01-10,35.47,0.0,0.0
2025-01-11,34.01,0.0,0.0
2025-01-12,34.47,0.0,0.0
2025-01-13,32.6,0.0,0.0
2025-01-14,33.81,0.0,0.0
2025-01-15,33.31,0.0,0.0
2025-01-16,34.22,0.0,0.0
2025-01-17,34.43,0.0,0.0
2025-01-18,34.05,0.0,0.0
2025-01-19,34.57,0.0,0.0
2025-01-20,33.62,0.0,0.0
2025-01-21,32.94,0.0,0.0
2025-01-22,33.89,0.0,0.0
2025-01-23,35.5,0.0,0.0
2025-01-24,34.64,0.0,0.0
2025-01-25,34.5,0.0,0.0
2025-01-26,36.24,0.0,0.0
2025-01-27,36.83,0.0,0.0
