Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,214.7396864,0.0,0.0
2024-10-02,215.2466464,0.0,0.0
2024-10-03,203.8725003,0.0,0.0
2024-10-04,219.4463944,0.0,0.0
2024-10-05,234.1575012,0.0,0.0
2024-10-06,249.4873058,0.0,0.0
2024-10-07,212.7693264,0.0,0.0
2024-10-08,211.8228894,0.0,0.0
2024-10-09,215.477979,0.0,0.0
2024-10-10,224.1501645,0.0,0.0
2024-10-11,232.4489317,0.0,0.0
2024-10-12,233.1960665,0.0,0.0
2024-10-13,247.8472978,0.0,0.0
2024-10-14,218.4790341,0.0,0.0
2024-10-15,220.6074014,0.0,0.0
2024-10-16,203.684925,0.0,0.0
2024-10-17,212.8904257,0.0,0.0
2024-10-18,225.6173396,0.0,0.0
2024-10-19,232.2951977,0.0,0.0
2024-10-20,249.1404307,0.0,0.0
2024-10-21,207.7441577,0.0,0.0
2024-10-22,220.2981158,0.0,0.0
2024-10-23,216.2845298,0.0,0.0
2024-10-24,222.0681791,0.0,0.0
2024-10-25,234.0516292,0.0,0.0
2024-10-26,235.2434858,0.0,0.0
2024-10-27,255.8592005,0.0,0.0
2024-10-28,216.4076113,0.0,0.0
2024-10-29,212.5201035,0.0,0.0
2024-10-30,212.5663557,0.0,0.0
2024-11-01,114.4895828,0.0,0.0
2024-11-02,223.67286,0.0,0.0
2024-11-03,241.2496154,0.0,0.0
2024-11-04,207.986501,0.0,0.0
2024-11-05,206.8445814,0.0,0.0
2024-11-06,206.6084853,0.0,0.0
2024-11-07,209.5483371,0.0,0.0
2024-11-08,219.2067158,0.0,0.0
2024-11-09,229.9381948,0.0,0.0
2024-11-10,245.6332487,0.0,0.0
2024-11-11,214.1083145,0.0,0.0
2024-11-12,210.5731311,0.0,0.0
2024-11-13,209.8309475,0.0,0.0
2024-11-14,209.423688,0.0,0.0
2024-11-15,221.8924903,0.0,0.0
2024-11-16,224.871752,0.0,0.0
2024-11-17,238.1620359,0.0,0.0
2024-11-18,206.575515,0.0,0.0
2024-11-19,213.9649596,0.0,0.0
2024-11-20,206.1872679,0.0,0.0
2024-11-21,210.7672751,0.0,0.0
2024-11-22,218.8750818,0.0,0.0
2024-11-23,228.6519491,0.0,0.0
2024-11-24,240.8635087,0.0,0.0
2024-11-25,213.7219053,0.0,0.0
2024-11-26,218.5750694,0.0,0.0
2024-11-27,252.635105,0.0,0.0
2024-11-28,216.4481734,0.0,0.0
2024-11-29,220.1487663,0.0,0.0
2024-11-30,227.8923333,0.0,0.0
2024-12-01,242.2107106,0.0,0.0
2024-12-02,205.1889629,0.0,0.0
2024-12-03,208.107158,0.0,0.0
2024-12-04,207.5934692,0.0,0.0
2024-12-05,212.3064473,0.0,0.0
2024-12-06,227.8608382,0.0,0.0
2024-12-07,234.3750552,0.0,0.0
2024-12-08,245.1011115,0.0,0.0
2024-12-09,212.4297899,0.0,0.0
2024-12-10,209.2049386,0.0,0.0
2024-12-11,210.7963519,0.0,0.0
2024-12-12,230.271668,0.0,0.0
2024-12-13,216.7049937,0.0,0.0
2024-12-14,232.7321604,0.0,0.0
2024-12-15,246.638348,0.0,0.0
2024-12-16,217.2721177,0.0,0.0
2024-12-17,215.0396727,0.0,0.0
2024-12-18,220.5122689,0.0,0.0
2024-12-19,216.1164926,0.0,0.0
2024-12-20,222.1394705,0.0,0.0
2024-12-21,235.9393418,0.0,0.0
2024-12-22,235.9393418,0.0,0.0
2024-12-23,222.0410573,0.0,0.0
2024-12-24,228.1707464,0.0,0.0
2024-12-25,228.1707464,0.0,0.0
2024-12-26,227.7093904,0.0,0.0
2024-12-27,228.6283162,0.0,0.0
2024-12-28,245.418314,0.0,0.0
2024-12-29,252.7544913,0.0,0.0
2024-12-30,231.4037491,0.0,0.0
2024-12-31,231.0868376,0.0,0.0
2025-01-01,271.61,0.0,0.0
2025-01-02,227.48,0.0,0.0
2025-01-03,218.05,0.0,0.0
2025-01-04,224.27,0.0,0.0
2025-01-05,234.71,0.0,0.0
2025-01-06,205.62,0.0,0.0
