Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,31.43966381,0.0,0.0
2024-10-02,31.24503724,0.0,0.0
2024-10-03,31.46765985,0.0,0.0
2024-10-04,31.86768947,0.0,0.0
2024-10-05,37.21106797,0.0,0.0
2024-10-06,38.92882749,0.0,0.0
2024-10-07,30.15935202,0.0,0.0
2024-10-08,30.46360165,0.0,0.0
2024-10-09,32.80668628,0.0,0.0
2024-10-10,34.393892,0.0,0.0
2024-10-11,34.69803704,0.0,0.0
2024-10-12,39.1798742,0.0,0.0
2024-10-13,40.40006518,0.0,0.0
2024-10-14,32.39569379,0.0,0.0
2024-10-15,33.46233468,0.0,0.0
2024-10-16,33.9062467,0.0,0.0
2024-10-17,34.9673984,0.0,0.0
2024-10-18,35.248326,0.0,0.0
2024-10-19,39.14512124,0.0,0.0
2024-10-20,40.94338538,0.0,0.0
2024-10-21,32.03309242,0.0,0.0
2024-10-22,32.58577611,0.0,0.0
2024-10-23,33.56956231,0.0,0.0
2024-10-24,35.5384246,0.0,0.0
2024-10-25,34.99794187,0.0,0.0
2024-10-26,39.37998916,0.0,0.0
2024-10-27,42.59446419,0.0,0.0
2024-10-28,32.49120658,0.0,0.0
2024-10-29,33.1567908,0.0,0.0
2024-10-30,33.36851441,0.0,0.0
2024-11-01,16.5099276,0.0,0.0
2024-11-02,38.43826782,0.0,0.0
2024-11-03,39.17379802,0.0,0.0
2024-11-04,31.24747174,0.0,0.0
2024-11-05,32.47595971,0.0,0.0
2024-11-06,33.32647964,0.0,0.0
2024-11-07,33.73114191,0.0,0.0
2024-11-08,33.79041088,0.0,0.0
2024-11-09,39.43988032,0.0,0.0
2024-11-10,40.89447017,0.0,0.0
2024-11-11,32.20193403,0.0,0.0
2024-11-12,33.30234169,0.0,0.0
2024-11-13,33.73590224,0.0,0.0
2024-11-14,33.9151285,0.0,0.0
2024-11-15,33.36877082,0.0,0.0
2024-11-16,38.14381574,0.0,0.0
2024-11-17,39.35495597,0.0,0.0
2024-11-18,32.05223344,0.0,0.0
2024-11-19,33.59731712,0.0,0.0
2024-11-20,33.82488742,0.0,0.0
2024-11-21,33.80542632,0.0,0.0
2024-11-22,34.24565468,0.0,0.0
2024-11-23,39.60486942,0.0,0.0
