Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,289.7487248,0.0,0.0
2024-10-02,286.9188381,0.0,0.0
2024-10-03,283.7377186,0.0,0.0
2024-10-04,269.0128986,0.0,0.0
2024-10-05,273.883839,0.0,0.0
2024-10-06,292.5186351,0.0,0.0
2024-10-07,288.6265706,0.0,0.0
2024-10-08,291.7520509,0.0,0.0
2024-10-09,292.4641882,0.0,0.0
2024-10-10,298.286152,0.0,0.0
2024-10-11,300.1841971,0.0,0.0
2024-10-12,296.3017693,0.0,0.0
2024-10-13,303.0876618,0.0,0.0
2024-10-14,287.6616189,0.0,0.0
2024-10-15,289.8814662,0.0,0.0
2024-10-16,280.8063046,0.0,0.0
2024-10-17,280.8347057,0.0,0.0
2024-10-18,289.8641651,0.0,0.0
2024-10-19,294.3903525,0.0,0.0
2024-10-20,304.4370881,0.0,0.0
2024-10-21,291.5010047,0.0,0.0
2024-10-22,294.3305658,0.0,0.0
2024-10-23,297.5057522,0.0,0.0
2024-10-24,304.1440861,0.0,0.0
2024-10-25,306.6060848,0.0,0.0
2024-10-26,302.9130091,0.0,0.0
2024-10-27,319.4083849,0.0,0.0
2024-10-28,293.6685541,0.0,0.0
2024-10-29,294.5136597,0.0,0.0
2024-10-30,291.6706346,0.0,0.0
2024-11-01,138.427018,0.0,0.0
2024-11-02,288.8839048,0.0,0.0
2024-11-03,295.513136,0.0,0.0
2024-11-04,281.2528016,0.0,0.0
2024-11-05,281.9710999,0.0,0.0
2024-11-06,285.3759534,0.0,0.0
2024-11-07,286.6425,0.0,0.0
2024-11-08,291.8088935,0.0,0.0
2024-11-09,290.9549315,0.0,0.0
2024-11-10,300.5635342,0.0,0.0
2024-11-11,288.8535969,0.0,0.0
2024-11-12,287.9889075,0.0,0.0
2024-11-13,289.3229849,0.0,0.0
2024-11-14,286.2860782,0.0,0.0
2024-11-15,286.3754605,0.0,0.0
2024-11-16,281.4662167,0.0,0.0
2024-11-17,294.3593805,0.0,0.0
2024-11-18,283.676495,0.0,0.0
2024-11-19,290.00396,0.0,0.0
2024-11-20,286.8498711,0.0,0.0
2024-11-21,291.4938521,0.0,0.0
2024-11-22,293.164297,0.0,0.0
2024-11-23,294.7991829,0.0,0.0
2024-11-24,303.5463105,0.0,0.0
2024-11-25,291.1650024,0.0,0.0
2024-11-26,287.6271396,0.0,0.0
2024-11-27,292.2022408,0.0,0.0
2024-11-28,290.4412211,0.0,0.0
2024-11-29,289.1318974,0.0,0.0
2024-11-30,299.3887016,0.0,0.0
2024-12-01,303.999892,0.0,0.0
2024-12-02,281.9296916,0.0,0.0
2024-12-03,272.9169423,0.0,0.0
2024-12-04,296.9240655,0.0,0.0
2024-12-05,300.2252485,0.0,0.0
2024-12-06,310.6353393,0.0,0.0
2024-12-07,301.5771783,0.0,0.0
2024-12-08,320.0377417,0.0,0.0
2024-12-09,306.0239105,0.0,0.0
2024-12-10,292.2089385,0.0,0.0
2024-12-11,306.644992,0.0,0.0
2024-12-12,315.3164893,0.0,0.0
2024-12-13,294.8287936,0.0,0.0
2024-12-14,304.1094388,0.0,0.0
2024-12-15,309.8396388,0.0,0.0
2024-12-16,303.8860263,0.0,0.0
2024-12-17,297.623376,0.0,0.0
2024-12-18,314.8271267,0.0,0.0
2024-12-19,299.5942785,0.0,0.0
2024-12-20,301.1753089,0.0,0.0
2024-12-21,318.8252752,0.0,0.0
2024-12-22,318.8252752,0.0,0.0
2024-12-23,292.2755261,0.0,0.0
2024-12-24,289.8827149,0.0,0.0
2024-12-25,289.8827149,0.0,0.0
2024-12-26,304.1054769,0.0,0.0
2024-12-27,294.7104382,0.0,0.0
2024-12-28,304.5286508,0.0,0.0
2024-12-29,305.1979857,0.0,0.0
2024-12-30,287.5342614,0.0,0.0
2024-12-31,291.6716667,0.0,0.0
2025-01-01,308.6,0.0,0.0
2025-01-02,288.51,0.0,0.0
2025-01-03,285.88,0.0,0.0
2025-01-04,289.98,0.0,0.0
2025-01-05,292.56,0.0,0.0
2025-01-06,280.72,0.0,0.0
2025-01-07,281.63,0.0,0.0
2025-01-08,280.9,0.0,0.0
2025-01-09,279.13,0.0,0.0
2025-01-10,295.03,0.0,0.0
2025-01-11,311.5,0.0,0.0
2025-01-12,307.54,0.0,0.0
2025-01-13,280.56,0.0,0.0
2025-01-14,284.09,0.0,0.0
2025-01-15,286.46,0.0,0.0
2025-01-16,285.08,0.0,0.0
2025-01-17,286.31,0.0,0.0
2025-01-18,290.06,0.0,0.0
2025-01-19,297.14,0.0,0.0
2025-01-20,284.25,0.0,0.0
2025-01-21,278.75,0.0,0.0
2025-01-22,279.34,0.0,0.0
2025-01-23,283.9,0.0,0.0
2025-01-24,290.84,0.0,0.0
2025-01-25,285.63,0.0,0.0
2025-01-26,296.37,0.0,0.0
2025-01-27,291.32,0.0,0.0
2025-01-28,282.3,0.0,0.0
2025-01-29,285.73,0.0,0.0
2025-01-30,293.29,0.0,0.0
2025-01-31,283.6,0.0,0.0
2025-02-01,287.48,0.0,0.0
2025-02-02,297.07,0.0,0.0
2025-02-03,279.19,0.0,0.0
2025-02-04,280.59,0.0,0.0
2025-02-05,279.88,0.0,0.0
2025-02-06,284.93,0.0,0.0
2025-02-07,285.4,0.0,0.0
2025-02-08,288.83,0.0,0.0
2025-02-09,301.63,0.0,0.0
2025-02-10,302.89,0.0,0.0
2025-02-11,292.98,0.0,0.0
2025-02-12,291.84,0.0,0.0
2025-02-13,287.15,0.0,0.0
2025-02-14,292.69,0.0,0.0
2025-02-15,294.32,0.0,0.0
2025-02-16,306.12,0.0,0.0
2025-02-17,285.55,0.0,0.0
2025-02-18,288.93,0.0,0.0
2025-02-19,288.04,0.0,0.0
2025-02-20,287.08,0.0,0.0
2025-02-21,289.78,0.0,0.0
2025-02-22,294.05,0.0,0.0
2025-02-23,295.68,0.0,0.0
2025-02-24,286.38,0.0,0.0
2025-02-25,291.36,0.0,0.0
2025-02-26,287.81,0.0,0.0
2025-02-27,289.68,0.0,0.0
2025-02-28,289.65,0.0,0.0
2025-03-01,287.93,0.0,0.0
2025-03-02,303.19,0.0,0.0
2025-03-03,294.53,0.0,0.0
2025-03-04,282.6,0.0,0.0
2025-03-05,296.99,0.0,0.0
2025-03-06,296.52,0.0,0.0
2025-03-07,298.2,0.0,0.0
2025-03-08,305.72,0.0,0.0
2025-03-09,312.05,0.0,0.0
2025-03-10,296.61,0.0,0.0
2025-03-11,295.95,0.0,0.0
2025-03-12,297.55,0.0,0.0
2025-03-13,297.57,0.0,0.0
2025-03-14,303.2,0.0,0.0
2025-03-15,304.87,0.0,0.0
2025-03-16,315.52,0.0,0.0
2025-03-17,295.44,0.0,0.0
2025-03-18,291.17,0.0,0.0
2025-03-19,302.2,0.0,0.0
2025-03-20,298.27,0.0,0.0
2025-03-21,299.65,0.0,0.0
2025-03-22,313.98,0.0,0.0
