Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,47.46092027,0.0,0.0
2024-10-02,47.72918814,0.0,0.0
2024-10-03,47.82403103,0.0,0.0
2024-10-04,47.8432405,0.0,0.0
2024-10-05,49.10219517,0.0,0.0
2024-10-06,49.80200848,0.0,0.0
2024-10-07,47.25344579,0.0,0.0
2024-10-08,46.86409307,0.0,0.0
2024-10-09,47.01798141,0.0,0.0
2024-10-10,47.86484116,0.0,0.0
2024-10-11,48.52115407,0.0,0.0
2024-10-12,47.93927916,0.0,0.0
2024-10-13,49.29391146,0.0,0.0
2024-10-14,46.84539622,0.0,0.0
2024-10-15,47.78765779,0.0,0.0
2024-10-16,46.90449061,0.0,0.0
2024-10-17,47.76829828,0.0,0.0
2024-10-18,48.07904858,0.0,0.0
2024-10-19,48.27318474,0.0,0.0
2024-10-20,49.18671183,0.0,0.0
2024-10-21,47.09360662,0.0,0.0
2024-10-22,47.58030933,0.0,0.0
2024-10-23,47.50593447,0.0,0.0
2024-10-24,48.25115156,0.0,0.0
2024-10-25,49.39112915,0.0,0.0
2024-10-26,49.88568496,0.0,0.0
2024-10-27,52.92090801,0.0,0.0
2024-10-28,47.96034658,0.0,0.0
2024-10-29,48.44761383,0.0,0.0
2024-10-30,48.68697787,0.0,0.0
2024-11-01,23.10861484,0.0,0.0
2024-11-02,48.2355694,0.0,0.0
2024-11-03,48.76769455,0.0,0.0
2024-11-04,46.92820693,0.0,0.0
2024-11-05,46.53951082,0.0,0.0
2024-11-06,47.66045481,0.0,0.0
2024-11-07,47.42819328,0.0,0.0
2024-11-08,47.8115116,0.0,0.0
2024-11-09,49.02867381,0.0,0.0
2024-11-10,49.55829894,0.0,0.0
2024-11-11,47.39397594,0.0,0.0
2024-11-12,46.87336942,0.0,0.0
2024-11-13,47.26557429,0.0,0.0
2024-11-14,47.23965849,0.0,0.0
2024-11-15,47.24006675,0.0,0.0
2024-11-16,48.30461121,0.0,0.0
2024-11-17,47.67563176,0.0,0.0
2024-11-18,45.54167538,0.0,0.0
2024-11-19,46.643066,0.0,0.0
2024-11-20,45.19995662,0.0,0.0
2024-11-21,46.67459098,0.0,0.0
2024-11-22,46.97681066,0.0,0.0
2024-11-23,48.42741196,0.0,0.0
2024-11-24,49.1435019,0.0,0.0
2024-11-25,47.82756897,0.0,0.0
2024-11-26,46.87453008,0.0,0.0
2024-11-27,48.67113265,0.0,0.0
2024-11-28,47.57460223,0.0,0.0
2024-11-29,48.78593302,0.0,0.0
2024-11-30,49.29422242,0.0,0.0
2024-12-01,49.28825381,0.0,0.0
2024-12-02,46.14420837,0.0,0.0
2024-12-03,46.49857174,0.0,0.0
2024-12-04,50.2798189,0.0,0.0
2024-12-05,50.64055511,0.0,0.0
2024-12-06,49.79111489,0.0,0.0
2024-12-07,50.13457585,0.0,0.0
2024-12-08,50.2776675,0.0,0.0
2024-12-09,47.77869633,0.0,0.0
2024-12-10,47.57359907,0.0,0.0
2024-12-11,49.54731758,0.0,0.0
2024-12-12,46.76044243,0.0,0.0
2024-12-13,48.74894072,0.0,0.0
2024-12-14,49.38554638,0.0,0.0
2024-12-15,53.24913854,0.0,0.0
2024-12-16,48.29089968,0.0,0.0
2024-12-17,47.46196224,0.0,0.0
2024-12-18,48.42148877,0.0,0.0
2024-12-19,50.05372047,0.0,0.0
