Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,170.0708634,0.0,0.0
2024-10-02,169.9957386,0.0,0.0
2024-10-03,169.0083273,0.0,0.0
2024-10-04,169.5570741,0.0,0.0
2024-10-05,172.0266676,0.0,0.0
2024-10-06,171.3044854,0.0,0.0
2024-10-07,167.1655448,0.0,0.0
2024-10-08,167.6178351,0.0,0.0
2024-10-09,170.975198,0.0,0.0
2024-10-10,176.0230645,0.0,0.0
2024-10-11,174.8609999,0.0,0.0
2024-10-12,172.4912946,0.0,0.0
2024-10-13,170.6971669,0.0,0.0
2024-10-14,166.1190611,0.0,0.0
2024-10-15,171.4773563,0.0,0.0
2024-10-16,166.9263962,0.0,0.0
2024-10-17,168.6643211,0.0,0.0
2024-10-18,171.2163015,0.0,0.0
2024-10-19,170.9612736,0.0,0.0
2024-10-20,175.6875789,0.0,0.0
2024-10-21,166.138496,0.0,0.0
2024-10-22,169.0617714,0.0,0.0
2024-10-23,172.9670297,0.0,0.0
2024-10-24,177.3403875,0.0,0.0
2024-10-25,180.3644414,0.0,0.0
2024-10-26,177.5985206,0.0,0.0
2024-10-27,181.4399086,0.0,0.0
2024-10-28,171.3008051,0.0,0.0
2024-10-29,174.1223905,0.0,0.0
2024-10-30,174.5999177,0.0,0.0
2024-11-01,81.22122982,0.0,0.0
2024-11-02,170.5198504,0.0,0.0
2024-11-03,168.9416259,0.0,0.0
2024-11-04,165.349998,0.0,0.0
2024-11-05,166.4417192,0.0,0.0
2024-11-06,167.4798272,0.0,0.0
2024-11-07,168.3925735,0.0,0.0
2024-11-08,169.4761171,0.0,0.0
2024-11-09,171.694439,0.0,0.0
2024-11-10,170.8357706,0.0,0.0
2024-11-11,167.8529683,0.0,0.0
2024-11-12,168.1053231,0.0,0.0
2024-11-13,171.0956483,0.0,0.0
2024-11-14,168.4550582,0.0,0.0
2024-11-15,170.1267761,0.0,0.0
2024-11-16,168.7688403,0.0,0.0
2024-11-17,167.3403351,0.0,0.0
2024-11-18,164.794298,0.0,0.0
2024-11-19,174.1184779,0.0,0.0
2024-11-20,169.528282,0.0,0.0
2024-11-21,170.180411,0.0,0.0
2024-11-22,171.6603791,0.0,0.0
2024-11-23,173.4216394,0.0,0.0
2024-11-24,167.2881965,0.0,0.0
2024-11-25,165.1204228,0.0,0.0
2024-11-26,163.7528899,0.0,0.0
2024-11-27,162.0616297,0.0,0.0
2024-11-28,164.0267906,0.0,0.0
2024-11-29,167.2276824,0.0,0.0
2024-11-30,169.959298,0.0,0.0
2024-12-01,166.0650495,0.0,0.0
2024-12-02,163.6477327,0.0,0.0
2024-12-03,169.7154292,0.0,0.0
2024-12-04,169.65703,0.0,0.0
2024-12-05,172.840475,0.0,0.0
2024-12-06,172.8822398,0.0,0.0
2024-12-07,175.1972464,0.0,0.0
2024-12-08,174.3120585,0.0,0.0
2024-12-09,169.8005859,0.0,0.0
2024-12-10,169.121866,0.0,0.0
2024-12-11,172.770942,0.0,0.0
2024-12-12,180.7206092,0.0,0.0
2024-12-13,171.5192797,0.0,0.0
2024-12-14,171.3977435,0.0,0.0
2024-12-15,173.1096244,0.0,0.0
2024-12-16,167.1824688,0.0,0.0
2024-12-17,168.0464162,0.0,0.0
2024-12-18,167.1392268,0.0,0.0
2024-12-19,166.084624,0.0,0.0
2024-12-20,165.7155788,0.0,0.0
2024-12-21,168.2344266,0.0,0.0
2024-12-22,168.2344266,0.0,0.0
2024-12-23,156.867951,0.0,0.0
2024-12-24,156.5681916,0.0,0.0
2024-12-25,156.5681916,0.0,0.0
2024-12-26,151.979569,0.0,0.0
2024-12-27,150.866188,0.0,0.0
2024-12-28,157.2965074,0.0,0.0
2024-12-29,157.9801783,0.0,0.0
2024-12-30,147.1648425,0.0,0.0
2024-12-31,149.3411727,0.0,0.0
2025-01-01,148.42,0.0,0.0
2025-01-02,138.36,0.0,0.0
2025-01-03,137.09,0.0,0.0
2025-01-04,139.57,0.0,0.0
2025-01-05,139.29,0.0,0.0
2025-01-06,139.86,0.0,0.0
2025-01-07,140.48,0.0,0.0
2025-01-08,140.35,0.0,0.0
2025-01-09,142.8,0.0,0.0
2025-01-10,142.83,0.0,0.0
2025-01-11,145.61,0.0,0.0
2025-01-12,140.57,0.0,0.0
2025-01-13,137.02,0.0,0.0
2025-01-14,139.96,0.0,0.0
2025-01-15,138.96,0.0,0.0
2025-01-16,139.37,0.0,0.0
2025-01-17,141.38,0.0,0.0
2025-01-18,144.43,0.0,0.0
2025-01-19,146.07,0.0,0.0
2025-01-20,135.64,0.0,0.0
2025-01-21,140.06,0.0,0.0
2025-01-22,140.31,0.0,0.0
2025-01-23,140.54,0.0,0.0
2025-01-24,142.95,0.0,0.0
2025-01-25,143.22,0.0,0.0
2025-01-26,147.27,0.0,0.0
2025-01-27,145.54,0.0,0.0
2025-01-28,143.08,0.0,0.0
2025-01-29,139.48,0.0,0.0
2025-01-30,139.73,0.0,0.0
2025-01-31,139.53,0.0,0.0
2025-02-01,141.86,0.0,0.0
2025-02-02,144.76,0.0,0.0
2025-02-03,137.62,0.0,0.0
2025-02-04,140.28,0.0,0.0
2025-02-05,139.98,0.0,0.0
2025-02-06,142.99,0.0,0.0
2025-02-07,143.85,0.0,0.0
2025-02-08,147.71,0.0,0.0
2025-02-09,150.28,0.0,0.0
2025-02-10,146.58,0.0,0.0
2025-02-11,147.81,0.0,0.0
2025-02-12,151.88,0.0,0.0
2025-02-13,151.35,0.0,0.0
2025-02-14,152.95,0.0,0.0
2025-02-15,153.29,0.0,0.0
2025-02-16,154.26,0.0,0.0
2025-02-17,151.84,0.0,0.0
2025-02-18,152.27,0.0,0.0
2025-02-19,153.34,0.0,0.0
2025-02-20,154.38,0.0,0.0
2025-02-21,163.05,0.0,0.0
2025-02-22,163.78,0.0,0.0
2025-02-23,167.65,0.0,0.0
2025-02-24,155.99,0.0,0.0
2025-02-25,157.48,0.0,0.0
2025-02-26,161.2,0.0,0.0
2025-02-27,160.38,0.0,0.0
2025-02-28,151.44,0.0,0.0
2025-03-01,134.61,0.0,0.0
2025-03-02,144.52,0.0,0.0
2025-03-03,152.6,0.0,0.0
2025-03-04,146.37,0.0,0.0
2025-03-05,155.7,0.0,0.0
2025-03-06,157.4,0.0,0.0
2025-03-07,160.21,0.0,0.0
2025-03-08,160.66,0.0,0.0
2025-03-09,158.98,0.0,0.0
2025-03-10,156.54,0.0,0.0
2025-03-11,157.8,0.0,0.0
2025-03-12,163.15,0.0,0.0
2025-03-13,164.25,0.0,0.0
2025-03-14,162.72,0.0,0.0
2025-03-15,165.33,0.0,0.0
2025-03-16,165.09,0.0,0.0
2025-03-17,162.64,0.0,0.0
2025-03-18,161.85,0.0,0.0
2025-03-19,165.1,0.0,0.0
2025-03-20,168.0,0.0,0.0
2025-03-21,160.07,0.0,0.0
2025-03-22,161.48,0.0,0.0
2025-03-23,153.78,0.0,0.0
2025-03-24,148.83,0.0,0.0
2025-03-25,142.98,0.0,0.0
2025-03-26,145.59,0.0,0.0
2025-03-27,143.07,0.0,0.0
2025-03-28,141.34,0.0,0.0
2025-03-29,134.42,0.0,0.0
2025-03-30,130.05,0.0,0.0
2025-03-31,128.29,0.0,0.0
2025-04-01,121.71,0.0,0.0
2025-04-02,132.93,0.0,0.0
2025-04-03,141.3029354,0.0,0.0
2025-04-04,145.2366911,0.0,0.0
2025-04-05,148.7853585,0.0,0.0
2025-04-06,150.6133057,0.0,0.0
2025-04-07,155.9580027,0.0,0.0
2025-04-08,162.6989884,0.0,0.0
2025-04-09,167.4045776,0.0,0.0
2025-04-10,170.8520916,0.0,0.0
2025-04-11,171.7535241,0.0,0.0
2025-04-12,169.2711337,0.0,0.0
2025-04-13,168.6474166,0.0,0.0
2025-04-14,164.9430104,0.0,0.0
2025-04-15,166.4559887,0.0,0.0
2025-04-16,166.5230704,0.0,0.0
2025-04-17,169.6172596,0.0,0.0
2025-04-18,169.0562129,0.0,0.0
2025-04-19,170.5947585,0.0,0.0
2025-04-20,166.9569749,0.0,0.0
2025-04-21,166.6810083,0.0,0.0
2025-04-22,170.6334008,0.0,0.0
2025-04-23,173.3905294,0.0,0.0
2025-04-24,175.4272513,0.0,0.0
2025-04-25,173.1817838,0.0,0.0
2025-04-26,177.0610475,0.0,0.0
2025-04-27,176.3304502,0.0,0.0
2025-04-28,169.0654106,0.0,0.0
2025-04-29,169.5747804,0.0,0.0
2025-04-30,171.946901,0.0,0.0
2025-05-01,167.8665547,0.0,0.0
2025-05-02,168.5382627,0.0,0.0
2025-05-03,171.1762386,0.0,0.0
2025-05-04,170.7224159,0.0,0.0
2025-05-05,169.592297,0.0,0.0
2025-05-06,171.7656616,0.0,0.0
2025-05-07,174.7859603,0.0,0.0
2025-05-08,171.2284593,0.0,0.0
2025-05-09,173.7955428,0.0,0.0
2025-05-10,171.7386079,0.0,0.0
2025-05-11,179.3721863,0.0,0.0
2025-05-12,171.0812379,0.0,0.0
2025-05-13,168.8443564,0.0,0.0
2025-05-14,174.8086188,0.0,0.0
2025-05-15,171.6982767,0.0,0.0
2025-05-16,173.9820605,0.0,0.0
2025-05-17,174.7311359,0.0,0.0
2025-05-18,174.5042729,0.0,0.0
2025-05-19,169.6052384,0.0,0.0
2025-05-20,169.2252503,0.0,0.0
2025-05-21,171.9711465,0.0,0.0
2025-05-22,176.4386347,0.0,0.0
2025-05-23,175.0003549,0.0,0.0
2025-05-24,178.4123519,0.0,0.0
2025-05-25,174.430994,0.0,0.0
2025-05-26,169.7113217,0.0,0.0
2025-05-27,171.7181577,0.0,0.0
2025-05-28,174.835783,0.0,0.0
2025-05-29,175.3901456,0.0,0.0
2025-05-30,172.5357908,0.0,0.0
2025-05-31,173.9943725,0.0,0.0
2025-06-01,168.5223229,0.0,0.0
2025-06-02,166.1028992,0.0,0.0
2025-06-03,168.2983716,0.0,0.0
2025-06-04,169.0068215,0.0,0.0
2025-06-05,169.1894762,0.0,0.0
2025-06-06,156.2884274,0.0,0.0
2025-06-07,154.0599064,0.0,0.0
2025-06-08,155.7911489,0.0,0.0
2025-06-09,156.128652,0.0,0.0
2025-06-10,169.620601,0.0,0.0
2025-06-11,173.064044,0.0,0.0
2025-06-12,175.3213292,0.0,0.0
2025-06-13,173.573566,0.0,0.0
2025-06-14,176.1948085,0.0,0.0
2025-06-15,178.5274141,0.0,0.0
2025-06-16,169.5522649,0.0,0.0
2025-06-17,170.4470237,0.0,0.0
2025-06-18,171.5205276,0.0,0.0
2025-06-19,169.3959513,0.0,0.0
2025-06-20,167.6254104,0.0,0.0
2025-06-21,169.3919996,0.0,0.0
2025-06-22,170.3291377,0.0,0.0
2025-06-23,166.4797497,0.0,0.0
2025-06-24,168.0167139,0.0,0.0
2025-06-25,169.3959889,0.0,0.0
2025-06-26,168.007493,0.0,0.0
2025-06-27,173.0408765,0.0,0.0
2025-06-28,173.0985695,0.0,0.0
2025-06-29,172.8632301,0.0,0.0
2025-06-30,166.3929848,0.0,0.0
2025-07-01,169.2153235,0.0,0.0
2025-07-02,167.922518,0.0,0.0
2025-07-03,167.8535046,0.0,0.0
2025-07-04,166.7300641,0.0,0.0
2025-07-05,166.4022196,0.0,0.0
2025-07-06,167.2827722,0.0,0.0
2025-07-07,160.6462254,0.0,0.0
2025-07-08,161.8616294,0.0,0.0
2025-07-09,161.2579577,0.0,0.0
2025-07-10,161.8137915,0.0,0.0
2025-07-11,161.1839071,0.0,0.0
2025-07-12,165.5034225,0.0,0.0
2025-07-13,157.9258592,0.0,0.0
2025-07-14,155.0709849,0.0,0.0
2025-07-15,158.2161033,0.0,0.0
2025-07-16,156.8446486,0.0,0.0
2025-07-17,160.7593879,0.0,0.0
2025-07-18,165.030691,0.0,0.0
2025-07-19,168.3896614,0.0,0.0
2025-07-20,163.1364286,0.0,0.0
2025-07-21,159.6892243,0.0,0.0
2025-07-22,159.0913287,0.0,0.0
2025-07-23,161.9575151,0.0,0.0
2025-07-24,161.2789729,0.0,0.0
2025-07-25,164.7571249,0.0,0.0
2025-07-26,165.9256732,0.0,0.0
2025-07-27,163.4893948,0.0,0.0
2025-07-28,157.9156271,0.0,0.0
2025-07-29,161.6843908,0.0,0.0
2025-07-30,159.541866,0.0,0.0
2025-07-31,162.1824791,0.0,0.0
2025-08-01,164.7550125,0.0,0.0
2025-08-02,166.0706481,0.0,0.0
2025-08-03,167.4462065,0.0,0.0
2025-08-04,163.496099,0.0,0.0
2025-08-05,166.4658822,0.0,0.0
2025-08-06,169.3798516,0.0,0.0
2025-08-07,171.609972,0.0,0.0
2025-08-08,177.4748819,0.0,0.0
2025-08-09,175.7370594,0.0,0.0
2025-08-10,178.8036505,0.0,0.0
2025-08-11,173.9431528,0.0,0.0
2025-08-12,174.6926529,0.0,0.0
2025-08-13,175.840335,0.0,0.0
2025-08-14,173.3250493,0.0,0.0
2025-08-15,174.0212248,0.0,0.0
2025-08-16,178.3450854,0.0,0.0
2025-08-17,185.5868518,0.0,0.0
2025-08-18,177.1378513,0.0,0.0
2025-08-19,176.7111699,0.0,0.0
2025-08-20,175.5516206,0.0,0.0
2025-08-21,178.2449988,0.0,0.0
2025-08-22,178.623341,0.0,0.0
2025-08-23,180.2585296,0.0,0.0
2025-08-24,182.010668,0.0,0.0
2025-08-25,172.6300847,0.0,0.0
2025-08-26,177.0067796,0.0,0.0
2025-08-27,176.0752229,0.0,0.0
2025-08-28,173.96652,0.0,0.0
2025-08-29,186.0644434,0.0,0.0
2025-08-30,190.8785827,0.0,0.0
2025-08-31,187.0348433,0.0,0.0
2025-09-01,179.7501607,0.0,0.0
2025-09-02,177.1448395,0.0,0.0
2025-09-03,178.9539571,0.0,0.0
2025-09-04,180.6577422,0.0,0.0
2025-09-05,185.1948243,0.0,0.0
2025-09-06,184.2396773,0.0,0.0
2025-09-07,183.1017459,0.0,0.0
2025-09-08,179.783497,0.0,0.0
2025-09-09,180.9351725,0.0,0.0
2025-09-10,182.8367356,0.0,0.0
2025-09-11,177.8004608,0.0,0.0
2025-09-12,182.4904387,0.0,0.0
2025-09-13,186.7173758,0.0,0.0
