Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,29.37263392,0.0,0.0
2024-10-02,29.34723773,0.0,0.0
2024-10-03,28.99566813,0.0,0.0
2024-10-04,29.89001194,0.0,0.0
2024-10-05,30.82141023,0.0,0.0
2024-10-06,31.5600681,0.0,0.0
2024-10-07,29.2373926,0.0,0.0
2024-10-08,29.72518602,0.0,0.0
2024-10-09,29.73887192,0.0,0.0
2024-10-10,30.50422836,0.0,0.0
2024-10-11,30.99102308,0.0,0.0
2024-10-12,31.00987543,0.0,0.0
2024-10-13,31.10662076,0.0,0.0
2024-10-14,28.94910446,0.0,0.0
2024-10-15,29.32215676,0.0,0.0
2024-10-16,28.54529462,0.0,0.0
2024-10-17,29.19775179,0.0,0.0
2024-10-18,30.348378,0.0,0.0
2024-10-19,31.20143232,0.0,0.0
2024-10-20,31.83102464,0.0,0.0
2024-10-21,29.2815867,0.0,0.0
2024-10-22,29.69286131,0.0,0.0
2024-10-23,29.60401837,0.0,0.0
2024-10-24,30.76199299,0.0,0.0
2024-10-25,31.73939944,0.0,0.0
2024-10-26,31.17754726,0.0,0.0
2024-10-27,32.82037747,0.0,0.0
2024-10-28,29.95494874,0.0,0.0
2024-10-29,30.31765577,0.0,0.0
2024-10-30,30.30391784,0.0,0.0
2024-11-01,14.42925243,0.0,0.0
2024-11-02,31.54952989,0.0,0.0
2024-11-03,30.68513858,0.0,0.0
2024-11-04,28.96835529,0.0,0.0
2024-11-05,28.7023079,0.0,0.0
2024-11-06,28.58442534,0.0,0.0
2024-11-07,28.69478698,0.0,0.0
2024-11-08,29.08332333,0.0,0.0
2024-11-09,29.87161076,0.0,0.0
2024-11-10,29.7463948,0.0,0.0
2024-11-11,27.74183766,0.0,0.0
2024-11-12,27.64606068,0.0,0.0
2024-11-13,27.5193756,0.0,0.0
2024-11-14,27.10711942,0.0,0.0
2024-11-15,28.37954483,0.0,0.0
2024-11-16,29.19070282,0.0,0.0
2024-11-17,29.13049214,0.0,0.0
2024-11-18,26.96946555,0.0,0.0
2024-11-19,28.51660305,0.0,0.0
2024-11-20,28.3909767,0.0,0.0
2024-11-21,28.47607943,0.0,0.0
2024-11-22,29.9729405,0.0,0.0
2024-11-23,30.49741689,0.0,0.0
2024-11-24,30.29531028,0.0,0.0
2024-11-25,29.02848571,0.0,0.0
2024-11-26,29.62730749,0.0,0.0
2024-11-27,32.72884071,0.0,0.0
2024-11-28,29.6646055,0.0,0.0
2024-11-29,29.25000114,0.0,0.0
2024-11-30,30.36049359,0.0,0.0
2024-12-01,29.63294428,0.0,0.0
2024-12-02,28.6245181,0.0,0.0
2024-12-03,28.83379697,0.0,0.0
2024-12-04,29.21507913,0.0,0.0
2024-12-05,29.66085397,0.0,0.0
2024-12-06,30.46607753,0.0,0.0
2024-12-07,30.99998173,0.0,0.0
2024-12-08,31.76710425,0.0,0.0
2024-12-09,29.68062321,0.0,0.0
2024-12-10,29.41097376,0.0,0.0
2024-12-11,30.62370542,0.0,0.0
2024-12-12,31.43153461,0.0,0.0
2024-12-13,29.3015306,0.0,0.0
2024-12-14,29.72370147,0.0,0.0
2024-12-15,31.00793161,0.0,0.0
2024-12-16,29.04476337,0.0,0.0
2024-12-17,29.65998746,0.0,0.0
2024-12-18,29.18346563,0.0,0.0
2024-12-19,28.87403102,0.0,0.0
2024-12-20,28.66019665,0.0,0.0
2024-12-21,29.92259999,0.0,0.0
2024-12-22,29.92259999,0.0,0.0
2024-12-23,28.90438359,0.0,0.0
2024-12-24,29.1339333,0.0,0.0
2024-12-25,29.1339333,0.0,0.0
2024-12-26,29.7212035,0.0,0.0
2024-12-27,29.29752167,0.0,0.0
2024-12-28,29.10543441,0.0,0.0
2024-12-29,30.1520717,0.0,0.0
2024-12-30,29.14857882,0.0,0.0
2024-12-31,29.82851322,0.0,0.0
2025-01-01,30.42,0.0,0.0
2025-01-02,27.51,0.0,0.0
2025-01-03,27.5,0.0,0.0
2025-01-04,27.65,0.0,0.0
2025-01-05,28.22,0.0,0.0
2025-01-06,26.69,0.0,0.0
2025-01-07,26.37,0.0,0.0
2025-01-08,26.65,0.0,0.0
2025-01-09,27.05,0.0,0.0
2025-01-10,27.67,0.0,0.0
2025-01-11,27.62,0.0,0.0
2025-01-12,28.19,0.0,0.0
2025-01-13,26.16,0.0,0.0
2025-01-14,26.5,0.0,0.0
2025-01-15,26.52,0.0,0.0
2025-01-16,26.47,0.0,0.0
2025-01-17,27.64,0.0,0.0
2025-01-18,26.88,0.0,0.0
2025-01-19,28.07,0.0,0.0
2025-01-20,26.51,0.0,0.0
2025-01-21,26.83,0.0,0.0
2025-01-22,26.89,0.0,0.0
2025-01-23,26.74,0.0,0.0
2025-01-24,27.2,0.0,0.0
2025-01-25,26.97,0.0,0.0
2025-01-26,28.27,0.0,0.0
2025-01-27,28.65,0.0,0.0
2025-01-28,27.0,0.0,0.0
2025-01-29,27.74,0.0,0.0
2025-01-30,26.44,0.0,0.0
2025-01-31,26.07,0.0,0.0
2025-02-01,26.25,0.0,0.0
2025-02-02,27.64,0.0,0.0
2025-02-03,25.06,0.0,0.0
2025-02-04,26.11,0.0,0.0
2025-02-05,25.64,0.0,0.0
2025-02-06,26.07,0.0,0.0
2025-02-07,26.38,0.0,0.0
2025-02-08,27.9,0.0,0.0
2025-02-09,27.39,0.0,0.0
2025-02-10,25.52,0.0,0.0
2025-02-11,25.98,0.0,0.0
2025-02-12,25.91,0.0,0.0
2025-02-13,25.98,0.0,0.0
2025-02-14,26.16,0.0,0.0
2025-02-15,26.48,0.0,0.0
2025-02-16,27.27,0.0,0.0
2025-02-17,25.59,0.0,0.0
2025-02-18,25.34,0.0,0.0
2025-02-19,25.77,0.0,0.0
2025-02-20,26.1,0.0,0.0
2025-02-21,27.47,0.0,0.0
2025-02-22,28.33,0.0,0.0
2025-02-23,28.26,0.0,0.0
2025-02-24,27.01,0.0,0.0
2025-02-25,26.54,0.0,0.0
2025-02-26,27.31,0.0,0.0
2025-02-27,27.09,0.0,0.0
2025-02-28,26.58,0.0,0.0
2025-03-01,25.01,0.0,0.0
2025-03-02,26.38,0.0,0.0
2025-03-03,25.75,0.0,0.0
2025-03-04,24.87,0.0,0.0
2025-03-05,26.43,0.0,0.0
2025-03-06,27.18,0.0,0.0
2025-03-07,27.07,0.0,0.0
2025-03-08,28.0,0.0,0.0
2025-03-09,27.94,0.0,0.0
2025-03-10,26.86,0.0,0.0
2025-03-11,27.03,0.0,0.0
2025-03-12,27.77,0.0,0.0
2025-03-13,27.7,0.0,0.0
2025-03-14,28.78,0.0,0.0
2025-03-15,29.04,0.0,0.0
2025-03-16,29.29,0.0,0.0
2025-03-17,28.45,0.0,0.0
2025-03-18,27.93,0.0,0.0
2025-03-19,28.72,0.0,0.0
2025-03-20,28.64,0.0,0.0
2025-03-21,28.26,0.0,0.0
2025-03-22,30.25,0.0,0.0
2025-03-23,30.32,0.0,0.0
2025-03-24,29.32,0.0,0.0
2025-03-25,28.97,0.0,0.0
2025-03-26,29.74,0.0,0.0
2025-03-27,30.71,0.0,0.0
2025-03-28,31.26,0.0,0.0
2025-03-29,30.66,0.0,0.0
2025-03-30,31.04,0.0,0.0
2025-03-31,30.93,0.0,0.0
2025-04-01,28.65,0.0,0.0
2025-04-02,29.94,0.0,0.0
2025-04-03,30.94031934,0.0,0.0
2025-04-04,31.75482264,0.0,0.0
2025-04-05,31.78593645,0.0,0.0
2025-04-06,31.29314677,0.0,0.0
2025-04-07,30.64650839,0.0,0.0
2025-04-08,30.07381633,0.0,0.0
2025-04-09,30.65467323,0.0,0.0
2025-04-10,31.08433261,0.0,0.0
2025-04-11,29.68288946,0.0,0.0
2025-04-12,29.87591273,0.0,0.0
2025-04-13,29.72027994,0.0,0.0
2025-04-14,27.89157977,0.0,0.0
2025-04-15,27.63025167,0.0,0.0
2025-04-16,27.42807523,0.0,0.0
2025-04-17,28.19946871,0.0,0.0
2025-04-18,29.00513278,0.0,0.0
2025-04-19,29.38874905,0.0,0.0
2025-04-20,28.97497963,0.0,0.0
2025-04-21,27.54156844,0.0,0.0
2025-04-22,28.05465742,0.0,0.0
2025-04-23,28.09250925,0.0,0.0
2025-04-24,27.85374951,0.0,0.0
2025-04-25,28.54120795,0.0,0.0
2025-04-26,29.20848735,0.0,0.0
2025-04-27,29.84672725,0.0,0.0
2025-04-28,27.122748,0.0,0.0
2025-04-29,27.71992507,0.0,0.0
2025-04-30,27.71917035,0.0,0.0
2025-05-01,28.02603467,0.0,0.0
2025-05-02,27.7461807,0.0,0.0
2025-05-03,28.55185546,0.0,0.0
