Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,55.32605243,0.0,0.0
2024-10-02,56.5235949,0.0,0.0
2024-10-03,49.80610245,0.0,0.0
2024-10-04,46.97611088,0.0,0.0
2024-10-05,58.34793248,0.0,0.0
2024-10-06,58.37754329,0.0,0.0
2024-10-07,54.02837811,0.0,0.0
2024-10-08,55.02654954,0.0,0.0
2024-10-09,54.90438589,0.0,0.0
2024-10-10,58.48562866,0.0,0.0
2024-10-11,58.75710402,0.0,0.0
2024-10-12,58.10059577,0.0,0.0
2024-10-13,57.52680121,0.0,0.0
2024-10-14,54.69820542,0.0,0.0
2024-10-15,54.08385984,0.0,0.0
2024-10-16,52.19281809,0.0,0.0
2024-10-17,55.51875652,0.0,0.0
2024-10-18,56.94516424,0.0,0.0
2024-10-19,57.48847786,0.0,0.0
2024-10-20,57.92236238,0.0,0.0
2024-10-21,54.92830124,0.0,0.0
2024-10-22,56.09557985,0.0,0.0
2024-10-23,57.05682396,0.0,0.0
2024-10-24,58.34295218,0.0,0.0
2024-10-25,58.49076229,0.0,0.0
2024-10-26,58.37686806,0.0,0.0
2024-10-27,59.4382296,0.0,0.0
2024-10-28,54.72257225,0.0,0.0
2024-10-29,53.82857513,0.0,0.0
2024-10-30,56.22386258,0.0,0.0
2024-11-01,27.11846991,0.0,0.0
2024-11-02,57.11781883,0.0,0.0
2024-11-03,57.07707285,0.0,0.0
2024-11-04,53.31505421,0.0,0.0
2024-11-05,53.62217804,0.0,0.0
2024-11-06,55.06014187,0.0,0.0
2024-11-07,55.17488062,0.0,0.0
2024-11-08,56.48338263,0.0,0.0
2024-11-09,57.8031008,0.0,0.0
2024-11-10,58.43890492,0.0,0.0
2024-11-11,55.33068009,0.0,0.0
2024-11-12,54.95949137,0.0,0.0
2024-11-13,55.29276908,0.0,0.0
2024-11-14,55.28752477,0.0,0.0
2024-11-15,57.12707159,0.0,0.0
2024-11-16,58.04963202,0.0,0.0
2024-11-17,56.85303622,0.0,0.0
2024-11-18,54.39811628,0.0,0.0
2024-11-19,58.36636606,0.0,0.0
2024-11-20,54.34585096,0.0,0.0
2024-11-21,55.05438199,0.0,0.0
2024-11-22,57.08862406,0.0,0.0
2024-11-23,58.38051839,0.0,0.0
2024-11-24,57.46921731,0.0,0.0
2024-11-25,55.25436384,0.0,0.0
2024-11-26,56.93135441,0.0,0.0
2024-11-27,57.28671494,0.0,0.0
2024-11-28,54.30435608,0.0,0.0
2024-11-29,55.40132833,0.0,0.0
2024-11-30,57.32271889,0.0,0.0
2024-12-01,56.49520424,0.0,0.0
2024-12-02,54.14131061,0.0,0.0
2024-12-03,52.49321659,0.0,0.0
2024-12-04,53.11783515,0.0,0.0
