Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,789.6098003,0.0,0.0
2024-10-02,790.7741947,0.0,0.0
2024-10-03,791.9991994,0.0,0.0
2024-10-04,797.4590595,0.0,0.0
2024-10-05,803.2482566,0.0,0.0
2024-10-06,802.512586,0.0,0.0
2024-10-07,773.492535,0.0,0.0
2024-10-08,790.7858619,0.0,0.0
2024-10-09,800.9391427,0.0,0.0
2024-10-10,822.3297611,0.0,0.0
2024-10-11,818.4868402,0.0,0.0
2024-10-12,792.2822456,0.0,0.0
2024-10-13,794.7742669,0.0,0.0
2024-10-14,775.9943681,0.0,0.0
2024-10-15,795.8450931,0.0,0.0
2024-10-16,781.0749825,0.0,0.0
2024-10-17,795.2645028,0.0,0.0
2024-10-18,808.1164326,0.0,0.0
2024-10-19,798.6059443,0.0,0.0
2024-10-20,802.2353279,0.0,0.0
2024-10-21,779.063982,0.0,0.0
2024-10-22,795.7690016,0.0,0.0
2024-10-23,808.6185649,0.0,0.0
2024-10-24,831.4491919,0.0,0.0
2024-10-25,839.2781109,0.0,0.0
2024-10-26,813.3942517,0.0,0.0
2024-10-27,836.6716583,0.0,0.0
2024-10-28,784.9939575,0.0,0.0
2024-10-29,801.8016422,0.0,0.0
2024-10-30,808.7371382,0.0,0.0
2024-11-01,382.3968396,0.0,0.0
2024-11-02,791.466295,0.0,0.0
2024-11-03,792.4046029,0.0,0.0
2024-11-04,771.1714623,0.0,0.0
2024-11-05,778.3357889,0.0,0.0
2024-11-06,789.0387881,0.0,0.0
2024-11-07,785.7984595,0.0,0.0
2024-11-08,801.4411397,0.0,0.0
2024-11-09,795.4755637,0.0,0.0
2024-11-10,801.2392432,0.0,0.0
2024-11-11,790.1600116,0.0,0.0
2024-11-12,791.046061,0.0,0.0
2024-11-13,802.3456665,0.0,0.0
2024-11-14,797.0359448,0.0,0.0
2024-11-15,809.1901726,0.0,0.0
2024-11-16,781.6874644,0.0,0.0
2024-11-17,791.3152258,0.0,0.0
2024-11-18,770.9296145,0.0,0.0
2024-11-19,798.0382346,0.0,0.0
2024-11-20,784.5618816,0.0,0.0
2024-11-21,794.5602799,0.0,0.0
2024-11-22,807.0304199,0.0,0.0
2024-11-23,803.1643426,0.0,0.0
2024-11-24,796.737425,0.0,0.0
2024-11-25,779.1536473,0.0,0.0
2024-11-26,780.0722587,0.0,0.0
2024-11-27,804.4896661,0.0,0.0
2024-11-28,774.3273939,0.0,0.0
2024-11-29,787.8977508,0.0,0.0
2024-11-30,783.8829178,0.0,0.0
2024-12-01,784.8804845,0.0,0.0
2024-12-02,768.1745625,0.0,0.0
2024-12-03,781.0317386,0.0,0.0
2024-12-04,805.3066717,0.0,0.0
2024-12-05,813.909493,0.0,0.0
2024-12-06,812.7480183,0.0,0.0
2024-12-07,815.9152362,0.0,0.0
2024-12-08,826.4473784,0.0,0.0
2024-12-09,787.6227949,0.0,0.0
2024-12-10,804.9441636,0.0,0.0
2024-12-11,815.8974259,0.0,0.0
2024-12-12,841.3799231,0.0,0.0
2024-12-13,804.338981,0.0,0.0
2024-12-14,806.388834,0.0,0.0
2024-12-15,809.2683027,0.0,0.0
2024-12-16,787.0924263,0.0,0.0
2024-12-17,801.2652829,0.0,0.0
2024-12-18,799.4283038,0.0,0.0
2024-12-19,798.3508831,0.0,0.0
2024-12-20,799.3330926,0.0,0.0
2024-12-21,793.331531,0.0,0.0
2024-12-22,793.331531,0.0,0.0
2024-12-23,775.5528032,0.0,0.0
2024-12-24,788.7352956,0.0,0.0
2024-12-25,788.7352956,0.0,0.0
2024-12-26,765.180316,0.0,0.0
2024-12-27,768.2129142,0.0,0.0
2024-12-28,764.4059866,0.0,0.0
2024-12-29,749.2167755,0.0,0.0
2024-12-30,737.0099158,0.0,0.0
2024-12-31,722.9292543,0.0,0.0
2025-01-01,751.73,0.0,0.0
2025-01-02,716.73,0.0,0.0
2025-01-03,723.48,0.0,0.0
2025-01-04,737.71,0.0,0.0
2025-01-05,752.97,0.0,0.0
2025-01-06,725.21,0.0,0.0
2025-01-07,727.32,0.0,0.0
2025-01-08,734.15,0.0,0.0
2025-01-09,738.51,0.0,0.0
2025-01-10,755.49,0.0,0.0
2025-01-11,764.72,0.0,0.0
2025-01-12,756.89,0.0,0.0
2025-01-13,716.48,0.0,0.0
2025-01-14,738.77,0.0,0.0
2025-01-15,728.08,0.0,0.0
2025-01-16,740.04,0.0,0.0
2025-01-17,743.33,0.0,0.0
2025-01-18,742.95,0.0,0.0
2025-01-19,748.89,0.0,0.0
2025-01-20,716.76,0.0,0.0
2025-01-21,726.51,0.0,0.0
2025-01-22,738.75,0.0,0.0
2025-01-23,735.25,0.0,0.0
2025-01-24,741.54,0.0,0.0
2025-01-25,727.6,0.0,0.0
2025-01-26,719.99,0.0,0.0
2025-01-27,700.9,0.0,0.0
2025-01-28,696.74,0.0,0.0
2025-01-29,732.19,0.0,0.0
2025-01-30,717.83,0.0,0.0
2025-01-31,732.48,0.0,0.0
2025-02-01,741.38,0.0,0.0
2025-02-02,780.83,0.0,0.0
2025-02-03,718.53,0.0,0.0
2025-02-04,734.23,0.0,0.0
2025-02-05,733.99,0.0,0.0
2025-02-06,742.26,0.0,0.0
2025-02-07,758.15,0.0,0.0
2025-02-08,748.6,0.0,0.0
2025-02-09,759.97,0.0,0.0
2025-02-10,734.94,0.0,0.0
2025-02-11,747.45,0.0,0.0
2025-02-12,760.47,0.0,0.0
2025-02-13,768.43,0.0,0.0
2025-02-14,765.61,0.0,0.0
2025-02-15,761.22,0.0,0.0
2025-02-16,764.77,0.0,0.0
2025-02-17,740.28,0.0,0.0
2025-02-18,745.16,0.0,0.0
2025-02-19,751.99,0.0,0.0
2025-02-20,767.53,0.0,0.0
2025-02-21,781.03,0.0,0.0
2025-02-22,786.8,0.0,0.0
2025-02-23,778.57,0.0,0.0
2025-02-24,755.94,0.0,0.0
2025-02-25,762.04,0.0,0.0
2025-02-26,775.25,0.0,0.0
2025-02-27,777.05,0.0,0.0
2025-02-28,765.45,0.0,0.0
2025-03-01,706.34,0.0,0.0
2025-03-02,758.87,0.0,0.0
2025-03-03,769.07,0.0,0.0
2025-03-04,754.87,0.0,0.0
2025-03-05,799.78,0.0,0.0
2025-03-06,799.98,0.0,0.0
2025-03-07,811.7,0.0,0.0
2025-03-08,812.43,0.0,0.0
2025-03-09,820.05,0.0,0.0
2025-03-10,791.06,0.0,0.0
2025-03-11,802.36,0.0,0.0
2025-03-12,817.14,0.0,0.0
2025-03-13,839.28,0.0,0.0
2025-03-14,824.7,0.0,0.0
2025-03-15,832.85,0.0,0.0
2025-03-16,833.73,0.0,0.0
2025-03-17,806.84,0.0,0.0
2025-03-18,811.86,0.0,0.0
2025-03-19,839.37,0.0,0.0
2025-03-20,842.99,0.0,0.0
2025-03-21,833.05,0.0,0.0
2025-03-22,846.57,0.0,0.0
2025-03-23,844.16,0.0,0.0
2025-03-24,813.89,0.0,0.0
2025-03-25,788.44,0.0,0.0
2025-03-26,810.63,0.0,0.0
2025-03-27,794.07,0.0,0.0
2025-03-28,764.85,0.0,0.0
2025-03-29,681.32,0.0,0.0
2025-03-30,619.15,0.0,0.0
2025-03-31,562.58,0.0,0.0
2025-04-01,502.75,0.0,0.0
2025-04-02,532.07,0.0,0.0
2025-04-03,592.8508335,0.0,0.0
2025-04-04,638.340225,0.0,0.0
2025-04-05,673.131657,0.0,0.0
2025-04-06,710.9001753,0.0,0.0
2025-04-07,762.9782669,0.0,0.0
2025-04-08,804.4052823,0.0,0.0
2025-04-09,823.6813961,0.0,0.0
2025-04-10,324.2471631,0.0,0.0
2025-04-11,825.6449255,0.0,0.0
2025-04-12,817.1569417,0.0,0.0
2025-04-13,826.3688595,0.0,0.0
2025-04-14,803.6241623,0.0,0.0
2025-04-15,807.1212058,0.0,0.0
2025-04-16,813.4796616,0.0,0.0
2025-04-17,822.2419295,0.0,0.0
2025-04-18,834.5051964,0.0,0.0
2025-04-19,816.3855467,0.0,0.0
2025-04-20,826.519954,0.0,0.0
2025-04-21,814.864297,0.0,0.0
2025-04-22,835.9373452,0.0,0.0
2025-04-23,842.0628528,0.0,0.0
2025-04-24,845.1297133,0.0,0.0
2025-04-25,848.5089127,0.0,0.0
2025-04-26,850.5216073,0.0,0.0
2025-04-27,861.7488471,0.0,0.0
2025-04-28,824.5287688,0.0,0.0
2025-04-29,833.978618,0.0,0.0
2025-04-30,833.7442515,0.0,0.0
2025-05-01,859.1856799,0.0,0.0
2025-05-02,825.2541313,0.0,0.0
2025-05-03,828.5789289,0.0,0.0
2025-05-04,843.3323428,0.0,0.0
2025-05-05,817.0145783,0.0,0.0
2025-05-06,824.417732,0.0,0.0
2025-05-07,843.5047643,0.0,0.0
2025-05-08,844.6395646,0.0,0.0
2025-05-09,848.1216113,0.0,0.0
2025-05-10,831.8099472,0.0,0.0
2025-05-11,825.2036769,0.0,0.0
2025-05-12,795.3580253,0.0,0.0
2025-05-13,826.1081718,0.0,0.0
2025-05-14,835.1864719,0.0,0.0
2025-05-15,836.5794526,0.0,0.0
2025-05-16,845.7469493,0.0,0.0
2025-05-17,843.5521103,0.0,0.0
2025-05-18,866.1980516,0.0,0.0
2025-05-19,827.8048033,0.0,0.0
2025-05-20,828.8258395,0.0,0.0
2025-05-21,848.5036349,0.0,0.0
2025-05-22,874.0585113,0.0,0.0
2025-05-23,876.7866209,0.0,0.0
2025-05-24,867.0086037,0.0,0.0
2025-05-25,880.6346787,0.0,0.0
2025-05-26,837.2556916,0.0,0.0
2025-05-27,835.6427948,0.0,0.0
2025-05-28,847.7563999,0.0,0.0
2025-05-29,873.5780408,0.0,0.0
2025-05-30,845.9268364,0.0,0.0
2025-05-31,851.6406173,0.0,0.0
2025-06-01,839.9622487,0.0,0.0
2025-06-02,813.7314712,0.0,0.0
2025-06-03,831.2136027,0.0,0.0
2025-06-04,833.3573712,0.0,0.0
2025-06-05,819.6353103,0.0,0.0
2025-06-06,775.7531667,0.0,0.0
2025-06-07,744.0420753,0.0,0.0
2025-06-08,762.6920625,0.0,0.0
2025-06-09,784.3262949,0.0,0.0
