Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,62.84792461,0.0,0.0
2024-10-02,63.56054705,0.0,0.0
2024-10-03,60.42317992,0.0,0.0
2024-10-04,62.82511487,0.0,0.0
2024-10-05,67.27291603,0.0,0.0
2024-10-06,68.91744664,0.0,0.0
2024-10-07,62.30228199,0.0,0.0
2024-10-08,62.57211015,0.0,0.0
2024-10-09,63.47669973,0.0,0.0
2024-10-10,65.29936199,0.0,0.0
2024-10-11,65.91329414,0.0,0.0
2024-10-12,66.6366605,0.0,0.0
2024-10-13,68.30129148,0.0,0.0
2024-10-14,62.79303491,0.0,0.0
2024-10-15,65.29278524,0.0,0.0
2024-10-16,60.28254032,0.0,0.0
2024-10-17,62.51699331,0.0,0.0
2024-10-18,63.5195035,0.0,0.0
2024-10-19,65.47439555,0.0,0.0
2024-10-20,67.47657212,0.0,0.0
2024-10-21,60.17742816,0.0,0.0
2024-10-22,63.38678671,0.0,0.0
2024-10-23,63.0827681,0.0,0.0
2024-10-24,64.39584324,0.0,0.0
2024-10-25,66.09346374,0.0,0.0
2024-10-26,66.63836334,0.0,0.0
2024-10-27,70.28401585,0.0,0.0
2024-10-28,62.88336689,0.0,0.0
2024-10-29,62.97538149,0.0,0.0
2024-10-30,63.28574173,0.0,0.0
2024-11-01,32.83586712,0.0,0.0
2024-11-02,65.62662366,0.0,0.0
2024-11-03,68.17712002,0.0,0.0
2024-11-04,61.08420624,0.0,0.0
2024-11-05,61.36204819,0.0,0.0
2024-11-06,61.66504529,0.0,0.0
2024-11-07,61.63293469,0.0,0.0
2024-11-08,63.10405449,0.0,0.0
2024-11-09,65.72291906,0.0,0.0
2024-11-10,67.28239,0.0,0.0
2024-11-11,63.24295783,0.0,0.0
2024-11-12,62.46305121,0.0,0.0
2024-11-13,63.65190117,0.0,0.0
2024-11-14,62.7814724,0.0,0.0
2024-11-15,64.03585436,0.0,0.0
2024-11-16,65.56661797,0.0,0.0
2024-11-17,66.43407525,0.0,0.0
2024-11-18,61.0474086,0.0,0.0
2024-11-19,62.49774363,0.0,0.0
2024-11-20,61.34808135,0.0,0.0
2024-11-21,62.12002965,0.0,0.0
2024-11-22,63.7687238,0.0,0.0
2024-11-23,65.04846549,0.0,0.0
2024-11-24,66.7041876,0.0,0.0
2024-11-25,63.03183807,0.0,0.0
2024-11-26,63.89511815,0.0,0.0
2024-11-27,68.31609118,0.0,0.0
2024-11-28,61.95171067,0.0,0.0
2024-11-29,62.15822101,0.0,0.0
2024-11-30,65.12740378,0.0,0.0
2024-12-01,66.94441753,0.0,0.0
2024-12-02,60.45779348,0.0,0.0
2024-12-03,61.59669151,0.0,0.0
2024-12-04,62.89094252,0.0,0.0
2024-12-05,63.79995828,0.0,0.0
2024-12-06,63.31435822,0.0,0.0
2024-12-07,66.91315666,0.0,0.0
2024-12-08,68.47003461,0.0,0.0
2024-12-09,63.3957178,0.0,0.0
2024-12-10,63.78969382,0.0,0.0
2024-12-11,63.8308197,0.0,0.0
2024-12-12,66.72664929,0.0,0.0
2024-12-13,64.72288668,0.0,0.0
2024-12-14,67.39907479,0.0,0.0
2024-12-15,68.79503545,0.0,0.0
2024-12-16,63.53264405,0.0,0.0
2024-12-17,63.97947942,0.0,0.0
2024-12-18,64.4480995,0.0,0.0
2024-12-19,64.97014622,0.0,0.0
2024-12-20,64.06848863,0.0,0.0
2024-12-21,66.58367564,0.0,0.0
2024-12-22,66.58367564,0.0,0.0
2024-12-23,65.05123669,0.0,0.0
2024-12-24,64.36696006,0.0,0.0
2024-12-25,64.36696006,0.0,0.0
2024-12-26,66.09007252,0.0,0.0
2024-12-27,67.04108832,0.0,0.0
2024-12-28,68.08655495,0.0,0.0
2024-12-29,69.96079681,0.0,0.0
2024-12-30,66.20438594,0.0,0.0
2024-12-31,67.14952623,0.0,0.0
2025-01-01,71.04,0.0,0.0
2025-01-02,63.52,0.0,0.0
2025-01-03,63.51,0.0,0.0
2025-01-04,63.82,0.0,0.0
2025-01-05,64.29,0.0,0.0
2025-01-06,61.54,0.0,0.0
2025-01-07,59.6,0.0,0.0
2025-01-08,59.75,0.0,0.0
2025-01-09,60.5,0.0,0.0
2025-01-10,61.46,0.0,0.0
2025-01-11,62.52,0.0,0.0
2025-01-12,64.89,0.0,0.0
2025-01-13,58.58,0.0,0.0
2025-01-14,59.42,0.0,0.0
2025-01-15,58.99,0.0,0.0
2025-01-16,57.88,0.0,0.0
2025-01-17,59.78,0.0,0.0
2025-01-18,64.53,0.0,0.0
2025-01-19,63.93,0.0,0.0
2025-01-20,59.75,0.0,0.0
2025-01-21,58.49,0.0,0.0
2025-01-22,59.68,0.0,0.0
2025-01-23,58.24,0.0,0.0
2025-01-24,59.45,0.0,0.0
2025-01-25,61.02,0.0,0.0
2025-01-26,64.0,0.0,0.0
2025-01-27,62.86,0.0,0.0
2025-01-28,61.18,0.0,0.0
2025-01-29,62.85,0.0,0.0
2025-01-30,58.55,0.0,0.0
2025-01-31,58.83,0.0,0.0
2025-02-01,62.35,0.0,0.0
2025-02-02,65.87,0.0,0.0
2025-02-03,57.32,0.0,0.0
2025-02-04,57.62,0.0,0.0
2025-02-05,57.23,0.0,0.0
2025-02-06,58.76,0.0,0.0
2025-02-07,59.75,0.0,0.0
2025-02-08,62.14,0.0,0.0
2025-02-09,63.56,0.0,0.0
2025-02-10,58.3,0.0,0.0
2025-02-11,59.17,0.0,0.0
2025-02-12,59.7,0.0,0.0
2025-02-13,60.47,0.0,0.0
2025-02-14,62.15,0.0,0.0
2025-02-15,63.01,0.0,0.0
2025-02-16,65.64,0.0,0.0
2025-02-17,58.93,0.0,0.0
2025-02-18,57.96,0.0,0.0
2025-02-19,58.66,0.0,0.0
2025-02-20,59.16,0.0,0.0
2025-02-21,60.41,0.0,0.0
2025-02-22,62.78,0.0,0.0
2025-02-23,65.92,0.0,0.0
2025-02-24,58.65,0.0,0.0
2025-02-25,58.34,0.0,0.0
2025-02-26,61.0,0.0,0.0
2025-02-27,60.75,0.0,0.0
2025-02-28,61.13,0.0,0.0
2025-03-01,56.63,0.0,0.0
2025-03-02,61.73,0.0,0.0
2025-03-03,59.79,0.0,0.0
2025-03-04,58.57,0.0,0.0
2025-03-05,61.08,0.0,0.0
2025-03-06,61.75,0.0,0.0
2025-03-07,62.75,0.0,0.0
2025-03-08,64.44,0.0,0.0
2025-03-09,64.94,0.0,0.0
2025-03-10,61.78,0.0,0.0
2025-03-11,61.14,0.0,0.0
2025-03-12,62.92,0.0,0.0
2025-03-13,60.86,0.0,0.0
2025-03-14,62.47,0.0,0.0
2025-03-15,64.83,0.0,0.0
2025-03-16,66.12,0.0,0.0
2025-03-17,62.83,0.0,0.0
2025-03-18,62.52,0.0,0.0
2025-03-19,64.26,0.0,0.0
2025-03-20,65.5,0.0,0.0
2025-03-21,65.56,0.0,0.0
2025-03-22,69.26,0.0,0.0
2025-03-23,69.13,0.0,0.0
2025-03-24,66.9,0.0,0.0
2025-03-25,65.71,0.0,0.0
2025-03-26,70.37,0.0,0.0
2025-03-27,72.38,0.0,0.0
2025-03-28,77.38,0.0,0.0
2025-03-29,78.87,0.0,0.0
2025-03-30,78.96,0.0,0.0
2025-03-31,78.73,0.0,0.0
2025-04-01,80.9,0.0,0.0
2025-04-02,86.17,0.0,0.0
2025-04-03,85.74296159,0.0,0.0
2025-04-04,86.69101337,0.0,0.0
2025-04-05,84.07259994,0.0,0.0
2025-04-06,82.10992581,0.0,0.0
2025-04-07,77.23570206,0.0,0.0
2025-04-08,74.89835822,0.0,0.0
2025-04-09,74.05609241,0.0,0.0
2025-04-10,73.44180597,0.0,0.0
2025-04-11,70.95437369,0.0,0.0
2025-04-12,73.53194591,0.0,0.0
2025-04-13,74.79313754,0.0,0.0
2025-04-14,66.85658708,0.0,0.0
2025-04-15,65.65811312,0.0,0.0
2025-04-16,65.71284535,0.0,0.0
2025-04-17,66.21987987,0.0,0.0
2025-04-18,68.65175184,0.0,0.0
2025-04-19,67.59892897,0.0,0.0
2025-04-20,68.03772063,0.0,0.0
2025-04-21,64.88249651,0.0,0.0
2025-04-22,63.68183955,0.0,0.0
2025-04-23,63.99461143,0.0,0.0
2025-04-24,64.63140782,0.0,0.0
2025-04-25,65.28926634,0.0,0.0
2025-04-26,67.76687572,0.0,0.0
2025-04-27,69.55284981,0.0,0.0
2025-04-28,62.13777638,0.0,0.0
2025-04-29,63.64544849,0.0,0.0
2025-04-30,64.45790477,0.0,0.0
2025-05-01,68.05863889,0.0,0.0
2025-05-02,60.32366292,0.0,0.0
2025-05-03,67.51527748,0.0,0.0
2025-05-04,69.04397763,0.0,0.0
2025-05-05,63.68371233,0.0,0.0
2025-05-06,63.98901746,0.0,0.0
2025-05-07,65.35954635,0.0,0.0
2025-05-08,64.97345164,0.0,0.0
2025-05-09,66.0502651,0.0,0.0
2025-05-10,69.07117734,0.0,0.0
2025-05-11,72.49525841,0.0,0.0
2025-05-12,67.77101941,0.0,0.0
2025-05-13,65.62958501,0.0,0.0
2025-05-14,64.57291792,0.0,0.0
2025-05-15,64.13572759,0.0,0.0
2025-05-16,65.44592633,0.0,0.0
2025-05-17,67.06958612,0.0,0.0
2025-05-18,69.34010702,0.0,0.0
2025-05-19,63.77063439,0.0,0.0
2025-05-20,63.7908797,0.0,0.0
2025-05-21,65.26547769,0.0,0.0
2025-05-22,64.72120328,0.0,0.0
2025-05-23,65.11033584,0.0,0.0
2025-05-24,67.42089157,0.0,0.0
2025-05-25,70.53662071,0.0,0.0
2025-05-26,63.02937666,0.0,0.0
2025-05-27,62.77377169,0.0,0.0
2025-05-28,64.6557708,0.0,0.0
2025-05-29,68.15835389,0.0,0.0
2025-05-30,65.72312174,0.0,0.0
2025-05-31,67.68377871,0.0,0.0
2025-06-01,69.34091596,0.0,0.0
2025-06-02,62.57287176,0.0,0.0
2025-06-03,63.99262248,0.0,0.0
2025-06-04,65.34859312,0.0,0.0
2025-06-05,68.60674237,0.0,0.0
2025-06-06,71.671811,0.0,0.0
2025-06-07,69.18762386,0.0,0.0
2025-06-08,69.89423538,0.0,0.0
2025-06-09,67.19119528,0.0,0.0
2025-06-10,66.62931823,0.0,0.0
2025-06-11,65.56258393,0.0,0.0
2025-06-12,67.69272442,0.0,0.0
2025-06-13,67.14405603,0.0,0.0
2025-06-14,69.50198786,0.0,0.0
2025-06-15,71.93177535,0.0,0.0
2025-06-16,65.74343372,0.0,0.0
2025-06-17,67.53515671,0.0,0.0
2025-06-18,65.8178636,0.0,0.0
2025-06-19,66.50364424,0.0,0.0
2025-06-20,65.65447841,0.0,0.0
2025-06-21,68.58907024,0.0,0.0
2025-06-22,70.89135778,0.0,0.0
2025-06-23,65.10000958,0.0,0.0
2025-06-24,66.05578937,0.0,0.0
2025-06-25,65.55966531,0.0,0.0
2025-06-26,65.51687472,0.0,0.0
2025-06-27,69.88178531,0.0,0.0
2025-06-28,69.57236807,0.0,0.0
2025-06-29,69.833425,0.0,0.0
2025-06-30,66.16098997,0.0,0.0
2025-07-01,67.22167207,0.0,0.0
2025-07-02,68.24724903,0.0,0.0
2025-07-03,66.90448519,0.0,0.0
2025-07-04,66.42980208,0.0,0.0
2025-07-05,66.55615719,0.0,0.0
2025-07-06,72.21556488,0.0,0.0
2025-07-07,67.27753037,0.0,0.0
2025-07-08,66.73202655,0.0,0.0
2025-07-09,66.23228125,0.0,0.0
2025-07-10,66.49071829,0.0,0.0
2025-07-11,66.98669815,0.0,0.0
2025-07-12,68.85401683,0.0,0.0
2025-07-13,70.22480872,0.0,0.0
2025-07-14,64.36041883,0.0,0.0
2025-07-15,64.71441962,0.0,0.0
2025-07-16,64.73914073,0.0,0.0
2025-07-17,65.21072547,0.0,0.0
2025-07-18,66.78841962,0.0,0.0
2025-07-19,68.58266781,0.0,0.0
2025-07-20,70.10698456,0.0,0.0
2025-07-21,64.12394348,0.0,0.0
2025-07-22,63.65915123,0.0,0.0
2025-07-23,65.3851025,0.0,0.0
2025-07-24,65.22333838,0.0,0.0
2025-07-25,65.62777088,0.0,0.0
2025-07-26,67.46135608,0.0,0.0
2025-07-27,69.509569,0.0,0.0
2025-07-28,62.88251625,0.0,0.0
2025-07-29,64.72319401,0.0,0.0
2025-07-30,63.96346481,0.0,0.0
2025-07-31,63.07720675,0.0,0.0
2025-08-01,64.80213666,0.0,0.0
