Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,124.9369894,0.0,0.0
2024-10-02,126.0234482,0.0,0.0
2024-10-03,112.417482,0.0,0.0
2024-10-04,103.4574219,0.0,0.0
2024-10-05,128.7660087,0.0,0.0
2024-10-06,127.8979852,0.0,0.0
2024-10-07,126.0061361,0.0,0.0
2024-10-08,126.0743146,0.0,0.0
2024-10-09,126.9741911,0.0,0.0
2024-10-10,131.1393721,0.0,0.0
2024-10-11,131.8493364,0.0,0.0
2024-10-12,129.1690453,0.0,0.0
2024-10-13,126.0791724,0.0,0.0
2024-10-14,121.8217986,0.0,0.0
2024-10-15,119.1070057,0.0,0.0
2024-10-16,115.2269458,0.0,0.0
2024-10-17,124.3066607,0.0,0.0
2024-10-18,129.930528,0.0,0.0
2024-10-19,129.9995595,0.0,0.0
2024-10-20,128.2519431,0.0,0.0
2024-10-21,121.4494633,0.0,0.0
2024-10-22,123.6371396,0.0,0.0
2024-10-23,127.9704786,0.0,0.0
2024-10-24,132.0262067,0.0,0.0
2024-10-25,135.7170958,0.0,0.0
2024-10-26,133.1144592,0.0,0.0
2024-10-27,134.4592033,0.0,0.0
2024-10-28,125.0960308,0.0,0.0
2024-10-29,127.4555131,0.0,0.0
2024-10-30,129.358023,0.0,0.0
2024-11-01,58.39835284,0.0,0.0
2024-11-02,127.7415691,0.0,0.0
2024-11-03,125.6258462,0.0,0.0
2024-11-04,121.5741878,0.0,0.0
2024-11-05,122.9238678,0.0,0.0
2024-11-06,123.836319,0.0,0.0
2024-11-07,125.8503521,0.0,0.0
2024-11-08,126.8413234,0.0,0.0
2024-11-09,131.0978157,0.0,0.0
2024-11-10,126.3167451,0.0,0.0
2024-11-11,123.3078092,0.0,0.0
2024-11-12,122.3574115,0.0,0.0
2024-11-13,125.0732567,0.0,0.0
2024-11-14,125.3886929,0.0,0.0
2024-11-15,128.8592751,0.0,0.0
2024-11-16,129.48595,0.0,0.0
2024-11-17,124.7038247,0.0,0.0
2024-11-18,121.7794803,0.0,0.0
2024-11-19,126.9031013,0.0,0.0
2024-11-20,123.3565209,0.0,0.0
2024-11-21,123.3260475,0.0,0.0
2024-11-22,125.560323,0.0,0.0
2024-11-23,128.023907,0.0,0.0
2024-11-24,125.9004906,0.0,0.0
2024-11-25,120.5512085,0.0,0.0
2024-11-26,121.1967464,0.0,0.0
2024-11-27,117.6349602,0.0,0.0
2024-11-28,122.1891181,0.0,0.0
2024-11-29,121.6854882,0.0,0.0
2024-11-30,129.3345291,0.0,0.0
2024-12-01,125.6589158,0.0,0.0
2024-12-02,118.9451957,0.0,0.0
2024-12-03,121.6474772,0.0,0.0
2024-12-04,125.6897852,0.0,0.0
2024-12-05,128.5425397,0.0,0.0
2024-12-06,127.6178282,0.0,0.0
2024-12-07,130.3707741,0.0,0.0
2024-12-08,128.3341182,0.0,0.0
2024-12-09,123.1802412,0.0,0.0
2024-12-10,125.8421596,0.0,0.0
2024-12-11,125.9701111,0.0,0.0
2024-12-12,134.7670528,0.0,0.0
2024-12-13,129.2362837,0.0,0.0
2024-12-14,133.899246,0.0,0.0
2024-12-15,132.2921561,0.0,0.0
2024-12-16,124.5338922,0.0,0.0
2024-12-17,127.7780062,0.0,0.0
2024-12-18,127.7186282,0.0,0.0
2024-12-19,128.3030229,0.0,0.0
2024-12-20,127.3571666,0.0,0.0
2024-12-21,130.8487476,0.0,0.0
2024-12-22,130.8487476,0.0,0.0
2024-12-23,126.7297445,0.0,0.0
2024-12-24,126.7113384,0.0,0.0
2024-12-25,126.7113384,0.0,0.0
2024-12-26,129.755275,0.0,0.0
2024-12-27,131.1618944,0.0,0.0
2024-12-28,133.2844385,0.0,0.0
2024-12-29,130.7265983,0.0,0.0
2024-12-30,128.1917156,0.0,0.0
2024-12-31,131.5515984,0.0,0.0
2025-01-01,132.21,0.0,0.0
2025-01-02,120.88,0.0,0.0
2025-01-03,122.16,0.0,0.0
2025-01-04,120.6,0.0,0.0
2025-01-05,118.41,0.0,0.0
2025-01-06,112.61,0.0,0.0
2025-01-07,113.3,0.0,0.0
2025-01-08,114.4,0.0,0.0
2025-01-09,115.33,0.0,0.0
2025-01-10,119.91,0.0,0.0
2025-01-11,121.11,0.0,0.0
2025-01-12,117.07,0.0,0.0
2025-01-13,111.82,0.0,0.0
2025-01-14,115.0,0.0,0.0
2025-01-15,116.46,0.0,0.0
2025-01-16,117.24,0.0,0.0
2025-01-17,119.02,0.0,0.0
2025-01-18,118.53,0.0,0.0
2025-01-19,115.37,0.0,0.0
2025-01-20,112.36,0.0,0.0
2025-01-21,114.76,0.0,0.0
2025-01-22,115.32,0.0,0.0
2025-01-23,117.54,0.0,0.0
2025-01-24,118.55,0.0,0.0
2025-01-25,120.02,0.0,0.0
